CHEBI,PotentialAdditionalIDs,AllIDs
16543,"181895, 57805, 44673, 86496","16543, 181895, 57805, 44673, 86496"
165622,NA,165622
165624,85095,"85095, 165624"
165628,82952,"82952, 165628"
16566,57817,"16566, 57817"
16576,57822,"16576, 57822"
16610,57834,"16610, 57834"
16643,"57844, 16811, 16867","16643, 57844, 16811, 16867"
16651,422,"422, 16651"
16659,32398,"32398, 16659"
16668,57853,"16668, 57853"
16675,27754,"27754, 16675"
16680,"57856, 181457","16680, 57856, 181457"
16704,NA,16704
16708,NA,16708
16714,57871,"16714, 57871"
16724,30830,"30830, 16724"
16737,NA,16737
16750,NA,16750
167606,"143243, 17858","143243, 17858, 167606"
16814,"83037, 57905","16814, 83037, 57905"
16828,"57912, 16296, 27897","16828, 57912, 16296, 27897"
16856,57925,"16856, 57925"
16857,"57926, 26986, 28718, 38262, 38263","16857, 57926, 26986, 28718, 38262, 38263"
16863,"48928, 58759","48928, 58759, 16863"
16865,"59888, 30566","16865, 59888, 30566"
16870,NA,16870
16880,NA,16880
16899,NA,16899
16908,NA,16908
16914,30762,"16914, 30762"
16919,57947,"16919, 57947"
16924,"18183, 57948","18183, 16924, 57948"
16927,57951,"16927, 57951"
16946,"57959, 28683, 86262","16946, 57959, 28683, 86262"
16947,30769,"30769, 16947"
16953,21547,"21547, 16953"
16958,57966,"16958, 57966"
16962,NA,16962
16977,"57972, 15570, 16449, 76050","16977, 57972, 15570, 16449, 76050"
16990,"72719, 132996","16990, 72719, 132996"
17015,57986,"17015, 57986"
17044,"743019, 60084","743019, 17044, 60084"
17050,NA,17050
17053,"29991, 17364, 22660","17053, 29991, 17364, 22660"
17066,"10983, 20067, 37054","17066, 10983, 20067, 37054"
17082,"37023, 37024, 58672","37023, 37024, 58672, 17082"
17084,11596,"17084, 11596"
17113,NA,17113
17115,"17822, 33384, 16523","17115, 17822, 33384, 16523"
17118,NA,17118
17120,30776,"30776, 17120"
17126,"16347, 3424","16347, 17126, 3424"
17128,30832,"30832, 17128"
17140,NA,17140
17148,326268,"17148, 326268"
17151,1305691,"17151, 1305691"
17154,NA,17154
17172,NA,17172
17173,NA,17173
171760,"37371, 132983","37371, 171760, 132983"
17180,30841,"30841, 17180"
17191,"58045, 22359, 24898, 38264, 43433","17191, 58045, 22359, 24898, 38264, 43433"
17196,"58048, 22653, 28159","17196, 58048, 22653, 28159"
17201,356445,"17201, 356445"
17203,"60039, 16313, 26271","17203, 60039, 16313, 26271"
17230,"17588, 58065, 58199","17588, 17230, 58065, 58199"
17268,NA,17268
17270,58083,"17270, 58083"
17295,"58095, 16998, 28044","17295, 58095, 16998, 28044"
17310,NA,17310
17311,58100,"17311, 58100"
17347,42534,"17347, 42534"
17351,30245,"17351, 30245"
17361,60377,"17361, 60377"
17368,NA,17368
17376,"35492, 16283, 35494","17376, 35492, 16283, 35494"
17385,36659,"17385, 36659"
174028,NA,174028
17405,30959,"17405, 30959"
17431,58145,"17431, 58145"
174310,NA,174310
17497,29805,"17497, 29805"
17500,NA,17500
17509,NA,17509
17515,58173,"17515, 58173"
17521,29751,"17521, 29751"
17553,58190,"17553, 58190"
17561,"35235, 15356, 16375","17561, 35235, 15356, 16375"
17562,NA,17562
17568,NA,17568
17587,NA,17587
17588,"17230, 58065, 58199","17588, 17230, 58065, 58199"
17596,NA,17596
17627,"26355, 30413, 60344","17627, 26355, 30413, 60344"
17650,180955,"17650, 180955"
17665,58225,"58225, 17665"
17687,29746,"17687, 29746"
17712,NA,17712
17724,58251,"17724, 58251"
17746,48093,"48093, 17746"
17748,NA,17748
17750,41139,"41139, 17750"
17752,58260,"17752, 58260"
17754,NA,17754
17771,30817,"30817, 17771"
17775,NA,17775
17786,58270,"17786, 58270"
17802,NA,17802
17821,NA,17821
17822,"17115, 33384, 16523","17115, 17822, 33384, 16523"
17835,"24344, 58289, 88350","24344, 58289, 17835, 88350"
17847,NA,17847
17858,"143243, 167606","143243, 17858, 167606"
17859,30921,"17859, 30921"
17865,48430,"48430, 17865"
17884,58310,"17884, 58310"
17895,"58315, 18186, 28479","17895, 58315, 18186, 28479"
17924,NA,17924
17925,NA,17925
17929,"58326, 25682, 86468","17929, 58326, 25682, 86468"
17964,"30913, 61185","17964, 30913, 61185"
18012,"29806, 37154","18012, 29806, 37154"
18019,"32551, 16855, 25094","18019, 32551, 16855, 25094"
18021,"44897, 58702","44897, 18021, 58702"
18050,"58359, 17061, 28300","18050, 58359, 17061, 28300"
18089,"68455, 606565","18089, 68455, 606565"
18095,"18240, 58419, 58375, 20392","18095, 18240, 58419, 58375, 20392"
180955,17650,"17650, 180955"
18101,48999,"18101, 48999"
18105,NA,18105
18107,NA,18107
18123,NA,18123
18145,NA,18145
181457,"16680, 57856","16680, 57856, 181457"
18167,NA,18167
18183,"16924, 57948","18183, 16924, 57948"
18185,NA,18185
181895,"16543, 57805","16543, 181895, 57805"
18208,51354,"18208, 51354"
18211,"16349, 49007","16349, 18211, 49007"
18237,"14321, 29987, 15966, 16015","18237, 14321, 29987, 15966, 16015"
18240,"18095, 58419, 58375","18095, 18240, 58419, 58375"
18261,11892,"18261, 11892"
18262,30805,"30805, 18262"
18295,58432,"18295, 58432"
18297,NA,18297
18323,58445,"18323, 58445"
18333,NA,18333
18361,"29888, 33019, 45212","29888, 18361, 33019, 45212"
18367,"26078, 43474, 39745","26078, 18367, 43474, 39745"
18391,33198,"33198, 18391"
183975,"73794, 131924, 72998, 73851, 73858, 86255, 88698, 74968, 88685, 83055, 74344, 86259, 88684, 88952, 133657, 74348, 133734, 73873, 86260, 88948, 84753, 74340, 133662, 74343, 88686","73794, 131924, 72998, 73851, 73858, 86255, 88698, 74968, 88685, 83055, 74344, 86259, 88684, 88952, 133657, 74348, 133734, 73873, 86260, 88948, 84753, 74340, 133662, 74343, 88686, 183975"
184023,"15682, 57472","15682, 184023, 57472"
18403,NA,18403
184988,"27820, 133370","27820, 184988, 133370"
189870,73818,"73818, 189870"
19062,NA,19062
190709,74719,"74719, 190709"
191205,72723,"72723, 191205"
191208,"73531, 6418","73531, 6418, 191208"
19289,NA,19289
19641,50129,"50129, 19641"
19702,NA,19702
20067,"17066, 10983, 37054","17066, 10983, 20067, 37054"
20106,"1127735, 27622","1127735, 20106, 27622"
20912,16157,"20912, 16157"
21285,6331,"21285, 6331"
21547,16953,"21547, 16953"
21553,143879,"21553, 143879"
21555,NA,21555
21557,71670,"21557, 71670"
21563,NA,21563
21565,NA,21565
2181,42548,"42548, 2181"
21949,7676,"21949, 7676"
231935,14336,"14336, 231935"
24344,"58289, 17835, 88350","24344, 58289, 17835, 88350"
25629,28842,"28842, 25629"
25646,28837,"28837, 25646"
25682,"17929, 86468","17929, 25682, 86468"
26078,"18367, 43474, 39745","26078, 18367, 43474, 39745"
26355,"17627, 30413, 60344","17627, 26355, 30413, 60344"
2710,NA,2710
27372,NA,27372
27389,142590,"27389, 142590"
27410,NA,27410
27432,32387,"27432, 32387"
27596,50599,"50599, 27596"
27622,"1127735, 20106","1127735, 20106, 27622"
27689,30813,"30813, 27689"
27754,16675,"27754, 16675"
27781,32370,"27781, 32370"
27820,"184988, 133370","27820, 184988, 133370"
27905,NA,27905
27931,140999,"140999, 27931"
28009,NA,28009
28125,77016,"28125, 77016"
28146,48092,"48092, 28146"
28158,NA,28158
28189,NA,28189
28209,"60943, 65341, 90632","28209, 60943, 65341, 90632"
28223,77740,"28223, 77740"
28297,NA,28297
28364,58562,"28364, 58562"
28379,"15614, 35146","15614, 28379, 35146"
28593,NA,28593
28610,NA,28610
28645,NA,28645
28716,"59265, 32372","28716, 59265, 32372"
28718,"58585, 16857, 26986, 38262, 38263","28718, 58585, 16857, 26986, 38262, 38263"
28727,"50464, 30827","28727, 50464, 30827"
28729,4208,"28729, 4208"
28792,32393,"28792, 32393"
28797,"35619, 35621","28797, 35619, 35621"
28808,143180,"143180, 28808"
28821,NA,28821
28822,32360,"28822, 32360"
28837,25646,"28837, 25646"
28842,25629,"28842, 25629"
28867,53210,"53210, 28867"
28875,30807,"28875, 30807"
28918,71406,"28918, 71406"
28931,60880,"28931, 60880"
28946,NA,28946
28972,NA,28972
28997,NA,28997
29019,32361,"29019, 32361"
29032,"46905, 7916","46905, 7916, 29032"
2904,NA,2904
29042,"16077, 58601","29042, 16077, 58601"
29073,38290,"29073, 38290"
29083,16440,"16440, 29083"
29746,17687,"17687, 29746"
29747,"81308, 16359","81308, 16359, 29747"
29751,17521,"17521, 29751"
29805,17497,"17497, 29805"
29806,"18012, 37154","18012, 29806, 37154"
29888,"18361, 33019, 45212","29888, 18361, 33019, 45212"
29985,16015,"16015, 29985"
29986,15966,"15966, 29986"
29987,"18237, 14321","18237, 14321, 29987"
29991,17053,"17053, 29991"
30031,15741,"15741, 30031"
30245,17351,"17351, 30245"
30413,"17627, 26355, 60344","17627, 26355, 30413, 60344"
30566,"16865, 59888","16865, 59888, 30566"
30612,16002,"16002, 30612"
30746,16150,"30746, 16150"
30762,16914,"16914, 30762"
30769,16947,"30769, 16947"
30776,17120,"30776, 17120"
30797,"15589, 6650, 15595","30797, 15589, 6650, 15595"
30805,18262,"30805, 18262"
30807,28875,"28875, 30807"
30813,27689,"30813, 27689"
30817,17771,"30817, 17771"
30823,16196,"16196, 30823"
30827,"28727, 50464","28727, 50464, 30827"
30830,16724,"30830, 16724"
30832,17128,"30832, 17128"
30841,17180,"30841, 17180"
30854,16411,"16411, 30854"
30913,"17964, 61185","17964, 30913, 61185"
30921,17859,"17859, 30921"
30924,15671,"15671, 30924"
30929,15674,"15674, 30929"
30959,17405,"17405, 30959"
31991,NA,31991
32360,28822,"28822, 32360"
32361,29019,"29019, 32361"
32365,32366,"32365, 32366"
32366,32365,"32365, 32366"
32370,27781,"27781, 32370"
32372,"28716, 59265","28716, 59265, 32372"
32387,27432,"27432, 32387"
32389,77222,"32389, 77222"
32392,44247,"44247, 32392"
32393,28792,"28792, 32393"
32395,15843,"15843, 32395"
32398,16659,"32398, 16659"
32425,32426,"32425, 32426"
32426,32425,"32425, 32426"
32513,"15971, 57595","15971, 57595, 32513"
32544,15940,"15940, 32544"
32551,18019,"18019, 32551"
326268,17148,"17148, 326268"
32635,NA,32635
32636,132962,"32636, 132962"
32682,16467,"16467, 32682"
32796,15801,"32796, 15801"
32805,16383,"32805, 16383"
32812,16338,"16338, 32812"
33019,"29888, 18361, 45212","29888, 18361, 33019, 45212"
33198,18391,"33198, 18391"
33384,"17115, 17822","17115, 17822, 33384"
340824,NA,340824
3424,"16347, 17126","16347, 17126, 3424"
35128,1178,"35128, 1178"
35146,"15614, 28379","15614, 28379, 35146"
35235,17561,"17561, 35235"
35247,16523,"16523, 35247"
35280,134398,"35280, 134398"
35491,16283,"16283, 35491"
35492,17376,"17376, 35492"
356010,15887,"15887, 356010"
356445,17201,"17201, 356445"
35704,61512,"35704, 61512"
36378,NA,36378
36659,17385,"17385, 36659"
37023,"37024, 58672, 17082, 37025","37023, 37024, 58672, 17082, 37025"
37024,"37023, 58672, 17082, 37025","37023, 37024, 58672, 17082, 37025"
37054,"17066, 10983, 20067","17066, 10983, 20067, 37054"
37098,37100,"37100, 37098"
37100,37098,"37100, 37098"
37154,"18012, 29806","18012, 29806, 37154"
3723,77397,"77397, 3723"
37371,"171760, 132983","37371, 171760, 132983"
37655,136591,"37655, 136591"
38290,29073,"29073, 38290"
39548,NA,39548
39745,"26078, 18367, 43474","26078, 18367, 43474, 39745"
40410,NA,40410
4047,61694,"4047, 61694"
40521,NA,40521
40992,NA,40992
41139,17750,"41139, 17750"
41254,NA,41254
41423,NA,41423
4167,"15903, 42758","15903, 4167, 42758"
4170,"15954, 57584, 61548","4170, 15954, 57584, 61548"
4208,28729,"28729, 4208"
422,16651,"422, 16651"
42504,78795,"42504, 78795"
42534,17347,"17347, 42534"
42548,2181,"42548, 2181"
42717,NA,42717
42758,"15903, 4167","15903, 4167, 42758"
42797,NA,42797
42989,NA,42989
43355,144643,"43355, 144643"
43474,"26078, 18367, 39745","26078, 18367, 43474, 39745"
44215,"15846, 13389","44215, 15846, 13389"
44247,32392,"44247, 32392"
44897,"18021, 58702","44897, 18021, 58702"
45212,"29888, 18361, 33019","29888, 18361, 33019, 45212"
45441,NA,45441
456215,16027,"16027, 456215"
45658,133545,"45658, 133545"
45725,15746,"15746, 45725"
45744,58705,"45744, 58705"
45826,NA,45826
45996,NA,45996
46195,NA,46195
4676,76273,"4676, 76273"
46905,"7916, 29032","46905, 7916, 29032"
46911,15729,"15729, 46911"
46961,64124,"46961, 64124"
47013,NA,47013
47771,NA,47771
47937,NA,47937
48066,"49728, 58735","49728, 48066, 58735"
48092,28146,"48092, 28146"
48093,17746,"48093, 17746"
48131,78208,"48131, 78208"
4828,134344,"4828, 134344"
48300,NA,48300
48430,17865,"48430, 17865"
48928,"58759, 16863","48928, 58759, 16863"
48999,18101,"18101, 48999"
49060,"15908, 57561","15908, 49060, 57561"
49728,"48066, 58735","49728, 48066, 58735"
50129,19641,"50129, 19641"
50464,"28727, 30827","28727, 50464, 30827"
50599,27596,"50599, 27596"
50613,"1148, 73709, 64552","50613, 1148, 73709, 64552"
506227,NA,506227
507393,15891,"15891, 507393"
51354,18208,"18208, 51354"
52330,NA,52330
52449,65342,"52449, 65342"
52649,NA,52649
53013,60875,"53013, 60875"
53210,28867,"53210, 28867"
53455,NA,53455
53460,77223,"53460, 77223"
53486,71589,"53486, 71589"
53487,77225,"53487, 77225"
53488,77224,"53488, 77224"
5390,NA,5390
55328,55329,"55328, 55329"
55329,55328,"55328, 55329"
5571,NA,5571
5729,147392,"5729, 147392"
57305,15428,"15428, 57305"
57427,15603,"15603, 57427"
57433,15611,"15611, 57433"
57472,"15682, 184023","15682, 184023, 57472"
57476,15699,"15699, 57476"
57483,"133983, 15721","133983, 15721, 57483"
57486,15728,"15728, 57486"
57513,15784,"15784, 57513"
57561,"15908, 49060","15908, 49060, 57561"
57567,15919,"15919, 57567"
5757,NA,5757
57584,"4170, 15954, 61548","4170, 15954, 57584, 61548"
57589,"73024, 15960","57589, 73024, 15960"
57595,"15971, 32513","15971, 57595, 32513"
57597,15978,"15978, 57597"
57603,16000,"16000, 57603"
57634,16084,"16084, 57634"
57668,16176,"16176, 57668"
57702,16259,"16259, 57702"
57742,16344,"16344, 57742"
57743,16349,"16349, 57743"
57756,16393,"16393, 57756"
57762,16414,"16414, 57762"
5778,NA,5778
57805,"16543, 181895","16543, 181895, 57805"
57817,16566,"16566, 57817"
57822,16576,"16576, 57822"
57834,16610,"16610, 57834"
57844,16643,"16643, 57844"
57853,16668,"16668, 57853"
57856,"16680, 181457","16680, 57856, 181457"
57871,16714,"16714, 57871"
57885,NA,57885
57905,"16814, 83037","16814, 83037, 57905"
57912,16828,"16828, 57912"
57925,16856,"16856, 57925"
57926,16857,"16857, 57926"
57947,16919,"16919, 57947"
57948,"18183, 16924","18183, 16924, 57948"
57951,16927,"16927, 57951"
57959,16946,"16946, 57959"
57966,16958,"16958, 57966"
57972,16977,"16977, 57972"
57986,17015,"17015, 57986"
58045,17191,"17191, 58045"
58048,17196,"17196, 58048"
58065,"17588, 17230, 58199","17588, 17230, 58065, 58199"
58083,17270,"17270, 58083"
58095,17295,"17295, 58095"
58100,17311,"17311, 58100"
58145,17431,"17431, 58145"
58173,17515,"17515, 58173"
58190,17553,"17553, 58190"
58199,"17588, 17230, 58065","17588, 17230, 58065, 58199"
58225,17665,"58225, 17665"
58251,17724,"17724, 58251"
58260,17752,"17752, 58260"
58270,17786,"17786, 58270"
58289,"24344, 17835, 88350","24344, 58289, 17835, 88350"
58310,17884,"17884, 58310"
58315,17895,"17895, 58315"
5832,NA,5832
58326,17929,"17929, 58326"
58359,18050,"18050, 58359"
58375,"18095, 18240, 58419","18095, 18240, 58419, 58375"
58419,"18095, 18240, 58375","18095, 18240, 58419, 58375"
58432,18295,"18295, 58432"
58433,NA,58433
58445,18323,"18323, 58445"
58562,28364,"28364, 58562"
58585,28718,"28718, 58585"
58601,"29042, 16077","29042, 16077, 58601"
58672,"37023, 37024, 17082","37023, 37024, 58672, 17082"
58702,"44897, 18021","44897, 18021, 58702"
58705,45744,"45744, 58705"
58735,"49728, 48066","49728, 48066, 58735"
58759,"48928, 16863","48928, 58759, 16863"
59265,"28716, 32372","28716, 59265, 32372"
59888,"16865, 30566","16865, 59888, 30566"
60039,17203,"17203, 60039"
60084,"743019, 17044","743019, 17044, 60084"
60344,"17627, 26355, 30413","17627, 26355, 30413, 60344"
60377,17361,"17361, 60377"
60631,"60645, 64669","60645, 60631, 64669"
60645,"60631, 64669","60645, 60631, 64669"
606564,15551,"15551, 606564"
606565,"18089, 68455","18089, 68455, 606565"
60875,53013,"53013, 60875"
60880,28931,"28931, 60880"
60943,"28209, 65341, 90632","28209, 60943, 65341, 90632"
61185,"17964, 30913","17964, 30913, 61185"
61512,35704,"35704, 61512"
61548,"4170, 15954, 57584","4170, 15954, 57584, 61548"
61694,4047,"4047, 61694"
61695,61696,"61695, 61696"
61696,61695,"61695, 61696"
61952,NA,61952
61953,NA,61953
6331,21285,"21285, 6331"
64124,46961,"46961, 64124"
6418,"73531, 191208","73531, 6418, 191208"
64395,NA,64395
64489,NA,64489
64552,"50613, 1148, 73709","50613, 1148, 73709, 64552"
6456,NA,6456
64669,"60645, 60631","60645, 60631, 64669"
65097,65101,"65101, 65097"
65101,65097,"65101, 65097"
65136,77226,"65136, 77226"
65341,"28209, 60943, 90632","28209, 60943, 65341, 90632"
65342,52449,"52449, 65342"
6650,"30797, 15589, 15595","30797, 15589, 6650, 15595"
6801,NA,6801
68433,NA,68433
68434,NA,68434
68455,"18089, 606565","18089, 68455, 606565"
68505,NA,68505
68616,NA,68616
68848,NA,68848
6904,NA,6904
69081,NA,69081
70744,73779,"70744, 73779"
70749,84834,"84834, 70749"
70824,NA,70824
70857,NA,70857
71018,NA,71018
71032,NA,71032
71406,28918,"28918, 71406"
71589,53486,"53486, 71589"
71670,21557,"21557, 71670"
72719,"16990, 132996","16990, 72719, 132996"
72723,191205,"72723, 191205"
72991,73087,"73087, 72991"
72998,"73794, 131924, 73851, 73858, 86255, 88698, 74968, 88685, 83055, 74344, 86259, 88684, 88952, 133657, 74348, 133734, 73873, 86260, 88948, 84753, 74340, 133662, 74343, 88686, 183975","73794, 131924, 72998, 73851, 73858, 86255, 88698, 74968, 88685, 83055, 74344, 86259, 88684, 88952, 133657, 74348, 133734, 73873, 86260, 88948, 84753, 74340, 133662, 74343, 88686, 183975"
73004,NA,73004
73017,84838,"84838, 73017"
73024,"57589, 15960","57589, 73024, 15960"
73025,NA,73025
73026,NA,73026
73039,NA,73039
73054,NA,73054
73061,NA,73061
73067,NA,73067
73074,84644,"84644, 73074"
73087,72991,"73087, 72991"
73512,NA,73512
73514,143163,"73514, 143163"
73517,NA,73517
73527,NA,73527
73531,"6418, 191208","73531, 6418, 191208"
73608,NA,73608
73630,NA,73630
73631,NA,73631
73632,133147,"73632, 133147"
73637,NA,73637
73638,NA,73638
73688,"95120, 76931","73688, 95120, 76931"
73700,NA,73700
73703,NA,73703
73704,NA,73704
73705,NA,73705
73707,NA,73707
73709,"50613, 1148, 64552","50613, 1148, 73709, 64552"
73713,NA,73713
73731,77220,"73731, 77220"
73757,73786,"73757, 73786"
73779,70744,"70744, 73779"
73786,73757,"73757, 73786"
73794,"131924, 72998, 73851, 73858, 86255, 88698, 74968, 88685, 83055, 74344, 86259, 88684, 88952, 133657, 74348, 133734, 73873, 86260, 88948, 84753, 74340, 133662, 74343, 88686, 183975","73794, 131924, 72998, 73851, 73858, 86255, 88698, 74968, 88685, 83055, 74344, 86259, 88684, 88952, 133657, 74348, 133734, 73873, 86260, 88948, 84753, 74340, 133662, 74343, 88686, 183975"
73807,NA,73807
73808,NA,73808
73815,NA,73815
73818,189870,"73818, 189870"
73822,NA,73822
73823,NA,73823
73830,NA,73830
73851,"73794, 131924, 72998, 73858, 86255, 88698, 74968, 88685, 83055, 74344, 86259, 88684, 88952, 133657, 74348, 133734, 73873, 86260, 88948, 84753, 74340, 133662, 74343, 88686, 183975","73794, 131924, 72998, 73851, 73858, 86255, 88698, 74968, 88685, 83055, 74344, 86259, 88684, 88952, 133657, 74348, 133734, 73873, 86260, 88948, 84753, 74340, 133662, 74343, 88686, 183975"
73858,"73794, 131924, 72998, 73851, 86255, 88698, 74968, 88685, 83055, 74344, 86259, 88684, 88952, 133657, 74348, 133734, 73873, 86260, 88948, 84753, 74340, 133662, 74343, 88686, 183975","73794, 131924, 72998, 73851, 73858, 86255, 88698, 74968, 88685, 83055, 74344, 86259, 88684, 88952, 133657, 74348, 133734, 73873, 86260, 88948, 84753, 74340, 133662, 74343, 88686, 183975"
73873,"73794, 131924, 72998, 73851, 73858, 86255, 88698, 74968, 88685, 83055, 74344, 86259, 88684, 88952, 133657, 74348, 133734, 86260, 88948, 84753, 74340, 133662, 74343, 88686, 183975","73794, 131924, 72998, 73851, 73858, 86255, 88698, 74968, 88685, 83055, 74344, 86259, 88684, 88952, 133657, 74348, 133734, 73873, 86260, 88948, 84753, 74340, 133662, 74343, 88686, 183975"
73922,NA,73922
73990,NA,73990
74053,NA,74053
74059,NA,74059
743019,"17044, 60084","743019, 17044, 60084"
74340,"73794, 131924, 72998, 73851, 73858, 86255, 88698, 74968, 88685, 83055, 74344, 86259, 88684, 88952, 133657, 74348, 133734, 73873, 86260, 88948, 84753, 133662, 74343, 88686, 183975","73794, 131924, 72998, 73851, 73858, 86255, 88698, 74968, 88685, 83055, 74344, 86259, 88684, 88952, 133657, 74348, 133734, 73873, 86260, 88948, 84753, 74340, 133662, 74343, 88686, 183975"
