"","Metabolite","SUPER_PATHWAY","SUB_PATHWAY","COMP_ID","PLATFORM","RI","MASS","CAS","PUBCHEM","KEGG","HMDB"
"28","2-isopropylmalate","Carbohydrate","Glycolysis, gluconeogenesis, pyruvate metabolism","15667","LC/MS Neg","732","175.2","3237-44-3","5280523","C02504","HMDB00402"
"29","2-linoleoylglycerol (2-monolinolein)","Lipid","Monoacylglycerol","32536","GC/MS","2169","408.3","3443-82-1","5365676",NA,"HMDB11538"
"30","2-methylbutyroylcarnitine","Amino acid","Valine, leucine and isoleucine metabolism","35431","LC/MS Pos","2439","246.1","31023-25-3","6426901",NA,"HMDB00378"
"31","2-oleoylglycerol (2-monoolein)","Lipid","Monoacylglycerol","35848","GC/MS","2170","410.1","3443-84-3","5319879",NA,NA
"32","2-palmitoylglycerol (2-monopalmitin)","Lipid","Monoacylglycerol","33419","GC/MS","2108","129","23470-00-0","123409",NA,NA
"33","3-(4-hydroxyphenyl)lactate","Amino acid","Phenylalanine & tyrosine metabolism","32197","LC/MS Neg","1395","181.1","6482-98-0","9378","C03672","HMDB00755"
"34","3-(N-acetyl-L-cystein-S-yl) acetaminophen*","Xenobiotics","Drug","18299","LC/MS Pos","2622","313.10000000000002","52372-86-8","83967",NA,NA
"35","3,4-dihydroxyphenethyleneglycol","Amino acid","Phenylalanine & tyrosine metabolism","1555","GC/MS","1807.7","355.2","28822-73-3","91528","C05576","HMDB00318"
"36","3-aminoisobutyrate","Nucleotide","Pyrimidine metabolism, thymine containing; Valine, leucine and isoleucine metabolism/","1566","GC/MS","1252.2","101.9","10569-72-9","64956","C05145","HMDB03911"
"37","3-aminoisobutyrate","Nucleotide","Pyrimidine metabolism, thymine containing; Valine, leucine and isoleucine metabolism/","1566","GC/MS","1252.2","101.9","214139-20-5","64956","C05145","HMDB03911"
"38","3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)","Lipid","Fatty acid, dicarboxylate","31787","LC/MS Neg","2815","239.1","86879-39-2","123979",NA,NA
"39","3-dehydrocarnitine*","Lipid","Carnitine metabolism","32654","LC/MS Pos","1020","160.19999999999999","10457-99-5","6991982",NA,NA
"40","3'-dephosphocoenzyme A","Cofactors and vitamins","Pantothenate and CoA metabolism","18289","LC/MS Neg","2010","686.2","3633-59-8","444485","C00882","HMDB01373"
"41","3-hydroxybutyrate (BHBA)","Lipid","Ketone bodies","542","GC/MS","1203.5","116.9","625-72-9","441","C01089","HMDB00357"
"42","3-hydroxydecanoate","Lipid","Fatty acid, monohydroxy","22053","LC/MS Neg","4681","187.2","5561-87-5","26612",NA,"HMDB02203"
"43","3-hydroxyoctanoate","Lipid","Fatty acid, monohydroxy","22001","LC/MS Neg","3463","159.19999999999999","88930-08-9","26613",NA,"HMDB01954"
"44","3-indoxyl sulfate","Amino acid","Tryptophan metabolism","27672","LC/MS Neg","2258","212","2642-37-7","10258",NA,"HMDB00682"
"45","3-methyl-2-oxovalerate","Amino acid","Valine, leucine and isoleucine metabolism","15676","LC/MS Neg","2106","129.19999999999999","51829-07-3","439286; 440877; 6857401","C00671","HMDB03736"
"46","3-ureidopropionate","Amino acid","Alanine and aspartate metabolism","3155","LC/MS Pos","1062","133.1","462-88-4","111","C02642","HMDB00026"
"47","4-acetamidophenol","Xenobiotics","Drug","12032","LC/MS Pos","2238","152.1","103-90-2","1983","C06804","HMDB01859"
"48","4-acetaminophen sulfate","Xenobiotics","Drug","37475","LC/MS Neg","1779","230.1","10066-90-7","83939","C06804","HMDB01859"
"49","4-acetaminophen sulfate","Xenobiotics","Drug","37475","LC/MS Neg","1779","230.1","32113-41-0","83939","C06804","HMDB01859"
"50","4-guanidinobutanoate","Amino acid","Guanidino and acetamido metabolism","15681","LC/MS Pos","1085","146.1","463-003","500","C01035","HMDB03464"
"51","4-guanidinobutanoate","Amino acid","Guanidino and acetamido metabolism","15681","LC/MS Pos","1085","146.1","463-00-3","500","C01035","HMDB03464"
"52","4-hydroxybutyrate (GHB)","Lipid","Fatty acid, monohydroxy","34585","GC/MS","1277","233.1","502-85-2","10413","C00989","HMDB00710"
"53","4-hydroxyglutamate","Amino acid","Glutamate metabolism","40499","GC/MS","1644.2","244.1","2485-33-8","5460078; 5460800","C03079","HMDB01344"
"54","4-hydroxyhippurate","Xenobiotics","Benzoate metabolism","35527","LC/MS Neg","1439","194","2482-25-9","151012",NA,NA
"55","4-hydroxyphenylacetate","Amino acid","Phenylalanine & tyrosine metabolism","541","GC/MS","1630.6","179","156-38-7","127","C00642","HMDB00020"
"56","4-methyl-2-oxopentanoate","Amino acid","Valine, leucine and isoleucine metabolism","22116","LC/MS Neg","2200","129.19999999999999","816-66-0","70","C00233","HMDB00695"
"57","5,6-dihydrouracil","Nucleotide","Pyrimidine metabolism, uracil containing","1559","GC/MS","1505.2","243","504-07-4","649","C00429","HMDB00076"
"58","5-HETE","Lipid","Eicosanoid","37372","LC/MS Neg","5372","319.2","73307-52-5","9862886",NA,NA
"59","5-methyltetrahydrofolate (5MeTHF)","Cofactors and vitamins","Folate metabolism","18330","LC/MS Neg","1838","458.2","68703-91-3","439234; 9825434; 135398561","C00440","HMDB01396"
"60","5-methyltetrahydrofolate (5MeTHF)","Cofactors and vitamins","Folate metabolism","18330","LC/MS Neg","1838","458.2","68792-52-9","439234; 9825434; 135398561","C00440","HMDB01396"
"61","5-methylthioadenosine (MTA)","Amino acid","Polyamine metabolism","1419","LC/MS Pos","2427","298.10000000000002","2457-80-9","439176","C00170","HMDB01173"
"62","5-methyluridine (ribothymidine)","Nucleotide","Pyrimidine metabolism, uracil containing","35136","LC/MS Neg","1774","257.10000000000002","1463-10-1","445408",NA,"HMDB00884"
"63","5-oxoETE","Lipid","Eicosanoid","38400","LC/MS Neg","5373","317.3","106154-18-1","1831","C14732","HMDB10217"
"64","5-oxoproline","Amino acid","Glutathione metabolism","1494","LC/MS Neg","744","128.19999999999999","98-79-3","7405","C01879","HMDB00267"
"65","6-keto prostaglandin F1alpha","Lipid","Eicosanoid","20476","LC/MS Neg","4180","369.3","58961-34-8","5280888","C05961","HMDB02886"
"66","6-keto prostaglandin F1alpha","Lipid","Eicosanoid","20476","LC/MS Neg","4180","369.3","58962-34-8","5280888","C05961","HMDB02886"
"67","6-phosphogluconate","Carbohydrate","Nucleotide sugars, pentose metabolism","15442","LC/MS Neg","588","275.10000000000002","921-62-0","91493","C00345","HMDB01316"
"68","6-phosphogluconate","Carbohydrate","Nucleotide sugars, pentose metabolism","15442","LC/MS Neg","588","275.10000000000002","53411-70-4","91493","C00345","HMDB01316"
"69","7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)","Lipid","Sterol/Steroid","36776","LC/MS Neg","5268","429.4","115538-85-7","3081085","C17337","HMDB12458"
"70","7-alpha-hydroxycholesterol","Lipid","Sterol/Steroid","35692","GC/MS","2300","456.2","566-27-8","107722","C03594","HMDB01496"
"71","7-beta-hydroxycholesterol","Lipid","Sterol/Steroid","35092","GC/MS","2340","456.4","566-27-8","473141","C03594","HMDB06119"
"72","acetylcarnitine","Lipid","Carnitine metabolism","32198","LC/MS Pos","1203","204.2","5080-50-2","7045767","C02571","HMDB00201"
"73","Ac-Ser-Asp-Lys-Pro-OH","Peptide","Polypeptide","40707","LC/MS Pos","1767","488.2","127103-11-1","4409396",NA,NA
"74","adenine","Nucleotide","Purine metabolism, adenine containing","554","GC/MS","1804.2","264","73-24-5","190","C00147","HMDB00034"
"75","adenosine","Nucleotide","Purine metabolism, adenine containing","555","LC/MS Pos","1650","268.10000000000002","58-61-7","60961","C00212","HMDB00050"
"76","adenosine 3'-monophosphate (3'-AMP)","Nucleotide","Purine metabolism, adenine containing","35142","LC/MS Pos","1451","348.1","84-21-9","41211","C01367","HMDB03540"
"77","adenosine 5'-monophosphate (AMP)","Nucleotide","Purine metabolism, adenine containing","32342","LC/MS Pos","1210","348.1","149022-20-8","15938965","C00020","HMDB00045"
"78","adenylosuccinate","Nucleotide","Purine metabolism, adenine containing","18360","LC/MS Neg","569","462.1","19046-78-7","195","C03794","HMDB00536"
"79","adipate","Lipid","Fatty acid, dicarboxylate","21134","GC/MS","1520","110.9","124-04-9","196","C06104","HMDB00448"
"80","adrenate (22:4n6)","Lipid","Long chain fatty acid","32980","LC/MS Neg","5684","331.3","2091-25-0","5282844","C16527","HMDB02226"
"81","agmatine","Amino acid","Polyamine metabolism","15496","GC/MS","1526","174","2482-00-0","199","C00179","HMDB01432"
"82","alanylphenylalanine","Peptide","Dipeptide","38679","LC/MS Pos","2422","237.2","3061-90-3","96814",NA,NA
"83","alpha-glutamylglutamate","Peptide","Dipeptide","22166","LC/MS Pos","857","277.10000000000002","3929-61-1","439500","C01425",NA
"84","alpha-glutamyltryptophan","Peptide","Dipeptide","40664","LC/MS Pos","2660","334.1","38101-59-6","100094",NA,NA
"85","alpha-hydroxyisovalerate","Amino acid","Valine, leucine and isoleucine metabolism","33937","LC/MS Neg","1142","117.1","600-37-3","99823",NA,"HMDB00407"
"86","alpha-tocopherol","Cofactors and vitamins","Tocopherol metabolism","1561","GC/MS","2305.4","502.5","59-02-9","14985","C02477","HMDB01893"
"87","alpha-tocopherol","Cofactors and vitamins","Tocopherol metabolism","1561","GC/MS","2305.4","502.5","10191-41-0","14985","C02477","HMDB01893"
"88","arabitol","Carbohydrate","Nucleotide sugars, pentose metabolism","38075","GC/MS","1687.5","307.10000000000002","488-82-4","94154","C00474","HMDB01851"
"89","arabonate","Cofactors and vitamins","Ascorbate and aldarate metabolism","37516","GC/MS","1736","292.10000000000002","7643-75-7","122045",NA,"HMDB00539"
"90","arachidate (20:0)","Lipid","Long chain fatty acid","1118","GC/MS","2071.1999999999998","369.3","506-30-9","10467","C06425","HMDB02212"
"91","arachidonate (20:4n6)","Lipid","Long chain fatty acid","1110","LC/MS Neg","5525","303.39999999999998","506-32-1","444899","C00219","HMDB01043"
"92","argininosuccinate","Amino acid","Urea cycle; arginine-, proline-, metabolism","15497","GC/MS","2157","446.3","156637-58-0","828","C03406","HMDB00052"
"93","arginylleucine","Peptide","Dipeptide","39995","LC/MS Pos","1620","288.3","1188-24-5","6992563",NA,NA
"94","arginylphenylalanine","Peptide","Dipeptide","41485","LC/MS Pos","1795","322.2","2047-13-4","150964",NA,NA
"95","arginylvaline","Peptide","Dipeptide","41395","LC/MS Pos","944.9","274.2","2896-20-0","6992654",NA,NA
"96","aspartate","Amino acid","Alanine and aspartate metabolism","15996","GC/MS","1529.7","232","56-84-8","5960","C00049","HMDB00191"
"97","aspartate-glutamate","Peptide","Dipeptide","37461","LC/MS Pos","819","263.2","6157-06-8","4130574",NA,NA
"98","aspartylleucine","Peptide","Dipeptide","40068","LC/MS Pos","2310","247.2","3062-14-4","332962",NA,NA
"99","aspartylphenylalanine","Peptide","Dipeptide","22175","LC/MS Pos","2538","281.10000000000002","13433-09-5","93078",NA,"HMDB00706"
"100","aspartyltryptophan","Peptide","Dipeptide","41481","LC/MS Pos","2717","320.2","71835-79-5","9948926",NA,NA
"101","aspartylvaline","Peptide","Dipeptide","41373","LC/MS Neg","749.4","231.1","13433-04-0","4991131",NA,NA
"102","atenolol","Xenobiotics","Drug","38658","LC/MS Pos","1988","267.2","29122-68-7","2249","D00235","HMDB01924"
"103","azelate (nonanedioate)","Lipid","Fatty acid, dicarboxylate","18362","LC/MS Neg","1322","187.2","123-99-9","2266","C08261","HMDB00784"
"104","benzoate","Xenobiotics","Benzoate metabolism","15778","GC/MS","1291.5","179","65-85-0","243","C00180","HMDB01870"
"105","beta-hydroxypyruvate","Amino acid","Glycine, serine and threonine metabolism","15686","GC/MS","1425.1","221","3369-79-7","964","C00168","HMDB01352"
"106","betaine","Amino acid","Glycine, serine and threonine metabolism","34426","LC/MS Neg","725","178.1","107-43-7","247",NA,"HMDB00043"
"107","bilirubin (Z,Z)","Cofactors and vitamins","Hemoglobin and porphyrin metabolism","27716","LC/MS Neg","4812","583.20000000000005","635-65-4","5280352","C00486","HMDB00054"
"108","butyrylcarnitine","Lipid","Fatty acid metabolism (also BCAA metabolism)","32412","LC/MS Pos","2007","232.2","25576-40-3","213144",NA,NA
"109","caprate (10:0)","Lipid","Medium chain fatty acid","1642","LC/MS Neg","5092","171.2","112-37-8","2969","C01571","HMDB00511"
"110","caproate (6:0)","Lipid","Medium chain fatty acid","32489","LC/MS Neg","2766","115.2","142-62-1","8892","C01585","HMDB00535"
"111","caprylate (8:0)","Lipid","Medium chain fatty acid","32492","LC/MS Neg","4367","143.19999999999999","124-07-2","379","C06423","HMDB00482"
"112","carnitine","Lipid","Carnitine metabolism","15500","LC/MS Pos","702","162.19999999999999","461-05-2","10917",NA,NA
"113","celecoxib","Xenobiotics","Drug","38599","LC/MS Neg","5257.9","380.2","169590-42-5","2662","D00567,C07589","HMDB05014"
"114","cholesterol","Lipid","Sterol/Steroid","63","GC/MS","2316.9","329.3","57-88-5","5997; 5314029","C00187","HMDB00067"
"115","choline","Lipid","Glycerolipid metabolism","15506","LC/MS Pos","674","104.2","67-48-1","6209",NA,NA
"116","choline phosphate","Lipid","Glycerolipid metabolism","34396","LC/MS Pos","695","184.1","72556-74-2","135437",NA,NA
"117","cis-aconitate","Energy","Krebs cycle","12025","LC/MS Neg","603","173.1","585-84-2","643757","C00417","HMDB00072"
"118","cis-vaccenate (18:1n7)","Lipid","Long chain fatty acid","33970","GC/MS","1987","339.3","693-72-1","5282761","C08367",NA
"119","citalopram","Xenobiotics","Drug","38651","LC/MS Pos","3771.8","325.2","21986-53-7","2771","C07572","HMDB05038"
"120","citramalate","Amino acid","Valine, leucine and isoleucine metabolism","22158","GC/MS","1490.7","247","6236-10-8","1081","C00815","HMDB00426"
"121","citrate","Energy","Krebs cycle","1564","GC/MS","1763.4","273.10000000000002","77-92-9","311","C00158","HMDB00094"
"122","citrulline","Amino acid","Urea cycle; arginine-, proline-, metabolism","2132","LC/MS Pos","715","176.1","372-75-8","833","C00327","HMDB00904"
"123","creatine","Amino acid","Creatine metabolism","27718","LC/MS Pos","758","132.1","57-00-1","586","C00300","HMDB00064"
"124","creatinine","Amino acid","Creatine metabolism","513","LC/MS Pos","730","114.1","60-27-5","588","C00791","HMDB00562"
"125","cysteine-glutathione disulfide","Amino acid","Glutathione metabolism","35159","LC/MS Pos","821","427.1","13081-14-6","53477713; 65359; 11215652; 11767258",NA,"HMDB00656"
"126","cysteinylglycine","Peptide","Dipeptide","35637","LC/MS Neg","881","177","19246-18-5","439498","C01419","HMDB00078"
"127","cystine","Amino acid","Cysteine, methionine, SAM, taurine metabolism","39512","GC/MS","2015.3","145.9","56-89-3","595","C00491","HMDB00192"
"128","cytidine","Nucleotide","Pyrimidine metabolism, cytidine containing","514","LC/MS Pos","1065","244","65-46-3","6175","C00475","HMDB00089"
"129","cytidine 5'-monophosphate (5'-CMP)","Nucleotide","Pyrimidine metabolism, cytidine containing","2372","LC/MS Pos","887","324","63-37-6","7058165","C00055","HMDB00095"
"130","cytidine-3'-monophosphate (3'-CMP)","Nucleotide","Pyrimidine metabolism, cytidine containing","2959","LC/MS Pos","1181","323.89999999999998","84-52-6","66535","C05822",NA
"131","cytosine-2',3'-cyclic monophosphate","Nucleotide","Pyrimidine metabolism, cytidine containing","37465","LC/MS Pos","912","306.2","15718-51-1","417654","C02354","HMDB11691"
"132","deoxycarnitine","Lipid","Carnitine metabolism","36747","LC/MS Pos","759","146.1","6249-56-5","725","C01181","HMDB01161"
"133","dihomo-linoleate (20:2n6)","Lipid","Long chain fatty acid","17805","LC/MS Neg","5722","307.3","2091-39-6","6439848","C16525",NA
"134","dihydrocholesterol","Lipid","Sterol/Steroid","21131","GC/MS","2320.8000000000002","215.2","80-97-7","6665",NA,"HMDB00908"
"135","docosadienoate (22:2n6)","Lipid","Long chain fatty acid","32415","LC/MS Neg","6017","335.4","7370-49-2","5282807","C16533",NA
"136","docosahexaenoate (DHA; 22:6n3)","Lipid","Essential fatty acid","19323","LC/MS Neg","5518","327.3","6217-54-5","445580","C06429","HMDB02183"
"137","docosapentaenoate (n6 DPA; 22:5n6)","Lipid","Essential fatty acid","37478","LC/MS Neg","5625","329.4","25182-74-5","6441454","C06429","HMDB13123"
"138","docosatrienoate (22:3n3)","Lipid","Long chain fatty acid","32417","LC/MS Neg","5825","333.4","59708-86-0","5312556","C16534","HMDB02823"
"139","dodecanedioate","Lipid","Fatty acid, dicarboxylate","32388","LC/MS Neg","2990","229.2","693-23-2","12736","C02678","HMDB00623"
"140","eicosapentaenoate (EPA; 20:5n3)","Lipid","Essential fatty acid","18467","LC/MS Neg","5442","301.3","10-2005-9","446284","C06428","HMDB01999"
"141","eicosapentaenoate (EPA; 20:5n3)","Lipid","Essential fatty acid","18467","LC/MS Neg","5442","301.3","10417-94-4","446284","C06428","HMDB01999"
"142","epinephrine","Amino acid","Phenylalanine & tyrosine metabolism","1578","LC/MS Pos","891","184","51-43-4","5816","D00095,C00788,D02149","HMDB00068"
"143","ergothioneine","Xenobiotics","Food component/Plant","37459","LC/MS Pos","847","230.2","58511-63-0","5351619","C05570","HMDB03045"
"144","erucate (22:1n9)","Lipid","Long chain fatty acid","1552","GC/MS","2134","395.4","112-86-7","8216","C08316","HMDB02068"
"145","erythronate*","Carbohydrate","Aminosugars metabolism","33477","GC/MS","1546.9","292.10000000000002","88759-55-1","2781043",NA,"HMDB00613"
"146","flavin adenine dinucleotide (FAD)","Cofactors and vitamins","Riboflavin metabolism","2134","LC/MS Neg","2413","784.1","146-14-5","643975","C00016","HMDB01248"
"147","flavin adenine dinucleotide (FAD)","Cofactors and vitamins","Riboflavin metabolism","2134","LC/MS Neg","2413","784.1","84366-81-4","643975","C00016","HMDB01248"
"148","fructose","Carbohydrate","Fructose, mannose, galactose, starch, and sucrose metabolism","577","GC/MS","1758","217","57-48-7","439709","C00095","HMDB00660"
"149","fructose 1-phosphate","Carbohydrate","Glycolysis, gluconeogenesis, pyruvate metabolism","15907","GC/MS","1996.5","445.2","53823-70-4","65246","C01094","HMDB01076"
"150","fucose","Carbohydrate","Aminosugars metabolism","15821","GC/MS","1682.2","204","2438-80-4","439554; 17106",NA,"HMDB00174"
"151","galactose","Carbohydrate","Fructose, mannose, galactose, starch, and sucrose metabolism","12055","GC/MS","1793.8","203.9","59-23-4","3037556","C01582","HMDB00143"
"152","gamma-glutamylcysteine","Peptide","gamma-glutamyl","1778","LC/MS Pos","1274","251.1","636-58-8","842","C00669","HMDB01049"
"153","gamma-glutamylglutamate","Peptide","gamma-glutamyl","36738","LC/MS Pos","1036","277.10000000000002","1116-22-9","92865",NA,NA
"154","gamma-glutamylglutamine","Peptide","gamma-glutamyl","2730","LC/MS Pos","806","276.10000000000002","10148-81-9","150914",NA,"HMDB11738"
"155","gamma-glutamylleucine","Peptide","gamma-glutamyl","18369","LC/MS Pos","2744","261.2","2566-39-4","151023",NA,"HMDB11171"
"156","gamma-glutamylphenylalanine","Peptide","gamma-glutamyl","33422","LC/MS Pos","2846","295.10000000000002","7432-24-8","111299",NA,"HMDB00594"
"157","gamma-tocopherol","Cofactors and vitamins","Tocopherol metabolism","33420","GC/MS","2264","488.4","54-28-4","92729","C02483","HMDB01492"
"158","glucarate (saccharate)","Cofactors and vitamins","Ascorbate and aldarate metabolism","1476","GC/MS","1885.8","333.1","5793-88-4","33037","C00818","HMDB00663"
"159","gluconate","Carbohydrate","Nucleotide sugars, pentose metabolism","587","GC/MS","1879.4","333","527-07-1","10690","C00257","HMDB00625"
"160","glucose","Carbohydrate","Glycolysis, gluconeogenesis, pyruvate metabolism","20488","GC/MS","1866.8","217.1","50-99-7","79025","C00031","HMDB00122"
"161","glucose 1-phosphate","Carbohydrate","Glycolysis, gluconeogenesis, pyruvate metabolism","15561","GC/MS","2017","299.10000000000002","56401-20-8","65533","C00103","HMDB01586"
"162","glucuronate","Carbohydrate","Glycolysis, gluconeogenesis, pyruvate metabolism","15443","GC/MS","1886.5","217","207300-70-7","444791","C00191","HMDB00127"
"163","glutamate","Amino acid","Glutamate metabolism","57","LC/MS Pos","700","148.1","56-86-0","611","C00025","HMDB03339"
"164","glutamate, gamma-methyl ester","Amino acid","Glutamate metabolism","33487","LC/MS Pos","1062","162.1","1499-55-4","68662",NA,NA
"165","glutamine","Amino acid","Glutamate metabolism","53","LC/MS Pos","684","147.19999999999999","56-85-9","5961","C00064","HMDB00641"
"166","glutarate (pentanedioate)","Amino acid","Lysine metabolism","396","GC/MS","1433.6","261","110-94-1","743","C00489","HMDB00661"
"167","glutathione, reduced (GSH)","Amino acid","Glutathione metabolism","2127","LC/MS Pos","1274","308.10000000000002","70-18-8","124886","C00051","HMDB00125"
"168","glycerate","Carbohydrate","Glycolysis, gluconeogenesis, pyruvate metabolism","1572","GC/MS","1360.7","189","600-19-1","439194; 5460358","C00258","HMDB00139"
"169","glycerol","Lipid","Glycerolipid metabolism","15122","GC/MS","1311","205","56-81-5","753","C00116","HMDB00131"
"170","glycerol 2-phosphate","Xenobiotics","Chemical","27728","GC/MS","1691.8","243","819-83-0","2526","C02979","HMDB02520"
"171","glycerol 3-phosphate (G3P)","Lipid","Glycerolipid metabolism","15365","GC/MS","1719.7","357.1","29849-82-9","754","C00093","HMDB00126"
"172","glycerophosphoethanolamine","Lipid","Glycerolipid metabolism","37455","GC/MS","1906","357.1","33049-08-0","123874","C01233","HMDB00114"
"173","glycerophosphorylcholine (GPC)","Lipid","Glycerolipid metabolism","15990","LC/MS Pos","694","258.10000000000002","28319-77-9","657272","C00670","HMDB00086"
"174","glycyllysine","Peptide","Dipeptide","41529","GC/MS","2088.3000000000002","174.1","31461-63-9","306144",NA,NA
"175","glycylmethionine","Peptide","Dipeptide","42012","LC/MS Pos","1593","207.1","554-94-9","96757",NA,NA
"176","glycylthreonine","Peptide","Dipeptide","42050","GC/MS","1911.1","174.1","7093-70-1","351980",NA,NA
"177","guanine","Nucleotide","Purine metabolism, guanine containing","418","GC/MS","1942.3","352.1","73-40-5","764","C00242","HMDB00132"
"178","guanosine","Nucleotide","Purine metabolism, guanine containing","1573","LC/MS Neg","1675","282.10000000000002","118-00-3","6802","C00387","HMDB00133"
"179","guanosine 5'- monophosphate (5'-GMP)","Nucleotide","Purine metabolism, guanine containing","2849","LC/MS Pos","1300","364","5550-12-9","135414246",NA,NA
"180","gulono-1,4-lactone","Cofactors and vitamins","Ascorbate and aldarate metabolism","33454","GC/MS","1862","333.1","1128-23-0","608","C01040","HMDB03466"
"181","hexanoylcarnitine","Lipid","Carnitine metabolism","32328","LC/MS Pos","3174","260.2","6920-35-0","6426853","C01585","HMDB00705"
"182","hippurate","Xenobiotics","Benzoate metabolism","15753","LC/MS Neg","2136","178.1","495-69-2","464","C01586","HMDB00714"
"183","histamine","Amino acid","Histidine metabolism","1574","GC/MS","1808","174.1","51-45-6","774","C00388","HMDB00870"
"184","histidylphenylalanine","Peptide","Dipeptide","42084","LC/MS Pos","1730","303.2","16874-81-0","152198",NA,NA
"185","histidyltryptophan","Peptide","Dipeptide","41912","LC/MS Pos","1961","342.2","23403-90-9","6539217",NA,NA
"186","histidyltyrosine","Peptide","Dipeptide","41899","LC/MS Pos","1253","319.2","35979-00-1","515713",NA,NA
"187","homocysteine","Amino acid","Cysteine, methionine, SAM, taurine metabolism","40266","GC/MS","1648.2","234","454-29-5","778","C00155","HMDB00742"
"188","homostachydrine*","Xenobiotics","Food component/Plant","33009","LC/MS Pos","1199","158.19999999999999","1195-94-4","441447","C08283",NA
"189","hydantoin-5-propionic acid","Amino acid","Histidine metabolism","40473","LC/MS Neg","762","171.3","5624-26-0","782","C05565","HMDB01212"
