"";"Metabolite";"CAS";"SUPER_PATHWAY";"SUB_PATHWAY";"COMP_ID";"PUBCHEM";"KEGG";"HMDB";"CHEBI";"PLATFORM";"RI";"MASS";"manual_correction";"correction_tbl"
"23";"Isobar: fructose 1,6-diphosphate, glucose 1,6-diphosphate, myo-inositol 1,4 or 1,3-diphosphate";NA;"Carbohydrate";"Glycolysis, gluconeogenesis, pyruvate metabolism";"36984";NA;NA;NA;NA;"LC/MS Neg";"572";"339";FALSE;NA
"24";"1-linoleoylglycerophosphocholine";NA;"Lipid";"Lysolipid";"34419";"5280646";"C04100";NA;NA;"LC/MS Pos";"5574";"520.4";TRUE;"completely_incompatible_manual_no_cas"
"25";"Isobar: ribulose 5-phosphate, xylulose 5-phosphate";NA;"Carbohydrate";"Nucleotide sugars, pentose metabolism";"37288";NA;NA;NA;NA;"GC/MS";"1935";"357.2";FALSE;NA
"26";"L-urobilin";"34217-90-8";"Cofactors and vitamins";"Hemoglobin and porphyrin metabolism";"40173";"440785, 6433298";"C05793, C05794";"HMDB0004160, HMDB0004159, HMDB0004161";"36378";"LC/MS Pos";"4091";"595.4";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"27";"N-6-trimethyllysine";"23284-33-5";"Amino acid";"Lysine metabolism";"1498";"159659, 440120, 440121";"C03793";"HMDB0001325, HMDB0304556";"17311, 58100";"LC/MS Pos";"650";"189.2";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"28";"N-acetyl-aspartyl-glutamate (NAAG)";"3106-85-2";"Amino acid";"Glutamate metabolism";"35665";"188803, 5255, 6992083";"C12270";"HMDB0001067, HMDB0255414";"73688, 95120, 76931";"LC/MS Pos";"1563";"305";FALSE;NA
"29";"N-acetylalanine";"97-69-8";"Amino acid";"Alanine and aspartate metabolism";"1585";"88064";"C02847";"HMDB0000766";"40992";"LC/MS Neg";"882";"130.1";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"30";"N-acetylarginine";"155-84-0";"Amino acid";"Urea cycle, arginine-, proline-, metabolism";"33953";"67427";"C02562";"HMDB0004620";"40521";"LC/MS Neg";"1149";"215.2";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"31";"N-acetylasparagine";"4033-40-3";"Amino acid";"Alanine and aspartate metabolism";"33942";"99715";NA;"HMDB0006028";NA;"LC/MS Pos";"974";"175.1";FALSE;NA
"32";"N-acetylaspartate (NAA)";"997-55-7, 997-55-7";"Amino acid";"Alanine and aspartate metabolism";"22185";"65065, 2042020";"C01042";"HMDB0000812";"21547, 16953";"LC/MS Pos";"1222";"176.1";FALSE;NA
"33";"N-acetylglucosamine";"7512-17-6";"Carbohydrate";"Aminosugars metabolism";"15095";"24139, 439174";"C00140, C03878";"HMDB0000215, HMDB0000533, HMDB0014288, HMDB0000803";"28009, 506227";"GC/MS";"1903.3";"245";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"34";"N-acetylglucosamine 6-phosphate";"102029-88-9";"Carbohydrate";"Aminosugars metabolism";"15107";"440996, 25243963, 439219";"C00357";"HMDB0001062, HMDB0002817";"15784, 57513";"LC/MS Neg";"628";"300.10000000000002";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"35";"1-linoleoylglycerophosphoethanolamine*";NA;"Lipid";"Lysolipid";"32635";"52925130";NA;"HMDB0011507";"83058, 133732";"LC/MS Neg";"5725";"476.3";FALSE;NA
"36";"N-acetylglutamine";"2490-97-3";"Amino acid";"Glutamate metabolism";"33943";"182230";"C02716";"HMDB0006029";"21553, 143879";"LC/MS Pos";"1204";"189.1";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"37";"N-acetylglycine";"543-24-8";"Amino acid";"Glycine, serine and threonine metabolism";"27710";"10972";NA;"HMDB0000532";"40410";"GC/MS";"1396.4";"143.9";FALSE;NA
"38";"N-acetylisoleucine";NA;"Amino acid";"Valine, leucine and isoleucine metabolism";"33967";"7036275";NA;"HMDB0061684";"21555";"LC/MS Pos";"3370";"174.1";FALSE;NA
"39";"N-acetylleucine";"1188-21-2";"Amino acid";"Valine, leucine and isoleucine metabolism";"1587";"70912";"C02710";"HMDB0011756";"17786, 58270";"LC/MS Pos";"3444";"174.1";FALSE;NA
"40";"N-acetylmethionine";"65-82-7";"Amino acid";"Cysteine, methionine, SAM, taurine metabolism";"1589";"448580";"C02712";"HMDB0011745";"21557, 71670";"LC/MS Pos";"2588";"192.1";FALSE;NA
"41";"N-acetylneuraminate";"131-48-6";"Carbohydrate";"Aminosugars metabolism";"32377";"445063";"C00270, C19910";"HMDB0000230, HMDB0000800";"45744, 58705";"LC/MS Neg";"695";"308.1";TRUE;"completely_incompatible_manual_with_cas"
"42";"N-acetylornithine";"6205-08-9";"Amino acid";"Urea cycle, arginine-, proline-, metabolism";"15630";"439232, 193343";"C00437";"HMDB0003357, HMDB0006489";"16543, 181895, 57805, 44673, 86496";"LC/MS Pos";"875";"175.2";FALSE;NA
"43";"N-acetylphenylalanine";"2018-61-3";"Amino acid";"Phenylalanine & tyrosine metabolism";"33950";"74839";"C03519";"HMDB0000512";"16259, 57702";"LC/MS Neg";"2590";"206.2";FALSE;NA
"44";"N-acetylserine";"97-14-3";"Amino acid";"Glycine, serine and threonine metabolism";"37076";"65249";NA;"HMDB0002931";"45441";"GC/MS";"1526";"218";FALSE;NA
"45";"N-acetylthreonine";NA;"Amino acid";"Glycine, serine and threonine metabolism";"33939";"152204";NA;"HMDB0062557";"45826";"LC/MS Neg";"846";"160.1";TRUE;"completely_incompatible_manual_no_cas"
"46";"1-methylimidazoleacetate";"2625-49-2";"Amino acid";"Histidine metabolism";"32350";"75810";"C05828";"HMDB0002820";"1606";"LC/MS Pos";"845";"141.1";FALSE;NA
"47";"N-acetyltryptophan";"1218-34-4";"Amino acid";"Tryptophan metabolism";"33959";"700653";"C03137";"HMDB0013713";"74640, 143877";"LC/MS Neg";"2650";"245.2";TRUE;"completely_incompatible_manual_with_cas"
"48";"N-acetyltyrosine";"537-55-3";"Amino acid";"Phenylalanine & tyrosine metabolism";"32390";"68310";NA;"HMDB0000866";"21563";"LC/MS Neg";"1677";"222.2";FALSE;NA
"49";"N-acetylvaline";"96-81-1";"Amino acid";"Valine, leucine and isoleucine metabolism";"1591";"66789";NA;"HMDB0011757";"21565";"LC/MS Pos";"2654";"160.1";FALSE;NA
"50";"N-methylglutamate";"35989-16-3";"Amino acid";"Glutamate metabolism";"31532";"439377";"C01046";"HMDB0062660";"16440, 29083";"GC/MS";"1665";"260.2";FALSE;NA
"51";"N1-Methyl-2-pyridone-5-carboxamide";"701-44-0";"Cofactors and vitamins";"Nicotinate and nicotinamide metabolism";"40469";"69698";"C05842";"HMDB0004193";"27410";"LC/MS Pos";"1707.3";"153.19999999999999";FALSE;NA
"52";"N1-methyladenosine";"15763-06-1";"Nucleotide";"Purine metabolism, adenine containing";"15650";"27476";"C02494";"HMDB0003331";"16020";"LC/MS Pos";"1356";"282.10000000000002";FALSE;NA
"53";"N1-methylguanosine";"2140-65-0";"Nucleotide";"Purine metabolism, guanine containing";"31609";"96373";"C04545";"HMDB0001563";"19062";"LC/MS Pos";"1850";"298.10000000000002";FALSE;NA
"54";"N2,N2-dimethylguanosine";"2140-67-2";"Nucleotide";"Purine metabolism, guanine containing";"35137";"92919, 135501639";NA;"HMDB0004824";"19289";"LC/MS Pos";"2157";"312.10000000000002";FALSE;NA
"55";"N2-acetyllysine";"1946-82-3";"Amino acid";"Lysine metabolism";"36751";"92907";"C12989";"HMDB0000446";"35704, 61512";"LC/MS Pos";"853";"189.1";FALSE;NA
"56";"N2-methylguanosine";"2140-77-4";"Nucleotide";"Purine metabolism, guanine containing";"35133";"3035422";NA;"HMDB0005862";"19702";"LC/MS Pos";"1950";"298.10000000000002";FALSE;NA
"57";"1-myristoylglycerophosphocholine";"20559-16-4";"Lipid";"Lysolipid";"35626";"460604";NA;"HMDB0010379";"64489";"LC/MS Pos";"5481";"468.3";FALSE;NA
"58";"N6-acetyllysine";"692-04-6";"Amino acid";"Lysine metabolism";"36752";"92832";"C02727";"HMDB0000206";"17752, 58260";"LC/MS Pos";"1134";"189.1";FALSE;NA
"59";"N6-carbamoylthreonyladenosine";"24719-82-2";"Nucleotide";"Purine metabolism, guanine containing";"35157";NA;NA;NA;NA;"LC/MS Pos";"2656";"413";FALSE;NA
"60";"S-adenosylhomocysteine (SAH)";"979-92-0";"Amino acid";"Cysteine, methionine, SAM, taurine metabolism";"15948";"439155";"C00021";"HMDB0000939";"16680, 57856, 181457";"LC/MS Neg";"1821";"383.1";FALSE;NA
"61";"S-adenosylmethionine (SAM)";"24346-00-7";"Amino acid";"Cysteine, methionine, SAM, taurine metabolism";"15915";NA;NA;NA;NA;"LC/MS Pos";"676";"399.1";FALSE;NA
"62";"S-methylcysteine";"1187-84-4";"Amino acid";"Cysteine, methionine, SAM, taurine metabolism";"40262";"24417";NA;"HMDB0002108, HMDB0302211";"45658, 133545";"GC/MS";"1447.8";"162.1";FALSE;NA
"63";"VGAHAGEYGAEALER*";NA;"Peptide";"Polypeptide";"35211";NA;NA;NA;NA;"LC/MS Pos";"2542";"765.8";FALSE;NA
"64";"acetylcarnitine";"5080-50-2";"Lipid";"Carnitine metabolism";"32198";"1, 7045767, 439756";"C02571";"HMDB0000201, HMDB0240773, HMDB0000456, HMDB0000515";"57589, 73024, 15960";"LC/MS Pos";"1203";"204.2";FALSE;NA
"65";"adenine";"73-24-5";"Nucleotide";"Purine metabolism, adenine containing";"554";"190";"C00147";"HMDB0000034";"16708";"GC/MS";"1804.2";"264";FALSE;NA
"66";"adenosine";"58-61-7";"Nucleotide";"Purine metabolism, adenine containing";"555";"60961";"C00212";"HMDB0000050, HMDB0004401, HMDB0004402, HMDB0004421";"16335";"LC/MS Pos";"1650";"268.10000000000002";FALSE;NA
"67";"adenosine 2'-monophosphate (2'-AMP)";"130-49-4";"Nucleotide";"Purine metabolism, adenine containing";"36815";"53481006";"C00946";"HMDB0011617";"28223, 77740";"LC/MS Pos";"1625";"348.1";FALSE;NA
"68";"1-myristoylglycerophosphoethanolamine";NA;"Lipid";"Lysolipid";"35627";"9547070";NA;"HMDB0011500";"84299";"LC/MS Pos";"5481";"426.1";FALSE;NA
"69";"adenosine 3'-monophosphate (3'-AMP)";"84-21-9";"Nucleotide";"Purine metabolism, adenine containing";"35142";"41211";"C01367";"HMDB0003540, HMDB0006550";"28931, 60880";"LC/MS Pos";"1451";"348.1";FALSE;NA
"70";"adenosine 5'-monophosphate (AMP)";"149022-20-8";"Nucleotide";"Purine metabolism, adenine containing";"32342";"6083, 15938965";"C00020";"HMDB0000045";"16027, 456215";"LC/MS Pos";"1210";"348.1";FALSE;NA
"71";"adenylosuccinate";"19046-78-7";"Nucleotide";"Purine metabolism, adenine containing";"18360";"195, 447145, 440122, 46878398, 74413789";"C03794";"HMDB0000536, HMDB0001332, HMDB0011633, HMDB0059653, HMDB0248010, HMDB0304257";"15919, 57567";"LC/MS Neg";"569";"462.1";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"72";"adipate";"124-04-9";"Lipid";"Fatty acid, dicarboxylate";"21134";"196";"C06104";"HMDB0000448, HMDB0004862";"30832, 17128";"GC/MS";"1520";"110.9";FALSE;NA
"73";"adrenate (22:4n6)";"2091-25-0";"Lipid";"Long chain fatty acid";"32980";"5282844, 5497181";"C16527";"HMDB0002226, HMDB0062580";"53487, 77225";"LC/MS Neg";"5684";"331.3";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"74";"agmatine";"2482-00-0";"Amino acid";"Polyamine metabolism";"15496";"199";"C00179";"HMDB0001432, HMDB0060259";"17431, 58145";"GC/MS";"1526";"174";FALSE;NA
"75";"alanine";"56-41-7";"Amino acid";"Alanine and aspartate metabolism";"1126";"71080, 602, 5950";"C00041";"HMDB0000161, HMDB0001310";"16977, 57972, 15570, 16449, 76050";"GC/MS";"1147.5999999999999";"115.9";FALSE;NA
"76";"alanylalanine";"1948-31-8";"Peptide";"Dipeptide";"15129";"5460362";"C00993";"HMDB0003459";"16576, 57822";"LC/MS Pos";"757";"161.1";FALSE;NA
"77";"alanylglutamate";NA;"Peptide";"Dipeptide";"37064";"656476";NA;NA;NA;"LC/MS Pos";"766";"219";FALSE;NA
"78";"alanylglycine";NA;"Peptide";"Dipeptide";"37075";"6998028";NA;"HMDB0006899, HMDB0028687";"73757, 73786";"GC/MS";"1412";"272.10000000000002";FALSE;NA
"79";"1-oleoylglycerol (1-monoolein)";"111-03-5";"Lipid";"Monoacylglycerol";"21184";"12178130, 5283468";NA;"HMDB0011567, HMDB0062009, HMDB0094684";"75757, 75342";"GC/MS";"2181.1999999999998";"397.4";FALSE;NA
"80";"alanylisoleucine";NA;"Peptide";"Dipeptide";"37118";"7408079";NA;NA;NA;"LC/MS Pos";"2011";"203.1";FALSE;NA
"81";"alanylleucine";NA;"Peptide";"Dipeptide";"37093";"259583";NA;NA;NA;"LC/MS Pos";"2150";"203";FALSE;NA
"82";"alanylmethionine";NA;"Peptide";"Dipeptide";"37065";"5242543, 98509";NA;NA;NA;"LC/MS Pos";"1596";"221";TRUE;"completely_incompatible_manual_no_cas"
"83";"alanylphenylalanine";"3061-90-3";"Peptide";"Dipeptide";"38679";"96814";NA;"HMDB0028694";"73807";"LC/MS Pos";"2422";"237.2";FALSE;NA
"84";"alanylthreonine";NA;"Peptide";"Dipeptide";"37085";"426318";NA;NA;NA;"LC/MS Pos";"708";"191";FALSE;NA
"85";"alanyltryptophan";"16305-75-2";"Peptide";"Dipeptide";"42073";"85362";NA;"HMDB0013209, HMDB0028698";"73808";"LC/MS Pos";"2630";"276.2";FALSE;NA
"86";"alanyltyrosine";NA;"Peptide";"Dipeptide";"37098";"572319";NA;"HMDB0304776";NA;"LC/MS Pos";"1713";"253";FALSE;NA
"87";"alanylvaline";NA;"Peptide";"Dipeptide";"37084";"137276";NA;NA;NA;"LC/MS Pos";"1513";"189";FALSE;NA
"88";"allo-threonine";"28954-12-3";"Amino acid";"Glycine, serine and threonine metabolism";"15142";"6288, 99289, 205";"C05519";"HMDB0000167, HMDB0004041";"28718, 58585, 16857, 26986, 38262, 38263";"GC/MS";"1417.8";"219";FALSE;NA
"89";"alpha-glutamylglutamate";"3929-61-1";"Peptide";"Dipeptide";"22166";"439500";"C01425";"HMDB0028818";"5390";"LC/MS Pos";"857";"277.10000000000002";FALSE;NA
"90";"1-oleoylglycerophosphocholine";"19420-56-5";"Lipid";"Lysolipid";"33960";"16081932";NA;"HMDB0002815";"28610";"LC/MS Pos";"5700";"522.4";FALSE;NA
"91";"alpha-glutamyltryptophan";"38101-59-6";"Peptide";"Dipeptide";"40664";"100094";NA;"HMDB0028830, HMDB0094678";"73512";"LC/MS Pos";"2660";"334.1";FALSE;NA
"92";"alpha-glutamyltyrosine";NA;"Peptide";"Dipeptide";"40033";"351830";NA;NA;NA;"LC/MS Pos";"1810";"311.10000000000002";FALSE;NA
"93";"alpha-hydroxyisovalerate";"600-37-3";"Amino acid";"Valine, leucine and isoleucine metabolism";"33937";"99823, 853180, 21933914";NA;"HMDB0000407, HMDB0062584";"60645, 60631, 64669";"LC/MS Neg";"1142";"117.1";FALSE;NA
"94";"alpha-tocopherol";"59-02-9, 10191-41-0";"Cofactors and vitamins";"Tocopherol metabolism";"1561";"14985";"C02477";"HMDB0001893";"18145";"GC/MS";"2305.4";"502.5";FALSE;NA
"95";"androsterone sulfate";"2479-86-9";"Lipid";"Sterol/Steroid";"31591";"12594, 159663";"C04555";"HMDB0001032, HMDB0002759";"16814, 83037, 57905";"LC/MS Neg";"5011";"369.2";TRUE;"completely_incompatible_manual_with_cas"
"96";"anserine";"10030-52-1";"Peptide";"Dipeptide derivative";"15747";"112072";"C01262";"HMDB0000194";"18323, 58445";"LC/MS Neg";"1126";"239.2";FALSE;NA
"97";"arabitol";"488-82-4";"Carbohydrate";"Nucleotide sugars, pentose metabolism";"38075";"439255, 94154";"C00474, C00532, C01904";"HMDB0001851, HMDB0000199, HMDB0000508, HMDB0000568";"15963, 18333, 18403";"GC/MS";"1687.5";"307.1";TRUE;"completely_incompatible_manual_with_cas"
"98";"arabonate";"7643-75-7";"Cofactors and vitamins";"Ascorbate and aldarate metabolism";"37516";"122045";"C00878";"HMDB0000539";"20912, 16157";"GC/MS";"1736";"292.10000000000002";FALSE;NA
"99";"arachidate (20:0)";"506-30-9";"Lipid";"Long chain fatty acid";"1118";"10467";"C06425";"HMDB0002212";"28822, 32360";"GC/MS";"2071.1999999999998";"369.3";FALSE;NA
"100";"arachidonate (20:4n6)";"506-32-1";"Lipid";"Long chain fatty acid";"1110";"444899, 3246804";"C00219";"HMDB0001043, HMDB0060102";"15843, 32395";"LC/MS Neg";"5525";"303.39999999999998";FALSE;NA
"101";"1-oleoylglycerophosphoethanolamine";"89576-29-4";"Lipid";"Lysolipid";"35628";"9547071";NA;"HMDB0011506";"74971";"LC/MS Neg";"5928";"478.3";FALSE;NA
"102";"arginine";"1119-34-2";"Amino acid";"Urea cycle, arginine-, proline-, metabolism";"1638";"6322, 1549073, 71070, 232";"C00062";"HMDB0000517, HMDB0062762, HMDB0003416";"16467, 32682, 15816, 29016";"LC/MS Neg";"728";"173.2";FALSE;NA
"103";"argininosuccinate";"156637-58-0";"Amino acid";"Urea cycle, arginine-, proline-, metabolism";"15497";"16950, 439998, 46878376, 828";"C03406";"HMDB0000052, HMDB0001006, HMDB0248585";"15682, 184023, 57472";"GC/MS";"2157";"446.3";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"104";"arginylleucine";"1188-24-5";"Peptide";"Dipeptide";"39995";"6992563";NA;"HMDB0028713";"73815";"LC/MS Pos";"1620";"288.3";FALSE;NA
"105";"arginylmethionine";NA;"Peptide";"Dipeptide";"41458";"9815009";NA;NA;NA;"LC/MS Pos";"1151";"306.2";FALSE;NA
"106";"arginylphenylalanine";"2047-13-4";"Peptide";"Dipeptide";"41485";"150964";NA;"HMDB0028716";"73818, 189870";"LC/MS Pos";"1795";"322.2";FALSE;NA
"107";"arginyltyrosine";"74863-12-0";"Peptide";"Dipeptide";"41376";"7021456";NA;"HMDB0028721";"73822";"LC/MS Pos";"1376.6";"338.2";FALSE;NA
"108";"arginylvaline";"2896-20-0";"Peptide";"Dipeptide";"41395";"6992654";NA;"HMDB0028722";"73823";"LC/MS Pos";"944.9";"274.2";FALSE;NA
"109";"ascorbate (Vitamin C)";"134-03-2";"Cofactors and vitamins";"Ascorbate and aldarate metabolism";"1640";"54670067, 54679076";"C00072, C01041";"HMDB0000044, HMDB0014273, HMDB0029945";"29073, 38290";"GC/MS";"1850.1";"332.1";TRUE;"completely_incompatible_manual_with_cas"
"110";"asparagine";"70-47-3";"Amino acid";"Alanine and aspartate metabolism";"11398";"6267, 236, 439600";"C00152";"HMDB0000168, HMDB0033780";"17196, 58048, 22653, 28159";"GC/MS";"1651.2";"231";FALSE;NA
"111";"aspartate";"56-84-8";"Amino acid";"Alanine and aspartate metabolism";"15996";"5960, 15939608, 83887, 424, 4124657";"C00049";"HMDB0000191, HMDB0006483";"17053, 29991, 17364, 22660";"GC/MS";"1529.7";"232";FALSE;NA
"112";"1,3-dihydroxyacetone";"62147-49-3";"Carbohydrate";"Glycolysis, gluconeogenesis, pyruvate metabolism";"35963";"670";"C00184";"HMDB0001882";"16016";"GC/MS";"1263";"103";FALSE;NA
"113";"1-oleoylglycerophosphoinositol*";NA;"Lipid";"Lysolipid";"36602";NA;NA;NA;NA;"LC/MS Neg";"5577";"597.4";FALSE;NA
"114";"aspartate-glutamate";"6157-06-8";"Peptide";"Dipeptide";"37461";"4130574";NA;"HMDB0028752";NA;"LC/MS Pos";"819";"263.2";FALSE;NA
"115";"aspartylleucine";"3062-14-4";"Peptide";"Dipeptide";"40068";"332962";NA;"HMDB0028757";NA;"LC/MS Pos";"2310";"247.2";FALSE;NA
"116";"aspartylphenylalanine";"13433-09-5";"Peptide";"Dipeptide";"22175";"93078";NA;"HMDB0000706, HMDB0006113, HMDB0028760";"73830";"LC/MS Pos";"2538";"281.10000000000002";FALSE;NA
"117";"aspartyltryptophan";"71835-79-5";"Peptide";"Dipeptide";"41481";"9948926";NA;"HMDB0028764";NA;"LC/MS Pos";"2717";"320.2";FALSE;NA
"118";"aspartylvaline";"13433-04-0";"Peptide";"Dipeptide";"41373";"4991131";NA;"HMDB0028766";NA;"LC/MS Neg";"749.4";"231.1";FALSE;NA
"119";"atenolol";"29122-68-7";"Xenobiotics";"Drug";"38658";"2249";NA;"HMDB0001924";"2904";"LC/MS Pos";"1988";"267.2";FALSE;NA
"120";"azelate (nonanedioate)";"123-99-9";"Lipid";"Fatty acid, dicarboxylate";"18362";"2266";"C08261";"HMDB0000784";"48131, 78208";"LC/MS Neg";"1322";"187.2";FALSE;NA
"121";"benzoate";"65-85-0";"Xenobiotics";"Benzoate metabolism";"15778";"243, 242";"C00180, C00539";"HMDB0001870, HMDB0304270";"30746, 16150";"GC/MS";"1291.5";"179";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"122";"beta-alanine";"56-41-7, 107-95-9";"Amino acid";"Alanine and aspartate metabolism";"55";"239";"C00099";"HMDB0000056";"16958, 57966";"GC/MS";"1451.8";"174";FALSE;NA
"123";"beta-hydroxypyruvate";"3369-79-7";"Amino acid";"Glycine, serine and threonine metabolism";"15686";"964, 4186339";"C00168";"HMDB0001352";"30841, 17180";"GC/MS";"1425.1";"221";FALSE;NA
"124";"1-oleoylglycerophosphoserine";NA;"Lipid";"Lysolipid";"19260";"85036846, 9547099";NA;"HMDB0061694, HMDB0240603";"52649";"LC/MS Neg";"5690";"522.29999999999995";FALSE;NA
"125";"beta-tocopherol";NA;"Cofactors and vitamins";"Tocopherol metabolism";"35702";"6857447";"C14152";"HMDB0006335";"47771";"GC/MS";"2260";"488.3";FALSE;NA
"126";"betaine";"107-43-7";"Amino acid";"Glycine, serine and threonine metabolism";"34426";"248, 247";"C00719";"HMDB0000043, HMDB0059606";"41139, 17750";"LC/MS Neg";"725";"178.1";FALSE;NA
"127";"bilirubin (E,E)*";NA;"Cofactors and vitamins";"Hemoglobin and porphyrin metabolism";"32586";"5280352, 21252250, 5315454";"C00486";"HMDB0000054, HMDB0000488, HMDB0240584";"16990, 72719, 132996";"LC/MS Neg";"4242";"583.20000000000005";FALSE;NA
"128";"bilirubin (Z,Z)";"635-65-4";"Cofactors and vitamins";"Hemoglobin and porphyrin metabolism";"27716";"5280352, 21252250, 5315454";"C00486";"HMDB0000054, HMDB0000488, HMDB0240584";"16990, 72719, 132996";"LC/MS Neg";"4812";"583.20000000000005";FALSE;NA
