"";"Metabolite";"CAS";"SUPER_PATHWAY";"SUB_PATHWAY";"COMP_ID";"PLATFORM";"RI";"MASS";"PUBCHEM";"KEGG";"HMDB";"CHEBI";"manual_correction";"correction_tbl"
"17";"6-phosphogluconate";"921-62-0, 53411-70-4";"Carbohydrate";"Nucleotide sugars, pentose metabolism";"15442";"LC/MS Neg";"588";"275.10000000000002";"5459869, 91493";"C00345";"HMDB0001316";"CHEBI:16863, CHEBI:48928, CHEBI:58759";FALSE;NA
"18";"7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)";"115538-85-7";"Lipid";"Sterol/Steroid";"36776";"LC/MS Neg";"5268";"429.4";"3081085";"C17337";"HMDB0012458, HMDB0062430";"CHEBI:83036";FALSE;NA
"19";"7-alpha-hydroxycholesterol";"566-27-8";"Lipid";"Sterol/Steroid";"35692";"GC/MS";"2300";"456.2";"107722";"C03594";"HMDB0001496";"CHEBI:17500";FALSE;NA
"20";"7-beta-hydroxycholesterol";"566-27-8";"Lipid";"Sterol/Steroid";"35092";"GC/MS";"2340";"456.4";"107722, 3247057, 473141";"C03594";"HMDB0001496, HMDB0006119";"CHEBI:17500, CHEBI:42989";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"21";"Ac-Ser-Asp-Lys-Pro-OH";"127103-11-1";"Peptide";"Polypeptide";"40707";"LC/MS Pos";"1767";"488.2";"4409396";NA;"HMDB0247929";NA;FALSE;NA
"22";"C-glycosyltryptophan*";NA;"Amino acid";"Tryptophan metabolism";"32675";"LC/MS Pos";"1912";"367.1";NA;NA;NA;NA;FALSE;NA
"23";"Isobar: fructose 1,6-diphosphate, glucose 1,6-diphosphate, myo-inositol 1,4 or 1,3-diphosphate";NA;"Carbohydrate";"Glycolysis, gluconeogenesis, pyruvate metabolism";"36984";"LC/MS Neg";"572";"339";NA;NA;NA;NA;FALSE;NA
"24";"1-linoleoylglycerophosphocholine";NA;"Lipid";"Lysolipid";"34419";"LC/MS Pos";"5574";"520.4";"5280646";"C04100";NA;NA;TRUE;"completely_incompatible_manual_no_cas"
"25";"Isobar: ribulose 5-phosphate, xylulose 5-phosphate";NA;"Carbohydrate";"Nucleotide sugars, pentose metabolism";"37288";"GC/MS";"1935";"357.2";NA;NA;NA;NA;FALSE;NA
"26";"L-urobilin";"34217-90-8";"Cofactors and vitamins";"Hemoglobin and porphyrin metabolism";"40173";"LC/MS Pos";"4091";"595.4";"440785, 6433298";"C05793, C05794";"HMDB0004159, HMDB0004160, HMDB0004161";"CHEBI:36378";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"27";"N-6-trimethyllysine";"23284-33-5";"Amino acid";"Lysine metabolism";"1498";"LC/MS Pos";"650";"189.2";"159659, 440120, 440121";"C03793";"HMDB0001325, HMDB0304556";"CHEBI:17311, CHEBI:58100";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"28";"N-acetyl-aspartyl-glutamate (NAAG)";"3106-85-2";"Amino acid";"Glutamate metabolism";"35665";"LC/MS Pos";"1563";"305";"188803, 5255, 6992083";"C12270";"HMDB0001067, HMDB0255414";"CHEBI:73688, CHEBI:76931, CHEBI:95120";FALSE;NA
"29";"N-acetylalanine";"97-69-8";"Amino acid";"Alanine and aspartate metabolism";"1585";"LC/MS Neg";"882";"130.1";"88064";"C02847";"HMDB0000766";"CHEBI:40992";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"30";"N-acetylarginine";"155-84-0";"Amino acid";"Urea cycle, arginine-, proline-, metabolism";"33953";"LC/MS Neg";"1149";"215.2";"67427";"C02562";"HMDB0004620";"CHEBI:40521";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"31";"N-acetylasparagine";"4033-40-3";"Amino acid";"Alanine and aspartate metabolism";"33942";"LC/MS Pos";"974";"175.1";"99715";NA;"HMDB0006028";NA;FALSE;NA
"32";"N-acetylaspartate (NAA)";"997-55-7, 997-55-7";"Amino acid";"Alanine and aspartate metabolism";"22185";"LC/MS Pos";"1222";"176.1";"2042020, 65065";"C01042";"HMDB0000812";"CHEBI:16953, CHEBI:21547";FALSE;NA
"33";"N-acetylglucosamine";"7512-17-6";"Carbohydrate";"Aminosugars metabolism";"15095";"GC/MS";"1903.3";"245";"24139, 439174";"C00140, C03878";"HMDB0000215, HMDB0000533, HMDB0000803, HMDB0014288";"CHEBI:28009, CHEBI:506227";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"34";"N-acetylglucosamine 6-phosphate";"102029-88-9";"Carbohydrate";"Aminosugars metabolism";"15107";"LC/MS Neg";"628";"300.10000000000002";"25243963, 439219, 440996";"C00357";"HMDB0001062, HMDB0002817";"CHEBI:15784, CHEBI:57513";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"35";"1-linoleoylglycerophosphoethanolamine*";NA;"Lipid";"Lysolipid";"32635";"LC/MS Neg";"5725";"476.3";"52925130";NA;"HMDB0011507";"CHEBI:133732, CHEBI:83058";FALSE;NA
"36";"N-acetylglutamine";"2490-97-3";"Amino acid";"Glutamate metabolism";"33943";"LC/MS Pos";"1204";"189.1";"182230";"C02716";"HMDB0006029";"CHEBI:143879, CHEBI:21553";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"37";"N-acetylglycine";"543-24-8";"Amino acid";"Glycine, serine and threonine metabolism";"27710";"GC/MS";"1396.4";"143.9";"10972";NA;"HMDB0000532";"CHEBI:40410";FALSE;NA
"38";"N-acetylisoleucine";NA;"Amino acid";"Valine, leucine and isoleucine metabolism";"33967";"LC/MS Pos";"3370";"174.1";"7036275";NA;"HMDB0061684";"CHEBI:21555";FALSE;NA
"39";"N-acetylleucine";"1188-21-2";"Amino acid";"Valine, leucine and isoleucine metabolism";"1587";"LC/MS Pos";"3444";"174.1";"70912";"C02710";"HMDB0011756";"CHEBI:17786, CHEBI:58270";FALSE;NA
"40";"N-acetylmethionine";"65-82-7";"Amino acid";"Cysteine, methionine, SAM, taurine metabolism";"1589";"LC/MS Pos";"2588";"192.1";"448580";"C02712";"HMDB0011745";"CHEBI:21557, CHEBI:71670";FALSE;NA
"41";"N-acetylneuraminate";"131-48-6";"Carbohydrate";"Aminosugars metabolism";"32377";"LC/MS Neg";"695";"308.1";"445063";"C00270, C19910";"HMDB0000230, HMDB0000800";"CHEBI:45744, CHEBI:58705";TRUE;"completely_incompatible_manual_with_cas"
"42";"N-acetylornithine";"6205-08-9";"Amino acid";"Urea cycle, arginine-, proline-, metabolism";"15630";"LC/MS Pos";"875";"175.2";"439232";"C00437";"HMDB0003357, HMDB0006489";"CHEBI:16543, CHEBI:181895, CHEBI:57805";FALSE;NA
"43";"N-acetylphenylalanine";"2018-61-3";"Amino acid";"Phenylalanine & tyrosine metabolism";"33950";"LC/MS Neg";"2590";"206.2";"74839";"C03519";"HMDB0000512";"CHEBI:16259, CHEBI:57702";FALSE;NA
"44";"N-acetylserine";"97-14-3";"Amino acid";"Glycine, serine and threonine metabolism";"37076";"GC/MS";"1526";"218";"65249";NA;"HMDB0002931";"CHEBI:45441";FALSE;NA
"45";"N-acetylthreonine";NA;"Amino acid";"Glycine, serine and threonine metabolism";"33939";"LC/MS Neg";"846";"160.1";"152204";NA;"HMDB0062557";"CHEBI:45826";TRUE;"completely_incompatible_manual_no_cas"
"46";"1-methylimidazoleacetate";"2625-49-2";"Amino acid";"Histidine metabolism";"32350";"LC/MS Pos";"845";"141.1";"75810";"C05828";"HMDB0002820";"CHEBI:1606";FALSE;NA
"47";"N-acetyltryptophan";"1218-34-4";"Amino acid";"Tryptophan metabolism";"33959";"LC/MS Neg";"2650";"245.2";"700653";"C03137";"HMDB0013713";"CHEBI:143877, CHEBI:74640";TRUE;"completely_incompatible_manual_with_cas"
"48";"N-acetyltyrosine";"537-55-3";"Amino acid";"Phenylalanine & tyrosine metabolism";"32390";"LC/MS Neg";"1677";"222.2";"68310";NA;"HMDB0000866";"CHEBI:21563";FALSE;NA
"49";"N-acetylvaline";"96-81-1";"Amino acid";"Valine, leucine and isoleucine metabolism";"1591";"LC/MS Pos";"2654";"160.1";"66789";NA;"HMDB0011757";"CHEBI:21565";FALSE;NA
"50";"N-methylglutamate";"35989-16-3";"Amino acid";"Glutamate metabolism";"31532";"GC/MS";"1665";"260.2";"439377";"C01046";"HMDB0062660";"CHEBI:16440, CHEBI:29083";FALSE;NA
"51";"N1-Methyl-2-pyridone-5-carboxamide";"701-44-0";"Cofactors and vitamins";"Nicotinate and nicotinamide metabolism";"40469";"LC/MS Pos";"1707.3";"153.19999999999999";"69698";"C05842";"HMDB0004193";"CHEBI:27410";FALSE;NA
"52";"N1-methyladenosine";"15763-06-1";"Nucleotide";"Purine metabolism, adenine containing";"15650";"LC/MS Pos";"1356";"282.10000000000002";"27476";"C02494";"HMDB0003331";"CHEBI:16020";FALSE;NA
"53";"N1-methylguanosine";"2140-65-0";"Nucleotide";"Purine metabolism, guanine containing";"31609";"LC/MS Pos";"1850";"298.10000000000002";"96373";"C04545";"HMDB0001563";"CHEBI:19062";FALSE;NA
"54";"N2,N2-dimethylguanosine";"2140-67-2";"Nucleotide";"Purine metabolism, guanine containing";"35137";"LC/MS Pos";"2157";"312.10000000000002";"135501639, 92919";NA;"HMDB0004824";"CHEBI:19289";FALSE;NA
"55";"N2-acetyllysine";"1946-82-3";"Amino acid";"Lysine metabolism";"36751";"LC/MS Pos";"853";"189.1";"92907";"C12989";"HMDB0000446";"CHEBI:35704, CHEBI:61512";FALSE;NA
"56";"N2-methylguanosine";"2140-77-4";"Nucleotide";"Purine metabolism, guanine containing";"35133";"LC/MS Pos";"1950";"298.10000000000002";"3035422";NA;"HMDB0005862";"CHEBI:19702";FALSE;NA
"57";"1-myristoylglycerophosphocholine";"20559-16-4";"Lipid";"Lysolipid";"35626";"LC/MS Pos";"5481";"468.3";"460604";NA;"HMDB0010379";"CHEBI:64489";FALSE;NA
"58";"N6-acetyllysine";"692-04-6";"Amino acid";"Lysine metabolism";"36752";"LC/MS Pos";"1134";"189.1";"92832";"C02727";"HMDB0000206";"CHEBI:17752, CHEBI:58260";FALSE;NA
"59";"N6-carbamoylthreonyladenosine";"24719-82-2";"Nucleotide";"Purine metabolism, guanine containing";"35157";"LC/MS Pos";"2656";"413";NA;NA;NA;NA;FALSE;NA
"60";"S-adenosylhomocysteine (SAH)";"979-92-0";"Amino acid";"Cysteine, methionine, SAM, taurine metabolism";"15948";"LC/MS Neg";"1821";"383.1";"439155";"C00021";"HMDB0000939";"CHEBI:16680, CHEBI:181457, CHEBI:57856";FALSE;NA
"61";"S-adenosylmethionine (SAM)";"24346-00-7";"Amino acid";"Cysteine, methionine, SAM, taurine metabolism";"15915";"LC/MS Pos";"676";"399.1";NA;NA;NA;NA;FALSE;NA
"62";"S-methylcysteine";"1187-84-4";"Amino acid";"Cysteine, methionine, SAM, taurine metabolism";"40262";"GC/MS";"1447.8";"162.1";"24417";NA;"HMDB0002108, HMDB0302211";"CHEBI:133545, CHEBI:45658";FALSE;NA
"63";"VGAHAGEYGAEALER*";NA;"Peptide";"Polypeptide";"35211";"LC/MS Pos";"2542";"765.8";NA;NA;NA;NA;FALSE;NA
"64";"acetylcarnitine";"5080-50-2";"Lipid";"Carnitine metabolism";"32198";"LC/MS Pos";"1203";"204.2";"1, 439756, 7045767";"C02571";"HMDB0000201, HMDB0000456, HMDB0000515, HMDB0240773";"CHEBI:15960, CHEBI:57589, CHEBI:73024";FALSE;NA
"65";"adenine";"73-24-5";"Nucleotide";"Purine metabolism, adenine containing";"554";"GC/MS";"1804.2";"264";"190";"C00147";"HMDB0000034";"CHEBI:16708";FALSE;NA
"66";"adenosine";"58-61-7";"Nucleotide";"Purine metabolism, adenine containing";"555";"LC/MS Pos";"1650";"268.10000000000002";"60961";"C00212";"HMDB0000050, HMDB0004401, HMDB0004402, HMDB0004421";"CHEBI:16335";FALSE;NA
"67";"adenosine 2'-monophosphate (2'-AMP)";"130-49-4";"Nucleotide";"Purine metabolism, adenine containing";"36815";"LC/MS Pos";"1625";"348.1";"53481006";"C00946";"HMDB0011617";"CHEBI:28223, CHEBI:77740";FALSE;NA
"68";"1-myristoylglycerophosphoethanolamine";NA;"Lipid";"Lysolipid";"35627";"LC/MS Pos";"5481";"426.1";"9547070";NA;"HMDB0011500";"CHEBI:84299";FALSE;NA
"69";"adenosine 3'-monophosphate (3'-AMP)";"84-21-9";"Nucleotide";"Purine metabolism, adenine containing";"35142";"LC/MS Pos";"1451";"348.1";"41211";"C01367";"HMDB0003540, HMDB0006550";"CHEBI:28931, CHEBI:60880";FALSE;NA
"70";"adenosine 5'-monophosphate (AMP)";"149022-20-8";"Nucleotide";"Purine metabolism, adenine containing";"32342";"LC/MS Pos";"1210";"348.1";"15938965, 6083";"C00020";"HMDB0000045";"CHEBI:16027, CHEBI:456215";FALSE;NA
"71";"adenylosuccinate";"19046-78-7";"Nucleotide";"Purine metabolism, adenine containing";"18360";"LC/MS Neg";"569";"462.1";"195, 440122, 447145, 46878398, 74413789";"C03794";"HMDB0000536, HMDB0001332, HMDB0011633, HMDB0059653, HMDB0248010, HMDB0304257";"CHEBI:15919, CHEBI:57567";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"72";"adipate";"124-04-9";"Lipid";"Fatty acid, dicarboxylate";"21134";"GC/MS";"1520";"110.9";"196";"C06104";"HMDB0000448, HMDB0004862";"CHEBI:17128, CHEBI:30832";FALSE;NA
"73";"adrenate (22:4n6)";"2091-25-0";"Lipid";"Long chain fatty acid";"32980";"LC/MS Neg";"5684";"331.3";"5282844, 5497181";"C16527";"HMDB0002226, HMDB0062580";"CHEBI:53487, CHEBI:77225";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"74";"agmatine";"2482-00-0";"Amino acid";"Polyamine metabolism";"15496";"GC/MS";"1526";"174";"199";"C00179";"HMDB0001432, HMDB0060259";"CHEBI:17431, CHEBI:58145";FALSE;NA
"75";"alanine";"56-41-7";"Amino acid";"Alanine and aspartate metabolism";"1126";"GC/MS";"1147.5999999999999";"115.9";"5950";"C00041";"HMDB0000161";"CHEBI:16977, CHEBI:57972";FALSE;NA
"76";"alanylalanine";"1948-31-8";"Peptide";"Dipeptide";"15129";"LC/MS Pos";"757";"161.1";"5460362";"C00993";"HMDB0003459";"CHEBI:16576, CHEBI:57822";FALSE;NA
"77";"alanylglutamate";NA;"Peptide";"Dipeptide";"37064";"LC/MS Pos";"766";"219";"656476";NA;NA;NA;FALSE;NA
"78";"alanylglycine";NA;"Peptide";"Dipeptide";"37075";"GC/MS";"1412";"272.10000000000002";"6998028";NA;"HMDB0006899, HMDB0028687";"CHEBI:73757, CHEBI:73786";FALSE;NA
"79";"1-oleoylglycerol (1-monoolein)";"111-03-5";"Lipid";"Monoacylglycerol";"21184";"GC/MS";"2181.1999999999998";"397.4";"12178130, 5283468";NA;"HMDB0011567, HMDB0062009, HMDB0094684";"CHEBI:75342, CHEBI:75757";FALSE;NA
"80";"alanylisoleucine";NA;"Peptide";"Dipeptide";"37118";"LC/MS Pos";"2011";"203.1";"7408079";NA;NA;NA;FALSE;NA
"81";"alanylleucine";NA;"Peptide";"Dipeptide";"37093";"LC/MS Pos";"2150";"203";"259583";NA;NA;NA;FALSE;NA
"82";"alanylmethionine";NA;"Peptide";"Dipeptide";"37065";"LC/MS Pos";"1596";"221";"5242543, 98509";NA;NA;NA;TRUE;"completely_incompatible_manual_no_cas"
"83";"alanylphenylalanine";"3061-90-3";"Peptide";"Dipeptide";"38679";"LC/MS Pos";"2422";"237.2";"96814";NA;"HMDB0028694";"CHEBI:73807";FALSE;NA
"84";"alanylthreonine";NA;"Peptide";"Dipeptide";"37085";"LC/MS Pos";"708";"191";"426318";NA;NA;NA;FALSE;NA
"85";"alanyltryptophan";"16305-75-2";"Peptide";"Dipeptide";"42073";"LC/MS Pos";"2630";"276.2";"85362";NA;"HMDB0013209, HMDB0028698";"CHEBI:73808";FALSE;NA
"86";"alanyltyrosine";NA;"Peptide";"Dipeptide";"37098";"LC/MS Pos";"1713";"253";"572319";NA;"HMDB0304776";NA;FALSE;NA
"87";"alanylvaline";NA;"Peptide";"Dipeptide";"37084";"LC/MS Pos";"1513";"189";"137276";NA;NA;NA;FALSE;NA
"88";"allo-threonine";"28954-12-3";"Amino acid";"Glycine, serine and threonine metabolism";"15142";"GC/MS";"1417.8";"219";"99289";"C05519";"HMDB0004041";"CHEBI:28718, CHEBI:58585";FALSE;NA
"89";"alpha-glutamylglutamate";"3929-61-1";"Peptide";"Dipeptide";"22166";"LC/MS Pos";"857";"277.10000000000002";"439500";"C01425";"HMDB0028818";"CHEBI:5390";FALSE;NA
"90";"1-oleoylglycerophosphocholine";"19420-56-5";"Lipid";"Lysolipid";"33960";"LC/MS Pos";"5700";"522.4";"16081932";NA;"HMDB0002815";"CHEBI:28610";FALSE;NA
"91";"alpha-glutamyltryptophan";"38101-59-6";"Peptide";"Dipeptide";"40664";"LC/MS Pos";"2660";"334.1";"100094";NA;"HMDB0028830, HMDB0094678";"CHEBI:73512";FALSE;NA
"92";"alpha-glutamyltyrosine";NA;"Peptide";"Dipeptide";"40033";"LC/MS Pos";"1810";"311.10000000000002";"351830";NA;NA;NA;FALSE;NA
"93";"alpha-hydroxyisovalerate";"600-37-3";"Amino acid";"Valine, leucine and isoleucine metabolism";"33937";"LC/MS Neg";"1142";"117.1";"21933914, 853180, 99823";NA;"HMDB0000407, HMDB0062584";"CHEBI:60631, CHEBI:60645, CHEBI:64669";FALSE;NA
"94";"alpha-tocopherol";"59-02-9, 10191-41-0";"Cofactors and vitamins";"Tocopherol metabolism";"1561";"GC/MS";"2305.4";"502.5";"14985";"C02477";"HMDB0001893";"CHEBI:18145";FALSE;NA
"95";"androsterone sulfate";"2479-86-9";"Lipid";"Sterol/Steroid";"31591";"LC/MS Neg";"5011";"369.2";"12594, 159663";"C04555";"HMDB0001032, HMDB0002759";"CHEBI:16814, CHEBI:57905, CHEBI:83037";TRUE;"completely_incompatible_manual_with_cas"
"96";"anserine";"10030-52-1";"Peptide";"Dipeptide derivative";"15747";"LC/MS Neg";"1126";"239.2";"112072";"C01262";"HMDB0000194";"CHEBI:18323, CHEBI:58445";FALSE;NA
"97";"arabitol";"488-82-4";"Carbohydrate";"Nucleotide sugars, pentose metabolism";"38075";"GC/MS";"1687.5";"307.1";"439255, 94154";"C00474, C00532, C01904";"HMDB0000199, HMDB0000508, HMDB0000568, HMDB0001851";"CHEBI:15963, CHEBI:18333, CHEBI:18403";TRUE;"completely_incompatible_manual_with_cas"
"98";"arabonate";"7643-75-7";"Cofactors and vitamins";"Ascorbate and aldarate metabolism";"37516";"GC/MS";"1736";"292.10000000000002";"122045";"C00878";"HMDB0000539";"CHEBI:16157, CHEBI:20912";FALSE;NA
"99";"arachidate (20:0)";"506-30-9";"Lipid";"Long chain fatty acid";"1118";"GC/MS";"2071.1999999999998";"369.3";"10467";"C06425";"HMDB0002212";"CHEBI:28822, CHEBI:32360";FALSE;NA
"100";"arachidonate (20:4n6)";"506-32-1";"Lipid";"Long chain fatty acid";"1110";"LC/MS Neg";"5525";"303.39999999999998";"3246804, 444899";"C00219";"HMDB0001043, HMDB0060102";"CHEBI:15843, CHEBI:32395";FALSE;NA
"101";"1-oleoylglycerophosphoethanolamine";"89576-29-4";"Lipid";"Lysolipid";"35628";"LC/MS Neg";"5928";"478.3";"9547071";NA;"HMDB0011506";"CHEBI:74971";FALSE;NA
"102";"arginine";"1119-34-2";"Amino acid";"Urea cycle, arginine-, proline-, metabolism";"1638";"LC/MS Neg";"728";"173.2";"1549073, 6322";"C00062";"HMDB0000517, HMDB0062762";"CHEBI:16467, CHEBI:32682";FALSE;NA
"103";"argininosuccinate";"156637-58-0";"Amino acid";"Urea cycle, arginine-, proline-, metabolism";"15497";"GC/MS";"2157";"446.3";"16950, 439998, 46878376, 828";"C03406";"HMDB0000052, HMDB0001006, HMDB0248585";"CHEBI:15682, CHEBI:184023, CHEBI:57472";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"104";"arginylleucine";"1188-24-5";"Peptide";"Dipeptide";"39995";"LC/MS Pos";"1620";"288.3";"6992563";NA;"HMDB0028713";"CHEBI:73815";FALSE;NA
"105";"arginylmethionine";NA;"Peptide";"Dipeptide";"41458";"LC/MS Pos";"1151";"306.2";"9815009";NA;NA;NA;FALSE;NA
"106";"arginylphenylalanine";"2047-13-4";"Peptide";"Dipeptide";"41485";"LC/MS Pos";"1795";"322.2";"150964";NA;"HMDB0028716";"CHEBI:189870, CHEBI:73818";FALSE;NA
"107";"arginyltyrosine";"74863-12-0";"Peptide";"Dipeptide";"41376";"LC/MS Pos";"1376.6";"338.2";"7021456";NA;"HMDB0028721";"CHEBI:73822";FALSE;NA
"108";"arginylvaline";"2896-20-0";"Peptide";"Dipeptide";"41395";"LC/MS Pos";"944.9";"274.2";"6992654";NA;"HMDB0028722";"CHEBI:73823";FALSE;NA
"109";"ascorbate (Vitamin C)";"134-03-2";"Cofactors and vitamins";"Ascorbate and aldarate metabolism";"1640";"GC/MS";"1850.1";"332.1";"54670067, 54679076";"C00072, C01041";"HMDB0000044, HMDB0014273, HMDB0029945";"CHEBI:29073, CHEBI:38290";TRUE;"completely_incompatible_manual_with_cas"
"110";"asparagine";"70-47-3";"Amino acid";"Alanine and aspartate metabolism";"11398";"GC/MS";"1651.2";"231";"6267";"C00152";"HMDB0000168";"CHEBI:17196, CHEBI:58048";FALSE;NA
"111";"aspartate";"56-84-8";"Amino acid";"Alanine and aspartate metabolism";"15996";"GC/MS";"1529.7";"232";"15939608, 5960";"C00049";"HMDB0000191";"CHEBI:17053, CHEBI:29991";FALSE;NA
"112";"1,3-dihydroxyacetone";"62147-49-3";"Carbohydrate";"Glycolysis, gluconeogenesis, pyruvate metabolism";"35963";"GC/MS";"1263";"103";"670";"C00184";"HMDB0001882";"CHEBI:16016";FALSE;NA
"113";"1-oleoylglycerophosphoinositol*";NA;"Lipid";"Lysolipid";"36602";"LC/MS Neg";"5577";"597.4";NA;NA;NA;NA;FALSE;NA
"114";"aspartate-glutamate";"6157-06-8";"Peptide";"Dipeptide";"37461";"LC/MS Pos";"819";"263.2";"4130574";NA;"HMDB0028752";NA;FALSE;NA
"115";"aspartylleucine";"3062-14-4";"Peptide";"Dipeptide";"40068";"LC/MS Pos";"2310";"247.2";"332962";NA;"HMDB0028757";NA;FALSE;NA
"116";"aspartylphenylalanine";"13433-09-5";"Peptide";"Dipeptide";"22175";"LC/MS Pos";"2538";"281.10000000000002";"93078";NA;"HMDB0000706, HMDB0006113, HMDB0028760";"CHEBI:73830";FALSE;NA
"117";"aspartyltryptophan";"71835-79-5";"Peptide";"Dipeptide";"41481";"LC/MS Pos";"2717";"320.2";"9948926";NA;"HMDB0028764";NA;FALSE;NA
"118";"aspartylvaline";"13433-04-0";"Peptide";"Dipeptide";"41373";"LC/MS Neg";"749.4";"231.1";"4991131";NA;"HMDB0028766";NA;FALSE;NA
"119";"atenolol";"29122-68-7";"Xenobiotics";"Drug";"38658";"LC/MS Pos";"1988";"267.2";"2249";NA;"HMDB0001924";"CHEBI:2904";FALSE;NA
"120";"azelate (nonanedioate)";"123-99-9";"Lipid";"Fatty acid, dicarboxylate";"18362";"LC/MS Neg";"1322";"187.2";"2266";"C08261";"HMDB0000784";"CHEBI:48131, CHEBI:78208";FALSE;NA
"121";"benzoate";"65-85-0";"Xenobiotics";"Benzoate metabolism";"15778";"GC/MS";"1291.5";"179";"242, 243";"C00180, C00539";"HMDB0001870, HMDB0304270";"CHEBI:16150, CHEBI:30746";TRUE;"keeping_only_compatible_for_partially_compatible_features"
