"";"original_row_id";"Metabolite";"CAS";"SUPER_PATHWAY";"SUB_PATHWAY";"COMP_ID";"PLATFORM";"RI";"MASS";"PUBCHEM";"KEGG";"HMDB";"CHEBI";"manual_correction";"correction_tbl";"row_id";"seed1_type";"seed1_id";"seed2_type";"seed2_id";"pair_compatible";"compatibility_path";"n_seed_ids";"all_seed_ids_compatible"
"33";"12";"5-oxoETE";"106154-18-1";"Lipid";"Eicosanoid";"38400";"LC/MS Neg";"5373";"317.3";"1831";"C14732";"HMDB10217";NA;TRUE;"keeping_only_compatible_for_partially_compatible_features";12;"KEGG";"C14732";"PUBCHEM";"1831";FALSE;"no_match";3;FALSE
"34";"13";"1-linoleoylglycerol (1-monolinolein)";"2277-28-3";"Lipid";"Monoacylglycerol";"27447";"GC/MS";"2181";"395.3";"5283469";NA;NA;NA;FALSE;NA;13;NA;NA;NA;NA;NA;"no_match";1;TRUE
"35";"14";"5-oxoproline";"98-79-3";"Amino acid";"Glutathione metabolism";"1494";"LC/MS Neg";"744";"128.19999999999999";"7405";"C01879";"HMDB00267";NA;FALSE;NA;14;"HMDB";"HMDB0000267";"KEGG";"C01879";TRUE;"direct";3;TRUE
"36";"14";"5-oxoproline";"98-79-3";"Amino acid";"Glutathione metabolism";"1494";"LC/MS Neg";"744";"128.19999999999999";"7405";"C01879";"HMDB00267";NA;FALSE;NA;14;"HMDB";"HMDB0000267";"PUBCHEM";"7405";TRUE;"direct";3;TRUE
"37";"14";"5-oxoproline";"98-79-3";"Amino acid";"Glutathione metabolism";"1494";"LC/MS Neg";"744";"128.19999999999999";"7405";"C01879";"HMDB00267";NA;FALSE;NA;14;"KEGG";"C01879";"PUBCHEM";"7405";TRUE;"direct";3;TRUE
"38";"15";"6'-sialyllactose";"35890-39-2";"Carbohydrate";"Fructose, mannose, galactose, starch, and sucrose metabolism";"39795";"GC/MS";"2071.5";"285.10000000000002";NA;"G00265";"HMDB06569";NA;FALSE;NA;15;NA;NA;NA;NA;NA;"no_match";1;TRUE
"39";"16";"6-keto prostaglandin F1alpha";"58961-34-8, 58962-34-8";"Lipid";"Eicosanoid";"20476";"LC/MS Neg";"4180";"369.3";"5280888";"C05961";"HMDB02886";NA;FALSE;NA;16;"HMDB";"HMDB0002886";"KEGG";"C05961";TRUE;"direct";3;TRUE
"40";"16";"6-keto prostaglandin F1alpha";"58961-34-8, 58962-34-8";"Lipid";"Eicosanoid";"20476";"LC/MS Neg";"4180";"369.3";"5280888";"C05961";"HMDB02886";NA;FALSE;NA;16;"HMDB";"HMDB0002886";"PUBCHEM";"5280888";TRUE;"direct";3;TRUE
"41";"16";"6-keto prostaglandin F1alpha";"58961-34-8, 58962-34-8";"Lipid";"Eicosanoid";"20476";"LC/MS Neg";"4180";"369.3";"5280888";"C05961";"HMDB02886";NA;FALSE;NA;16;"KEGG";"C05961";"PUBCHEM";"5280888";TRUE;"direct";3;TRUE
"42";"17";"6-phosphogluconate";"921-62-0, 53411-70-4";"Carbohydrate";"Nucleotide sugars, pentose metabolism";"15442";"LC/MS Neg";"588";"275.10000000000002";"91493";"C00345";"HMDB01316";NA;FALSE;NA;17;"HMDB";"HMDB0001316";"KEGG";"C00345";TRUE;"direct";3;TRUE
