gene,pathway
B3GALT6,1
B3GAT1,1
B3GAT2,1
B3GAT3,1
B3GNT2,2
B3GNT3,3
B3GNT4,1
B3GNT5,1
B3GNT6,2
B3GNT7,1
B3GNT8,1
B3GNTL1,1
B4GALNT1,1
B4GALT1,3
B4GALT2,3
B4GALT3,2
B4GALT5,2
B4GALT7,1
BAAT,1
BBOX1,1
BCAT1,1
BCAT2,1
BCKDHA,1
BCKDHB,1
BCMO1,1
BDH1,1
BHMT,2
BHMT2,2
BLVRA,1
BLVRB,1
BPGM,1
BPNT1,1
BTD,1
C1GALT1,1
CA1,1
CA12,1
CA13,1
CA14,1
CA2,1
CA3,1
CA4,1
CA5A,1
CA5B,1
CA6,1
CA7,1
CA8,1
CA9,1
CAD,1
CANT1,1
CAT,1
CBR1,2
CBS,4
CCBL1,1
CD38,1
CDA,1
CDIPT,1
CDO1,1
CDS1,1
CDS2,1
CEPT1,1
CERK,1
CES2,1
CH25H,1
CHAT,1
CHDH,1
CHIA,1
CHIT1,1
CHKA,1
CHKB,1
CHPF,1
CHPF2,1
CHPT1,1
CHST1,1
CHST11,1
CHST12,1
CHST13,1
CHST2,1
CHST3,2
CHST4,1
CHST5,1
CHST6,1
CHST7,1
CHSY1,1
CHSY3,1
CKB,1
CKM,1
CKMT1B,1
CKMT2,1
CLC,1
CLYBL,1
CMAS,1
CNDP1,3
COASY,1
COL4A3BP,1
COMT,1
COMTD1,1
COQ2,1
COQ3,1
COQ6,1
COQ7,1
COX4I1,1
COX4I2,1
COX5A,1
COX5B,1
COX6A1,1
COX6A2,1
COX6B1,1
COX6B2,1
COX6C,1
COX7A1,1
COX7A2,1
COX7A2L,1
COX7B,1
COX7B2,1
COX7C,1
COX8A,1
COX8C,1
CPOX,1
CPS1,2
CPT1A,1
CPT1B,1
CPT1C,1
CPT2,1
CRAT,1
CRLS1,1
CROT,1
CS,1
CSAD,1
CSGALNACT1,1
CSGALNACT2,1
CTH,3
CTPS,1
CTPS2,1
CYB5D1,1
CYBRD1,1
CYC1,1
CYP11A1,1
CYP11B1,1
CYP11B2,1
CYP17A1,1
CYP19A1,1
CYP1A1,1
CYP1A2,1
CYP1B1,2
CYP21A2,1
CYP24A1,1
CYP27A1,2
CYP2A13,1
CYP2A6,1
CYP2C18,1
CYP2C19,1
CYP2C8,1
CYP2C9,1
CYP2D6,1
CYP2E1,2
CYP2F1,1
CYP39A1,1
CYP3A4,1
CYP3A43,1
CYP3A5,1
CYP3A7,1
CYP46A1,1
CYP4A11,1
CYP4F12,2
CYP4F2,1
CYP4F3,1
CYP4F8,1
CYP51A1,2
CYP7A1,1
DAD1,1
DAO,2
DBH,1
DBT,1
DCI,1
DCK,1
DCT,1
DCTD,1
DCXR,1
DDC,4
DDO,1
DDOST,1
DGAT1,1
DGAT2,1
DGKA,1
DGKB,1
DGKD,1
DGKE,1
DGKG,1
DGKH,1
DGKI,1
DGKQ,1
DGKZ,1
DGUOK,1
DHCR24,1
DHCR7,1
DHFR,1
DHODH,1
DLAT,1
DLD,3
DLST,1
DMGDH,1
DNMT1,2
DNMT3A,2
DNMT3B,2
DNMT3L,2
DOLPP1,1
DOT1L,1
DPAGT1,1
DPM1,1
DPM2,2
DPM3,1
DPYD,1
DPYS,1
DPYSL2,1
DPYSL3,1
DTYMK,1
DUOX1,1
DUOX2,1
DUT,1
EBP,1
ECH1,1
ECHDC2,1
ECHS1,1
EHHADH,1
ELOVL1,1
ELOVL2,1
ELOVL3,1
ELOVL4,1
ELOVL5,1
ELOVL6,1
ELOVL7,1
ENGASE,1
ENO1,1
ENO2,1
ENO3,1
ENPP1,2
ENPP2,1
ENPP3,1
ENTPD1,1
ENTPD2,1
ENTPD3,1
ENTPD4,1
ENTPD5,1
ENTPD6,1
EPX,1
ESD,1
ETFA,1
ETFB,1
ETFDH,1
ETNK1,1
ETNK2,1
EXT1,1
EXT2,1
EXTL1,1
EXTL2,1
EXTL3,1
FADS1,2
FADS2,1
FADS3,1
FADS6,1
FAH,2
FAHD1,2
FASN,1
FBP1,2
FBP2,2
FDFT1,1
FDPS,2
FECH,1
FH,1
FLAD1,1
FOLR1,1
FOLR3,1
FPGS,1
FPGT,1
FTCD,2
FTH1,1
FTMT,1
FUCA1,2
FUCA2,2
FUK,1
FUT1,2
FUT3,1
FUT8,1
FUT9,1
G6PC,1
G6PC2,1
G6PC3,1
G6PD,1
GAA,1
GAD1,1
GAD2,1
GAL3ST1,1
GALC,1
GALE,2
GALK1,1
GALK2,1
GALNS,4
GALNT1,1
GALNT10,1
GALNT11,1
GALNT12,1
GALNT13,1
GALNT14,1
GALNT2,1
GALNT3,1
GALNT4,1
GALNT5,1
GALNT6,1
GALNT7,1
GALNT8,1
GALNT9,1
GALNTL2,1
GALT,1
GAMT,1
GANC,1
GAPDH,1
GAPDHS,1
GART,1
GATM,3
GBA,1
GBA3,1
GBE1,1
GBGT1,1
GCAT,1
GCDH,2
GCH1,1
GCK,1
GCLC,1
GCLM,1
GCNT1,1
GCNT2,1
GCNT3,1
GCNT4,1
GCSH,1
GDA,1
GFPT1,1
GFPT2,1
GGH,1
GGPS1,2
GGT1,2
GK,1
GK2,1
GK3P,1
GLA,1
GLB1,5
GLCE,1
GLDC,1
GLO1,1
GLRX,1
GLRX2,1
GLS,1
GLS2,1
GLUD1,1
GLUD2,1
GLUL,1
GMDS,1
GMPPA,1
GMPPB,1
GMPR,1
GMPR2,1
GMPS,1
GNE,1
GNMT,2
GNPAT,1
GNPDA1,1
GNPDA2,1
GNPNAT1,1
GNS,2
GOT1,7
GOT2,8
GPAA1,1
GPAM,1
GPD1,1
GPD2,1
GPI,1
GPT,3
GPT2,3
GPX1,1
GPX2,1
GPX3,1
GPX4,1
GPX5,1
GPX6,1
GPX7,1
GPX8,1
GRHPR,2
GSR,1
GSS,1
GSTM1,1
GSTZ1,1
GUCY1A2,1
GUCY1A3,1
GUCY1B2,1
GUCY1B3,1
GUCY2C,1
GUCY2D,1
GUCY2F,1
GUK1,1
GUSB,3
GYG1,1
GYG2,1
GYS1,1
GYS2,1
H6PD,1
HAAO,1
HADHA,1
HADHB,1
HAGH,1
HAGHL,1
HAL,1
HAO1,3
HAO2,3
HAS1,1
HAS2,1
HAS3,1
HCCS,1
HCST,1
HDC,1
HEXA,4
HEXB,4
HGD,1
HIBADH,1
HIBCH,2
HICDH,1
HK1,1
HK2,1
HK3,1
HKDC1,1
HLCS,1
HMBS,1
HMGCL,2
HMGCLL1,1
HMGCR,3
HMGCS1,1
HMGCS2,1
HMOX1,1
HMOX2,1
HNMT,1
HPD,2
HPGDS,1
HPRT1,1
HS2ST1,1
HS3ST1,1
HS3ST2,1
HS3ST3A1,1
HS3ST3B1,1
HS3ST4,1
HS3ST5,1
HS3ST6,1
HS6ST1,1
HS6ST2,1
HS6ST3,1
HSD11B1,1
HSD11B2,1
HSD17B1,1
HSD17B12,2
HSD17B2,1
HSD17B3,1
HSD17B4,2
HSD17B7,1
HSD17B8,1
HSD3B1,1
HSD3B2,1
HSD3B7,1
IDH1,1
IDH2,1
IDH3A,1
IDH3B,1
IDH3G,1
IDI1,1
IDI2,1
IDS,2
IDUA,2
IMPA1,1
IMPA2,1
IMPDH1,1
IMPDH2,1
INMT,1
INPP1,1
INPP4A,1
INPP4B,1
INPP5A,1
INPP5B,1
INPP5D,1
INPP5E,1
INPPL1,1
IPMK,1
IREB2,1
ISYNA1,1
ITPA,1
ITPKA,1
ITPKB,1
ITPKC,1
IVD,1
KHK,1
KMO,1
KYNU,1
LALBA,1
LCAT,2
LCT,1
LDHA,1
LDHAL6A,2
LDHAL6B,2
LDHB,1
LDHC,1
LDHD,1
LGALS13,1
LIPC,2
LIPF,1
LIPG,1
LPL,1
LPO,1
LRAT,1
LSS,1
LTA4H,1
LTC4S,1
MAN1A1,1
MAN1A2,1
MAN1B1,1
MAN1C1,1
MAN2A1,1
MAN2A2,1
MAN2B1,1
MAN2C1,1
MANBA,1
MANSC1,1
MAOA,7
MAOB,7
MAT1A,2
MAT2A,2
MAT2B,2
MCAT,1
MCCC1,1
MCCC2,1
MCEE,1
MDH1,1
MDH1B,1
MDH2,1
ME1,1
ME2,1
ME3,1
MGAM,2
MGAT1,1
MGAT2,1
MGAT3,1
MGAT4A,1
MGAT4B,1
MGAT5,1
MGLL,1
MGST2,1
MGST3,1
MIOX,1
MLL3,1
MLL4,1
MLYCD,1
MMAA,2
MOGAT1,1
MOGAT2,1
MOGS,1
MOXD1,1
MPI,1
MPO,1
MPST,1
MTAP,1
MTHFD1,1
MTHFD2,1
MTHFR,1
MTHFS,1
MTMR3,2
MTR,2
MUT,1
MVD,1
MVK,1
NADK,1
NADSYN1,1
NAGA,2
NAGK,1
NAGLU,1
NAGS,2
NANS,1
NDST1,1
NDST2,1
NDST3,1
NDST4,1
NDUFA1,1
NDUFA10,1
NDUFA11,1
NDUFA12,1
NDUFA13,1
NDUFA2,1
NDUFA3,1
NDUFA4,1
NDUFA5,1
NDUFA6,1
NDUFA7,1
NDUFA8,1
NDUFA9,1
NDUFAB1,1
NDUFB1,1
NDUFB10,1
NDUFB2,1
NDUFB3,1
NDUFB4,1
NDUFB5,1
NDUFB6,1
NDUFB7,1
NDUFB8,1
NDUFB9,1
NDUFC1,1
NDUFC2,1
NDUFS1,1
NDUFS2,1
NDUFS3,1
NDUFS4,1
NDUFS5,1
NDUFS6,1
NDUFS7,1
NDUFS8,1
NDUFV1,1
NDUFV2,1
NDUFV3,1
NEU1,5
NEU2,1
NEU4,1
NME1,1
NME2,1
NME3,1
NME4,1
NME6,1
NME7,1
NMNAT1,1
NMNAT2,1
NMNAT3,1
NNMT,1
NNT,1
NOS1,1
NOS3,1
NPR1,1
NPR2,1
NSDHL,1
NT5C,1
NT5C1B,1
NT5C2,1
NT5E,1
NT5M,1
NUDT2,1
NUDT5,1
NUDT9,1
OAT,1
OCRL,1
ODC1,1
OGDH,1
OPLAH,1
OTC,1
OXCT1,1
OXCT2,1
P4HA1,1
P4HA2,1
P4HB,1
PAFAH1B1,1
PAFAH1B2,1
PAFAH1B3,1
PAFAH2,1
PAH,2
PAICS,1
PANK1,1
PANK2,1
PANK3,1
PANK4,1
PAPSS1,3
PAPSS2,3
PC,1
PCBD1,1
PCCA,2
PCCB,2
PCK1,2
PCK2,2
PCYT1A,1
PCYT1B,1
PCYT2,1
PDE10A,1
PDE11A,1
PDE1A,1
PDE1B,1
PDE1C,1
PDE2A,1
PDE3A,1
PDE3B,1
PDE4A,1
PDE4B,1
PDE4C,1
PDE4D,1
PDE5A,1
PDE6A,1
PDE6B,1
PDE6C,1
PDE6D,1
PDE6G,1
PDE6H,1
PDE7A,1
PDE7B,1
PDE8A,1
PDE8B,1
PDE9A,1
PDHA1,1
PDHA2,1
PDHB,1
PDHX,1
PDXK,1
PDXP,1
PEMT,1
PFAS,1
PFKFB1,1
PFKFB2,1
PFKFB3,1
PFKFB4,1
PFKL,1
PFKM,1
PFKP,1
PGAM1,1
PGAM2,1
PGAP1,1
PGD,1
PGK1,1
PGK2,1
PGLS,1
PGM1,1
PGM2,2
PGM3,1
PGS1,1
PHGDH,1
PHOSPHO1,1
PHYH,1
PI4K2A,2
PIGA,1
PIGB,1
PIGC,1
PIGF,1
PIGG,1
PIGH,1
PIGK,1
PIGL,1
PIGM,1
PIGN,1
PIGO,1
PIGP,1
PIGQ,1
PIGS,1
PIGT,1
PIGV,1
PIGW,1
PIGX,1
PIGZ,1
PIK3C2A,1
PIK3C2B,1
PIK3C2G,1
PIK3C3,1
PIK3CA,1
PIK3CB,1
PIK3CD,1
PIK3CG,1
PIK3R1,1
PIK3R2,1
PIK3R3,1
PIK3R5,1
PIP5K1A,2
PIP5K1B,2
PIP5K1C,2
PIPOX,2
PISD,1
PKLR,1
PKM2,1
PLA2G10,1
PLA2G12A,1
PLA2G1B,1
PLA2G2A,1
PLA2G2D,1
PLA2G2E,1
PLA2G2F,1
PLA2G3,1
PLA2G4A,1
PLA2G5,1
PLA2G6,1
PLA2G7,1
PLCB1,1
PLCB2,1
PLCB3,1
PLCB4,1
PLCD1,1
PLCD3,1
PLCD4,1
PLCE1,1
PLCG1,1
PLCG2,1
PLCH1,1
PLCH2,1
PLCL1,1
PLCXD2,1
PLCZ1,1
PLD1,1
PLD2,1
PLOD1,1
PLOD2,1
PLOD3,1
PMM1,1
PMM2,1
PMVK,1
PNLIP,1
PNLIPRP1,1
PNLIPRP2,1
PNMT,1
PNPLA4,1
PNPO,1
PPA1,1
PPA2,1
PPAP2A,1
PPAP2B,1
PPAP2C,1
PPAT,1
PPCDC,1
PPCS,1
PPOX,1
PRDX1,2
PRDX2,2
PRDX3,2
PRDX5,1
PRDX6,1
PRODH,1
PRODH2,1
PROSC,1
PRPS1,3
PRPS1L1,3
PRPS2,3
PSAT1,1
PSPH,1
PTDSS1,1
PTDSS2,1
PTEN,1
PTGDS,1
PTGES,1
PTGES2,1
PTGIS,1
PTGS1,1
PTGS2,1
PTPLA,1
PTPLAD1,1
PTPLAD2,1
PTPLB,1
PTS,1
PXDN,1
PXDNL,1
PYCR1,1
PYCR2,1
PYCRL,1
PYGB,1
PYGL,1
PYGM,1
QDPR,1
QPRT,1
RBKS,1
RDH10,1
RDH11,1
RDH12,1
RDH13,1
RDH14,1
RDH16,1
RDH5,1
RDH8,1
RENBP,1
RFK,1
RHAG,1
RHBG,1
RPE,1
RPIA,1
RPN1,1
RPN2,1
RRM1,1
RRM2,1
SARDH,1
SAT2,1
SC4MOL,1
SC5DL,1
SCD,1
SCD5,1
SCLY,1
SCP2,2
SDHA,1
SDHB,1
SDHC,1
SDHD,1
SDR16C5,1
SDS,2
SEPHS1,1
SEPHS2,1
SETD7,1
SETDB1,1
SETDB2,1
SGPL1,1
SGPP1,1
SGSH,1
SHMT1,1
SHMT2,1
SI,2
SLC10A1,1
SLC10A2,1
SLC12A1,1
SLC12A2,1
SLC12A3,1
SLC12A4,1
SLC12A5,1
SLC12A6,1
SLC12A7,1
SLC13A1,1
SLC13A2,1
SLC13A3,1
SLC13A4,1
SLC13A5,1
SLC14A1,1
SLC14A2,1
SLC15A2,1
SLC16A1,6
SLC16A10,3
SLC16A2,1
SLC16A3,3
SLC16A7,4
SLC16A8,5
SLC17A1,1
SLC17A2,1
SLC17A3,1
SLC17A4,1
SLC17A5,1
SLC17A6,1
SLC17A7,1
SLC17A8,1
SLC18A1,2
SLC18A2,2
SLC18A3,1
SLC19A1,2
SLC19A2,1
SLC19A3,2
SLC1A1,2
SLC1A2,2
SLC1A3,2
SLC1A4,3
SLC1A5,5
SLC1A6,2
SLC1A7,2
SLC20A1,1
SLC20A2,1
SLC22A1,6
SLC22A2,6
SLC22A3,6
SLC22A4,2
SLC22A5,2
SLC23A1,1
SLC23A2,1
SLC24A1,1
SLC24A2,1
SLC24A3,1
SLC24A4,1
SLC25A1,4
SLC25A10,1
SLC25A11,2
SLC25A12,2
SLC25A13,2
SLC25A14,1
SLC25A15,1
SLC25A16,1
SLC25A18,1
SLC25A19,1
SLC25A2,1
SLC25A20,2
SLC25A21,2
SLC25A22,1
SLC25A26,1
SLC25A27,1
SLC25A3,1
SLC25A4,1
SLC25A5,1
SLC25A6,1
SLC26A1,1
SLC26A11,1
SLC26A2,1
SLC26A3,1
SLC26A4,1
SLC26A6,1
SLC26A7,1
SLC26A8,1
SLC26A9,1
SLC27A1,1
SLC27A2,2
SLC27A3,1
SLC27A4,1
SLC27A5,1
SLC28A1,1
SLC28A2,1
SLC28A3,2
SLC29A1,2
SLC29A2,1
SLC29A3,1
SLC2A1,2
SLC2A10,4
SLC2A11,1
SLC2A12,1
SLC2A13,1
SLC2A14,1
SLC2A2,2
SLC2A3,2
SLC2A4,2
SLC2A5,1
SLC2A6,1
SLC2A7,2
SLC2A8,2
SLC2A9,2
SLC32A1,2
SLC33A1,4
SLC34A1,1
SLC34A2,1
SLC34A3,1
SLC35A1,1
SLC35A2,1
SLC35A3,1
SLC35B2,1
SLC35B4,1
SLC35C1,1
SLC35D1,1
SLC35D2,1
SLC36A1,5
SLC37A4,1
SLC38A1,6
SLC38A2,6
SLC38A3,3
SLC38A4,8
SLC38A5,3
SLC3A1,5
SLC3A2,2
SLC43A1,2
SLC43A2,3
SLC46A1,2
SLC4A1,1
SLC4A10,1
SLC4A2,1
SLC4A3,1
SLC4A4,1
SLC4A5,1
SLC4A7,1
SLC4A8,1
SLC4A9,1
SLC5A1,3
SLC5A10,1
SLC5A11,3
SLC5A12,3
SLC5A2,1
SLC5A3,2
SLC5A5,1
SLC5A6,3
SLC5A7,1
SLC5A8,4
SLC5A9,3
SLC6A1,1
SLC6A11,1
SLC6A12,2
SLC6A13,1
SLC6A14,11
SLC6A2,1
SLC6A3,1
SLC6A4,1
SLC6A5,1
SLC6A6,2
SLC6A7,1
SLC6A8,1
SLC6A9,1
SLC7A1,2
SLC7A10,3
SLC7A11,2
SLC7A2,5
SLC7A3,5
SLC7A5,5
SLC7A6,3
SLC7A7,3
SLC7A8,8
SLC7A9,2
SLC8A1,1
SLC8A2,1
SLC8A3,1
SLC9A1,1
SLC9A2,1
SLC9A3,1
SLC9A4,1
SLC9A5,1
SLC9A7,1
SLC9A8,1
SLCO1A2,4
SLCO1B1,5
SLCO1B3,5
SLCO1C1,2
SLCO2A1,1
SLCO2B1,2
SLCO3A1,2
SLCO4A1,4
SMOX,1
SMPD3,1
SMS,1
SOAT1,1
SOD1,1
SOD2,1
SOD3,1
SORD,1
SPCS1,1
SPCS2,1
SPCS3,1
SPHK2,1
SPR,1
SPTLC1,1
SPTLC2,1
SQLE,1
SRD5A1,1
SRD5A2,1
SRM,1
SSAT2,1
ST3GAL1,2
ST3GAL2,2
ST3GAL3,2
ST3GAL4,1
ST3GAL5,1
ST3GAL6,1
ST6GAL1,1
ST6GALNAC1,1
ST6GALNAC2,1
ST6GALNAC3,1
ST6GALNAC5,1
ST6GALNAC6,1
ST8SIA1,1
ST8SIA5,2
STARD3,1
STS,1
SUCLA2,1
SUCLG1,1
SUCLG2,1
SULT1A1,3
SULT1A2,2
SULT1A3,2
SULT1E1,1
SULT2A1,1
SULT2B1,1
SUOX,2
SUV39H1,1
SUV39H2,1
SYNJ1,1
SYNJ2,1
TALDO1,1
TAT,2
TBXAS1,1
TCIRG1,1
TDG,1
TDO2,1
TECR,1
TECRL,1
TET1,1
TET2,1
TET3,1
TGDS,1
TH,1
THNSL1,1
THTPA,1
TK1,1
TK2,1
TKT,1
TKTL1,1
TKTL2,1
TM7SF2,1
TMLHE,1
TPH1,1
TPH2,1
TPI1,1
TPK1,1
TPO,2
TRDMT1,1
TREH,1
TST,1
TSTA3,1
TUSC3,1
TXNRD1,1
TXNRD2,1
TYMS,1
TYR,2
TYRP1,1
UAP1,1
UAP1L1,1
UCK1,1
UCK2,1
UCP1,1
UCP2,1
UCP3,1
UEVLD,1
UGCG,1
UGDH,2
UGP2,1
UGT1A10,3
UGT1A8,3
UGT2B28,1
UGT2B4,1
UGT2B7,1
UMPS,1
UPB1,2
UPP1,1
UPP2,1
UQCR10,1
UQCRB,1
UQCRC1,1
UQCRC2,1
UQCRFS1,1
UQCRH,1
UQCRQ,1
UROC1,1
UROD,1
UROS,1
UST,1
UXS1,1
VNN1,1
VNN2,1
VNN3,1
XDH,1
XYLB,1
XYLT1,1
XYLT2,1
ZADH2,5
