"Metabolite","Log2FC","p.adj","t.val","786-O_1","786-O_2","786-O_3","HK2_1","HK2_2","HK2_3","HMDB","KEGG.ID","KEGGCompound","Pathway"
"acetyl-CoA",0.234123314600126,0.433153736281628,-475121.787817462,3486161.2346677,3367432.12212852,2661623.60969503,2894328.7713225,2296943.69998282,2898579.13173354,"HMDB0001206","C00024","Acetyl-CoA","Citrate cycle (TCA cycle)"
"acetylcarnitine",0.455205912351901,0.311374994203076,-1560899890.93609,5470500205.18548,5262756661.77178,6572007412.28642,5947039757.54438,3143517363.06853,3532007485.82248,"HMDB0000201","C02571","O-Acetylcarnitine","Fatty acyl carnitines"
"acetylcholine",0.039366713349866,0.959651276613239,-1079217.82948364,43664600.3155055,38174310.9540825,38439464.4653509,43890849.7424983,36981810.9752343,36168061.5287553,"HMDB0000895","C01996","Acetylcholine","Glycerophospholipid metabolism"
"aconitate",0.982845152014393,0.00561249452061896,-51693711.2222286,100192412.933317,93618100.8709847,120106772.95025,66710215.177461,42899324.1611646,49226613.7492401,"HMDB0000072","C00417","cis-Aconitate","Citrate cycle (TCA cycle)"
"adenosine",0.275643914332542,0.878037876852404,-2657980.89529169,24287861.4817361,12135563.8021958,9425315.36454477,13885363.0610671,11239887.7109866,12749547.1905479,"HMDB0000050","C00212","Adenosine","Purine metabolism"
"ADP",-0.13725030893745,0.854493377550603,4595065.03036574,55548621.6034646,41177096.7131705,41392870.1213362,56618979.3234928,45298596.3474387,49986207.858137,"HMDB0001341","C00008","ADP","Purine metabolism"
"ADP-ribose",-0.00499079767406312,0.999918562431201,5753.07216649922,1562815.27678306,1782318.48209582,1635381.15669854,1682394.65836869,1676294.21227601,1639085.26143222,"HMDB0001178","C00301","ADP-ribose","Purine metabolism"
"alanine",-1.84039248925103,1.43214897380117e-05,623011874.510518,234413730.3101,251649956.570199,238067174.633916,1000105967.04004,857373599.834125,735686918.171607,"HMDB0000161","C00041","L-Alanine","Amino acid metabolism"
"AMP",0.122378658738956,0.491648051095841,-1229844.85047908,15659630.1105693,14912161.1773471,14794163.5076521,13918047.7865974,13253745.2724512,14504627.1850828,"HMDB0000045","C00020","AMP","Purine metabolism"
"arginine",0.167489471660586,0.740804329973449,-12459179.1077636,109699301.893969,107411345.49705,123896531.764063,89109569.0607396,87373746.5251109,127146326.245941,"HMDB0000517","C00062","L-Arginine","Amino acid metabolism"
"argininosuccinate",-2.48685333674215,2.79893493304595e-06,456193.890340072,111959.043881872,95342.5582723434,89858.2742154488,617283.959014955,553005.465403425,495452.1229715,"HMDB0000052","C03406","N-(L-Arginino)succinate","Alanine, aspartate and glutamate metabolism"
"asparagine",-2.11802335550469,1.57002044698373e-09,76222740.7241688,23703017.9181384,22277164.1071989,22463116.3157534,100771574.113026,101548392.187856,94791554.2127157,"HMDB0000168","C00152","L-Asparagine","Amino acid metabolism"
"aspartate",0.23423600853499,0.0646839396266916,-189118332.246538,1308092439.19171,1220337776.58316,1257345551.48636,964215886.934505,1173661258.38572,1080543625.20139,"HMDB0000191","C00049","L-Aspartate","Amino acid metabolism"
"ATP",-0.179354095929594,0.931884572257305,25757984.689522,276891114.186137,148772942.467091,158078370.35397,280356916.637715,172910971.913052,207748492.524997,"HMDB0000538","C00002","ATP","Purine metabolism"
"beta-alanine",-1.25372253980447,9.27461668431828e-06,62250973.0498479,48072406.6872132,46500594.0334204,40309590.4963679,117847309.707454,108571737.924417,95216462.7346751,"HMDB0000056","C00099","beta-Alanine","Pyrimidine metabolism"
"beta-citrylglutamic acid",-0.52127675793051,0.000504318931535797,68481629.9662108,176886710.14522,152509395.702644,142647018.253306,223143700.271422,226366147.951709,227978165.776672,"HMDB0013220",NA,NA,"Not assigned"
"betaine",-0.66440105907179,0.000133752085871186,2531130825.31126,4842605541.08387,3774264442.49502,4365281920.73776,7194708605.47222,6606221432.1405,6774614342.63772,"HMDB0000043","C00719","Betaine","Not assigned"
"butyrylcarnitine C4",-0.280722116554753,0.0566746188863524,148635179.948637,652784022.03722,708799353.475546,714300080.795885,855908527.674487,919639157.059906,746241311.420168,"HMDB0002013","C02862",NA,"Fatty acyl carnitines"
"cAMP",0.08625064780627,0.68680555477151,-26634.9786956322,466845.01255791,448718.945118006,461338.334605543,439278.724402517,424593.869145044,433124.762647002,"HMDB0000058","C00575","Cyclic AMP","Purine metabolism"
"carnitinamide",0.359867446125265,0.00091158964644944,-749186.631651091,3342139.26076175,3324164.10787696,3514530.67528953,2741568.91509221,2471171.5478478,2720533.68603495,NA,"C02290","L-Carnitinamide","Not assigned"
"carnitine",0.926093374534731,7.40193698817171e-05,-10830613381.4722,24121629283.5575,22730814121.787,21736478310.4963,14164377440.8628,11991811961.0313,9940892169.5302,NA,"C00487","Carnitine","Fatty acyl carnitines"
"carnosine",-0.258480013978225,0.806671615278112,1419812.64394289,7002229.53953976,6271976.15802241,8433505.37373283,7123793.57670935,7167033.27699385,11676322.1494205,"HMDB0000033","C00386","Carnosine","Not assigned"
"CDP",0.0865474301277849,0.996491111255365,-291309.297312844,7390162.91787582,3804817.23747926,3814219.26849754,6911889.62185955,3342933.18196499,3880448.72808955,"HMDB0001546","C00112","CDP","Pyrimidine metabolism"
"CDP-ethanolamine",-3.66578971490677,9.69455626494975e-05,6986218.66703513,746628.992227784,466177.804000999,579834.978092815,9615337.94483783,7007144.06053377,6128815.77005539,"HMDB0001564","C00570","CDP-ethanolamine","Glycerophospholipid metabolism"
"choline",-1.07029020262842,0.00181061368549406,321696265.376019,386245007.640245,231405545.929156,259817991.555919,702639154.96341,565866917.269169,574051269.020797,"HMDB0000097","C00114","Choline","Glycerophospholipid metabolism"
"citicoline",-2.84741817328112,9.65947799524969e-09,17867598.6527506,3213567.11760024,2292391.95666072,3143681.79138167,19924586.540934,20523734.3285797,21804115.9543808,"HMDB0001413","C00307","CDP-choline","Glycerophospholipid metabolism"
"citrate",0.513732569060793,0.0073149324443712,-607864360.233414,1994159351.06803,2046374285.16265,2046387820.94987,1598687203.33213,1234621472.60623,1430019700.54195,"HMDB0000094","C00158","Citrate","Citrate cycle (TCA cycle)"
"citrulline",-0.693882306527091,3.39040717423078e-06,147462829.725725,236261022.223848,237112323.16846,242893624.459077,384972174.859233,381069603.969196,392613680.200131,"HMDB0000904","C00327","L-Citrulline","Arginine and proline metabolism"
"CMP",0.453627464971735,0.828638812240489,-301569.80804653,1660372.03723901,948671.905295757,744271.970528203,1338784.6223858,529560.812641974,580261.0538956,"HMDB0000095","C00055","CMP","Pyrimidine metabolism"
"CMP-2-aminoethylphosphonate",-2.49816836961699,0.000269477736499213,2268593.00806649,618191.347173575,309963.571488553,535555.17026749,2890089.04456122,3027421.65173392,2351978.41683393,"HMDB0060067","C05673","CMP-2-aminoethylphosphonate","Not assigned"
"CMP-acetylneuraminic acid",0.13961756905752,0.188722961549805,-672871.705327258,7997997.91297213,7047339.05693255,6838983.44965271,6634164.87410117,6843428.7035073,6388111.72596715,"HMDB0001176","C00128","CMP-N-acetylneuraminate","Not assigned"
"creatine",0.47064691185859,0.000136073790952485,-13534013389.6748,46703275171.2276,50372697015.7495,48786137829.6902,31507318577.2083,35929464750.3611,37823286520.0735,"HMDB0000064","C00300","Creatine","Arginine and proline metabolism"
"creatinine",0.0229575986680158,0.996110778169524,-25688975.798099,1641549907.99319,1565566223.92906,1674537980.71748,1499168576.24657,1492781436.11971,1812637172.87915,"HMDB0000562","C00791","Creatinine","Arginine and proline metabolism"
"CTP",0.0344645190922863,0.999827763698426,-278721.682805929,18660118.829423,7896484.13290376,8865262.27502026,17275778.7453021,7801125.00994234,9508796.43368475,"HMDB0000082","C00063","CTP","Pyrimidine metabolism"
"cyclic ADP-ribose",-0.095187031792823,0.208584778813026,1131118.79899647,16677014.1234459,16721793.0641292,16354320.0001765,18307142.3482292,17492036.0950961,17347305.1414157,"HMDB0249529","C13050","Cyclic ADP-ribose","Purine metabolism"
"cystathionine",-3.11353563207952,2.9979402765834e-06,5792154.45285022,743589.92362469,759154.193568434,767202.150132229,7512091.24910598,6612123.5462081,5522194.83056194,"HMDB0000099","C02291","L-Cystathionine","Cysteine and methionine metabolism"
"cysteic acid",1.53499229570595,0.0046199137949886,-225156.482365201,322540.839143879,333348.36599569,375489.688937409,109495.390744484,105348.668357516,141065.387879375,"HMDB0002757","C00506","L-Cysteate","Cysteine and methionine metabolism"
"cysteinylglycine",-0.463834953902001,0.0144631489755488,5993176.47931629,17330823.6313703,17075192.4147697,13007963.4370521,23351149.8820052,21940313.7845521,20102045.2545836,"HMDB0000078","C01419","Cys-Gly","Glutathione metabolism"
"cytidine",-0.386813015188143,0.433460318291347,792141.115117031,3293437.22585025,2580693.64779258,1854028.00815335,3392418.88060391,2830448.36158506,3881714.98495831,"HMDB0000089","C00475","Cytidine","Pyrimidine metabolism"
"cytosine",0.0240572160081606,0.997350132883749,-54838.3432486365,3618191.64597026,3463241.80275637,2866908.20404175,3030263.3373446,3003927.09916337,3749636.18651449,"HMDB0000630","C00380","Cytosine","Pyrimidine metabolism"
"dATP",-0.765702701675076,0.527871398672684,154591.658080406,404805.128914491,140661.818675647,116881.454011768,558551.623450964,233062.802568909,334508.94982325,"HMDB0001532","C00131","dATP","Purine metabolism"
"dCTP",-0.568486486392482,0.86841286461907,115386.833839109,486682.406311991,95430.7024773813,134624.281860094,620847.135463977,183590.289986453,258460.466716364,"HMDB0000998","C00458","dCTP","Pyrimidine metabolism"
"deoxyadenosine",0.044854554490548,0.999225105538259,-16344.9037339102,791722.676185549,510068.617349495,299998.067080092,480532.181307995,387237.55350169,684984.914603721,"HMDB0000101","C00559","Deoxyadenosine","Purine metabolism"
"deoxycytidine",-0.0693697503857486,0.978429766151389,237619.330006077,6075798.83452449,3930744.08738486,4465318.81069617,5920548.10181539,4417177.64165677,4846993.97915158,"HMDB0000014","C00881","Deoxycytidine","Pyrimidine metabolism"
"deoxyribose 5-phosphate",1.50093380794,0.000388534629367943,-1220459.03920856,2031816.03228078,1988893.26765512,1641137.8013366,761603.152668526,745670.885442462,493195.945535824,"HMDB0001031","C00673","2-Deoxy-D-ribose 5-phosphate","Pentose phosphate pathway"
"dihydroorotate",0.411028163936932,0.94810835284927,-8875015.36846778,28172096.6293514,49775982.4180217,29448737.1165219,19478639.7271276,47944721.1537916,13348409.1775725,"HMDB0003349","C00337","(S)-Dihydroorotate","Pyrimidine metabolism"
"dihydroxyacetone phosphate",0.227989831762503,0.616229706879827,-6209742.52105983,45592076.163533,32252956.3119878,49598552.1951489,35784384.4238361,37493731.596996,35536241.0866581,"HMDB0001473","C00111","Glycerone phosphate","Glycolysis / Gluconeogenesis"
"dimethylarginine (ADMA+SDMA)",0.221880966653208,0.162894485273214,-1231791.48557203,9352443.12136327,8337360.58389269,8232967.08005725,7913502.80105112,6472579.79532564,7841313.73222037,NA,NA,NA,"Not assigned"
"dTTP",-0.173691622657707,0.887580265468869,399219.356336591,4090508.10993,2550059.90754303,2720449.51824078,4487385.13909332,3003722.79863053,3067567.66699972,"HMDB0001342","C00459","dTTP","Pyrimidine metabolism"
"FAD",0.887718098936359,0.129037373952617,-457986.685986666,1241385.70517379,712782.418456775,1035745.41414886,618750.627531335,379446.515411047,617756.336877039,"HMDB0001248","C00016","FAD","Vitamin digestion and absorption"
"fructose",0.514578125944006,0.088581166093335,-2382990.80739894,7335641.8538125,7561004.93425727,8933070.38908187,5105695.14931389,4912476.49694895,6662573.10869198,"HMDB0000660","C02336","beta-D-Fructose","Not assigned"
"fructose 1,6-bisphosphate",-0.0872426349820952,0.837124043766435,927192.624179663,15560572.8429519,13818986.1464453,15241460.8029714,14727001.2974938,16309296.7518241,16366299.6155897,"HMDB0001058","C00354","D-Fructose 1,6-bisphosphate","Glycolysis / Gluconeogenesis"
"fructose 6-Phosphate",0.0733065139729756,0.972295726364312,-243796.74913933,4650511.91425793,5281142.83964952,4831125.20526495,4422697.63226243,4913412.27851703,4695279.80097494,"HMDB0000124","C00085","D-Fructose 6-phosphate","Not assigned"
"fumarate",-0.00196133441470234,0.999996886639169,153809.338562489,101849806.660557,118065773.961911,119265489.253855,106582182.009525,114559050.985703,118501264.896783,"HMDB0000134","C00122","Fumarate","Citrate cycle (TCA cycle)"
"GDP",0.223401382038224,0.945153379220598,-872412.023377039,9487835.0229361,4197713.62265903,4558575.53451683,7083787.40974123,4029030.29284998,4514070.40738963,"HMDB0001201","C00035","GDP","Purine metabolism"
"GDP-hexose",0.159020997148596,0.779056163960282,-109553.57132353,1145819.49679349,928404.609177851,1074851.40741134,867391.972014544,900009.889163896,1053012.93823364,NA,NA,NA,"Purine metabolism"
"gluconate",-2.36101155603355,9.63498899553273e-08,2268692220.55082,460916084.235941,600687465.28296,583447437.077205,2985441445.58942,2931277222.48229,2534408980.17684,"HMDB0000625","C00257","D-Gluconic acid","Pentose phosphate pathway"
"glucose",0.243166428976836,0.94616220329529,-5752488.18292509,38032857.3598524,31915607.5490581,41310277.6958847,18410559.6813803,22268182.1580286,53322536.2166111,"HMDB0003345","C00267","alpha-D-Glucose","Glycolysis / Gluconeogenesis"
"glucose 1-phosphate",-0.783774983280414,0.00042115123119002,879945.25377165,1145024.42752496,1225265.28278574,1287868.02965157,2066096.57603559,2108934.69868123,2122962.22656041,"HMDB0001586","C00103","D-Glucose 1-phosphate","Glycolysis / Gluconeogenesis"
"glucose 6-phosphate",0.18864214501661,0.937917071434753,-1271059.69368639,9763095.75788508,10893294.1740998,10454121.0458167,7478831.97847808,9361106.45499942,10457393.4632649,"HMDB0001401","C00092","D-Glucose 6-phosphate","Glycolysis / Gluconeogenesis"
"glucuronic acid",0.837830220081855,0.000209659857054456,-6058659.79091529,14812004.6577689,13635922.4633498,12812765.766449,9162723.89776757,7820849.14107586,6101140.47597845,"HMDB0000127","C00191","D-Glucuronate","Not assigned"
"glutamate",0.301047091700099,0.00244689586907265,-1742282651.23612,8978130104.80672,9513390338.68996,9261126985.23362,6963813663.70685,7962084412.83458,7599901398.4805,"HMDB0000148","C00025","L-Glutamate","Amino acid metabolism"
"glutamine",-0.687807079927885,0.0948353120623814,529685962.225981,968645754.256442,665783105.185501,967030885.551362,998301998.484095,1424528207.06477,1767687426.12239,"HMDB0000641","C00064","L-Glutamine","Amino acid metabolism"
"glutamylcysteine",-0.410832311038844,0.0978353591926238,234835.308945705,871736.954526734,629903.04974007,636773.792055119,925851.759062081,983351.33625816,933716.627838796,"HMDB0001049","C00669","gamma-L-Glutamyl-L-cysteine","Glutathione metabolism"
"glutamylglutamate",0.443345608360067,0.0504655574960085,-928383.862658524,3831224.53340893,3725918.20928611,2969832.52554878,2338642.73702965,2763773.0317381,2639407.91150049,"HMDB0028818","C01425","Glutamyl-glutamic acid","Amino acid metabolism"
"glutamyllysine",-0.525378977949219,0.221425196157937,167051.804751722,557298.223098709,354942.137188778,228533.960228261,498063.10182108,515364.408759788,628502.224190046,"HMDB0004207",NA,NA,"Amino acid metabolism"
"glutamylthreonine",0.248750990048227,0.208460941272309,-663208.252582438,4328202.01047749,4170583.29543925,4063938.76090659,3076087.76767913,3888294.30058954,3608717.24080734,"HMDB0028829",NA,NA,"Not assigned"
"glutathione",-0.32675059611663,0.0275723301562077,577978244.538753,2509026097.82279,2355654205.91793,1956856010.38066,2991259609.43068,2849597129.54937,2714614308.75759,"HMDB0000125","C00051","Glutathione","Glutathione metabolism"
"glutathione oxidized",-0.676650933871604,0.000303942286571157,2785836.75496883,5462191.07886735,4607052.40896408,3896603.70140703,7699334.0923257,7339262.45306688,7284760.90875237,"HMDB0003337","C00127","Glutathione disulfide","Glutathione metabolism"
"Gly-Gly",-0.962283988748408,2.2705644914911e-05,925989.927943459,947809.292975378,931857.921816492,1049469.35381867,1735100.19278038,1856919.05076824,2115087.1088923,"HMDB0011733","C02037","N-Glycylglycine","Amino acid metabolism"
"glyceraldehyde 3-phosphate",0.415029820557159,0.033348204901276,-6045417.77878418,22565089.6637172,24175650.764196,25805431.2981559,17854683.823192,17626646.951295,18928587.6152295,"HMDB0001112","C00118","D-Glyceraldehyde3-phosphate","Glycolysis / Gluconeogenesis"
"glycerol 3-phosphate",-1.5604831170114,0.000153632898163725,14237356.7834841,7037538.13865218,6828058.52400372,8043354.93760404,19833236.9673783,22780687.6651118,22007097.3182223,"HMDB0000126","C00093","sn-Glycerol 3-phosphate","Glycerophospholipid metabolism"
"glycerophosphocholine",-0.795504036934147,0.0144578858498946,4176598797.42419,6360734114.85977,5064294516.55276,5606471386.26858,8863157095.78313,9516495699.96221,11181643614.2083,"HMDB0000086","C00670","sn-Glycero-3-phosphocholine","Glycerophospholipid metabolism"
"glycerophosphoethanolamine",-1.60969336939104,2.00936500660553e-07,217110169.902481,122327593.800025,100341926.877619,94763164.441493,343422034.95587,308364353.47617,316976806.394542,"HMDB0000114","C01233","sn-Glycero-3-phosphoethanolamine","Glycerophospholipid metabolism"
"glycerophosphoinositol",-1.71231454879235,0.000439133998307417,62321428.6585584,20864998.048889,33702369.5634301,27547558.4142107,106750581.325859,86435401.6245365,75893229.0518093,"HMDB0011649","C01225","sn-Glycero-3-phospho-1-inositol","Not assigned"
"glycine",-3.18074643278044,3.26656146576454e-10,20947231.3216819,2590589.50624547,2509489.98708486,2689156.04680372,24401002.4439612,23659708.2493796,22570218.811839,"HMDB0000123","C00037","Glycine","Amino acid metabolism"
"GMP",0.0810799174214926,0.996403896648035,-91913.345298636,2636915.59227087,1127556.90741703,1281067.57121754,2017508.51241203,1281797.722064,1470493.8005335,"HMDB0001397","C00144","GMP","Purine metabolism"
"GTP",0.162183258011736,0.981075103987922,-880232.279098933,13516630.9022112,5452184.11029933,5866485.33031231,10151090.2924849,5734975.3882335,6308537.82480767,"HMDB0001273","C00044","GTP","Purine metabolism"
"guanosine",0.0951954307851931,0.995482882564283,-45920.784633965,1122148.81369546,692024.331681404,343265.957407157,645845.029037313,644836.920602937,728994.799241881,"HMDB0000133","C00387","Guanosine","Purine metabolism"
"hexanoylcarnitine C6",-0.206051111996537,0.400235322528757,756445.384703298,5182200.07946066,4795147.90536324,4804051.7961302,5003534.18335667,6791551.73974719,5255650.01196013,NA,NA,NA,NA
"hexenoylcarnitine C6:1",0.212436439059513,0.596179547855125,-259509.841091446,2136301.49291128,1858486.19562507,1691164.40027083,1481233.70591015,1995033.05698822,1431155.80263447,NA,NA,NA,"Fatty acyl carnitines"
"hexosamine phosphate",-1.36090396872297,7.54404808002151e-05,8527539.72106912,5443646.57830829,5379493.68620342,5487513.89967333,16270968.8063922,13739096.5792472,11883207.941753,NA,NA,NA,"Not assigned"
"hippuric acid-d5",0.366728603035397,0.0243768325871425,-937527768.862147,3896527349.69206,4496764781.88414,4137100133.31156,3171399129.74091,3180479423.48729,3365930405.07312,NA,NA,NA,NA
"histidine",-0.776077595253238,4.74495523683505e-06,297840190.808031,417108985.067145,421876060.75191,415134058.654228,737541468.684176,692348663.214146,717749544.999053,"HMDB0000177","C00135","L-Histidine","Amino acid metabolism"
"homoarginine",0.341800619885663,0.112237603281925,-433911.807935832,1904724.1450009,2118009.23990892,2148263.12281342,1595295.73179207,1435407.95367137,1838557.3984523,"HMDB0000670","C01924","L-Homoarginine","Arginine and proline metabolism"
"hypotaurine",1.18912906417577,9.27988547860803e-06,-1093884.24551963,2086238.40945279,1899397.5850543,1859506.49291844,1028281.13134911,807591.081782638,727617.537734897,"HMDB0000965","C00519","Hypotaurine","Not assigned"
"hypoxanthine",0.20025631417759,0.989073938659062,-618251.593637176,6698166.37376624,5792571.84183824,1820189.85616193,2307248.10857376,2125909.14672609,8023016.03555503,"HMDB0000157","C00262","Hypoxanthine","Purine metabolism"
"IMP",0.676998775426476,0.194089184094526,-251149.655810448,530472.96511094,804918.132486479,676301.027772495,489397.029366921,402330.883036652,366515.245534997,"HMDB0000175","C00130","IMP","Purine metabolism"
"indole",-0.940198417274432,1.75557688550931e-05,444697.402528529,507010.340727111,448699.754024313,496296.494736605,991255.553735465,847496.210741386,947347.032596766,"HMDB0000738","C00463","Indole","Not assigned"
"indole-3-lactate",-0.667080058356357,0.0115981552388212,203623.194588939,321001.410646066,373131.673166021,345015.299028119,635862.578819752,500994.775864438,513160.611922832,"HMDB0000671","C02043","Indolelactate","Not assigned"
"inosine",0.403473810704694,0.246046915938463,-255116.373784482,1097720.45065496,1104147.70222689,935267.061326062,719841.517900991,620400.613612008,1031543.96134147,"HMDB0000195","C00294","Inosine","Purine metabolism"
"isoleucine",-0.551417979868267,0.00292751890698605,156891170.716666,332586953.22993,321235126.683678,357236617.720939,470955902.451843,462226339.101563,548549968.231138,"HMDB0000172","C00407","L-Isoleucine","Valine, leucine and isoleucine biosynthesis"
"isovalerylcarnitine",1.22001397160328,0.000479363896561002,-21718343.7064152,33873777.1133964,45454835.7997974,34833965.63362,19753215.0602258,15537391.1993718,13716941.1679707,"HMDB0000688","C20826","Isovalerylcarnitine","Fatty acyl carnitines"
"KMV",-0.00434949857168634,0.999998393765241,12723.4702356392,4115477.85888093,3713430.22777459,4812846.35165155,3605000.6438945,2919326.02966136,6155598.17545813,NA,NA,NA,"Valine, leucine and isoleucine biosynthesis"
"lactate",-0.118747488037635,0.85241357093089,45689480.4310049,524022252.740762,456134870.207483,617529929.278557,565048879.384268,499136449.811077,670570164.324471,"HMDB0000190","C00186","(S)-Lactate","Glycolysis / Gluconeogenesis"
"leucine",-0.736465975738305,0.000202722805652367,237475155.364878,365679558.718801,339013906.885232,364870572.626542,577249919.723225,564558365.259929,640181219.342054,"HMDB0000687","C00123","L-Leucine","Valine, leucine and isoleucine biosynthesis"
"lysine",0.21308626049166,0.51176521625092,-4749582.70366909,33503710.2733302,33301694.317318,36965066.5013029,27919226.3324968,25870670.9987585,35731825.6496886,"HMDB0000182","C00047","L-Lysine","Amino acid metabolism"
"malate",0.0198233725079439,0.997019308368142,-28346889.8854785,1858181544.75874,2182146462.88812,2191335099.79166,1940397414.00106,2064435996.65218,2141789027.12885,"HMDB0000156","C00149","(S)-Malate","Citrate cycle (TCA cycle)"
"malonate",-0.117624662510951,0.926744014124331,510668.929965882,6400127.94780184,7295639.51173308,4339072.05184019,5918003.15206657,6198577.34546546,7450265.80374073,"HMDB0000691","C00383","Malonate","Pyrimidine metabolism"
"malonylcarnitine C3-DC",3.39724412805181,5.50027022849786e-06,-1939380.15404839,2476014.38927931,2078677.22355492,1873577.88085013,268572.040164836,143914.954154829,197642.037219532,"HMDB0002095",NA,NA,"Fatty acyl carnitines"
"mesaconate",1.0159135386822,5.90298194164118e-05,-16906912.6834844,30661240.8189381,36846435.0703573,32833080.933001,14951797.2866211,16354894.2109555,18313327.2742665,"HMDB0000749","C01732","Mesaconate","Citrate cycle (TCA cycle)"
"methionine",-1.29550164491139,6.89319842528402e-06,89136497.3762098,64593878.2041502,52751088.1464738,66489219.3412162,144315072.621638,146980149.007325,159948456.191507,"HMDB0000696","C00073","L-Methionine","Amino acid metabolism"
"methionine sulfoxide",-0.520190593476323,0.0151830337408086,192029.968977606,434061.731184868,486385.138684918,406506.811084657,617546.511323351,623903.404838718,661593.671725193,"HMDB0002005","C02989","L-MethionineS-oxide","Cysteine and methionine metabolism"
"methylhistidine",-0.555907430157587,0.000581289979978306,14675910.9408723,31328749.7955129,30387796.9895974,31940947.1649828,46537469.4195101,43426917.5206078,47720839.8325921,"HMDB0000001","C01152","N(pi)-Methyl-L-histidine","Amino acid metabolism"
"methylindole",-0.595716785334114,1.60424958912664e-05,917232.696228436,1849918.26173821,1733364.60425181,1799293.50677814,2724280.19925928,2607979.06116616,2802015.20102802,"HMDB0000466","C08313","Skatole","Not assigned"
"methylmalonylcarnitine C3-DC-M/succinylcarnitine C4-DC",1.9918108954206,4.34590254561051e-07,-25725908.3229039,36988191.9312654,34526620.247944,31584448.3579902,9423708.80123107,8611878.67499288,7885948.09226402,NA,NA,NA,"Fatty acyl carnitines"
"mevalonic acid 5-pyrophosphate",0.913805123175819,0.348557678786052,-241424.1106072,783593.157901846,461739.803819851,298244.509226818,344295.77880786,168581.465793873,306427.894525183,NA,NA,NA,"Not assigned"
"myo-inositol",1.34607713087174,2.80709196968099e-05,-126411068.132204,190534686.983612,224381005.661948,210221661.218768,91206977.8435427,80653826.8917515,74043344.7324204,"HMDB0000211","C00137","myo-Inositol","Not assigned"
"N-acetylalanine",-0.489680301977541,1.0628300025961e-05,5121488.29195197,12160710.0200264,12943947.853528,12913615.0862401,18445570.2751943,17684057.4543673,17253110.1060888,"HMDB0000766",NA,NA,"Amino acid metabolism"
"N-acetylarginine",-2.2226543525286,7.41555489791601e-07,1997068.12499143,598163.50218244,521428.336952359,513995.479230745,2833531.34431134,2380366.85414084,2410893.49488766,"HMDB0004620",NA,NA,"Amino acid metabolism"
"N-acetylaspartate",-3.0112447455177,5.16253706450698e-14,2419775457.95149,297217778.794279,351176370.392088,379460846.52709,2717445461.76647,2788055497.70055,2781680410.1009,"HMDB0000812","C01042","N-Acetyl-L-aspartate","Alanine, aspartate and glutamate metabolism"
