"Plot","Metabolite","CAS","SUPER_PATHWAY","SUB_PATHWAY","COMP_ID","PLATFORM","RI","MASS","HMDB","KEGG","PUBCHEM","CHEBI","manual_correction","correction_tbl"
"Original","1-myristoylglycerophosphoethanolamine",NA,"Lipid","Lysolipid",35627,"LC/MS Pos",5481,426.1,"HMDB11500",NA,"9547070",NA,NA,NA
"Original","1-oleoylglycerol (1-monoolein)","111-03-5","Lipid","Monoacylglycerol",21184,"GC/MS",2181.2,397.4,"HMDB11567",NA,"5283468",NA,NA,NA
"Original","1-oleoylglycerophosphocholine","19420-56-5","Lipid","Lysolipid",33960,"LC/MS Pos",5700,522.4,NA,NA,"16081932",NA,NA,NA
"Original","1-oleoylglycerophosphoethanolamine","89576-29-4","Lipid","Lysolipid",35628,"LC/MS Neg",5928,478.3,"HMDB11506",NA,"9547071",NA,NA,NA
"Original","1-oleoylglycerophosphoinositol*",NA,"Lipid","Lysolipid",36602,"LC/MS Neg",5577,597.4,NA,NA,NA,NA,NA,NA
"Original","1-oleoylglycerophosphoserine",NA,"Lipid","Lysolipid",19260,"LC/MS Neg",5690,522.3,NA,NA,"9547099",NA,NA,NA
"Original","1-palmitoleoylglycerophosphocholine*",NA,"Lipid","Lysolipid",33230,"LC/MS Pos",5524,494.3,NA,NA,NA,NA,NA,NA
"Original","1-palmitoleoylglycerophosphoethanolamine*",NA,"Lipid","Lysolipid",34565,"LC/MS Pos",5521.4,452.3,NA,NA,NA,NA,NA,NA
"Original","1-palmitoylglycerol (1-monopalmitin)","542-44-9","Lipid","Monoacylglycerol",21127,"GC/MS",2119.5,371.3,NA,NA,"14900",NA,NA,NA
"Original","1-palmitoylglycerophosphocholine","17364-16-8","Lipid","Lysolipid",33955,"LC/MS Pos",5671,496.4,NA,NA,"86554",NA,NA,NA
"Original","1-palmitoylglycerophosphoethanolamine",NA,"Lipid","Lysolipid",35631,"LC/MS Neg",5940,452.3,"HMDB11503",NA,"9547069",NA,NA,NA
"Original","1-palmitoylglycerophosphoinositol*",NA,"Lipid","Lysolipid",35305,"LC/MS Neg",5573,571.3,NA,NA,NA,NA,NA,NA
"Original","1-palmitoylplasmenylethanolamine*",NA,"Lipid","Lysolipid",39270,"LC/MS Neg",6153,436.4,NA,NA,NA,NA,NA,NA
"Original","1-pentadecanoylglycerophosphocholine*",NA,"Lipid","Lysolipid",37418,"LC/MS Pos",5563,482.3,NA,NA,NA,NA,NA,NA
"Original","1-stearoylglycerol (1-monostearin)","123-94-4","Lipid","Monoacylglycerol",21188,"GC/MS",2186.6,399.4,NA,"D01947","24699",NA,NA,NA
"Original","1-stearoylglycerophosphocholine","19420-57-6","Lipid","Lysolipid",33961,"LC/MS Pos",5844,524.4,NA,NA,"497299",NA,NA,NA
"Original","1-stearoylglycerophosphoethanolamine","69747-55-3","Lipid","Lysolipid",34416,"LC/MS Pos",5842,482.3,"HMDB11130",NA,"9547068",NA,NA,NA
"Original","1-stearoylglycerophosphoinositol","796963-93-4","Lipid","Lysolipid",19324,"LC/MS Neg",5800,599.4,NA,NA,NA,NA,NA,NA
"Original","10-heptadecenoate (17:1n7)","29743-97-3","Lipid","Long chain fatty acid",33971,"LC/MS Neg",5558,267.3,NA,NA,"5312435",NA,NA,NA
"Original","10-nonadecenoate (19:1n9)","73033-09-7","Lipid","Long chain fatty acid",33972,"LC/MS Neg",5775,295.4,NA,NA,"5312513",NA,NA,NA
"Original","13-HODE + 9-HODE",NA,"Lipid","Fatty acid, monohydroxy",37752,"LC/MS Neg",5247,295.2,NA,NA,NA,NA,NA,NA
"Original","15-methylpalmitate (isobar with 2-methylpalmitate)",NA,"Lipid","Fatty acid, branched",38768,"LC/MS Neg",5698,269.4,NA,NA,NA,NA,NA,NA
"Original","16-hydroxypalmitate","506-13-8","Lipid","Fatty acid, monohydroxy",39609,"LC/MS Neg",5232,271.3,NA,"C18218","10466",NA,NA,NA
"Original","2'-deoxyadenosine 3'-monophosphate","102832-10-0","Nucleotide","Purine metabolism, adenine containing",40663,"LC/MS Pos",1383.5,332.1,NA,NA,"1467",NA,NA,NA
"Original","2'-deoxycytidine 3'-monophosphate","6220-63-9","Nucleotide","Pyrimidine metabolism, cytidine containing",40453,"LC/MS Pos",1048,308,NA,NA,"3274948",NA,NA,NA
"Original","2'-deoxyguanosine","961-07-9","Nucleotide","Purine metabolism, guanine containing",1411,"LC/MS Pos",1728,268,"HMDB00085","C00330","187790",NA,NA,NA
"Original","2'-deoxyinosine","890-38-0","Nucleotide","Purine metabolism, (hypo)xanthine/inosine containing",15076,"LC/MS Neg",1700,251.1,"HMDB00071","C05512","65058",NA,NA,NA
"Original","2-aminoadipate","542-32-5, 1118-90-7","Amino acid","Lysine metabolism",6146,"GC/MS",1686.5,260.1,"HMDB00510","C00956","469",NA,NA,NA
"Original","2-aminobutyrate","1492-24-6","Amino acid","Butanoate metabolism",1577,"GC/MS",1215.7,130,"HMDB00650","C02261","439691",NA,NA,NA
"Original","2-arachidonoylglycerophosphocholine*",NA,"Lipid","Lysolipid",35256,"LC/MS Pos",5524,544.3,NA,NA,NA,NA,NA,NA
"Original","2-arachidonoylglycerophosphoethanolamine*",NA,"Lipid","Lysolipid",32815,"LC/MS Neg",5674,500.3,NA,NA,NA,NA,NA,NA
"Original","2-docosahexaenoylglycerophosphocholine*",NA,"Lipid","Lysolipid",35883,"LC/MS Pos",5507,568.3,NA,NA,NA,NA,NA,NA
"Original","2-docosahexaenoylglycerophosphoethanolamine*",NA,"Lipid","Lysolipid",34258,"LC/MS Pos",5512,526.2,NA,NA,NA,NA,NA,NA
"Original","2-docosapentaenoylglycerophosphocholine*",NA,"Lipid","Lysolipid",37366,"LC/MS Pos",5532,570.3,NA,NA,NA,NA,NA,NA
"Original","2-docosapentaenoylglycerophosphoethanolamine*",NA,"Lipid","Lysolipid",34875,"LC/MS Pos",5548,528.2,NA,NA,NA,NA,NA,NA
"Original","2-eicosatrienoylglycerophosphocholine*",NA,"Lipid","Lysolipid",35884,"LC/MS Pos",5565,546.3,NA,NA,NA,NA,NA,NA
"Original","2-ethylhexanoate","149-57-5","Xenobiotics","Chemical",1554,"GC/MS",1210.5,201.2,NA,NA,"8697",NA,NA,NA
"Original","2-hydroxyacetaminophen sulfate*",NA,"Xenobiotics","Drug",33173,"LC/MS Neg",1703,246.1,NA,NA,NA,NA,NA,NA
"Original","2-hydroxybutyrate (AHB)","3347-90-8","Amino acid","Cysteine, methionine, SAM, taurine metabolism",21044,"GC/MS",1169.4,130.9,"HMDB00008","C05984","440864",NA,NA,NA
"Original","2-hydroxyglutarate","40951-21-1","Lipid","Fatty acid, dicarboxylate",37253,"GC/MS",1576,247,"HMDB00606","C02630","43",NA,NA,NA
"Original","2-hydroxyhippurate (salicylurate)","487-54-7","Xenobiotics","Benzoate metabolism",18281,"LC/MS Neg",2252,194.1,"HMDB00840","C07588","10253",NA,NA,NA
"Original","2-hydroxyisobutyrate","594-61-6","Xenobiotics","Chemical",22030,"GC/MS",1107.5,130.9,"HMDB00729",NA,"11671",NA,NA,NA
"Original","2-hydroxypalmitate","764-67-0","Lipid","Fatty acid, monohydroxy",35675,"LC/MS Neg",5508,271.3,NA,NA,"92836",NA,NA,NA
"Original","2-isopropylmalate","3237-44-3","Carbohydrate","Glycolysis, gluconeogenesis, pyruvate metabolism",15667,"LC/MS Neg",732,175.2,"HMDB00402","C02504","5280523",NA,NA,NA
"Original","2-linoleoylglycerol (2-monolinolein)","3443-82-1","Lipid","Monoacylglycerol",32536,"GC/MS",2169,408.3,"HMDB11538",NA,"5365676",NA,NA,NA
"Original","2-linoleoylglycerophosphocholine*",NA,"Lipid","Lysolipid",35257,"LC/MS Pos",5544,520.4,NA,NA,NA,NA,NA,NA
"Original","2-linoleoylglycerophosphoethanolamine*",NA,"Lipid","Lysolipid",36593,"LC/MS Neg",5650,476.4,NA,NA,NA,NA,NA,NA
"Original","2-methoxyacetaminophen sulfate*",NA,"Xenobiotics","Drug",33178,"LC/MS Neg",1977,260.1,NA,NA,NA,NA,NA,NA
"Original","2-methylbutyroylcarnitine","31023-25-3","Amino acid","Valine, leucine and isoleucine metabolism",35431,"LC/MS Pos",2439,246.1,"HMDB00378",NA,"6426901",NA,NA,NA
"Original","2-myristoylglycerophosphocholine*",NA,"Lipid","Lysolipid",35681,"LC/MS Pos",5450,468.3,NA,NA,NA,NA,NA,NA
"Original","2-oleoylglycerol (2-monoolein)","3443-84-3","Lipid","Monoacylglycerol",35848,"GC/MS",2170,410.1,NA,NA,"5319879",NA,NA,NA
"Original","2-oleoylglycerophosphocholine*",NA,"Lipid","Lysolipid",35254,"LC/MS Pos",5640,522.4,NA,NA,NA,NA,NA,NA
"Original","2-oleoylglycerophosphoethanolamine*",NA,"Lipid","Lysolipid",35687,"LC/MS Neg",5848,478.3,NA,NA,NA,NA,NA,NA
"Original","2-oleoylglycerophosphoserine*",NA,"Lipid","Lysolipid",37948,"LC/MS Neg",5577,522.3,NA,NA,NA,NA,NA,NA
"Original","2-palmitoleoylglycerophosphocholine*",NA,"Lipid","Lysolipid",35819,"LC/MS Pos",5482,494.3,NA,NA,NA,NA,NA,NA
"Original","2-palmitoylglycerol (2-monopalmitin)","23470-00-0","Lipid","Monoacylglycerol",33419,"GC/MS",2108,129,NA,NA,"123409",NA,NA,NA
"Original","2-palmitoylglycerophosphocholine*",NA,"Lipid","Lysolipid",35253,"LC/MS Pos",5604,496.3,NA,NA,NA,NA,NA,NA
"Original","2-palmitoylglycerophosphoethanolamine*",NA,"Lipid","Lysolipid",35688,"LC/MS Neg",5790,452.3,NA,NA,NA,NA,NA,NA
"Original","2-phosphoglycerate","70195-25-4","Carbohydrate","Glycolysis, gluconeogenesis, pyruvate metabolism",35629,"GC/MS",1734,459.1,"HMDB03391","C00631",NA,NA,NA,NA
"Original","2-stearoylglycerophosphocholine*",NA,"Lipid","Lysolipid",35255,"LC/MS Pos",5780,524.4,NA,NA,"10208382",NA,NA,NA
"Original","2-stearoylglycerophosphoethanolamine*",NA,"Lipid","Lysolipid",41220,"LC/MS Pos",5779.6,482.2,NA,NA,NA,NA,NA,NA
"Original","3'-dephosphocoenzyme A","3633-59-8","Cofactors and vitamins","Pantothenate and CoA metabolism",18289,"LC/MS Neg",2010,686.2,"HMDB01373","C00882","444485",NA,NA,NA
"Original","3,4-dihydroxyphenethyleneglycol","28822-73-3","Amino acid","Phenylalanine & tyrosine metabolism",1555,"GC/MS",1807.7,355.2,"HMDB00318","C05576","91528",NA,NA,NA
"Original","3-(4-hydroxyphenyl)lactate","6482-98-0","Amino acid","Phenylalanine & tyrosine metabolism",32197,"LC/MS Neg",1395,181.1,"HMDB00755","C03672","9378",NA,NA,NA
"Original","3-(N-acetyl-L-cystein-S-yl) acetaminophen*","52372-86-8","Xenobiotics","Drug",18299,"LC/MS Pos",2622,313.1,NA,NA,"83967",NA,NA,NA
"Original","3-(cystein-S-yl)acetaminophen*",NA,"Xenobiotics","Drug",34365,"LC/MS Pos",1960,271.2,NA,NA,"5233914",NA,NA,NA
"Original","3-aminoisobutyrate","10569-72-9, 214139-20-5","Nucleotide","Pyrimidine metabolism, thymine containing, Valine, leucine and isoleucine metabolism/",1566,"GC/MS",1252.2,101.9,"HMDB03911","C05145","64956",NA,NA,NA
"Original","3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)","86879-39-2","Lipid","Fatty acid, dicarboxylate",31787,"LC/MS Neg",2815,239.1,NA,NA,"123979",NA,NA,NA
"Original","3-dehydrocarnitine*","10457-99-5","Lipid","Carnitine metabolism",32654,"LC/MS Pos",1020,160.2,NA,NA,"6991982",NA,NA,NA
"Original","3-hydroxybutyrate (BHBA)","625-72-9","Lipid","Ketone bodies",542,"GC/MS",1203.5,116.9,"HMDB00357","C01089","441",NA,NA,NA
"Original","3-hydroxydecanoate","5561-87-5","Lipid","Fatty acid, monohydroxy",22053,"LC/MS Neg",4681,187.2,"HMDB02203",NA,"26612",NA,NA,NA
"Original","3-hydroxyhippurate",NA,"Xenobiotics","Benzoate metabolism",39600,"LC/MS Neg",1670,194.1,"HMDB06116",NA,"450268",NA,NA,NA
"Original","3-hydroxyoctanoate","88930-08-9","Lipid","Fatty acid, monohydroxy",22001,"LC/MS Neg",3463,159.2,"HMDB01954",NA,"26613",NA,NA,NA
"Original","3-indoxyl sulfate","2642-37-7","Amino acid","Tryptophan metabolism",27672,"LC/MS Neg",2258,212,"HMDB00682",NA,"10258",NA,NA,NA
"Original","3-methyl-2-oxovalerate","51829-07-3","Amino acid","Valine, leucine and isoleucine metabolism",15676,"LC/MS Neg",2106,129.2,"HMDB03736","C00671","439286, 440877, 6857401",NA,NA,NA
"Original","3-methylhistidine","368-16-1","Amino acid","Histidine metabolism",15677,"LC/MS Neg",911,168.1,"HMDB00479","C01152","92105, 64969",NA,NA,NA
"Original","3-phosphoglycerate","80731-10-8","Carbohydrate","Glycolysis, gluconeogenesis, pyruvate metabolism",40264,"GC/MS",1754,357.1,"HMDB00807","C00597",NA,NA,NA,NA
"Original","3-ureidopropionate","462-88-4","Amino acid","Alanine and aspartate metabolism",3155,"LC/MS Pos",1062,133.1,"HMDB00026","C02642","111",NA,NA,NA
"Original","4-acetamidophenol","103-90-2","Xenobiotics","Drug",12032,"LC/MS Pos",2238,152.1,"HMDB01859","C06804","1983",NA,NA,NA
"Original","4-acetaminophen sulfate","10066-90-7, 32113-41-0","Xenobiotics","Drug",37475,"LC/MS Neg",1779,230.1,"HMDB01859","C06804","83939",NA,NA,NA
"Original","4-androsten-3beta,17beta-diol disulfate 1*",NA,"Lipid","Sterol/Steroid",37202,"LC/MS Neg",3735,224.3,"HMDB03818",NA,NA,NA,NA,NA
"Original","4-guanidinobutanoate","463-003, 463-00-3","Amino acid","Guanidino and acetamido metabolism",15681,"LC/MS Pos",1085,146.1,"HMDB03464","C01035","500",NA,NA,NA
"Original","4-hydroxybutyrate (GHB)","502-85-2","Lipid","Fatty acid, monohydroxy",34585,"GC/MS",1277,233.1,"HMDB00710","C00989","10413",NA,NA,NA
"Original","4-hydroxyglutamate","2485-33-8","Amino acid","Glutamate metabolism",40499,"GC/MS",1644.2,244.1,"HMDB01344","C03079","5460078, 5460800",NA,NA,NA
"Original","4-hydroxyhippurate","2482-25-9","Xenobiotics","Benzoate metabolism",35527,"LC/MS Neg",1439,194,NA,NA,"151012",NA,NA,NA
"Original","4-hydroxyphenylacetate","156-38-7","Amino acid","Phenylalanine & tyrosine metabolism",541,"GC/MS",1630.6,179,"HMDB00020","C00642","127",NA,NA,NA
"Original","4-methyl-2-oxopentanoate","816-66-0","Amino acid","Valine, leucine and isoleucine metabolism",22116,"LC/MS Neg",2200,129.2,"HMDB00695","C00233","70",NA,NA,NA
"Original","5,6-dihydrouracil","504-07-4","Nucleotide","Pyrimidine metabolism, uracil containing",1559,"GC/MS",1505.2,243,"HMDB00076","C00429","649",NA,NA,NA
"Original","5-HETE","73307-52-5","Lipid","Eicosanoid",37372,"LC/MS Neg",5372,319.2,NA,NA,"9862886",NA,NA,NA
"Original","5-aminovalerate","660-88-8","Amino acid","Urea cycle, arginine-, proline-, metabolism",18319,"LC/MS Pos",860,118.1,"HMDB03355","C00431","138",NA,NA,NA
"Original","5-methyltetrahydrofolate (5MeTHF)","68703-91-3, 68792-52-9","Cofactors and vitamins","Folate metabolism",18330,"LC/MS Neg",1838,458.2,"HMDB01396","C00440","439234, 9825434, 135398561",NA,NA,NA
"Original","5-methylthioadenosine (MTA)","2457-80-9","Amino acid","Polyamine metabolism",1419,"LC/MS Pos",2427,298.1,"HMDB01173","C00170","439176",NA,NA,NA
"Original","5-methyluridine (ribothymidine)","1463-10-1","Nucleotide","Pyrimidine metabolism, uracil containing",35136,"LC/MS Neg",1774,257.1,"HMDB00884",NA,"445408",NA,NA,NA
"Original","5-oxoETE","106154-18-1","Lipid","Eicosanoid",38400,"LC/MS Neg",5373,317.3,"HMDB10217","C14732","1831",NA,NA,NA
"Original","5-oxoproline","98-79-3","Amino acid","Glutathione metabolism",1494,"LC/MS Neg",744,128.2,"HMDB00267","C01879","7405",NA,NA,NA
"Original","6'-sialyllactose","35890-39-2","Carbohydrate","Fructose, mannose, galactose, starch, and sucrose metabolism",39795,"GC/MS",2071.5,285.1,"HMDB06569","G00265",NA,NA,NA,NA
"Original","6-keto prostaglandin F1alpha","58961-34-8, 58962-34-8","Lipid","Eicosanoid",20476,"LC/MS Neg",4180,369.3,"HMDB02886","C05961","5280888",NA,NA,NA
"Original","6-phosphogluconate","921-62-0, 53411-70-4","Carbohydrate","Nucleotide sugars, pentose metabolism",15442,"LC/MS Neg",588,275.1,"HMDB01316","C00345","91493",NA,NA,NA
"Original","7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)","115538-85-7","Lipid","Sterol/Steroid",36776,"LC/MS Neg",5268,429.4,"HMDB12458","C17337","3081085",NA,NA,NA
"Original","7-alpha-hydroxycholesterol","566-27-8","Lipid","Sterol/Steroid",35692,"GC/MS",2300,456.2,"HMDB01496","C03594","107722",NA,NA,NA
"Original","7-beta-hydroxycholesterol","566-27-8","Lipid","Sterol/Steroid",35092,"GC/MS",2340,456.4,"HMDB06119","C03594","473141",NA,NA,NA
"Original","Ac-Ser-Asp-Lys-Pro-OH","127103-11-1","Peptide","Polypeptide",40707,"LC/MS Pos",1767,488.2,NA,NA,"4409396",NA,NA,NA
"Original","C-glycosyltryptophan*",NA,"Amino acid","Tryptophan metabolism",32675,"LC/MS Pos",1912,367.1,NA,NA,NA,NA,NA,NA
"Original","Isobar: fructose 1,6-diphosphate, glucose 1,6-diphosphate, myo-inositol 1,4 or 1,3-diphosphate",NA,"Carbohydrate","Glycolysis, gluconeogenesis, pyruvate metabolism",36984,"LC/MS Neg",572,339,NA,NA,NA,NA,NA,NA
"Original","Isobar: ribulose 5-phosphate, xylulose 5-phosphate",NA,"Carbohydrate","Nucleotide sugars, pentose metabolism",37288,"GC/MS",1935,357.2,NA,NA,NA,NA,NA,NA
"Original","L-urobilin","34217-90-8","Cofactors and vitamins","Hemoglobin and porphyrin metabolism",40173,"LC/MS Pos",4091,595.4,"HMDB04159","C05793","440785, 6433298",NA,NA,NA
"Original","N-6-trimethyllysine","23284-33-5","Amino acid","Lysine metabolism",1498,"LC/MS Pos",650,189.2,"HMDB01325","C03793","159659",NA,NA,NA
"Original","N-acetyl-aspartyl-glutamate (NAAG)","3106-85-2","Amino acid","Glutamate metabolism",35665,"LC/MS Pos",1563,305,"HMDB01067","C12270","5255",NA,NA,NA
"Original","N-acetylalanine","97-69-8","Amino acid","Alanine and aspartate metabolism",1585,"LC/MS Neg",882,130.1,"HMDB00766","C02847","88064",NA,NA,NA
"Original","N-acetylarginine","155-84-0","Amino acid","Urea cycle, arginine-, proline-, metabolism",33953,"LC/MS Neg",1149,215.2,"HMDB04620","C02562","67427",NA,NA,NA
"Original","N-acetylasparagine","4033-40-3","Amino acid","Alanine and aspartate metabolism",33942,"LC/MS Pos",974,175.1,"HMDB06028",NA,"99715",NA,NA,NA
"Original","N-acetylaspartate (NAA)","997-55-7, 997-55-7","Amino acid","Alanine and aspartate metabolism",22185,"LC/MS Pos",1222,176.1,"HMDB00812","C01042","65065",NA,NA,NA
"Original","N-acetylglucosamine","7512-17-6","Carbohydrate","Aminosugars metabolism",15095,"GC/MS",1903.3,245,"HMDB00215","C00140","24139",NA,NA,NA
"Original","N-acetylglucosamine 6-phosphate","102029-88-9","Carbohydrate","Aminosugars metabolism",15107,"LC/MS Neg",628,300.1,"HMDB02817","C00357","440996, 25243963",NA,NA,NA
"Original","N-acetylglutamine","2490-97-3","Amino acid","Glutamate metabolism",33943,"LC/MS Pos",1204,189.1,"HMDB06029","C02716","182230",NA,NA,NA
"Original","N-acetylglycine","543-24-8","Amino acid","Glycine, serine and threonine metabolism",27710,"GC/MS",1396.4,143.9,"HMDB00532",NA,"10972",NA,NA,NA
"Original","N-acetylisoleucine",NA,"Amino acid","Valine, leucine and isoleucine metabolism",33967,"LC/MS Pos",3370,174.1,NA,NA,"7036275",NA,NA,NA
"Original","N-acetylleucine","1188-21-2","Amino acid","Valine, leucine and isoleucine metabolism",1587,"LC/MS Pos",3444,174.1,"HMDB11756","C02710","70912",NA,NA,NA
"Original","N-acetylmethionine","65-82-7","Amino acid","Cysteine, methionine, SAM, taurine metabolism",1589,"LC/MS Pos",2588,192.1,"HMDB11745","C02712","448580",NA,NA,NA
"Original","N-acetylneuraminate","131-48-6","Carbohydrate","Aminosugars metabolism",32377,"LC/MS Neg",695,308.1,"HMDB00230","C00270",NA,NA,NA,NA
"Original","N-acetylornithine","6205-08-9","Amino acid","Urea cycle, arginine-, proline-, metabolism",15630,"LC/MS Pos",875,175.2,"HMDB03357","C00437","439232",NA,NA,NA
"Original","N-acetylphenylalanine","2018-61-3","Amino acid","Phenylalanine & tyrosine metabolism",33950,"LC/MS Neg",2590,206.2,"HMDB00512","C03519","74839",NA,NA,NA
"Original","N-acetylserine","97-14-3","Amino acid","Glycine, serine and threonine metabolism",37076,"GC/MS",1526,218,"HMDB02931",NA,"65249",NA,NA,NA
"Original","N-acetylthreonine",NA,"Amino acid","Glycine, serine and threonine metabolism",33939,"LC/MS Neg",846,160.1,NA,"C01118","152204",NA,NA,NA
"Original","N-acetyltryptophan","1218-34-4","Amino acid","Tryptophan metabolism",33959,"LC/MS Neg",2650,245.2,NA,"C03137","700653",NA,NA,NA
"Original","N-acetyltyrosine","537-55-3","Amino acid","Phenylalanine & tyrosine metabolism",32390,"LC/MS Neg",1677,222.2,"HMDB00866",NA,"68310",NA,NA,NA
"Original","N-acetylvaline","96-81-1","Amino acid","Valine, leucine and isoleucine metabolism",1591,"LC/MS Pos",2654,160.1,"HMDB11757",NA,"66789",NA,NA,NA
"Original","N-methylglutamate","35989-16-3","Amino acid","Glutamate metabolism",31532,"GC/MS",1665,260.2,NA,"C01046","439377",NA,NA,NA
"Original","N1-Methyl-2-pyridone-5-carboxamide","701-44-0","Cofactors and vitamins","Nicotinate and nicotinamide metabolism",40469,"LC/MS Pos",1707.3,153.2,"HMDB04193","C05842","69698",NA,NA,NA
"Original","N1-methyladenosine","15763-06-1","Nucleotide","Purine metabolism, adenine containing",15650,"LC/MS Pos",1356,282.1,"HMDB03331","C02494","27476",NA,NA,NA
"Original","N1-methylguanosine","2140-65-0","Nucleotide","Purine metabolism, guanine containing",31609,"LC/MS Pos",1850,298.1,"HMDB01563",NA,"96373",NA,NA,NA
"Original","N2,N2-dimethylguanosine","2140-67-2","Nucleotide","Purine metabolism, guanine containing",35137,"LC/MS Pos",2157,312.1,"HMDB04824",NA,"92919",NA,NA,NA
"Original","N2-acetyllysine","1946-82-3","Amino acid","Lysine metabolism",36751,"LC/MS Pos",853,189.1,"HMDB00446","C12989","92907",NA,NA,NA
"Original","N2-methylguanosine","2140-77-4","Nucleotide","Purine metabolism, guanine containing",35133,"LC/MS Pos",1950,298.1,"HMDB05862",NA,"3035422",NA,NA,NA
"Original","N6-acetyllysine","692-04-6","Amino acid","Lysine metabolism",36752,"LC/MS Pos",1134,189.1,"HMDB00206","C02727","92832",NA,NA,NA
"Original","N6-carbamoylthreonyladenosine","24719-82-2","Nucleotide","Purine metabolism, guanine containing",35157,"LC/MS Pos",2656,413,NA,NA,NA,NA,NA,NA
"Original","S-adenosylhomocysteine (SAH)","979-92-0","Amino acid","Cysteine, methionine, SAM, taurine metabolism",15948,"LC/MS Neg",1821,383.1,"HMDB00939","C00021",NA,NA,NA,NA
"Original","S-adenosylmethionine (SAM)","24346-00-7","Amino acid","Cysteine, methionine, SAM, taurine metabolism",15915,"LC/MS Pos",676,399.1,NA,NA,NA,NA,NA,NA
"Original","S-methylcysteine","1187-84-4","Amino acid","Cysteine, methionine, SAM, taurine metabolism",40262,"GC/MS",1447.8,162.1,"HMDB02108",NA,"24417",NA,NA,NA
"Original","VGAHAGEYGAEALER*",NA,"Peptide","Polypeptide",35211,"LC/MS Pos",2542,765.8,NA,NA,NA,NA,NA,NA
"Original","acetylcarnitine","5080-50-2","Lipid","Carnitine metabolism",32198,"LC/MS Pos",1203,204.2,"HMDB00201","C02571","7045767",NA,NA,NA
"Original","adenine","73-24-5","Nucleotide","Purine metabolism, adenine containing",554,"GC/MS",1804.2,264,"HMDB00034","C00147","190",NA,NA,NA
"Original","adenosine","58-61-7","Nucleotide","Purine metabolism, adenine containing",555,"LC/MS Pos",1650,268.1,"HMDB00050","C00212","60961",NA,NA,NA
"Original","adenosine 2'-monophosphate (2'-AMP)","130-49-4","Nucleotide","Purine metabolism, adenine containing",36815,"LC/MS Pos",1625,348.1,"HMDB11617","C00946",NA,NA,NA,NA
"Original","adenosine 3'-monophosphate (3'-AMP)","84-21-9","Nucleotide","Purine metabolism, adenine containing",35142,"LC/MS Pos",1451,348.1,"HMDB03540","C01367","41211",NA,NA,NA
"Original","adenosine 5'-monophosphate (AMP)","149022-20-8","Nucleotide","Purine metabolism, adenine containing",32342,"LC/MS Pos",1210,348.1,"HMDB00045","C00020","15938965",NA,NA,NA
