Metabolite,Log2FC,AveExpr,t.val,p.val,p.adj,B,log2(MS55_01),log2(MS55_02),log2(MS55_03),log2(MS55_04),log2(MS55_17),log2(MS55_18),log2(MS55_19),log2(MS55_20),log2(MS55_33),log2(MS55_34),log2(MS55_35),log2(MS55_36),log2(POOL0),log2(POOL1),log2(POOL2),log2(POOL3),log2(POOL4),log2(POOL5),log2(POOL6),log2(POOL7),log2(POOL8),log2(POOL9)
lactate,-0.02590469248113081,29.25701080244845,-0.30089997604157753,0.7646253542632612,0.8053400911077987,-7.833611711810239,29.58047421829967,29.560608064208203,29.486078451239216,29.327244807640614,29.027253910832947,29.17969243443755,29.08310981778664,29.14882638163379,29.529840540505617,29.45028735068942,29.66702118171827,29.409727790386118,29.356834386490352,29.318511607591326,29.36699713286757,29.355418170094957,29.34265885887972,29.37024948831691,29.379254103273272,29.344329205912807,29.284695360634494,29.33047555227567
leucine,-0.4708231102075935,28.831723355726915,-7.417549249336992,7.805912419504549e-10,2.56885481441877e-9,11.494376510146125,29.580401806502298,29.507844154288147,29.579670457407328,29.41332676353547,29.19134254938344,29.304245405949118,29.33442746283219,29.31960312427157,29.472694067720244,29.373902015738665,29.58544436167019,29.358381209866312,28.975728925278155,28.980853565260478,28.928003560536535,28.95079665975923,29.02093930950821,28.927782569373665,28.983370315423663,28.90417910195098,28.903827207788133,28.90069049901591
5-methylthioadenosine (MTA),-0.8371640875891053,24.181564671849852,-5.374409255507493,1.6089879241192383e-6,3.640335178319777e-6,3.9187240960190097,25.358722694109115,25.082689896500057,24.815492786877538,24.577435420052666,24.161576568920932,25.12235595598423,24.45122753967885,24.65160688575338,24.593802494690205,25.167639782678684,25.047674788104096,24.821679814895603,23.616008719158454,23.64663549898467,23.705232668270117,23.631781642248242,23.83434646831478,23.990773949265453,24.15792293600272,24.29492554163548,24.435096483976203,24.52555573979072
lysine,0.06697228983169623,25.083238334186476,0.7170675036480393,0.4763667508777675,0.5598855968108826,-7.619418687790934,25.400015044387132,25.11148289203428,25.139054855470935,24.92151452113536,24.742552414332653,24.990674431332103,24.806392320225374,24.812376244939855,25.317536182719433,25.23812984267373,25.46666118076065,25.1061114853085,25.24822020618823,25.182698283939523,25.177207767379674,25.13430463451163,25.16896027401391,25.181947231629465,25.10282251338717,25.114734678201156,25.13542906790072,25.100482753932233
malate,-0.19021783367306355,30.987010389093385,-4.793953964858651,1.283907740147788e-5,2.699841401365161e-5,1.8800476156277393,31.317880905816605,31.40059122664977,31.150363660607503,31.1991428248202,31.116265757522,31.19140971290514,31.10969281005816,31.214578212850046,31.187404159698758,31.17287922948752,31.18540430474736,31.213291904111305,31.06986485926088,31.03338933915115,31.046652814714054,30.98472201002856,31.01610711404617,31.05240582285362,31.014236057245906,31.017887982428064,30.941593438640297,30.970049482629328
malonate,0.5872969741714726,-Inf,5.816652129467716,3.350182960240625e-7,8.194366429777746e-7,5.4738508396922425,23.166533047099534,23.079348206642408,22.74304588090708,22.60268716490872,22.648641731644144,22.81987805118104,22.833943844547825,22.80931146647605,22.74763087027483,23.317691634552155,23.14376310303703,22.801372753030687,23.480931004770802,23.564123182552592,23.45491459799234,23.41443775841501,23.529320206974486,23.461315386903248,23.445575010212885,23.487896108390398,23.482847677590957,23.479815269829935
malonylcarnitine C3-DC,2.4599570152966805,19.962241614200583,13.704055455544712,2.2329259577785377e-19,1.4968874013256122e-18,33.5641598383601,18.60624976606433,18.79756932821067,16.696436445020897,18.818687622584896,16.462386841991904,17.812719947375015,17.046280999022514,17.729941828010105,17.14697282590788,18.017351493234415,17.69946865621748,18.085498059239054,20.083043285868854,20.643215582196518,19.773749125560233,20.316793492661162,19.673337863916355,20.380968490395592,20.46749870094257,20.030243442383597,20.152076273096277,20.51161374001168
mesaconate,0.6059958996386499,24.800497492744853,13.831135850805142,1.5035555246075167e-19,1.1339314581415021e-18,33.96232241947802,24.321176873803743,24.15736831979824,23.99944042160993,24.45792401739744,24.1312911803132,24.245004567833586,24.05522742979741,24.27472453407223,24.29741852356209,24.359297172244737,24.33812677775521,24.284157054345524,24.976410542309484,24.848712230998753,24.823508376942517,24.76729394411714,24.8218855430041,24.846695085267058,24.838882621779423,24.83616856806332,24.867687414065834,24.867012063616716
methionine,-0.742218603752292,26.521084311963047,-9.662645250503775,1.880027164958044e-13,8.299632118473317e-13,19.839752790583866,27.61502229994599,27.528822120203955,27.55165223099116,27.383968718650124,27.286068786907126,27.350044558198633,27.375662788884537,27.372683036511432,27.463553211501566,27.385216400045834,27.593468706097912,27.343899512301068,26.73009326103801,26.706244128664387,26.701466648593385,26.70791252370414,26.739340859356847,26.73065014010396,26.67063202565461,26.682847535122196,26.63220127524752,26.651477540191543
methionine sulfoxide,-0.39319204953372733,18.86233311731217,-2.9982179481586373,0.004071447095000759,0.00729635568510037,-3.6473017891204567,19.60383767337872,19.556222834881144,19.793178964522525,19.643997393157584,19.42760721413967,19.22126952433443,19.73138401166903,19.433523583492143,19.412327495667032,19.492667651879398,19.535001435686073,19.66510774824761,19.407826770391896,19.35702727660096,19.028197212209218,19.35166159307528,19.108039888752863,19.05254326567926,19.189808439878576,19.076092057599585,18.998648123062015,18.928339486625983
methylhistidine,-0.4317780139863032,25.216677935240583,-6.810547342413315,7.70580840005559e-9,2.1792989381407215e-8,9.211485897883787,25.950183093196305,25.87414071867935,25.943084647091496,25.782876266919747,25.510257694809162,25.63769039642622,25.57145120779535,25.629129627094635,25.730267767252926,25.64957339848283,25.87272863257426,25.548814943681883,25.295688851077426,25.31151917060381,25.340423634502066,25.29496121385715,25.29351415041752,25.300821318659146,25.272733463837913,25.268972284008065,25.257371988368007,25.29637911314265
methylindole,-0.4547965356813499,21.09086875715869,-6.533349247191003,2.1875902700005483e-8,5.999300588940898e-8,8.173461775135621,21.803789532180968,21.782281474149663,21.925376362874857,21.658296413335666,21.29292929914654,21.68520685366283,21.5900166392336,21.53205609006367,21.639427404398024,21.515186246002322,21.79212957637132,21.495804832645813,21.37925586688978,21.1663329630756,21.174637567249288,21.154962540021387,21.16716850528174,21.100121937381303,21.103585455874313,21.20133121892534,21.261460227102198,21.17026229810658
methylmalonylcarnitine C3-DC-M/succinylcarnitine C4-DC,1.7770055655087482,24.85762521556008,28.54271985591456,1.1770526358420589e-34,1.0652326354370633e-32,68.84712020692263,23.614860699128425,23.6923146708593,23.525609609410196,23.498648753114328,23.216416751583633,23.306026742391246,23.19486273756644,23.29331146102155,23.093502184445615,23.096575066068535,23.16653493278747,23.063793484402275,25.102882672777437,25.10019846578537,25.12624055060273,25.083647017947875,25.096674911934542,25.10334180600139,25.044340318012814,25.092489165602096,25.106226759155216,25.049394897917292
6-phosphogluconate,-0.3768300809775056,20.006882008304956,-1.5947204617899298,0.11650569170801467,0.15620392740111597,-6.615773746394189,20.60190111678696,20.649242743073042,20.303018133122638,20.13248662602621,19.9884499876216,20.86370049299228,20.599751538889883,20.3241348506467,20.670028589701104,20.610340286787913,20.78576624750428,20.36567510844917,19.62104799222306,19.817812551416633,20.004536958108776,20.136880199034053,20.15505716290532,20.10020134798798,20.128289124882237,20.344465210902726,20.529061993904865,20.306426416860834
mevalonic acid 5-pyrophosphate,0.21491114683565016,18.354352110640892,0.7966156843474737,0.42909959712645707,0.5109672834203206,-7.558838238733708,18.97923253898074,18.966476635512628,18.820324125115903,18.427466198045586,17.862547303740236,17.578662771338,17.602150744817774,17.16273890058101,18.47594228693923,18.347360474119302,18.828709906658595,17.911478777038084,17.96946877296462,18.722364296211044,18.376599133407296,18.653455422085862,18.547155910733657,18.281931426557257,18.418079460901854,18.719907124493542,18.374130472271514,18.555261667802434
myo-inositol,0.958157537554623,27.522066627153745,16.841919461816328,2.283123548762718e-23,2.7549690821736796e-22,42.8124522190156,26.827580967666297,26.785332725691323,26.967970452583298,26.846721057774936,26.45022395604947,26.418242393335156,26.51639146120554,26.533478320337863,26.346187546767368,26.223917766495944,26.41144475621034,26.36177150863889,27.611205430593206,27.545722848281585,27.516541013335793,27.509905047358338,27.535133566200855,27.511407049566632,27.47881432742669,27.45969825778623,27.493804651779772,27.49372894384747
N-acetylalanine,-0.5419842863911306,23.772357852638624,-10.331911039459806,1.7100897368085102e-14,8.365574117901091e-14,22.24816694092974,24.615656081321813,24.588381465737335,24.537645928331447,24.468408609963316,24.246944688571148,24.311769645523942,24.20942372704298,24.392282339856937,24.19387470075499,24.16306144005094,24.32345841149036,24.257680748016057,23.790866749475963,23.848126536475906,23.84128815453435,23.84686847988304,23.836782198375978,23.860167994023108,23.838590944296982,23.87748626975558,23.764625240068295,23.665844391417238
N-acetylarginine,-1.4840811325771277,19.47101835364309,-8.833796176088331,3.9012367749759865e-12,1.5691641250458968e-11,16.796776076493583,21.927706245464034,22.06841734492722,21.471686026527756,21.86289050657806,21.254498641261012,21.48772173293217,21.42165581362575,21.42356823551145,21.457506943441196,21.399126644602067,21.582464352586854,21.114840540270364,20.279895304643645,20.316539041320002,20.233233568059802,20.300101097131808,20.030640833287023,20.248531637373638,19.615207972704702,19.750846396650164,19.929072959396823,19.848522386767723
N-acetylaspartate,-1.180186759419957,28.38341808536308,-26.855981409676968,2.6917982206711097e-33,1.6240515931382362e-31,65.72990462635366,31.766800322238144,31.810824283093314,31.760827142896204,31.684542866436605,31.56569134788015,31.627089575526146,31.55352695477368,31.619923082742687,31.481347781680103,31.565650262609992,31.628323696093997,31.591840667721776,30.523332904653305,30.489377635855277,30.486788081400746,30.476799375891805,30.46485230696121,30.45071417034269,30.45958220015568,30.444363174143277,30.436390098798757,30.346255777341725
N-acetylaspartylglutamate,-1.8802010083252476,21.32949087081031,-24.788574251590884,1.584499999386026e-31,7.169862497221767e-30,61.66157166260904,26.430334448967333,26.47384786710817,26.393377730968346,26.321088093504052,26.25325118355435,26.355180324927876,26.203665209257494,26.346583370604826,26.28316252447961,26.305438043915004,26.34291285520375,26.216769478417167,24.51745126164228,24.507246290084996,24.436627791411887,24.447303378112167,24.469549383728534,24.4658598251859,24.444873137759217,24.392273079400933,24.406662067549767,24.381486310961883
N-acetylglutamate,-1.128636776218066,25.675121873118243,-29.3572988954579,2.749988231343795e-35,4.977478698732269e-33,70.29287146582391,27.176485489300866,27.23421699864736,27.186502227938128,27.109673627721122,27.083308611024954,27.161531364307418,27.05100994212919,27.171715428492963,27.1980560861059,27.169058875738976,27.237224659027078,27.187233197670736,26.110041981839537,26.081380413178774,26.058209514286315,26.066963859837667,26.056740921113892,25.988869580486472,25.991018184100948,25.997773499332464,25.99486313694783,26.00611823678267
N-acetylglutamine,-1.156597863554257,22.224424896903592,-20.097148304900536,5.238618748746381e-27,1.580316655871825e-25,51.23527128373201,24.069369745274386,24.115023628401172,23.91132141675314,23.799358533788336,23.85938282880164,23.812818493209104,23.862522083981535,24.051124965758135,23.823686563897677,23.680742291951905,23.983075612409582,23.920344021705944,22.919379711792892,22.83328463539032,22.705780639252122,22.764359855426175,22.8709393976827,22.735298121766757,22.71600702791232,22.617805717368103,22.692778430108795,22.652362982701018
N-acetylhexosamine phosphate,0.4820281208928634,21.467994697712616,6.791757216671143,8.271248700565437e-9,2.3032246381574525e-8,9.14099062788489,21.32826111027245,21.444416438171558,21.29347484099047,21.2711590649568,20.820604302552063,21.055150842713356,21.019705647415524,21.054717673189582,20.74636991007936,20.930313840005013,21.13970542001847,20.881939298701475,21.593072024546576,21.569808982856397,21.572418992545746,21.548536265592286,21.573314988707196,21.5408915101195,21.590653143417203,21.57007594943477,21.53177093759913,21.551253738331628
N-acetylhistidine,-0.4027209085391199,23.450749612817667,-2.2171229746718404,0.030766628482510473,0.05016900680481438,-5.486193451221576,24.26201601237462,23.933129673518213,23.74555646174693,23.59760978655263,23.699049751752863,23.92694693450376,23.586900684404807,23.777896840963294,24.503579449492413,24.41222259458086,24.5896792661653,24.173477869441072,23.60744194864319,23.60244697934663,23.631139527968195,23.59114954620215,23.696730604567186,23.64200855078581,23.630987237247247,23.60348374976742,23.558615048567184,23.582175492761095
acetylcarnitine,0.03338833009865283,32.137137237974464,0.24823199069203508,0.8048794108606963,0.8277453032146932,-7.848294472048056,32.84221970693413,32.89239493818768,33.036710263048946,32.765438146101346,31.629604858284072,31.77403120991809,31.73377843743676,31.914776333404575,31.941930249724848,31.840660082721822,32.10634796499059,31.748536917445126,32.21244334166739,32.2333613331175,32.21950835999244,32.190736973684295,32.25505437177075,32.22201310606316,32.239711984402774,32.18439298894576,32.2195745143694,32.21244391713818
N-acetylmethionine,-1.0290273201549773,24.674319544252334,-14.694205160895006,1.0812573269383481e-20,1.1512210363284766e-19,36.61242097758326,25.96236007497731,25.97446350289373,25.942575236811795,25.904976738849342,25.762358856252913,25.842781190170466,25.79519685404135,25.91947526470232,25.957505386572475,25.943563603440623,26.093580073748917,25.95446098271909,24.961891074908205,24.881256016092546,24.936609764684032,24.884044569634543,24.899228517634352,24.889087286031188,24.889734064599857,24.8667293036275,24.84270526834612,24.869522403875568
N-acetylneuramic acid,0.6740052226315285,23.560370123999206,11.83090616088318,9.651536164009125e-17,5.635251760276296e-16,27.45508706026498,22.96187452666296,22.832533702253304,22.87577978733388,22.72958035690754,22.81218479419584,23.10184854933409,22.960587158508186,22.94191516077833,23.099029696169495,23.05489642901815,23.110557153950538,22.972833401070087,23.67310462653515,23.653661945632667,23.586145682568354,23.647684845385147,23.60265071193887,23.654066217979725,23.66630469046307,23.62365965441812,23.599569186590443,23.577888594955795
N-acetylornithine,-0.41135634835188384,23.639962847477,-6.906610300318323,5.36462229184618e-9,1.5661236045550947e-8,9.572126018667518,24.38057012842595,24.379412343253808,24.40416273952181,24.207933194037892,23.934918369852333,24.093599101258775,24.025034706964053,24.083098782464344,24.12397242156422,24.003127861427235,24.27035993181364,24.011274035652338,23.728120320642386,23.763334705548925,23.764352801210492,23.77212364732243,23.73759775158292,23.78017821361446,23.69079257045291,23.74813226742072,23.74608462403803,23.753605961511557
N-acetylserine,-0.7061956264713842,28.428673701630753,-13.993395018113743,9.101377566725952e-20,7.487951543533623e-19,34.467719801407,29.490600307118456,29.534986235077238,29.54252907911405,29.403784607225635,29.10646246475954,29.17667823196806,29.20113842237841,29.23745845864308,29.103841463033252,29.02409627336721,29.206910565570045,29.057828590863913,28.560302873657957,28.552346911792327,28.54747476492719,28.574887545891176,28.567421626020284,28.577689827267033,28.55613516910344,28.529204040938815,28.536805629056612,28.507704262563784
NAD,-0.09570205613868765,27.510143715796033,-1.9749166606855533,0.05330573217199577,0.07876321117748282,-5.964026591418275,27.8585840347684,27.86059393622103,27.83011602839927,27.762520037721952,27.599052522115294,27.726801745607762,27.562466819923408,27.685201485520654,27.53549384683793,27.506824403687755,27.616142628161125,27.499916592454294,27.59514345638106,27.557869374431775,27.58212572755756,27.62759903516106,27.583755830306835,27.572379962724398,27.561513694761416,27.54148570222731,27.56297183351881,27.561229889391967
NADH,-0.5844477584552159,19.633678466908936,-1.7711879420706982,0.08207008983289553,0.11339455160117626,-6.328657066736477,21.126504271708562,22.149676329515074,22.386895885907048,20.765587528289313,19.593308307341267,20.5359126855788,20.504428995595976,19.822444016205644,19.924127447267246,20.26950347159141,20.75337803917954,20.049654714157537,20.163425227482307,20.188766357524376,20.322400396950286,19.76240954076335,20.031800972489084,20.119199019481346,20.06067248443104,20.01443605240725,19.911125561530184,20.149138212669875
NADP,0.22288044338429458,20.46694175166083,1.7078960022278131,0.09329483089498143,0.12696514580444843,-6.434752919375027,20.42725204709428,20.441004281164307,20.13961901586135,21.01455486350677,20.696882700564434,20.734561356728562,20.256953913188347,20.763669026799747,20.16790344483245,19.954553732957795,19.98200444563848,20.5684818350178,20.781402077020076,20.597146696578232,20.685005612336305,20.552942118051735,20.658903814304338,20.46173041226705,20.704205589886957,20.776772548285344,20.602481471303747,20.69774797993779
NADPH,0.44448521060052215,20.947982797140305,1.893862293689636,0.06350730247790927,0.09122874403572681,-6.113271098527773,21.45183509343021,21.681949456314502,21.487245607526795,21.023028421263188,19.510680679160014,19.849809570197763,20.228688293759618,19.705542012098114,20.745501144219933,20.63795004989211,20.938071922146623,20.308230947739997,21.14497015323254,21.11644479113589,21.23102167709715,21.202274876643802,21.104520662797363,21.163636898985164,21.031487446031665,21.00617609364362,20.974409567679086,20.777020936883023
N-carbamoylaspartate,0.5559100152968135,23.319669661259343,1.86481885320899,0.06754569144690542,0.09626590670779434,-6.165414397779223,23.138969816481183,23.230289217644483,22.8274927419641,22.927290924054404,24.167461887888066,24.144639751138754,24.140307770002746,24.6286579926469,22.020047727178156,22.069899658676512,22.233555221899508,21.922567267748434,23.691509569593112,23.718159764684792,23.627812652730032,23.683654115705625,23.704085920478484,23.668397241987755,23.65878894988546,23.72041681616271,23.65265617594703,23.64293559356257
ophthalmate,-0.890764634811287,26.5229931505381,-13.628483024906785,2.8277134276769852e-19,1.8279147514626227e-18,33.3264032563233,27.82006739097691,27.882137194107994,27.76360732139197,27.695506059927936,27.605648988775144,27.691725585948426,27.63302273974996,27.682427701865244,27.47868702918682,27.446605018241698,27.601646733869597,27.44711593743179,26.766501714627474,26.787331818971097,26.760192719458473,26.77981543870948,26.759120411544288,26.744082725824978,26.758416052458916,26.73208765100888,26.725506261599257,26.736130275578926
acetylcholine,-0.3854579042389332,25.010998554916306,-6.0089088305526115,1.5563881386312283e-7,3.9125868485035047e-7,6.226271088341112,25.820506861546427,25.79630155397437,25.826402403195488,25.770025330344456,25.269672442708288,25.367367807973476,25.33341380920015,25.449634343471793,25.27303398675764,25.246967911357196,25.40221619491503,25.288236865517074,25.116732774119644,25.164032072812763,25.08590706221937,25.049011079617546,25.117644464617985,25.106897636058164,25.078139647255206,25.090372161300447,25.053827371165063,25.152672947579095
ornithine,-0.6195323144677296,21.38782190448585,-3.9668493270174037,2.1257731003425668e-4,4.182227512630485e-4,-0.8454783577350904,22.81120403093288,22.736122899271315,22.830542715113868,22.61072865895083,22.619671804678013,22.739225213511375,22.922073906112185,22.600312922096744,22.465623990212222,22.647807852717175,22.88318758501977,22.635555669363026,22.368747906018758,22.191778745324832,22.16162960737939,22.15967540176164,22.015236513205263,22.07510394803736,21.98410351777107,21.948538164604003,21.970981325452332,22.01392943241759
orotate,0.5449485093397577,26.05492754671442,1.3790657708220544,0.17345699360205857,0.22425511315694716,-6.929124085073007,25.742629010690766,25.800212813378284,25.148966369429317,25.26016240836045,27.620184671563123,27.64755567014558,27.5982267350943,28.00826888028279,25.557245387563494,25.584897208323405,25.79498959842927,25.334981945715445,26.79352562149071,26.836641151107635,26.789832091097146,26.822396604037284,26.81273371707397,26.813081057778884,26.82381311782353,26.79185993578435,26.766097580037027,26.781438132980554
orotidine,1.9382815037526235,29.499476773638037,14.42807162463515,2.4107020544635812e-20,2.2965109045153067e-19,35.8052241665826,28.656292683504827,28.742649124093056,28.671977586480747,28.63812524319152,27.71278238818233,27.716154412797948,27.664816185879168,27.84774539404383,27.125735875228358,27.215310063845784,27.229670811413417,27.144807336671846,29.81194061287255,29.816614130210763,29.85360953379975,29.799670183737117,29.78960137477347,29.795233872076963,29.800750815187858,29.795019044534243,29.78164045820329,29.777124266574234
pantothenate,0.2645941373095475,30.240235259711145,5.965237099318525,1.830762994897248e-7,4.539289069539752e-7,6.065467777193912,30.00449219408054,30.022126757882894,29.95329165326529,29.870574503320135,30.002490046454884,30.116730048118036,30.014754620798925,30.10087993171088,30.00418010090622,29.982887504403916,30.04899111110235,30.043981632970546,30.310132152289547,30.31014902782041,30.293285345201998,30.27766361973195,30.26670747899741,30.30155487285243,30.26752695932996,30.282529523691956,30.25717537789169,30.217033769467047
pentose phosphates,-0.027441765722553413,22.822299445819375,-0.46165790741041524,0.6461474503352038,0.7088041727919508,-7.771463034135085,23.04688559098098,23.019645507101956,22.989056953108477,22.813678303949384,22.87628459648971,23.105746257974246,23.042094102905967,22.947629526322427,22.914579230535892,23.016874970897693,23.17744586212293,22.901806252781828,22.927976926528466,23.035795687520597,22.984724958186767,22.984226643055102,22.99965391288815,22.889559647891648,22.987605601193888,22.952048524653133,22.92675674864922,22.913672988183794
phenylalanine,-0.4578064032453213,28.000570378028762,-7.376841489945449,9.10122444064391e-10,2.941645756708121e-9,11.341113390981644,28.737479446891665,28.693901055550803,28.72683276416109,28.606824237927842,28.325599710102452,28.42990514978141,28.425077857090482,28.458566140168127,28.628546527770258,28.562961657983873,28.77503824674409,28.526935254271564,28.1387727664314,28.11191065409564,28.1069527692754,28.127990576268324,28.127769671951388,28.180230879447844,28.12474883926941,28.061210532056435,28.09528466715092,28.095121318636433
phosphocreatine,-1.8904273892452217,23.37846295607542,-16.1430993270251,1.5973951268218903e-22,1.8070532372172633e-21,40.854979857164565,29.04349576585877,29.069663351604415,29.04187333043748,28.909044615601132,28.96161075252513,28.976554078979024,28.991964535151368,28.970111173744932,28.71813113594918,28.67880876064916,28.778340233827322,28.760151284512933,27.092593560396086,27.043530254584375,27.103513379981923,27.026886216913763,27.002190509816987,27.021930071417003,26.98405188824191,26.977897992825632,26.98550936686056,26.94074704887689
phosphoenolpyruvate,0.3039882114465229,23.318062867778917,2.7559510438685497,0.007922434352299081,0.01352793035628428,-4.263045730150207,23.203102160079812,23.403029931039253,23.5106677217084,22.97470227885174,22.90845244295228,22.95527962415953,23.18048950636145,23.03715300945059,22.734923975723728,23.054865222337966,22.983684167145164,22.633653353483663,23.398463577724968,23.333483725759216,23.353087146052466,23.362999886563458,23.319482047174713,23.36083715634955,23.35820233432577,23.325081511418905,23.355222344687952,23.35635854548628
phosphoethanolamine,-1.6793327715844661,23.189309852028828,-12.440131853941704,1.2760726405250943e-17,7.698971597834735e-17,29.4914213490459,27.29709824654895,27.36894113152744,27.352110876998555,27.26547414336905,27.090884085023664,27.082306896290884,27.100933218389677,27.178430179089325,26.908784916661816,26.80556572540498,26.958576914898213,26.86662801391203,25.43649146252622,25.498569891117878,25.517236988332776,25.494053579495027,25.44500370660042,25.44138317664983,25.411217636702517,25.353840432417904,25.345429800417715,25.32655756665724
phosphorylcholine,-0.8896433487310631,33.20698104282083,-13.885182066217855,1.2715763787641797e-19,1.000675324157898e-18,34.13103453857615,34.61893984992131,34.71041419416304,34.615087107335206,34.535653853485016,34.328051528067824,34.40591129632685,34.322462049087655,34.409755437223474,34.18913947467512,34.15982048201034,34.2045398779746,34.153299230471845,33.52303656544946,33.51146689525957,33.50058947691502,33.4997523860653,33.50726662949302,33.4974133757294,33.48844859564823,33.492407050228266,33.48725702240113,33.473490499451984
