"","Metabolite","CAS","SUPER_PATHWAY","SUB_PATHWAY","COMP_ID","PLATFORM","RI","MASS","PUBCHEM original","KEGG","HMDB","PUBCHEM_valid","PUBCHEM","PUBCHEM_Correction_Source"
"11","1-linoleoylglycerol (1-monolinolein)","2277-28-3","Lipid","Monoacylglycerol","27447","GC/MS","2181","395.3","5283469",NA,NA,TRUE,"5283469","None"
"12","1-linoleoylglycerophosphocholine",NA,"Lipid","Lysolipid","34419","LC/MS Pos","5574","520.4","11988421","C04100",NA,FALSE,"11988421","NA"
"13","1-linoleoylglycerophosphoethanolamine*",NA,"Lipid","Lysolipid","32635","LC/MS Neg","5725","476.3",NA,NA,"HMDB11507",FALSE,NA,"NA"
"14","1-methylimidazoleacetate","2625-49-2","Amino acid","Histidine metabolism","32350","LC/MS Pos","845","141.1","75810","C05828","HMDB02820",TRUE,"75810","None"
"15","1-myristoylglycerophosphocholine","20559-16-4","Lipid","Lysolipid","35626","LC/MS Pos","5481","468.3","460604",NA,"HMDB10379",TRUE,"460604","None"
"16","1-myristoylglycerophosphoethanolamine",NA,"Lipid","Lysolipid","35627","LC/MS Pos","5481","426.1","9547070",NA,"HMDB11500",TRUE,"9547070","None"
"17","1-oleoylglycerol (1-monoolein)","111-03-5","Lipid","Monoacylglycerol","21184","GC/MS","2181.1999999999998","397.4","5283468",NA,"HMDB11567",TRUE,"5283468","None"
"18","1-oleoylglycerophosphocholine","19420-56-5","Lipid","Lysolipid","33960","LC/MS Pos","5700","522.4","16081932",NA,NA,TRUE,"16081932","None"
"19","1-oleoylglycerophosphoethanolamine","89576-29-4","Lipid","Lysolipid","35628","LC/MS Neg","5928","478.3","9547071",NA,"HMDB11506",TRUE,"9547071","None"
"20","1-oleoylglycerophosphoinositol*",NA,"Lipid","Lysolipid","36602","LC/MS Neg","5577","597.4",NA,NA,NA,FALSE,NA,"NA"
"21","1-oleoylglycerophosphoserine",NA,"Lipid","Lysolipid","19260","LC/MS Neg","5690","522.29999999999995","9547099",NA,NA,TRUE,"9547099","None"
"22","1-palmitoleoylglycerophosphocholine*",NA,"Lipid","Lysolipid","33230","LC/MS Pos","5524","494.3",NA,NA,NA,FALSE,NA,"NA"
"23","1-palmitoleoylglycerophosphoethanolamine*",NA,"Lipid","Lysolipid","34565","LC/MS Pos","5521.4","452.3",NA,NA,NA,FALSE,NA,"NA"
"24","1-palmitoylglycerol (1-monopalmitin)","542-44-9","Lipid","Monoacylglycerol","21127","GC/MS","2119.5","371.3","14900",NA,NA,TRUE,"14900","None"
"25","1-palmitoylglycerophosphocholine","17364-16-8","Lipid","Lysolipid","33955","LC/MS Pos","5671","496.4","86554",NA,NA,TRUE,"86554","None"
"26","1-palmitoylglycerophosphoethanolamine",NA,"Lipid","Lysolipid","35631","LC/MS Neg","5940","452.3","9547069",NA,"HMDB11503",TRUE,"9547069","None"
"27","1-palmitoylglycerophosphoinositol*",NA,"Lipid","Lysolipid","35305","LC/MS Neg","5573","571.29999999999995",NA,NA,NA,FALSE,NA,"NA"
"28","1-palmitoylplasmenylethanolamine*",NA,"Lipid","Lysolipid","39270","LC/MS Neg","6153","436.4",NA,NA,NA,FALSE,NA,"NA"
"29","1-pentadecanoylglycerophosphocholine*",NA,"Lipid","Lysolipid","37418","LC/MS Pos","5563","482.3",NA,NA,NA,FALSE,NA,"NA"
"30","1-stearoylglycerol (1-monostearin)","123-94-4","Lipid","Monoacylglycerol","21188","GC/MS","2186.6","399.4","24699","D01947",NA,TRUE,"24699","None"
"31","1-stearoylglycerophosphocholine","19420-57-6","Lipid","Lysolipid","33961","LC/MS Pos","5844","524.4","497299",NA,NA,TRUE,"497299","None"
"32","1-stearoylglycerophosphoethanolamine","69747-55-3","Lipid","Lysolipid","34416","LC/MS Pos","5842","482.3","9547068",NA,"HMDB11130",TRUE,"9547068","None"
"33","1-stearoylglycerophosphoinositol","796963-93-4","Lipid","Lysolipid","19324","LC/MS Neg","5800","599.4",NA,NA,NA,FALSE,NA,"NA"
"34","10-heptadecenoate (17:1n7)","29743-97-3","Lipid","Long chain fatty acid","33971","LC/MS Neg","5558","267.3","5312435",NA,NA,TRUE,"5312435","None"
"35","10-nonadecenoate (19:1n9)","73033-09-7","Lipid","Long chain fatty acid","33972","LC/MS Neg","5775","295.39999999999998","5312513",NA,NA,TRUE,"5312513","None"
"36","13-HODE + 9-HODE",NA,"Lipid","Fatty acid, monohydroxy","37752","LC/MS Neg","5247","295.2",NA,NA,NA,FALSE,NA,"NA"
"37","15-methylpalmitate (isobar with 2-methylpalmitate)",NA,"Lipid","Fatty acid, branched","38768","LC/MS Neg","5698","269.39999999999998",NA,NA,NA,FALSE,NA,"NA"
"38","16-hydroxypalmitate","506-13-8","Lipid","Fatty acid, monohydroxy","39609","LC/MS Neg","5232","271.3","10466","C18218",NA,TRUE,"10466","None"
"39","2'-deoxyadenosine 3'-monophosphate","102832-10-0","Nucleotide","Purine metabolism, adenine containing","40663","LC/MS Pos","1383.5","332.1","1467",NA,NA,TRUE,"1467","None"
"40","2'-deoxycytidine 3'-monophosphate","6220-63-9","Nucleotide","Pyrimidine metabolism, cytidine containing","40453","LC/MS Pos","1048","308","3274948",NA,NA,TRUE,"3274948","None"
"41","2'-deoxyguanosine","961-07-9","Nucleotide","Purine metabolism, guanine containing","1411","LC/MS Pos","1728","268","187790","C00330","HMDB00085",TRUE,"187790","None"
"42","2'-deoxyinosine","890-38-0","Nucleotide","Purine metabolism, (hypo)xanthine/inosine containing","15076","LC/MS Neg","1700","251.1","65058","C05512","HMDB00071",TRUE,"65058","None"
"43","2-aminoadipate","542-32-5; 1118-90-7","Amino acid","Lysine metabolism","6146","GC/MS","1686.5","260.10000000000002","469","C00956","HMDB00510",TRUE,"469","None"
"44","2-aminobutyrate","1492-24-6","Amino acid","Butanoate metabolism","1577","GC/MS","1215.7","130",NA,"C02261","HMDB00650",FALSE,NA,"NA"
"45","2-arachidonoylglycerophosphocholine*",NA,"Lipid","Lysolipid","35256","LC/MS Pos","5524","544.29999999999995",NA,NA,NA,FALSE,NA,"NA"
"46","2-arachidonoylglycerophosphoethanolamine*",NA,"Lipid","Lysolipid","32815","LC/MS Neg","5674","500.3",NA,NA,NA,FALSE,NA,"NA"
"47","2-docosahexaenoylglycerophosphocholine*",NA,"Lipid","Lysolipid","35883","LC/MS Pos","5507","568.29999999999995",NA,NA,NA,FALSE,NA,"NA"
"48","2-docosahexaenoylglycerophosphoethanolamine*",NA,"Lipid","Lysolipid","34258","LC/MS Pos","5512","526.20000000000005",NA,NA,NA,FALSE,NA,"NA"
"49","2-docosapentaenoylglycerophosphocholine*",NA,"Lipid","Lysolipid","37366","LC/MS Pos","5532","570.29999999999995",NA,NA,NA,FALSE,NA,"NA"
"50","2-docosapentaenoylglycerophosphoethanolamine*",NA,"Lipid","Lysolipid","34875","LC/MS Pos","5548","528.20000000000005",NA,NA,NA,FALSE,NA,"NA"
"51","2-eicosatrienoylglycerophosphocholine*",NA,"Lipid","Lysolipid","35884","LC/MS Pos","5565","546.29999999999995",NA,NA,NA,FALSE,NA,"NA"
"52","2-ethylhexanoate","149-57-5","Xenobiotics","Chemical","1554","GC/MS","1210.5","201.2","8697",NA,NA,TRUE,"8697","None"
"53","2-hydroxyacetaminophen sulfate*",NA,"Xenobiotics","Drug","33173","LC/MS Neg","1703","246.1",NA,NA,NA,FALSE,NA,"NA"
"54","2-hydroxybutyrate (AHB)","3347-90-8","Amino acid","Cysteine, methionine, SAM, taurine metabolism","21044","GC/MS","1169.4000000000001","130.9","440864","C05984","HMDB00008",TRUE,"440864","None"
"55","2-hydroxyglutarate","40951-21-1","Lipid","Fatty acid, dicarboxylate","37253","GC/MS","1576","247","43","C02630","HMDB00606",TRUE,"43","None"
"56","2-hydroxyhippurate (salicylurate)","487-54-7","Xenobiotics","Benzoate metabolism","18281","LC/MS Neg","2252","194.1","10253","C07588","HMDB00840",TRUE,"10253","None"
"57","2-hydroxyisobutyrate","594-61-6","Xenobiotics","Chemical","22030","GC/MS","1107.5","130.9","11671",NA,"HMDB00729",TRUE,"11671","None"
"58","2-hydroxypalmitate","764-67-0","Lipid","Fatty acid, monohydroxy","35675","LC/MS Neg","5508","271.3","92836",NA,NA,TRUE,"92836","None"
"59","2-isopropylmalate","3237-44-3","Carbohydrate","Glycolysis, gluconeogenesis, pyruvate metabolism","15667","LC/MS Neg","732","175.2","77","C02504","HMDB00402",FALSE,"5280523","RaMP-DB"
"60","2-linoleoylglycerol (2-monolinolein)","3443-82-1","Lipid","Monoacylglycerol","32536","GC/MS","2169","408.3","5365676",NA,"HMDB11538",TRUE,"5365676","None"
"61","2-linoleoylglycerophosphocholine*",NA,"Lipid","Lysolipid","35257","LC/MS Pos","5544","520.4",NA,NA,NA,FALSE,NA,"NA"
"62","2-linoleoylglycerophosphoethanolamine*",NA,"Lipid","Lysolipid","36593","LC/MS Neg","5650","476.4",NA,NA,NA,FALSE,NA,"NA"
"63","2-methoxyacetaminophen sulfate*",NA,"Xenobiotics","Drug","33178","LC/MS Neg","1977","260.10000000000002",NA,NA,NA,FALSE,NA,"NA"
"64","2-methylbutyroylcarnitine","31023-25-3","Amino acid","Valine, leucine and isoleucine metabolism","35431","LC/MS Pos","2439","246.1","6426901",NA,"HMDB00378",TRUE,"6426901","None"
"65","2-myristoylglycerophosphocholine*",NA,"Lipid","Lysolipid","35681","LC/MS Pos","5450","468.3",NA,NA,NA,FALSE,NA,"NA"
"66","2-oleoylglycerol (2-monoolein)","3443-84-3","Lipid","Monoacylglycerol","35848","GC/MS","2170","410.1","5319879",NA,NA,TRUE,"5319879","None"
"67","2-oleoylglycerophosphocholine*",NA,"Lipid","Lysolipid","35254","LC/MS Pos","5640","522.4",NA,NA,NA,FALSE,NA,"NA"
"68","2-oleoylglycerophosphoethanolamine*",NA,"Lipid","Lysolipid","35687","LC/MS Neg","5848","478.3",NA,NA,NA,FALSE,NA,"NA"
"69","2-oleoylglycerophosphoserine*",NA,"Lipid","Lysolipid","37948","LC/MS Neg","5577","522.29999999999995",NA,NA,NA,FALSE,NA,"NA"
"70","2-palmitoleoylglycerophosphocholine*",NA,"Lipid","Lysolipid","35819","LC/MS Pos","5482","494.3",NA,NA,NA,FALSE,NA,"NA"
"71","2-palmitoylglycerol (2-monopalmitin)","23470-00-0","Lipid","Monoacylglycerol","33419","GC/MS","2108","129","123409",NA,NA,TRUE,"123409","None"
"72","2-palmitoylglycerophosphocholine*",NA,"Lipid","Lysolipid","35253","LC/MS Pos","5604","496.3",NA,NA,NA,FALSE,NA,"NA"
"73","2-palmitoylglycerophosphoethanolamine*",NA,"Lipid","Lysolipid","35688","LC/MS Neg","5790","452.3",NA,NA,NA,FALSE,NA,"NA"
"74","2-phosphoglycerate","70195-25-4","Carbohydrate","Glycolysis, gluconeogenesis, pyruvate metabolism","35629","GC/MS","1734","459.1",NA,"C00631","HMDB03391",FALSE,NA,"NA"
"75","2-stearoylglycerophosphocholine*",NA,"Lipid","Lysolipid","35255","LC/MS Pos","5780","524.4","10208382",NA,NA,FALSE,"10208382","NA"
"76","2-stearoylglycerophosphoethanolamine*",NA,"Lipid","Lysolipid","41220","LC/MS Pos","5779.6","482.2",NA,NA,NA,FALSE,NA,"NA"
"77","3'-dephosphocoenzyme A","3633-59-8","Cofactors and vitamins","Pantothenate and CoA metabolism","18289","LC/MS Neg","2010","686.2","444485","C00882","HMDB01373",TRUE,"444485","None"
"78","3,4-dihydroxyphenethyleneglycol","28822-73-3","Amino acid","Phenylalanine & tyrosine metabolism","1555","GC/MS","1807.7","355.2","91528","C05576","HMDB00318",TRUE,"91528","None"
"79","3-(4-hydroxyphenyl)lactate","6482-98-0","Amino acid","Phenylalanine & tyrosine metabolism","32197","LC/MS Neg","1395","181.1","9378","C03672","HMDB00755",TRUE,"9378","None"
"80","3-(N-acetyl-L-cystein-S-yl) acetaminophen*","52372-86-8","Xenobiotics","Drug","18299","LC/MS Pos","2622","313.10000000000002","83967",NA,NA,TRUE,"83967","None"
"81","3-(cystein-S-yl)acetaminophen*",NA,"Xenobiotics","Drug","34365","LC/MS Pos","1960","271.2","5233914",NA,NA,TRUE,"5233914","None"
"82","3-aminoisobutyrate","10569-72-9; 214139-20-5","Nucleotide","Pyrimidine metabolism, thymine containing; Valine, leucine and isoleucine metabolism/","1566","GC/MS","1252.2","101.9","64956","C05145","HMDB03911",TRUE,"64956","None"
"83","3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)","86879-39-2","Lipid","Fatty acid, dicarboxylate","31787","LC/MS Neg","2815","239.1","123979",NA,NA,TRUE,"123979","None"
"84","3-dehydrocarnitine*","10457-99-5","Lipid","Carnitine metabolism","32654","LC/MS Pos","1020","160.19999999999999","6991982",NA,NA,TRUE,"6991982","None"
"85","3-hydroxybutyrate (BHBA)","625-72-9","Lipid","Ketone bodies","542","GC/MS","1203.5","116.9","441","C01089","HMDB00357",TRUE,"441","None"
"86","3-hydroxydecanoate","5561-87-5","Lipid","Fatty acid, monohydroxy","22053","LC/MS Neg","4681","187.2","26612",NA,"HMDB02203",TRUE,"26612","None"
"87","3-hydroxyhippurate",NA,"Xenobiotics","Benzoate metabolism","39600","LC/MS Neg","1670","194.1","450268",NA,"HMDB06116",TRUE,"450268","None"
"88","3-hydroxyoctanoate","88930-08-9","Lipid","Fatty acid, monohydroxy","22001","LC/MS Neg","3463","159.19999999999999","26613",NA,"HMDB01954",TRUE,"26613","None"
"89","3-indoxyl sulfate","2642-37-7","Amino acid","Tryptophan metabolism","27672","LC/MS Neg","2258","212","10258",NA,"HMDB00682",TRUE,"10258","None"
"90","3-methyl-2-oxovalerate","51829-07-3","Amino acid","Valine, leucine and isoleucine metabolism","15676","LC/MS Neg","2106","129.19999999999999","47","C00671","HMDB03736",FALSE,"439286; 440877; 6857401","RaMP-DB"
"91","3-methylhistidine","368-16-1","Amino acid","Histidine metabolism","15677","LC/MS Neg","911","168.1",NA,"C01152","HMDB00479",FALSE,NA,"NA"
"92","3-phosphoglycerate","80731-10-8","Carbohydrate","Glycolysis, gluconeogenesis, pyruvate metabolism","40264","GC/MS","1754","357.1",NA,"C00597","HMDB00807",FALSE,NA,"NA"
"93","3-ureidopropionate","462-88-4","Amino acid","Alanine and aspartate metabolism","3155","LC/MS Pos","1062","133.1","111","C02642","HMDB00026",TRUE,"111","None"
"94","4-acetamidophenol","103-90-2","Xenobiotics","Drug","12032","LC/MS Pos","2238","152.1","1983","C06804","HMDB01859",TRUE,"1983","None"
"95","4-acetaminophen sulfate","10066-90-7; 32113-41-0","Xenobiotics","Drug","37475","LC/MS Neg","1779","230.1","83939","C06804","HMDB01859",TRUE,"83939","None"
"96","4-androsten-3beta,17beta-diol disulfate 1*",NA,"Lipid","Sterol/Steroid","37202","LC/MS Neg","3735","224.3",NA,NA,"HMDB03818",FALSE,NA,"NA"
"97","4-guanidinobutanoate","463-003; 463-00-3","Amino acid","Guanidino and acetamido metabolism","15681","LC/MS Pos","1085","146.1","500","C01035","HMDB03464",TRUE,"500","None"
"98","4-hydroxybutyrate (GHB)","502-85-2","Lipid","Fatty acid, monohydroxy","34585","GC/MS","1277","233.1","10413","C00989","HMDB00710",TRUE,"10413","None"
"99","4-hydroxyglutamate","2485-33-8","Amino acid","Glutamate metabolism","40499","GC/MS","1644.2","244.1","439902","C03079","HMDB01344",FALSE,"5460078; 5460800","RaMP-DB"
"100","4-hydroxyhippurate","2482-25-9","Xenobiotics","Benzoate metabolism","35527","LC/MS Neg","1439","194","151012",NA,NA,TRUE,"151012","None"
"101","4-hydroxyphenylacetate","156-38-7","Amino acid","Phenylalanine & tyrosine metabolism","541","GC/MS","1630.6","179","4693933","C00642","HMDB00020",FALSE,"127","RaMP-DB"
"102","4-methyl-2-oxopentanoate","816-66-0","Amino acid","Valine, leucine and isoleucine metabolism","22116","LC/MS Neg","2200","129.19999999999999","70","C00233","HMDB00695",TRUE,"70","None"
"103","5,6-dihydrouracil","504-07-4","Nucleotide","Pyrimidine metabolism, uracil containing","1559","GC/MS","1505.2","243","649","C00429","HMDB00076",TRUE,"649","None"
"104","5-HETE","73307-52-5","Lipid","Eicosanoid","37372","LC/MS Neg","5372","319.2","9862886",NA,NA,TRUE,"9862886","None"
"105","5-aminovalerate","660-88-8","Amino acid","Urea cycle; arginine-, proline-, metabolism","18319","LC/MS Pos","860","118.1",NA,"C00431","HMDB03355",FALSE,NA,"NA"
"106","5-methyltetrahydrofolate (5MeTHF)","68703-91-3; 68792-52-9","Cofactors and vitamins","Folate metabolism","18330","LC/MS Neg","1838","458.2","146","C00440","HMDB01396",FALSE,"439234; 9825434; 135398561","RaMP-DB"
"107","5-methylthioadenosine (MTA)","2457-80-9","Amino acid","Polyamine metabolism","1419","LC/MS Pos","2427","298.10000000000002","439176","C00170","HMDB01173",TRUE,"439176","None"
"108","5-methyluridine (ribothymidine)","1463-10-1","Nucleotide","Pyrimidine metabolism, uracil containing","35136","LC/MS Neg","1774","257.10000000000002","445408",NA,"HMDB00884",TRUE,"445408","None"
"109","5-oxoETE","106154-18-1","Lipid","Eicosanoid","38400","LC/MS Neg","5373","317.3","1831","C14732","HMDB10217",TRUE,"1831","None"
"110","5-oxoproline","98-79-3","Amino acid","Glutathione metabolism","1494","LC/MS Neg","744","128.19999999999999","7405","C01879","HMDB00267",TRUE,"7405","None"
"111","6'-sialyllactose","35890-39-2","Carbohydrate","Fructose, mannose, galactose, starch, and sucrose metabolism","39795","GC/MS","2071.5","285.10000000000002",NA,"G00265","HMDB06569",FALSE,NA,"NA"
"112","6-keto prostaglandin F1alpha","58961-34-8; 58962-34-8","Lipid","Eicosanoid","20476","LC/MS Neg","4180","369.3","5280888","C05961","HMDB02886",TRUE,"5280888","None"
"113","6-phosphogluconate","921-62-0; 53411-70-4","Carbohydrate","Nucleotide sugars, pentose metabolism","15442","LC/MS Neg","588","275.10000000000002","91493","C00345","HMDB01316",TRUE,"91493","None"
"114","7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)","115538-85-7","Lipid","Sterol/Steroid","36776","LC/MS Neg","5268","429.4","3081085","C17337","HMDB12458",TRUE,"3081085","None"
"115","7-alpha-hydroxycholesterol","566-27-8","Lipid","Sterol/Steroid","35692","GC/MS","2300","456.2","107722","C03594","HMDB01496",TRUE,"107722","None"
"116","7-beta-hydroxycholesterol","566-27-8","Lipid","Sterol/Steroid","35092","GC/MS","2340","456.4","473141","C03594","HMDB06119",TRUE,"473141","None"
"117","Ac-Ser-Asp-Lys-Pro-OH","127103-11-1","Peptide","Polypeptide","40707","LC/MS Pos","1767","488.2","4409396",NA,NA,TRUE,"4409396","None"
"118","C-glycosyltryptophan*",NA,"Amino acid","Tryptophan metabolism","32675","LC/MS Pos","1912","367.1",NA,NA,NA,FALSE,NA,"NA"
"119","Isobar: fructose 1,6-diphosphate, glucose 1,6-diphosphate, myo-inositol 1,4 or 1,3-diphosphate",NA,"Carbohydrate","Glycolysis, gluconeogenesis, pyruvate metabolism","36984","LC/MS Neg","572","339",NA,NA,NA,FALSE,NA,"NA"
"120","Isobar: ribulose 5-phosphate, xylulose 5-phosphate",NA,"Carbohydrate","Nucleotide sugars, pentose metabolism","37288","GC/MS","1935","357.2",NA,NA,NA,FALSE,NA,"NA"
"121","L-urobilin","34217-90-8","Cofactors and vitamins","Hemoglobin and porphyrin metabolism","40173","LC/MS Pos","4091","595.4","5280818","C05793","HMDB04159",FALSE,"440785; 6433298","RaMP-DB"
"122","N-6-trimethyllysine","23284-33-5","Amino acid","Lysine metabolism","1498","LC/MS Pos","650","189.2","159659","C03793","HMDB01325",TRUE,"159659","None"
"123","N-acetyl-aspartyl-glutamate (NAAG)","3106-85-2","Amino acid","Glutamate metabolism","35665","LC/MS Pos","1563","305","5255","C12270","HMDB01067",TRUE,"5255","None"
"124","N-acetylalanine","97-69-8","Amino acid","Alanine and aspartate metabolism","1585","LC/MS Neg","882","130.1","88064","C02847","HMDB00766",TRUE,"88064","None"
"125","N-acetylarginine","155-84-0","Amino acid","Urea cycle; arginine-, proline-, metabolism","33953","LC/MS Neg","1149","215.2",NA,"C02562","HMDB04620",FALSE,NA,"NA"
"126","N-acetylasparagine","4033-40-3","Amino acid","Alanine and aspartate metabolism","33942","LC/MS Pos","974","175.1","99715",NA,"HMDB06028",TRUE,"99715","None"
"127","N-acetylaspartate (NAA)","997-55-7","Amino acid","Alanine and aspartate metabolism","22185","LC/MS Pos","1222","176.1","65065","C01042","HMDB00812",TRUE,"65065","None"
"128","N-acetylglucosamine","7512-17-6","Carbohydrate","Aminosugars metabolism","15095","GC/MS","1903.3","245","24139","C00140","HMDB00215",TRUE,"24139","None"
"129","N-acetylglucosamine 6-phosphate","102029-88-9","Carbohydrate","Aminosugars metabolism","15107","LC/MS Neg","628","300.10000000000002","10040501","C00357","HMDB02817",FALSE,"440996; 25243963","RaMP-DB"
"130","N-acetylglutamine","2490-97-3","Amino acid","Glutamate metabolism","33943","LC/MS Pos","1204","189.1","182230","C02716","HMDB06029",TRUE,"182230","None"
"131","N-acetylglycine","543-24-8","Amino acid","Glycine, serine and threonine metabolism","27710","GC/MS","1396.4","143.9","10972",NA,"HMDB00532",TRUE,"10972","None"
"132","N-acetylisoleucine",NA,"Amino acid","Valine, leucine and isoleucine metabolism","33967","LC/MS Pos","3370","174.1","2802421",NA,NA,FALSE,"2802421","NA"
"133","N-acetylleucine","1188-21-2","Amino acid","Valine, leucine and isoleucine metabolism","1587","LC/MS Pos","3444","174.1","70912","C02710","HMDB11756",TRUE,"70912","None"
"134","N-acetylmethionine","65-82-7","Amino acid","Cysteine, methionine, SAM, taurine metabolism","1589","LC/MS Pos","2588","192.1","448580","C02712","HMDB11745",TRUE,"448580","None"
"135","N-acetylneuraminate","131-48-6","Carbohydrate","Aminosugars metabolism","32377","LC/MS Neg","695","308.10000000000002",NA,"C00270","HMDB00230",FALSE,NA,"NA"
"136","N-acetylornithine","6205-08-9","Amino acid","Urea cycle; arginine-, proline-, metabolism","15630","LC/MS Pos","875","175.2",NA,"C00437","HMDB03357",FALSE,NA,"NA"
"137","N-acetylphenylalanine","2018-61-3","Amino acid","Phenylalanine & tyrosine metabolism","33950","LC/MS Neg","2590","206.2","74839","C03519","HMDB00512",TRUE,"74839","None"
"138","N-acetylserine","97-14-3","Amino acid","Glycine, serine and threonine metabolism","37076","GC/MS","1526","218","65249",NA,"HMDB02931",TRUE,"65249","None"
"139","N-acetylthreonine",NA,"Amino acid","Glycine, serine and threonine metabolism","33939","LC/MS Neg","846","160.1","4651717","C01118",NA,FALSE,"4651717","NA"
"140","N-acetyltryptophan","1218-34-4","Amino acid","Tryptophan metabolism","33959","LC/MS Neg","2650","245.2","700653","C03137",NA,TRUE,"700653","None"
"141","N-acetyltyrosine","537-55-3","Amino acid","Phenylalanine & tyrosine metabolism","32390","LC/MS Neg","1677","222.2","68310",NA,"HMDB00866",TRUE,"68310","None"
"142","N-acetylvaline","96-81-1","Amino acid","Valine, leucine and isoleucine metabolism","1591","LC/MS Pos","2654","160.1","66789",NA,"HMDB11757",TRUE,"66789","None"
"143","N-methylglutamate","35989-16-3","Amino acid","Glutamate metabolism","31532","GC/MS","1665","260.2","439377","C01046",NA,TRUE,"439377","None"
"144","N1-Methyl-2-pyridone-5-carboxamide","701-44-0","Cofactors and vitamins","Nicotinate and nicotinamide metabolism","40469","LC/MS Pos","1707.3","153.19999999999999","69698","C05842","HMDB04193",TRUE,"69698","None"
"145","N1-methyladenosine","15763-06-1","Nucleotide","Purine metabolism, adenine containing","15650","LC/MS Pos","1356","282.10000000000002","5460178","C02494","HMDB03331",FALSE,"27476","RaMP-DB"
"146","N1-methylguanosine","2140-65-0","Nucleotide","Purine metabolism, guanine containing","31609","LC/MS Pos","1850","298.10000000000002","96373",NA,"HMDB01563",TRUE,"96373","None"
"147","N2,N2-dimethylguanosine","2140-67-2","Nucleotide","Purine metabolism, guanine containing","35137","LC/MS Pos","2157","312.10000000000002","92919",NA,"HMDB04824",TRUE,"92919","None"
"148","N2-acetyllysine","1946-82-3","Amino acid","Lysine metabolism","36751","LC/MS Pos","853","189.1",NA,"C12989","HMDB00446",FALSE,NA,"NA"
"149","N2-methylguanosine","2140-77-4","Nucleotide","Purine metabolism, guanine containing","35133","LC/MS Pos","1950","298.10000000000002","3035422",NA,"HMDB05862",TRUE,"3035422","None"
"150","N6-acetyllysine","692-04-6","Amino acid","Lysine metabolism","36752","LC/MS Pos","1134","189.1",NA,"C02727","HMDB00206",FALSE,NA,"NA"
"151","N6-carbamoylthreonyladenosine","24719-82-2","Nucleotide","Purine metabolism, guanine containing","35157","LC/MS Pos","2656","413",NA,NA,NA,FALSE,NA,"NA"
"152","S-adenosylhomocysteine (SAH)","979-92-0","Amino acid","Cysteine, methionine, SAM, taurine metabolism","15948","LC/MS Neg","1821","383.1",NA,"C00021","HMDB00939",FALSE,NA,"NA"
"153","S-adenosylmethionine (SAM)","24346-00-7","Amino acid","Cysteine, methionine, SAM, taurine metabolism","15915","LC/MS Pos","676","399.1",NA,NA,NA,FALSE,NA,"NA"
"154","S-methylcysteine","1187-84-4","Amino acid","Cysteine, methionine, SAM, taurine metabolism","40262","GC/MS","1447.8","162.1",NA,NA,"HMDB02108",FALSE,NA,"NA"
"155","VGAHAGEYGAEALER*",NA,"Peptide","Polypeptide","35211","LC/MS Pos","2542","765.8",NA,NA,NA,FALSE,NA,"NA"
"156","X - 01497",NA,NA,NA,"33028","LC/MS Pos","5115","332.2",NA,NA,NA,FALSE,NA,"NA"
"157","X - 02249",NA,NA,NA,"32587","LC/MS Neg","4025","267.2",NA,NA,NA,FALSE,NA,"NA"
"158","X - 02269",NA,NA,NA,"32549","LC/MS Neg","1551","255.1",NA,NA,NA,FALSE,NA,"NA"
