KEGG,PotentialAdditionalIDs,AllIDs
C01586,NA,C01586
C01595,NA,C01595
C01601,NA,C01601
C01620,NA,C01620
C01762,NA,C01762
C01835,"C00721, C00420","C01835, C00721, C00420"
C01879,NA,C01879
C01904,NA,C01904
C01921,NA,C01921
C01936,NA,C01936
C01991,C00989,"C01991, C00989"
C02037,NA,C02037
C02043,NA,C02043
C02052,C00464,"C02052, C00464"
C02067,NA,C02067
C02155,NA,C02155
C02180,NA,C02180
C02261,NA,C02261
C02336,NA,C02336
C02354,NA,C02354
C02477,NA,C02477
C02483,NA,C02483
C02494,NA,C02494
C02504,NA,C02504
C02562,NA,C02562
C02571,NA,C02571
C02603,NA,C02603
C02630,NA,C02630
C02636,NA,C02636
C02642,NA,C02642
C02678,NA,C02678
C02679,NA,C02679
C02710,NA,C02710
C02712,NA,C02712
C02716,NA,C02716
C02727,NA,C02727
C02810,NA,C02810
C02847,NA,C02847
C02862,NA,C02862
C02912,NA,C02912
C02979,NA,C02979
C03017,NA,C03017
C03079,NA,C03079
C03137,NA,C03137
C03150,NA,C03150
C03189,NA,C03189
C03242,NA,C03242
C03406,NA,C03406
C03460,C03722,"C03460, C03722"
C03519,NA,C03519
C03547,NA,C03547
C03594,NA,C03594
C03626,NA,C03626
C03672,NA,C03672
C03722,C03460,"C03460, C03722"
C03793,NA,C03793
C03794,NA,C03794
C03878,NA,C03878
C03882,NA,C03882
C04100,NA,C04100
C04148,NA,C04148
C04230,NA,C04230
C04295,NA,C04295
C04545,NA,C04545
C04555,NA,C04555
C04805,NA,C04805
C05010,NA,C05010
C05145,NA,C05145
C05208,NA,C05208
C05282,NA,C05282
C05283,NA,C05283
C05330,C00155,"C00155, C05330"
C05345,NA,C05345
C05382,NA,C05382
C05410,NA,C05410
C05411,NA,C05411
C05484,NA,C05484
C05512,NA,C05512
C05519,NA,C05519
C05551,NA,C05551
C05565,NA,C05565
C05570,NA,C05570
C05576,NA,C05576
C05584,NA,C05584
C05597,NA,C05597
C05793,NA,C05793
C05794,NA,C05794
C05822,NA,C05822
C05828,NA,C05828
C05842,NA,C05842
C05947,NA,C05947
C05953,NA,C05953
C05961,NA,C05961
C05984,NA,C05984
C06008,C00671,"C00671, C06008"
C06104,NA,C06104
C06153,NA,C06153
C06174,NA,C06174
C06218,NA,C06218
C06423,NA,C06423
C06424,NA,C06424
C06425,NA,C06425
C06427,NA,C06427
C06428,NA,C06428
C06429,NA,C06429
C06527,NA,C06527
C06804,NA,C06804
C06834,NA,C06834
C07041,NA,C07041
C07073,NA,C07073
C07151,NA,C07151
C07187,NA,C07187
C07202,NA,C07202
C07326,NA,C07326
C07415,NA,C07415
C07480,NA,C07480
C07572,NA,C07572
C07588,NA,C07588
C07589,NA,C07589
C08257,NA,C08257
C08261,NA,C08261
C08283,NA,C08283
C08316,NA,C08316
C08322,NA,C08322
C08323,NA,C08323
C08362,NA,C08362
C08367,NA,C08367
C09213,NA,C09213
C10172,NA,C10172
C11301,NA,C11301
C11332,NA,C11332
C12144,NA,C12144
C12270,NA,C12270
C12600,NA,C12600
C12989,NA,C12989
C13857,NA,C13857
C14152,NA,C14152
C14732,NA,C14732
C16300,NA,C16300
C16513,NA,C16513
C16522,NA,C16522
C16525,NA,C16525
C16526,NA,C16526
C16527,NA,C16527
C16533,NA,C16533
C16534,NA,C16534
C16537,NA,C16537
C16884,NA,C16884
C17337,NA,C17337
C17737,C00695,"C17737, C00695"
C18218,NA,C18218
C19891,NA,C19891
C19910,NA,C19910
C20522,NA,C20522
