"";"original_row_id";"Metabolite";"CAS";"SUPER_PATHWAY";"SUB_PATHWAY";"COMP_ID";"PLATFORM";"RI";"MASS";"PUBCHEM";"KEGG";"HMDB";"CHEBI";"row_id";"seed1_type";"seed1_id";"seed2_type";"seed2_id";"pair_compatible";"compatibility_path";"n_seed_ids";"all_seed_ids_compatible";"manual_correction";"correction_tbl"
"233";"91";"3-methylhistidine";"368-16-1";"Amino acid";"Histidine metabolism";"15677";"LC/MS Neg";"911";"168.1";"92105, 64969";"C01152";"HMDB00479";NA;91;"KEGG";"C01152";"PUBCHEM";"64969";TRUE;"direct";4;TRUE;FALSE;NA
"234";"91";"3-methylhistidine";"368-16-1";"Amino acid";"Histidine metabolism";"15677";"LC/MS Neg";"911";"168.1";"92105, 64969";"C01152";"HMDB00479";NA;91;"PUBCHEM";"92105";"PUBCHEM";"64969";TRUE;"secondary";4;TRUE;FALSE;NA
"235";"92";"3-phosphoglycerate";"80731-10-8";"Carbohydrate";"Glycolysis, gluconeogenesis, pyruvate metabolism";"40264";"GC/MS";"1754";"357.1";NA;"C00597";"HMDB00807";NA;92;"HMDB";"HMDB0000807";"KEGG";"C00597";TRUE;"direct";2;TRUE;FALSE;NA
"236";"93";"3-ureidopropionate";"462-88-4";"Amino acid";"Alanine and aspartate metabolism";"3155";"LC/MS Pos";"1062";"133.1";"111";"C02642";"HMDB00026";NA;93;"HMDB";"HMDB0000026";"KEGG";"C02642";TRUE;"direct";3;TRUE;FALSE;NA
"237";"93";"3-ureidopropionate";"462-88-4";"Amino acid";"Alanine and aspartate metabolism";"3155";"LC/MS Pos";"1062";"133.1";"111";"C02642";"HMDB00026";NA;93;"HMDB";"HMDB0000026";"PUBCHEM";"111";TRUE;"direct";3;TRUE;FALSE;NA
"238";"93";"3-ureidopropionate";"462-88-4";"Amino acid";"Alanine and aspartate metabolism";"3155";"LC/MS Pos";"1062";"133.1";"111";"C02642";"HMDB00026";NA;93;"KEGG";"C02642";"PUBCHEM";"111";TRUE;"direct";3;TRUE;FALSE;NA
"239";"94";"4-acetamidophenol";"103-90-2";"Xenobiotics";"Drug";"12032";"LC/MS Pos";"2238";"152.1";"1983";"C06804";"HMDB01859";NA;94;"HMDB";"HMDB0001859";"KEGG";"C06804";TRUE;"direct";3;TRUE;FALSE;NA
"240";"94";"4-acetamidophenol";"103-90-2";"Xenobiotics";"Drug";"12032";"LC/MS Pos";"2238";"152.1";"1983";"C06804";"HMDB01859";NA;94;"HMDB";"HMDB0001859";"PUBCHEM";"1983";TRUE;"direct";3;TRUE;FALSE;NA
"241";"94";"4-acetamidophenol";"103-90-2";"Xenobiotics";"Drug";"12032";"LC/MS Pos";"2238";"152.1";"1983";"C06804";"HMDB01859";NA;94;"KEGG";"C06804";"PUBCHEM";"1983";TRUE;"direct";3;TRUE;FALSE;NA
"242";"96";"4-androsten-3beta,17beta-diol disulfate 1*";NA;"Lipid";"Sterol/Steroid";"37202";"LC/MS Neg";"3735";"224.3";NA;NA;"HMDB03818";NA;96;NA;NA;NA;NA;NA;"no_match";1;TRUE;FALSE;NA
"243";"97";"4-guanidinobutanoate";"463-003, 463-00-3";"Amino acid";"Guanidino and acetamido metabolism";"15681";"LC/MS Pos";"1085";"146.1";"500";"C01035";"HMDB03464";NA;97;"HMDB";"HMDB0003464";"KEGG";"C01035";TRUE;"direct";3;TRUE;FALSE;NA
"244";"97";"4-guanidinobutanoate";"463-003, 463-00-3";"Amino acid";"Guanidino and acetamido metabolism";"15681";"LC/MS Pos";"1085";"146.1";"500";"C01035";"HMDB03464";NA;97;"HMDB";"HMDB0003464";"PUBCHEM";"500";TRUE;"direct";3;TRUE;FALSE;NA
"245";"97";"4-guanidinobutanoate";"463-003, 463-00-3";"Amino acid";"Guanidino and acetamido metabolism";"15681";"LC/MS Pos";"1085";"146.1";"500";"C01035";"HMDB03464";NA;97;"KEGG";"C01035";"PUBCHEM";"500";TRUE;"direct";3;TRUE;FALSE;NA
"246";"98";"4-hydroxybutyrate (GHB)";"502-85-2";"Lipid";"Fatty acid, monohydroxy";"34585";"GC/MS";"1277";"233.1";"10413";"C00989";"HMDB00710";NA;98;"HMDB";"HMDB0000710";"KEGG";"C00989";TRUE;"direct";3;TRUE;FALSE;NA
"247";"98";"4-hydroxybutyrate (GHB)";"502-85-2";"Lipid";"Fatty acid, monohydroxy";"34585";"GC/MS";"1277";"233.1";"10413";"C00989";"HMDB00710";NA;98;"HMDB";"HMDB0000710";"PUBCHEM";"10413";TRUE;"direct";3;TRUE;FALSE;NA
"248";"98";"4-hydroxybutyrate (GHB)";"502-85-2";"Lipid";"Fatty acid, monohydroxy";"34585";"GC/MS";"1277";"233.1";"10413";"C00989";"HMDB00710";NA;98;"KEGG";"C00989";"PUBCHEM";"10413";TRUE;"direct";3;TRUE;FALSE;NA
"249";"100";"4-hydroxyhippurate";"2482-25-9";"Xenobiotics";"Benzoate metabolism";"35527";"LC/MS Neg";"1439";"194";"151012";NA;NA;NA;100;NA;NA;NA;NA;NA;"no_match";1;TRUE;FALSE;NA
"250";"101";"4-hydroxyphenylacetate";"156-38-7";"Amino acid";"Phenylalanine & tyrosine metabolism";"541";"GC/MS";"1630.6";"179";"127";"C00642";"HMDB00020";NA;101;"HMDB";"HMDB0000020";"KEGG";"C00642";TRUE;"direct";3;TRUE;FALSE;NA
"251";"101";"4-hydroxyphenylacetate";"156-38-7";"Amino acid";"Phenylalanine & tyrosine metabolism";"541";"GC/MS";"1630.6";"179";"127";"C00642";"HMDB00020";NA;101;"HMDB";"HMDB0000020";"PUBCHEM";"127";TRUE;"direct";3;TRUE;FALSE;NA
"252";"101";"4-hydroxyphenylacetate";"156-38-7";"Amino acid";"Phenylalanine & tyrosine metabolism";"541";"GC/MS";"1630.6";"179";"127";"C00642";"HMDB00020";NA;101;"KEGG";"C00642";"PUBCHEM";"127";TRUE;"direct";3;TRUE;FALSE;NA
"253";"102";"4-methyl-2-oxopentanoate";"816-66-0";"Amino acid";"Valine, leucine and isoleucine metabolism";"22116";"LC/MS Neg";"2200";"129.19999999999999";"70";"C00233";"HMDB00695";NA;102;"HMDB";"HMDB0000695";"KEGG";"C00233";TRUE;"direct";3;TRUE;FALSE;NA
"254";"102";"4-methyl-2-oxopentanoate";"816-66-0";"Amino acid";"Valine, leucine and isoleucine metabolism";"22116";"LC/MS Neg";"2200";"129.19999999999999";"70";"C00233";"HMDB00695";NA;102;"HMDB";"HMDB0000695";"PUBCHEM";"70";TRUE;"direct";3;TRUE;FALSE;NA
"255";"102";"4-methyl-2-oxopentanoate";"816-66-0";"Amino acid";"Valine, leucine and isoleucine metabolism";"22116";"LC/MS Neg";"2200";"129.19999999999999";"70";"C00233";"HMDB00695";NA;102;"KEGG";"C00233";"PUBCHEM";"70";TRUE;"direct";3;TRUE;FALSE;NA
"256";"103";"5,6-dihydrouracil";"504-07-4";"Nucleotide";"Pyrimidine metabolism, uracil containing";"1559";"GC/MS";"1505.2";"243";"649";"C00429";"HMDB00076";NA;103;"HMDB";"HMDB0000076";"KEGG";"C00429";TRUE;"direct";3;TRUE;FALSE;NA
"257";"103";"5,6-dihydrouracil";"504-07-4";"Nucleotide";"Pyrimidine metabolism, uracil containing";"1559";"GC/MS";"1505.2";"243";"649";"C00429";"HMDB00076";NA;103;"HMDB";"HMDB0000076";"PUBCHEM";"649";TRUE;"direct";3;TRUE;FALSE;NA
"258";"103";"5,6-dihydrouracil";"504-07-4";"Nucleotide";"Pyrimidine metabolism, uracil containing";"1559";"GC/MS";"1505.2";"243";"649";"C00429";"HMDB00076";NA;103;"KEGG";"C00429";"PUBCHEM";"649";TRUE;"direct";3;TRUE;FALSE;NA
"259";"104";"5-HETE";"73307-52-5";"Lipid";"Eicosanoid";"37372";"LC/MS Neg";"5372";"319.2";"9862886";NA;NA;NA;104;NA;NA;NA;NA;NA;"no_match";1;TRUE;FALSE;NA
"260";"105";"5-aminovalerate";"660-88-8";"Amino acid";"Urea cycle, arginine-, proline-, metabolism";"18319";"LC/MS Pos";"860";"118.1";"138";"C00431";"HMDB03355";NA;105;"HMDB";"HMDB0003355";"KEGG";"C00431";TRUE;"direct";3;TRUE;FALSE;NA
"261";"105";"5-aminovalerate";"660-88-8";"Amino acid";"Urea cycle, arginine-, proline-, metabolism";"18319";"LC/MS Pos";"860";"118.1";"138";"C00431";"HMDB03355";NA;105;"HMDB";"HMDB0003355";"PUBCHEM";"138";TRUE;"direct";3;TRUE;FALSE;NA
"262";"105";"5-aminovalerate";"660-88-8";"Amino acid";"Urea cycle, arginine-, proline-, metabolism";"18319";"LC/MS Pos";"860";"118.1";"138";"C00431";"HMDB03355";NA;105;"KEGG";"C00431";"PUBCHEM";"138";TRUE;"direct";3;TRUE;FALSE;NA
"263";"106";"5-methyltetrahydrofolate (5MeTHF)";"68703-91-3, 68792-52-9";"Cofactors and vitamins";"Folate metabolism";"18330";"LC/MS Neg";"1838";"458.2";"439234, 9825434, 135398561";"C00440";"HMDB01396";NA;106;"HMDB";"HMDB0001396";"KEGG";"C00440";TRUE;"direct";5;TRUE;FALSE;NA
"264";"106";"5-methyltetrahydrofolate (5MeTHF)";"68703-91-3, 68792-52-9";"Cofactors and vitamins";"Folate metabolism";"18330";"LC/MS Neg";"1838";"458.2";"439234, 9825434, 135398561";"C00440";"HMDB01396";NA;106;"HMDB";"HMDB0001396";"PUBCHEM";"439234";TRUE;"direct";5;TRUE;FALSE;NA
"265";"106";"5-methyltetrahydrofolate (5MeTHF)";"68703-91-3, 68792-52-9";"Cofactors and vitamins";"Folate metabolism";"18330";"LC/MS Neg";"1838";"458.2";"439234, 9825434, 135398561";"C00440";"HMDB01396";NA;106;"HMDB";"HMDB0001396";"PUBCHEM";"9825434";TRUE;"direct";5;TRUE;FALSE;NA
"266";"106";"5-methyltetrahydrofolate (5MeTHF)";"68703-91-3, 68792-52-9";"Cofactors and vitamins";"Folate metabolism";"18330";"LC/MS Neg";"1838";"458.2";"439234, 9825434, 135398561";"C00440";"HMDB01396";NA;106;"HMDB";"HMDB0001396";"PUBCHEM";"135398561";TRUE;"direct";5;TRUE;FALSE;NA
"267";"106";"5-methyltetrahydrofolate (5MeTHF)";"68703-91-3, 68792-52-9";"Cofactors and vitamins";"Folate metabolism";"18330";"LC/MS Neg";"1838";"458.2";"439234, 9825434, 135398561";"C00440";"HMDB01396";NA;106;"KEGG";"C00440";"PUBCHEM";"439234";TRUE;"direct";5;TRUE;FALSE;NA
"268";"106";"5-methyltetrahydrofolate (5MeTHF)";"68703-91-3, 68792-52-9";"Cofactors and vitamins";"Folate metabolism";"18330";"LC/MS Neg";"1838";"458.2";"439234, 9825434, 135398561";"C00440";"HMDB01396";NA;106;"KEGG";"C00440";"PUBCHEM";"9825434";TRUE;"direct";5;TRUE;FALSE;NA
"269";"106";"5-methyltetrahydrofolate (5MeTHF)";"68703-91-3, 68792-52-9";"Cofactors and vitamins";"Folate metabolism";"18330";"LC/MS Neg";"1838";"458.2";"439234, 9825434, 135398561";"C00440";"HMDB01396";NA;106;"KEGG";"C00440";"PUBCHEM";"135398561";TRUE;"direct";5;TRUE;FALSE;NA
"270";"106";"5-methyltetrahydrofolate (5MeTHF)";"68703-91-3, 68792-52-9";"Cofactors and vitamins";"Folate metabolism";"18330";"LC/MS Neg";"1838";"458.2";"439234, 9825434, 135398561";"C00440";"HMDB01396";NA;106;"PUBCHEM";"439234";"PUBCHEM";"9825434";TRUE;"secondary";5;TRUE;FALSE;NA
"271";"106";"5-methyltetrahydrofolate (5MeTHF)";"68703-91-3, 68792-52-9";"Cofactors and vitamins";"Folate metabolism";"18330";"LC/MS Neg";"1838";"458.2";"439234, 9825434, 135398561";"C00440";"HMDB01396";NA;106;"PUBCHEM";"439234";"PUBCHEM";"135398561";TRUE;"secondary";5;TRUE;FALSE;NA
"272";"106";"5-methyltetrahydrofolate (5MeTHF)";"68703-91-3, 68792-52-9";"Cofactors and vitamins";"Folate metabolism";"18330";"LC/MS Neg";"1838";"458.2";"439234, 9825434, 135398561";"C00440";"HMDB01396";NA;106;"PUBCHEM";"9825434";"PUBCHEM";"135398561";TRUE;"secondary";5;TRUE;FALSE;NA
"273";"107";"5-methylthioadenosine (MTA)";"2457-80-9";"Amino acid";"Polyamine metabolism";"1419";"LC/MS Pos";"2427";"298.10000000000002";"439176";"C00170";"HMDB01173";NA;107;"HMDB";"HMDB0001173";"KEGG";"C00170";TRUE;"direct";3;TRUE;FALSE;NA
"274";"107";"5-methylthioadenosine (MTA)";"2457-80-9";"Amino acid";"Polyamine metabolism";"1419";"LC/MS Pos";"2427";"298.10000000000002";"439176";"C00170";"HMDB01173";NA;107;"HMDB";"HMDB0001173";"PUBCHEM";"439176";TRUE;"direct";3;TRUE;FALSE;NA
"275";"107";"5-methylthioadenosine (MTA)";"2457-80-9";"Amino acid";"Polyamine metabolism";"1419";"LC/MS Pos";"2427";"298.10000000000002";"439176";"C00170";"HMDB01173";NA;107;"KEGG";"C00170";"PUBCHEM";"439176";TRUE;"direct";3;TRUE;FALSE;NA
"276";"108";"5-methyluridine (ribothymidine)";"1463-10-1";"Nucleotide";"Pyrimidine metabolism, uracil containing";"35136";"LC/MS Neg";"1774";"257.10000000000002";"445408";NA;"HMDB00884";NA;108;"HMDB";"HMDB0000884";"PUBCHEM";"445408";TRUE;"direct";2;TRUE;FALSE;NA
"277";"110";"5-oxoproline";"98-79-3";"Amino acid";"Glutathione metabolism";"1494";"LC/MS Neg";"744";"128.19999999999999";"7405";"C01879";"HMDB00267";NA;110;"HMDB";"HMDB0000267";"KEGG";"C01879";TRUE;"direct";3;TRUE;FALSE;NA
"278";"110";"5-oxoproline";"98-79-3";"Amino acid";"Glutathione metabolism";"1494";"LC/MS Neg";"744";"128.19999999999999";"7405";"C01879";"HMDB00267";NA;110;"HMDB";"HMDB0000267";"PUBCHEM";"7405";TRUE;"direct";3;TRUE;FALSE;NA
"279";"110";"5-oxoproline";"98-79-3";"Amino acid";"Glutathione metabolism";"1494";"LC/MS Neg";"744";"128.19999999999999";"7405";"C01879";"HMDB00267";NA;110;"KEGG";"C01879";"PUBCHEM";"7405";TRUE;"direct";3;TRUE;FALSE;NA
"280";"111";"6'-sialyllactose";"35890-39-2";"Carbohydrate";"Fructose, mannose, galactose, starch, and sucrose metabolism";"39795";"GC/MS";"2071.5";"285.10000000000002";NA;"G00265";"HMDB06569";NA;111;NA;NA;NA;NA;NA;"no_match";1;TRUE;FALSE;NA
"281";"112";"6-keto prostaglandin F1alpha";"58961-34-8, 58962-34-8";"Lipid";"Eicosanoid";"20476";"LC/MS Neg";"4180";"369.3";"5280888";"C05961";"HMDB02886";NA;112;"HMDB";"HMDB0002886";"KEGG";"C05961";TRUE;"direct";3;TRUE;FALSE;NA
"282";"112";"6-keto prostaglandin F1alpha";"58961-34-8, 58962-34-8";"Lipid";"Eicosanoid";"20476";"LC/MS Neg";"4180";"369.3";"5280888";"C05961";"HMDB02886";NA;112;"HMDB";"HMDB0002886";"PUBCHEM";"5280888";TRUE;"direct";3;TRUE;FALSE;NA
"283";"112";"6-keto prostaglandin F1alpha";"58961-34-8, 58962-34-8";"Lipid";"Eicosanoid";"20476";"LC/MS Neg";"4180";"369.3";"5280888";"C05961";"HMDB02886";NA;112;"KEGG";"C05961";"PUBCHEM";"5280888";TRUE;"direct";3;TRUE;FALSE;NA
"284";"113";"6-phosphogluconate";"921-62-0, 53411-70-4";"Carbohydrate";"Nucleotide sugars, pentose metabolism";"15442";"LC/MS Neg";"588";"275.10000000000002";"91493";"C00345";"HMDB01316";NA;113;"HMDB";"HMDB0001316";"KEGG";"C00345";TRUE;"direct";3;TRUE;FALSE;NA
"285";"113";"6-phosphogluconate";"921-62-0, 53411-70-4";"Carbohydrate";"Nucleotide sugars, pentose metabolism";"15442";"LC/MS Neg";"588";"275.10000000000002";"91493";"C00345";"HMDB01316";NA;113;"HMDB";"HMDB0001316";"PUBCHEM";"91493";TRUE;"direct";3;TRUE;FALSE;NA
"286";"113";"6-phosphogluconate";"921-62-0, 53411-70-4";"Carbohydrate";"Nucleotide sugars, pentose metabolism";"15442";"LC/MS Neg";"588";"275.10000000000002";"91493";"C00345";"HMDB01316";NA;113;"KEGG";"C00345";"PUBCHEM";"91493";TRUE;"direct";3;TRUE;FALSE;NA
"287";"114";"7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)";"115538-85-7";"Lipid";"Sterol/Steroid";"36776";"LC/MS Neg";"5268";"429.4";"3081085";"C17337";"HMDB12458";NA;114;"HMDB";"HMDB0012458";"KEGG";"C17337";TRUE;"direct";3;TRUE;FALSE;NA
"288";"114";"7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)";"115538-85-7";"Lipid";"Sterol/Steroid";"36776";"LC/MS Neg";"5268";"429.4";"3081085";"C17337";"HMDB12458";NA;114;"HMDB";"HMDB0012458";"PUBCHEM";"3081085";TRUE;"direct";3;TRUE;FALSE;NA
"289";"114";"7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)";"115538-85-7";"Lipid";"Sterol/Steroid";"36776";"LC/MS Neg";"5268";"429.4";"3081085";"C17337";"HMDB12458";NA;114;"KEGG";"C17337";"PUBCHEM";"3081085";TRUE;"direct";3;TRUE;FALSE;NA
"290";"115";"7-alpha-hydroxycholesterol";"566-27-8";"Lipid";"Sterol/Steroid";"35692";"GC/MS";"2300";"456.2";"107722";"C03594";"HMDB01496";NA;115;"HMDB";"HMDB0001496";"KEGG";"C03594";TRUE;"direct";3;TRUE;FALSE;NA
"291";"115";"7-alpha-hydroxycholesterol";"566-27-8";"Lipid";"Sterol/Steroid";"35692";"GC/MS";"2300";"456.2";"107722";"C03594";"HMDB01496";NA;115;"HMDB";"HMDB0001496";"PUBCHEM";"107722";TRUE;"direct";3;TRUE;FALSE;NA
"292";"115";"7-alpha-hydroxycholesterol";"566-27-8";"Lipid";"Sterol/Steroid";"35692";"GC/MS";"2300";"456.2";"107722";"C03594";"HMDB01496";NA;115;"KEGG";"C03594";"PUBCHEM";"107722";TRUE;"direct";3;TRUE;FALSE;NA
"293";"117";"Ac-Ser-Asp-Lys-Pro-OH";"127103-11-1";"Peptide";"Polypeptide";"40707";"LC/MS Pos";"1767";"488.2";"4409396";NA;NA;NA;117;NA;NA;NA;NA;NA;"no_match";1;TRUE;FALSE;NA
"294";"118";"C-glycosyltryptophan*";NA;"Amino acid";"Tryptophan metabolism";"32675";"LC/MS Pos";"1912";"367.1";NA;NA;NA;NA;118;NA;NA;NA;NA;NA;"no_match";0;TRUE;FALSE;NA
"295";"119";"Isobar: fructose 1,6-diphosphate, glucose 1,6-diphosphate, myo-inositol 1,4 or 1,3-diphosphate";NA;"Carbohydrate";"Glycolysis, gluconeogenesis, pyruvate metabolism";"36984";"LC/MS Neg";"572";"339";NA;NA;NA;NA;119;NA;NA;NA;NA;NA;"no_match";0;TRUE;FALSE;NA
"296";"120";"Isobar: ribulose 5-phosphate, xylulose 5-phosphate";NA;"Carbohydrate";"Nucleotide sugars, pentose metabolism";"37288";"GC/MS";"1935";"357.2";NA;NA;NA;NA;120;NA;NA;NA;NA;NA;"no_match";0;TRUE;FALSE;NA
"297";"123";"N-acetyl-aspartyl-glutamate (NAAG)";"3106-85-2";"Amino acid";"Glutamate metabolism";"35665";"LC/MS Pos";"1563";"305";"5255";"C12270";"HMDB01067";NA;123;"HMDB";"HMDB0001067";"KEGG";"C12270";TRUE;"direct";3;TRUE;FALSE;NA
"298";"123";"N-acetyl-aspartyl-glutamate (NAAG)";"3106-85-2";"Amino acid";"Glutamate metabolism";"35665";"LC/MS Pos";"1563";"305";"5255";"C12270";"HMDB01067";NA;123;"HMDB";"HMDB0001067";"PUBCHEM";"5255";TRUE;"direct";3;TRUE;FALSE;NA
"299";"123";"N-acetyl-aspartyl-glutamate (NAAG)";"3106-85-2";"Amino acid";"Glutamate metabolism";"35665";"LC/MS Pos";"1563";"305";"5255";"C12270";"HMDB01067";NA;123;"KEGG";"C12270";"PUBCHEM";"5255";TRUE;"direct";3;TRUE;FALSE;NA
"300";"126";"N-acetylasparagine";"4033-40-3";"Amino acid";"Alanine and aspartate metabolism";"33942";"LC/MS Pos";"974";"175.1";"99715";NA;"HMDB06028";NA;126;"HMDB";"HMDB0006028";"PUBCHEM";"99715";TRUE;"direct";2;TRUE;FALSE;NA
"301";"127";"N-acetylaspartate (NAA)";"997-55-7, 997-55-7";"Amino acid";"Alanine and aspartate metabolism";"22185";"LC/MS Pos";"1222";"176.1";"65065";"C01042";"HMDB00812";NA;127;"HMDB";"HMDB0000812";"KEGG";"C01042";TRUE;"direct";3;TRUE;FALSE;NA
"302";"127";"N-acetylaspartate (NAA)";"997-55-7, 997-55-7";"Amino acid";"Alanine and aspartate metabolism";"22185";"LC/MS Pos";"1222";"176.1";"65065";"C01042";"HMDB00812";NA;127;"HMDB";"HMDB0000812";"PUBCHEM";"65065";TRUE;"direct";3;TRUE;FALSE;NA
"303";"127";"N-acetylaspartate (NAA)";"997-55-7, 997-55-7";"Amino acid";"Alanine and aspartate metabolism";"22185";"LC/MS Pos";"1222";"176.1";"65065";"C01042";"HMDB00812";NA;127;"KEGG";"C01042";"PUBCHEM";"65065";TRUE;"direct";3;TRUE;FALSE;NA
"304";"131";"N-acetylglycine";"543-24-8";"Amino acid";"Glycine, serine and threonine metabolism";"27710";"GC/MS";"1396.4";"143.9";"10972";NA;"HMDB00532";NA;131;"HMDB";"HMDB0000532";"PUBCHEM";"10972";TRUE;"direct";2;TRUE;FALSE;NA
"305";"132";"N-acetylisoleucine";NA;"Amino acid";"Valine, leucine and isoleucine metabolism";"33967";"LC/MS Pos";"3370";"174.1";"7036275";NA;NA;NA;132;NA;NA;NA;NA;NA;"no_match";1;TRUE;FALSE;NA
"306";"133";"N-acetylleucine";"1188-21-2";"Amino acid";"Valine, leucine and isoleucine metabolism";"1587";"LC/MS Pos";"3444";"174.1";"70912";"C02710";"HMDB11756";NA;133;"HMDB";"HMDB0011756";"KEGG";"C02710";TRUE;"direct";3;TRUE;FALSE;NA
"307";"133";"N-acetylleucine";"1188-21-2";"Amino acid";"Valine, leucine and isoleucine metabolism";"1587";"LC/MS Pos";"3444";"174.1";"70912";"C02710";"HMDB11756";NA;133;"HMDB";"HMDB0011756";"PUBCHEM";"70912";TRUE;"direct";3;TRUE;FALSE;NA
"308";"133";"N-acetylleucine";"1188-21-2";"Amino acid";"Valine, leucine and isoleucine metabolism";"1587";"LC/MS Pos";"3444";"174.1";"70912";"C02710";"HMDB11756";NA;133;"KEGG";"C02710";"PUBCHEM";"70912";TRUE;"direct";3;TRUE;FALSE;NA
"309";"134";"N-acetylmethionine";"65-82-7";"Amino acid";"Cysteine, methionine, SAM, taurine metabolism";"1589";"LC/MS Pos";"2588";"192.1";"448580";"C02712";"HMDB11745";NA;134;"HMDB";"HMDB0011745";"KEGG";"C02712";TRUE;"direct";3;TRUE;FALSE;NA
"310";"134";"N-acetylmethionine";"65-82-7";"Amino acid";"Cysteine, methionine, SAM, taurine metabolism";"1589";"LC/MS Pos";"2588";"192.1";"448580";"C02712";"HMDB11745";NA;134;"HMDB";"HMDB0011745";"PUBCHEM";"448580";TRUE;"direct";3;TRUE;FALSE;NA
"311";"134";"N-acetylmethionine";"65-82-7";"Amino acid";"Cysteine, methionine, SAM, taurine metabolism";"1589";"LC/MS Pos";"2588";"192.1";"448580";"C02712";"HMDB11745";NA;134;"KEGG";"C02712";"PUBCHEM";"448580";TRUE;"direct";3;TRUE;FALSE;NA
"312";"136";"N-acetylornithine";"6205-08-9";"Amino acid";"Urea cycle, arginine-, proline-, metabolism";"15630";"LC/MS Pos";"875";"175.2";"439232";"C00437";"HMDB03357";NA;136;"HMDB";"HMDB0003357";"KEGG";"C00437";TRUE;"direct";3;TRUE;FALSE;NA
"313";"136";"N-acetylornithine";"6205-08-9";"Amino acid";"Urea cycle, arginine-, proline-, metabolism";"15630";"LC/MS Pos";"875";"175.2";"439232";"C00437";"HMDB03357";NA;136;"HMDB";"HMDB0003357";"PUBCHEM";"439232";TRUE;"direct";3;TRUE;FALSE;NA
"314";"136";"N-acetylornithine";"6205-08-9";"Amino acid";"Urea cycle, arginine-, proline-, metabolism";"15630";"LC/MS Pos";"875";"175.2";"439232";"C00437";"HMDB03357";NA;136;"KEGG";"C00437";"PUBCHEM";"439232";TRUE;"direct";3;TRUE;FALSE;NA
"315";"137";"N-acetylphenylalanine";"2018-61-3";"Amino acid";"Phenylalanine & tyrosine metabolism";"33950";"LC/MS Neg";"2590";"206.2";"74839";"C03519";"HMDB00512";NA;137;"HMDB";"HMDB0000512";"KEGG";"C03519";TRUE;"direct";3;TRUE;FALSE;NA
"316";"137";"N-acetylphenylalanine";"2018-61-3";"Amino acid";"Phenylalanine & tyrosine metabolism";"33950";"LC/MS Neg";"2590";"206.2";"74839";"C03519";"HMDB00512";NA;137;"HMDB";"HMDB0000512";"PUBCHEM";"74839";TRUE;"direct";3;TRUE;FALSE;NA
"317";"137";"N-acetylphenylalanine";"2018-61-3";"Amino acid";"Phenylalanine & tyrosine metabolism";"33950";"LC/MS Neg";"2590";"206.2";"74839";"C03519";"HMDB00512";NA;137;"KEGG";"C03519";"PUBCHEM";"74839";TRUE;"direct";3;TRUE;FALSE;NA
"318";"138";"N-acetylserine";"97-14-3";"Amino acid";"Glycine, serine and threonine metabolism";"37076";"GC/MS";"1526";"218";"65249";NA;"HMDB02931";NA;138;"HMDB";"HMDB0002931";"PUBCHEM";"65249";TRUE;"direct";2;TRUE;FALSE;NA
"319";"141";"N-acetyltyrosine";"537-55-3";"Amino acid";"Phenylalanine & tyrosine metabolism";"32390";"LC/MS Neg";"1677";"222.2";"68310";NA;"HMDB00866";NA;141;"HMDB";"HMDB0000866";"PUBCHEM";"68310";TRUE;"direct";2;TRUE;FALSE;NA
"320";"142";"N-acetylvaline";"96-81-1";"Amino acid";"Valine, leucine and isoleucine metabolism";"1591";"LC/MS Pos";"2654";"160.1";"66789";NA;"HMDB11757";NA;142;"HMDB";"HMDB0011757";"PUBCHEM";"66789";TRUE;"direct";2;TRUE;FALSE;NA
"321";"143";"N-methylglutamate";"35989-16-3";"Amino acid";"Glutamate metabolism";"31532";"GC/MS";"1665";"260.2";"439377";"C01046";NA;NA;143;"KEGG";"C01046";"PUBCHEM";"439377";TRUE;"direct";2;TRUE;FALSE;NA
"322";"144";"N1-Methyl-2-pyridone-5-carboxamide";"701-44-0";"Cofactors and vitamins";"Nicotinate and nicotinamide metabolism";"40469";"LC/MS Pos";"1707.3";"153.19999999999999";"69698";"C05842";"HMDB04193";NA;144;"HMDB";"HMDB0004193";"KEGG";"C05842";TRUE;"direct";3;TRUE;FALSE;NA
"323";"144";"N1-Methyl-2-pyridone-5-carboxamide";"701-44-0";"Cofactors and vitamins";"Nicotinate and nicotinamide metabolism";"40469";"LC/MS Pos";"1707.3";"153.19999999999999";"69698";"C05842";"HMDB04193";NA;144;"HMDB";"HMDB0004193";"PUBCHEM";"69698";TRUE;"direct";3;TRUE;FALSE;NA
"324";"144";"N1-Methyl-2-pyridone-5-carboxamide";"701-44-0";"Cofactors and vitamins";"Nicotinate and nicotinamide metabolism";"40469";"LC/MS Pos";"1707.3";"153.19999999999999";"69698";"C05842";"HMDB04193";NA;144;"KEGG";"C05842";"PUBCHEM";"69698";TRUE;"direct";3;TRUE;FALSE;NA
"325";"145";"N1-methyladenosine";"15763-06-1";"Nucleotide";"Purine metabolism, adenine containing";"15650";"LC/MS Pos";"1356";"282.10000000000002";"27476";"C02494";"HMDB03331";NA;145;"HMDB";"HMDB0003331";"KEGG";"C02494";TRUE;"direct";3;TRUE;FALSE;NA
