"";"ID";"GeneRatio";"BgRatio";"RichFactor";"FoldEnrichment";"zScore";"pvalue";"p.adjust";"qvalue";"n_Metabolites_in_pathway";"all_metabolites_in_pathway";"n_detected_metabolites_in_pathway";"detected_metabolites_in_pathway";"percentage_detected_metabolites_of_pathway";"ORA_Metabolites_in_pathway";"ORA_metabolites_count";"ORA_percentage_of_Pathway_detected"
"85";"Biosynthesis of vancomycin group antibiotics";NA;NA;NA;NA;NA;NA;NA;NA;19;"C00082, C00083, C00842, C01179, C03198, C03590, C06620, C06689, C11907, C12014, C12026, C12318, C12319, C12320, C12321, C12322, C12323, C12324, C12325";1;"C00082";5,26;NA;0;0
"86";"Biosynthesis of various alkaloids";"2/37";"7/259";0,285714285714286;2;1,092906420717;0,262715839238982;0,556957579186642;0,470123080743441;77;"C00024, C00074, C00078, C00079, C00083, C00108, C00180, C00187, C00223, C00251, C00254, C00323, C00406, C00423, C00493, C00630, C00751, C00755, C00805, C01054, C01197, C01494, C01575, C01897, C02765, C03005, C03470, C04351, C06332, C06528, C06543, C06866, C07303, C08300, C08301, C08624, C08627, C08748, C08794, C08795, C08796, C08797, C08800, C10632, C10660, C10722, C10733, C10738, C10740, C10820, C10826, C10827, C11379, C12092, C12093, C16666, C16716, C16719, C16721, C16723, C16724, C16725, C16726, C16727, C16735, C17268, C18202, C19819, C21841, C22433, C22434, C22435, C22436, C22437, C22446, C22447, C22448";7;"C00074, C00078, C00079, C00180, C00187, C00751, C00805";9,09;"C00079/C00751";2;2,6
"87";"Biosynthesis of various antibiotics";"2/37";"8/259";0,25;1,75;0,878018413623174;0,320146394919314;0,615272777512055;0,519346435834406;101;"C00002, C00022, C00024, C00025, C00026, C00036, C00049, C00061, C00062, C00065, C00074, C00077, C00082, C00083, C00085, C00092, C00108, C00129, C00197, C00251, C00254, C00279, C00353, C00441, C00448, C00979, C01005, C01179, C01610, C01841, C02247, C02798, C03167, C03401, C05933, C06451, C06452, C06454, C07024, C07025, C07026, C07027, C07028, C07029, C07030, C07031, C07032, C07044, C08057, C09668, C10641, C12115, C12212, C12213, C19814, C19815, C19939, C20397, C20399, C20400, C20402, C20403, C20404, C20405, C20407, C20639, C20651, C20668, C20940, C20941, C20942, C20953, C20961, C20962, C20963, C20964, C20966, C21085, C21086, C21087, C21093, C21140, C21141, C21330, C21559, C21646, C21647, C21648, C22216, C22217, C22388, C22416, C22425, C22455, C22617, C22618, C22619, C22629, C22631, C22650, C22651";8;"C00025, C00049, C00062, C00065, C00074, C00077, C00082, C00092";7,92;"C00065/C00082";2;1,98
"88";"Biosynthesis of various nucleotide sugars";NA;NA;NA;NA;NA;NA;NA;NA;110;"C00029, C00043, C00096, C00103, C00128, C00167, C00199, C00203, C00270, C00275, C00325, C00501, C00636, C00645, C00688, C00842, C00996, C00999, C01112, C01170, C01187, C01219, C01222, C01788, C02199, C02330, C02977, C03117, C03187, C03319, C03410, C03598, C03599, C03691, C04089, C04121, C04257, C04268, C04297, C04346, C04478, C04501, C04573, C04613, C04630, C05382, C06018, C06240, C06241, C06397, C06398, C07277, C07836, C07838, C11472, C11907, C11908, C11925, C13952, C16153, C16154, C16155, C16156, C16157, C17326, C17327, C17328, C19725, C19745, C19823, C19878, C19879, C19880, C19881, C19947, C19960, C19961, C19971, C19972, C20082, C20083, C20156, C20357, C20359, C20395, C20415, C20418, C20419, C20424, C20612, C20613, C20638, C20672, C20682, C20768, C20774, C20934, C21383, C21384, C22247, C22248, C22255, C22256, C22257, C22262, C22397, C22575, C22576, C22938, C22973";4;"C00103, C00270, C00275, C05382";3,64;NA;0;0
"89";"Biosynthesis of various other secondary metabolites";"3/37";"9/259";0,333333333333333;2,33333333333333;1,65891530826622;0,122457151461916;0,370870230141804;0,313048357120688;64;"C00022, C00024, C00025, C00026, C00036, C00041, C00047, C00049, C00065, C00077, C00078, C00079, C00082, C00083, C00085, C00108, C00129, C00197, C00251, C00279, C00353, C00441, C00515, C01005, C01028, C03401, C03955, C04075, C05554, C12115, C20333, C20644, C20799, C20834, C20851, C20852, C20853, C20854, C21108, C21129, C21130, C21559, C21978, C21979, C22072, C22073, C22074, C22075, C22101, C22102, C22137, C22138, C22139, C22140, C22141, C22142, C22143, C22144, C22145, C22146, C22147, C22148, C22149, C22449";9;"C00025, C00041, C00047, C00049, C00065, C00077, C00078, C00079, C00082";14,06;"C00065/C00079/C00082";3;4,69
"90";"Biosynthesis of various plant secondary metabolites";"4/37";"8/259";0,5;3,5;2,92672804541058;0,0163202293846547;0,122138328558706;0,103095907919464;148;"C00019, C00024, C00036, C00049, C00073, C00074, C00078, C00079, C00082, C00083, C00108, C00179, C00223, C00251, C00254, C00323, C00353, C00406, C00423, C00448, C00463, C00493, C00590, C00751, C00758, C00841, C01054, C01158, C01198, C01424, C01527, C01557, C01752, C01772, C01864, C02162, C02274, C02637, C02951, C03506, C04498, C04576, C04831, C05158, C05324, C05366, C05838, C05839, C05851, C06098, C06972, C07578, C08304, C08307, C08308, C08588, C08589, C08616, C08942, C08946, C08972, C09060, C09263, C09265, C09276, C09305, C09311, C09315, C10556, C10557, C10646, C10682, C10784, C10874, C11130, C12312, C15485, C15486, C15500, C15501, C15502, C15769, C15770, C15772, C17055, C17062, C17148, C17513, C18062, C18079, C18080, C18083, C18167, C18325, C19707, C19730, C19731, C19829, C19867, C19868, C19869, C20406, C20413, C20417, C20454, C20455, C20456, C20713, C20715, C20716, C20725, C20778, C20779, C20780, C20894, C21183, C21184, C21191, C21459, C21601, C21602, C22007, C22070, C22127, C22128, C22129, C22152, C22153, C22156, C22438, C22444, C22445, C22452, C22652, C22653, C22654, C22655, C22656, C22657, C22658, C22659, C22660, C22661, C22662, C22663, C22664, C22665, C22666";8;"C00049, C00073, C00074, C00078, C00079, C00082, C00179, C00751";5,41;"C00073/C00079/C00082/C00751";4;2,7
"91";"Biotin metabolism";NA;NA;NA;NA;NA;NA;NA;NA;29;"C00047, C00086, C00120, C01037, C01063, C01092, C01209, C01894, C01909, C02656, C05552, C05921, C06250, C19673, C19845, C19846, C20372, C20373, C20374, C20375, C20376, C20377, C20378, C20384, C20385, C20386, C20387, C20683, C22458";2;"C00047, C00086";6,9;NA;0;0
"92";"Bisphenol degradation";NA;NA;NA;NA;NA;NA;NA;NA;25;"C00156, C00530, C00633, C10700, C13620, C13621, C13622, C13623, C13624, C13625, C13626, C13628, C13629, C13631, C13632, C13633, C13634, C13635, C13636, C13637, C13638, C14220, C14298, C18215, C18216";0;NA;0;NA;0;0
"93";"Brassinosteroid biosynthesis";NA;NA;NA;NA;NA;NA;NA;NA;29;"C01789, C08814, C15784, C15785, C15786, C15787, C15788, C15789, C15790, C15791, C15792, C15793, C15794, C15795, C15796, C15797, C15798, C15799, C15800, C15801, C15802, C15803, C16251, C16252, C16253, C17733, C17735, C19873, C19874";0;NA;0;NA;0;0
"94";"Breast cancer";NA;NA;NA;NA;NA;NA;NA;NA;3;"C00410, C00951, C05981";0;NA;0;NA;0;0
"95";"Butanoate metabolism";NA;NA;NA;NA;NA;NA;NA;NA;47;"C00022, C00024, C00025, C00026, C00042, C00091, C00122, C00132, C00136, C00164, C00207, C00232, C00246, C00332, C00334, C00356, C00497, C00741, C00810, C00877, C00989, C01089, C01144, C01384, C01412, C01769, C01845, C02331, C02411, C02527, C02630, C03044, C03046, C03058, C03561, C04546, C06010, C06142, C06143, C06144, C06145, C06146, C11062, C17530, C20657, C20783, C21390";7;"C00025, C00042, C00122, C00334, C00989, C01089, C02630";14,89;NA;0;0
"96";"C-type lectin receptor signaling pathway";NA;NA;NA;NA;NA;NA;NA;NA;8;"C00159, C00165, C00584, C00965, C01019, C01245, C21790, C21791";3;"C00159, C00584, C01019";37,5;NA;0;0
"97";"C5-Branched dibasic acid metabolism";"1/37";"3/259";0,333333333333333;2,33333333333333;0,946484724300046;0,371485450573316;0,615272777512055;0,519346435834406;35;"C00022, C00024, C00025, C00026, C00033, C00048, C00100, C00109, C00417, C00490, C00531, C00651, C00810, C01011, C01109, C01732, C02226, C02341, C02612, C02614, C02630, C02876, C03618, C06010, C06027, C06028, C06029, C06030, C06031, C06032, C06033, C06034, C06035, C06234, C21632";3;"C00025, C00417, C02630";8,57;"C00417";1;2,86
"98";"Caffeine metabolism";"2/37";"3/259";0,666666666666667;4,66666666666667;2,60283299182513;0,0543712915443981;0,221667573219469;0,187107683452382;22;"C00048, C00385, C01762, C07130, C07480, C07481, C13747, C16352, C16353, C16355, C16356, C16357, C16358, C16359, C16360, C16361, C16362, C16363, C16364, C16365, C16366, C21144";3;"C00385, C01762, C07480";13,64;"C00385/C01762";2;9,09
"99";"Calcium signaling pathway";NA;NA;NA;NA;NA;NA;NA;NA;9;"C00002, C00004, C00165, C00575, C01245, C06124, C11556, C13050, C13051";1;"C00004";11,11;NA;0;0
"100";"cAMP signaling pathway";NA;NA;NA;NA;NA;NA;NA;NA;19;"C00020, C00042, C00165, C00186, C00212, C00334, C00416, C00547, C00575, C00584, C00780, C00788, C01089, C01245, C01312, C01996, C03758, C20792, C20793";8;"C00020, C00042, C00186, C00212, C00334, C00584, C00788, C01089";42,11;NA;0;0
"101";"Caprolactam degradation";NA;NA;NA;NA;NA;NA;NA;NA;26;"C00414, C00571, C00854, C01147, C01255, C01880, C02232, C02378, C02824, C03241, C03739, C04277, C06102, C06103, C06104, C06105, C06593, C11249, C11519, C11520, C12313, C14143, C14144, C14145, C20988, C20990";1;"C06104";3,85;NA;0;0
"102";"Carbapenem biosynthesis";NA;NA;NA;NA;NA;NA;NA;NA;36;"C00010, C00025, C00083, C00148, C00831, C01134, C01165, C03287, C03912, C06664, C06669, C11755, C17366, C17367, C17368, C17369, C17370, C17373, C17374, C17377, C17399, C20813, C20814, C20815, C20816, C20818, C20819, C20820, C20821, C20822, C20823, C22946, C22947, C22948, C23066, C23073";2;"C00025, C00148";5,56;NA;0;0
"103";"Carbohydrate digestion and absorption";"2/37";"5/259";0,4;2,8;1,65605545953008;0,150263348824282;0,442442082649275;0,373461539475555;22;"C00031, C00033, C00089, C00092, C00095, C00124, C00163, C00165, C00208, C00243, C00246, C00369, C00707, C00714, C00760, C01355, C01835, C02049, C05981, C08822, C12284, C12285";5;"C00031, C00092, C00095, C00208, C01835";22,73;"C00208/C01835";2;9,09
"104";"Carbon fixation by Calvin cycle";NA;NA;NA;NA;NA;NA;NA;NA;19;"C00022, C00036, C00041, C00049, C00074, C00085, C00111, C00117, C00118, C00149, C00197, C00199, C00231, C00236, C00279, C00354, C00447, C01182, C05382";5;"C00041, C00049, C00074, C00149, C05382";26,32;NA;0;0
"105";"Carbon metabolism";"3/37";"22/259";0,136363636363636;0,954545454545454;-0,0908131446122696;0,63709274759819;0,791700576113914;0,668267616382152;113;"C00022, C00024, C00025, C00026, C00033, C00036, C00037, C00041, C00042, C00048, C00049, C00058, C00065, C00067, C00074, C00083, C00085, C00091, C00097, C00100, C00101, C00111, C00117, C00118, C00119, C00122, C00132, C00136, C00143, C00149, C00158, C00160, C00168, C00169, C00184, C00197, C00198, C00199, C00204, C00218, C00221, C00222, C00227, C00231, C00232, C00234, C00236, C00237, C00257, C00258, C00267, C00279, C00283, C00311, C00332, C00345, C00354, C00440, C00445, C00447, C00488, C00543, C00565, C00566, C00577, C00631, C00668, C00683, C00877, C00894, C00979, C00988, C00989, C01001, C01005, C01011, C01013, C01144, C01172, C01182, C01213, C01217, C01236, C01274, C01438, C01732, C02225, C03232, C03561, C03576, C03618, C03920, C04225, C04330, C04348, C04377, C04442, C04488, C04593, C04628, C04832, C05382, C05668, C06019, C06027, C06028, C11062, C18026, C18323, C18324, C18799, C18802, C20238";22;"C00025, C00037, C00041, C00042, C00049, C00065, C00074, C00097, C00122, C00149, C00158, C00160, C00168, C00184, C00257, C00258, C00345, C00440, C00631, C00668, C00989, C05382";19,47;"C00065/C00158/C00440";3;2,65
"106";"Carotenoid biosynthesis";NA;NA;NA;NA;NA;NA;NA;NA;128;"C00353, C00448, C02094, C03427, C03428, C05413, C05414, C05421, C05430, C05431, C05432, C05433, C05434, C05435, C06082, C06098, C08579, C08580, C08583, C08584, C08585, C08586, C08590, C08591, C08592, C08601, C08606, C08607, C08613, C08614, C09190, C09707, C13431, C13433, C13453, C13454, C13455, C13456, C15514, C15857, C15858, C15859, C15860, C15861, C15864, C15867, C15874, C15877, C15878, C15879, C15881, C15884, C15885, C15886, C15887, C15888, C15892, C15895, C15898, C15900, C15902, C15903, C15905, C15908, C15911, C15914, C15917, C15935, C15937, C15940, C15941, C15942, C15943, C15965, C15966, C15967, C15968, C15969, C15970, C15971, C15981, C15982, C15983, C15984, C16144, C16145, C16146, C16147, C16148, C16270, C16271, C16274, C16275, C16276, C16277, C16278, C16279, C16280, C16282, C16284, C16291, C16340, C16486, C18036, C18037, C19759, C19764, C19765, C19795, C19797, C19798, C19839, C19892, C20484, C20692, C20693, C21770, C22058, C22059, C22060, C22346, C22347, C22348, C22349, C23075, C23076, C23077, C23078";0;NA;0;NA;0;0
"107";"Catecholamine transferase inhibitors";NA;NA;NA;NA;NA;NA;NA;NA;5;"C01108, C15474, C15475, C15476, C15477";0;NA;0;NA;0;0
"108";"Cationic antimicrobial peptide (CAMP) resistance";NA;NA;NA;NA;NA;NA;NA;NA;13;"C00133, C00338, C00346, C06026, C11198, C15922, C15936, C16054, C16059, C18313, C19596, C20930, C20931";1;"C00346";7,69;NA;0;0
"109";"Cell cycle - Caulobacter";NA;NA;NA;NA;NA;NA;NA;NA;1;"C16463";0;NA;0;NA;0;0
"110";"Cell cycle - yeast";NA;NA;NA;NA;NA;NA;NA;NA;2;"C00009, C00575";1;"C00009";50;NA;0;0
"111";"Cellular senescence";NA;NA;NA;NA;NA;NA;NA;NA;2;"C05981, C07909";0;NA;0;NA;0;0
"112";"Central carbon metabolism in cancer";"10/37";"27/259";0,37037037037037;2,59259259259259;3,56267994324963;0,00154058142849943;0,0272169385701567;0,0229735827056933;36;"C00022, C00024, C00025, C00026, C00031, C00036, C00037, C00041, C00042, C00049, C00062, C00064, C00065, C00073, C00074, C00078, C00079, C00082, C00085, C00092, C00097, C00122, C00123, C00135, C00148, C00149, C00152, C00158, C00183, C00186, C00197, C00311, C00354, C00407, C00631, C00665";27;"C00025, C00031, C00037, C00041, C00042, C00049, C00062, C00064, C00065, C00073, C00074, C00078, C00079, C00082, C00092, C00097, C00122, C00123, C00135, C00148, C00149, C00152, C00158, C00183, C00186, C00407, C00631";75;"C00065/C00073/C00079/C00082/C00123/C00135/C00148/C00158/C00183/C00407";10;27,78
"113";"Cephalosporins - oral agents";NA;NA;NA;NA;NA;NA;NA;NA;1;"C00916";0;NA;0;NA;0;0
"114";"Cephalosporins - parenteral agents";NA;NA;NA;NA;NA;NA;NA;NA;4;"C00916, C01941, C02954, C06566";0;NA;0;NA;0;0
"115";"cGMP-PKG signaling pathway";NA;NA;NA;NA;NA;NA;NA;NA;6;"C00020, C00144, C00212, C00575, C00942, C01245";2;"C00020, C00212";33,33;NA;0;0
"116";"Chagas disease";NA;NA;NA;NA;NA;NA;NA;NA;4;"C00062, C00575, C01245, C05981";1;"C00062";25;NA;0;0
"117";"Chemical carcinogenesis - DNA adducts";NA;NA;NA;NA;NA;NA;NA;NA;76;"C03012, C03621, C03622, C06268, C06547, C06548, C06752, C06754, C06793, C06800, C07122, C07535, C07641, C10998, C14556, C14704, C14783, C14849, C14850, C14851, C14852, C14853, C14854, C14855, C14856, C14874, C16038, C16453, C19164, C19180, C19255, C19488, C19489, C19490, C19525, C19559, C19561, C19562, C19563, C19564, C19565, C19566, C19567, C19568, C19569, C19574, C19577, C19578, C19579, C19580, C19581, C19582, C19586, C19602, C19603, C19605, C19606, C20280, C20281, C20282, C20283, C20284, C20285, C20286, C20287, C20288, C20289, C20290, C20291, C20293, C20301, C20302, C20303, C20304, C20305, C20306";0;NA;0;NA;0;0
"118";"Chemical carcinogenesis - reactive oxygen species";NA;NA;NA;NA;NA;NA;NA;NA;49;"C00003, C00005, C00006, C00019, C00021, C00023, C00051, C00084, C00127, C00146, C00469, C00472, C00530, C00951, C01407, C01413, C01782, C02389, C02575, C02814, C03434, C03622, C04623, C05301, C05309, C05981, C06268, C06269, C06696, C07294, C07295, C07308, C07535, C07557, C10998, C14209, C14850, C14852, C16038, C16453, C18205, C18933, C19171, C20300, C20316, C20319, C22355, C22356, C22357";4;"C00003, C00021, C00051, C00127";8,16;NA;0;0
"119";"Chemical carcinogenesis - receptor activation";NA;NA;NA;NA;NA;NA;NA;NA;28;"C00410, C00547, C00575, C00745, C00780, C00788, C00951, C03690, C04623, C05981, C06697, C06790, C06916, C07020, C07434, C07535, C07557, C08150, C11042, C11150, C11371, C11906, C13624, C14240, C14573, C15995, C16452, C16453";1;"C00788";3,57;NA;0;0
"120";"Chemokine signaling pathway";NA;NA;NA;NA;NA;NA;NA;NA;4;"C00165, C00575, C01245, C05981";0;NA;0;NA;0;0
"121";"Chloroalkane and chloroalkene degradation";NA;NA;NA;NA;NA;NA;NA;NA;42;"C00024, C00048, C00058, C00067, C00084, C00160, C00209, C00222, C00237, C01380, C01548, C02271, C06547, C06548, C06609, C06610, C06611, C06612, C06613, C06614, C06615, C06752, C06753, C06754, C06755, C06789, C06790, C06791, C06792, C06793, C07490, C11148, C11149, C11150, C14866, C16348, C18246, C18247, C18248, C20303, C21752, C21753";1;"C00160";2,38;NA;0;0
"122";"Chlorocyclohexane and chlorobenzene degradation";NA;NA;NA;NA;NA;NA;NA;NA;82;"C00042, C00090, C00146, C00160, C00530, C00682, C01407, C02124, C02222, C02375, C02575, C02625, C02814, C02933, C03434, C03572, C03585, C03664, C03918, C04091, C04431, C04522, C04706, C04729, C05618, C06328, C06329, C06594, C06596, C06597, C06598, C06599, C06600, C06601, C06602, C06603, C06755, C06988, C06989, C06990, C07075, C07088, C07089, C07090, C07091, C07092, C07093, C07094, C07095, C07096, C07097, C07098, C07099, C07100, C07101, C07102, C07103, C11352, C12831, C12832, C12833, C12834, C12835, C12836, C12837, C12838, C14419, C14450, C16181, C16182, C16266, C18236, C18238, C18240, C18241, C18242, C18243, C18244, C18933, C21103, C21104, C21105";2;"C00042, C00160";2,44;NA;0;0
"123";"Cholesterol metabolism";NA;NA;NA;NA;NA;NA;NA;NA;9;"C00187, C00422, C00865, C01921, C02530, C05122, C05465, C05466, C15610";1;"C00187";11,11;NA;0;0
"124";"Choline metabolism in cancer";NA;NA;NA;NA;NA;NA;NA;NA;10;"C00093, C00114, C00157, C00165, C00307, C00416, C00588, C00670, C04230, C05981";3;"C00093, C00670, C04230";30;NA;0;0
"125";"Cholinergic and anticholinergic drugs";NA;NA;NA;NA;NA;NA;NA;NA;2;"C07473, C11760";0;NA;0;NA;0;0
"126";"Cholinergic synapse";NA;NA;NA;NA;NA;NA;NA;NA;9;"C00010, C00024, C00033, C00114, C00165, C00575, C01245, C01996, C04637";0;NA;0;NA;0;0
"127";"Chronic myeloid leukemia";NA;NA;NA;NA;NA;NA;NA;NA;1;"C05981";0;NA;0;NA;0;0
"128";"Circadian entrainment";NA;NA;NA;NA;NA;NA;NA;NA;5;"C00025, C00165, C00575, C00942, C01598";1;"C00025";20;NA;0;0
"129";"Circadian rhythm";NA;NA;NA;NA;NA;NA;NA;NA;1;"C00575";0;NA;0;NA;0;0
"130";"Citrate cycle (TCA cycle)";"2/37";"6/259";0,333333333333333;2,33333333333333;1,34644410428179;0,205549940497269;0,4895492346884;0,413224279528441;20;"C00022, C00024, C00026, C00036, C00042, C00068, C00074, C00091, C00122, C00149, C00158, C00311, C00417, C05125, C05379, C05381, C15972, C15973, C16254, C16255";6;"C00042, C00074, C00122, C00149, C00158, C00417";30;"C00158/C00417";2;10
"131";"Clavulanic acid biosynthesis";NA;NA;NA;NA;NA;NA;NA;NA;10;"C00062, C00118, C06655, C06656, C06657, C06658, C06659, C06660, C06661, C06662";1;"C00062";10;NA;0;0
"132";"Cobalamin transport and metabolism";"2/37";"3/259";0,666666666666667;4,66666666666667;2,60283299182513;0,0543712915443981;0,221667573219469;0,187107683452382;14;"C00073, C00091, C00101, C00155, C00194, C00440, C00541, C01213, C02823, C06409, C06410, C06453, C08230, C22880";3;"C00073, C00155, C00440";21,43;"C00073/C00440";2;14,29
"133";"Cocaine addiction";NA;NA;NA;NA;NA;NA;NA;NA;6;"C00025, C00082, C00355, C00575, C01161, C03758";2;"C00025, C00082";33,33;NA;0;0
"134";"Collecting duct acid secretion";NA;NA;NA;NA;NA;NA;NA;NA;1;"C01353";0;NA;0;NA;0;0
"135";"Colorectal cancer";NA;NA;NA;NA;NA;NA;NA;NA;1;"C05981";0;NA;0;NA;0;0
"136";"Complement and coagulation cascades";NA;NA;NA;NA;NA;NA;NA;NA;31;"C00290, C00306, C00471, C00752, C01065, C01715, C02002, C03259, C03262, C03378, C03379, C03780, C04001, C16510, C22531, C22532, C22533, C22534, C22535, C22536, C22537, C22538, C22539, C22540, C22541, C22542, C22543, C22544, C22545, C22546, C22547";0;NA;0;NA;0;0
"137";"Cornified envelope formation";"1/37";"6/259";0,166666666666667;1,16666666666667;0,168305513035224;0,607299173320973;0,775586896048472;0,654666198253427;14;"C00064, C00135, C00154, C00187, C00785, C00836, C01879, C02934, C22352, C22353, C23027, C23028, C23029, C23030";6;"C00064, C00135, C00187, C00785, C00836, C01879";42,86;"C00135";1;7,14
"138";"Coronavirus disease - COVID-19";NA;NA;NA;NA;NA;NA;NA;NA;7;"C00046, C00165, C00290, C00873, C02135, C15850, C20640";0;NA;0;NA;0;0
"139";"Cortisol synthesis and secretion";NA;NA;NA;NA;NA;NA;NA;NA;10;"C00020, C00187, C00410, C00575, C00735, C01176, C01245, C01953, C05138, C05488";3;"C00020, C00187, C00735";30;NA;0;0
"140";"Cushing syndrome";NA;NA;NA;NA;NA;NA;NA;NA;11;"C00020, C00187, C00410, C00575, C00735, C01176, C01245, C01953, C05138, C05488, C07557";3;"C00020, C00187, C00735";27,27;NA;0;0
"141";"Cutin, suberine and wax biosynthesis";NA;NA;NA;NA;NA;NA;NA;NA;27;"C00249, C00339, C00406, C00609, C00712, C01371, C01450, C01612, C01629, C02843, C08281, C08285, C18217, C18218, C19418, C19614, C19615, C19616, C19617, C19618, C19620, C19621, C19622, C19623, C19624, C19625, C19630";3;"C00249, C00712, C18218";11,11;NA;0;0
"142";"Cyanoamino acid metabolism";"5/37";"9/259";0,555555555555556;3,88888888888889;3,59431650124347;0,00377274902781565;0,0469632137652151;0,0396412429994367;44;"C00037, C00049, C00065, C00079, C00082, C00097, C00152, C00183, C00302, C00407, C00488, C00561, C00844, C01326, C01401, C01594, C02512, C02659, C03004, C03219, C03742, C04350, C05143, C05670, C05711, C05714, C05715, C06114, C08325, C08334, C15503, C16074, C16075, C18796, C19491, C19712, C19714, C19715, C20310, C20311, C20312, C20313, C20314, C20315";9;"C00037, C00049, C00065, C00079, C00082, C00097, C00152, C00183, C00407";20,45;"C00065/C00079/C00082/C00183/C00407";5;11,36
"143";"Cysteine and methionine metabolism";"2/37";"11/259";0,181818181818182;1,27272727272727;0,376645947924542;0,483460053549812;0,692523860490271;0,584553407563784;68;"C00019, C00021, C00022, C00041, C00049, C00051, C00059, C00065, C00073, C00094, C00097, C00109, C00155, C00170, C00197, C00263, C00283, C00409, C00441, C00491, C00506, C00606, C00793, C00957, C00979, C01005, C01077, C01102, C01118, C01137, C01180, C01234, C01817, C01962, C02218, C02291, C02356, C02989, C03082, C03089, C03145, C03232, C03431, C03539, C04188, C04582, C05324, C05524, C05526, C05527, C05528, C05823, C05824, C06547, C08276, C09306, C11437, C11481, C11499, C11537, C15606, C15650, C15651, C18049, C19787, C21015, C21016, C22359";11;"C00021, C00041, C00049, C00051, C00065, C00073, C00097, C00155, C00170, C00263, C00491";16,18;"C00065/C00073";2;2,94
"144";"Cytosolic DNA-sensing pathway";NA;NA;NA;NA;NA;NA;NA;NA;2;"C00039, C20640";0;NA;0;NA;0;0
"145";"D-Amino acid metabolism";"6/37";"19/259";0,315789473684211;2,21052631578947;2,2334675267356;0,0374723721479223;0,200340835271462;0,16910596820332;69;"C00022, C00025, C00026, C00036, C00037, C00041, C00047, C00049, C00062, C00064, C00065, C00073, C00077, C00079, C00084, C00097, C00133, C00134, C00135, C00148, C00166, C00188, C00217, C00402, C00431, C00433, C00515, C00624, C00666, C00680, C00692, C00739, C00740, C00763, C00792, C00793, C00819, C00820, C00855, C00993, C01110, C01157, C01180, C01667, C01672, C01726, C02237, C02265, C02855, C03239, C03341, C03440, C03564, C03771, C03933, C03943, C04260, C04282, C04457, C05161, C05620, C05825, C05939, C05941, C05942, C06419, C22024, C22025, C22611";19;"C00025, C00037, C00041, C00047, C00049, C00062, C00064, C00065, C00073, C00077, C00079, C00097, C00134, C00135, C00148, C00188, C00431, C00993, C01157";27,54;"C00065/C00073/C00079/C00135/C00148/C00188";6;8,7
"146";"Degradation of aromatic compounds";"1/37";"7/259";0,142857142857143;1;0;0,664729729001305;0,791700576113914;0,668267616382152;262;"C00022, C00024, C00033, C00042, C00058, C00084, C00090, C00091, C00100, C00108, C00122, C00132, C00146, C00156, C00163, C00180, C00223, C00230, C00261, C00323, C00414, C00423, C00479, C00511, C00512, C00540, C00556, C00587, C00596, C00642, C00682, C00805, C00811, C00829, C00846, C00854, C01063, C01161, C01163, C01197, C01273, C01278, C01407, C01438, C01454, C01455, C01467, C01468, C01542, C01606, C01880, C02124, C02222, C02236, C02357, C02359, C02364, C02370, C02371, C02375, C02480, C02501, C02519, C02526, C02625, C02632, C02909, C02923, C02933, C02949, C03012, C03063, C03067, C03164, C03203, C03223, C03233, C03351, C03453, C03569, C03586, C03589, C03664, C04044, C04052, C04091, C04112, C04186, C04314, C04468, C04479, C04558, C04592, C04596, C04642, C04783, C04793, C04844, C05600, C05618, C05629, C06102, C06103, C06104, C06142, C06202, C06203, C06204, C06210, C06318, C06321, C06322, C06329, C06337, C06575, C06576, C06577, C06578, C06579, C06580, C06581, C06582, C06584, C06585, C06586, C06587, C06588, C06589, C06594, C06644, C06645, C06646, C06677, C06678, C06679, C06714, C06720, C06727, C06728, C06729, C06730, C06731, C06749, C06756, C06757, C06758, C06760, C06762, C06813, C06990, C07083, C07084, C07085, C07087, C07088, C07092, C07093, C07094, C07096, C07097, C07111, C07113, C07114, C07118, C07123, C07208, C07209, C07211, C07212, C07213, C07214, C07215, C07216, C07478, C07479, C07729, C07731, C07732, C07733, C07734, C08060, C08061, C08062, C09811, C09812, C09813, C09816, C09817, C09818, C09819, C09820, C09821, C11006, C11272, C11348, C11353, C11354, C11397, C11398, C11402, C11404, C11405, C11407, C11422, C11425, C11426, C11427, C11457, C11588, C11929, C11934, C11935, C11936, C12621, C12622, C12623, C12624, C12831, C12832, C12837, C14082, C14083, C14084, C14085, C14086, C14087, C14088, C14089, C14090, C14091, C14098, C14099, C14101, C14115, C14116, C14117, C14118, C14119, C14120, C14143, C14610, C16247, C16248, C16249, C16472, C16473, C16479, C16480, C16481, C16483, C18236, C18238, C18240, C18300, C18301, C18302, C18311, C18312, C18314, C18315, C20199, C21390";7;"C00042, C00122, C00180, C00642, C00805, C01468, C06104";2,67;"C00642";1;0,38
"147";"Degradation of flavonoids";NA;NA;NA;NA;NA;NA;NA;NA;40;"C00036, C00389, C00509, C00642, C00774, C00974, C01161, C01477, C01514, C01617, C01744, C02183, C05623, C05625, C05631, C05903, C06563, C09099, C09126, C09789, C10208, C10216, C10447, C10524, C12088, C14131, C14458, C22552, C22553, C22556, C22557, C22558, C22559, C22560, C22567, C22568, C22569, C22570, C22571, C22572";1;"C00642";2,5;NA;0;0
