Code,Conditions,Biological_Replicates,GrowthFactor,Outliers,valine-d8,hipppuric acid-d5,2-hydroxyglutarate,2-ketoglutarate,3-Dehydro-L-threonate,acetylcarnitine,acetylcholine,acetylornithine,aconitate,alanine,arginine,asparagine,aspartate,betaine,butyryl-carnitine,carbamoyl phosphate,carnitine,citrulline,creatine,creatinine,cystine,dihydroorotate,fumarate,gluconate,glucose,glutamate,glutamine,glycerylphosphorylcholine,glycine,histidine,hydroxyphenyllactic acid,hydroxyphenylpyruvate,hydroxyproline,hypoxanthine,isovalerylcarnitine,KMV+KIC,lactate,leucine+isoleucine,linoleic acid,lysine,malate,methionine,methylarginine,methylaspartate,myo-inositol,N-acetylaspartate,N-acetylglutamate,N-acetylneuramic acid,oleic acid,ornithine,orotate,palmitate,pantothenate,phenylalanine,phosphocholine,proline,propionylcarnitine,pyroglutamic-acid,pyruvate,serine,stearic acid,succinate,succinyladenosine,taurine,threonine,tryptophan,tyrosine,uric acid,valine,xanthine
MS51-27,OSRC2,2,229.3156319,no,1209476861.6931877,-8930444074.320581,3405336890.4875875,-2060735139.3673153,-51783244894.16829,-209186167979.7247,-365874315.8891352,3421788646.0279713,-5832251326.057714,-96063372445.93004,259156820409.49368,5951645572.662776,-13648154918.104086,156262254499.01288,-8144283166.2195225,-518828735.51946545,57111563448.49065,-5939502978.68287,13387915316.88493,-34428092809.08902,-9264548613.257435,-55996737.84710216,-4022404629.059268,-13330739553.205221,-8733552101.066837,-27897240185.08201,435703399695.3016,-2977968715.6402235,-318587643.91411597,18016816587.807682,398263075.360055,-169719368.21483687,-12569104618.55297,-219173599.18546125,-311782409.24136215,-12348236804.329327,-234134175366.85657,54755641304.3761,-33012849.076169673,58753489086.29485,-52585848202.8749,-37160680540.79827,9845938462.537378,-28308412950.82699,6301283935.238753,-58249122088.15844,-1579716066.6663125,394895170.2860471,-1818586603.9227943,-11164417354.629913,-794547238.9616475,-3374407854.886369,-684725069.6745964,-42664703565.35944,-2254920039.3858714,-160000717503.10135,-3171807622.34636,70983297095.9029,-30955168726.266968,396832177.35941637,-5154852717.956158,9662811673.936077,82089583.13428657,-8303487909.331815,23335249839.106392,-18984539912.869755,-23870521905.6409,34094077693.017986,29084518274.01695,4981654719.62892
MS51-28,OSRC2,3,229.3156319,no,-4518925715.187974,-2435870915.6633782,7007395645.8558,-2525310573.6883802,-30952324005.16808,-408114545906.42096,-609942825.7951013,3765480144.983171,-4875434139.530312,-90726552249.68782,292035308444.2909,6178291079.2357855,-12064410957.5874,-22994510635.140224,-8676503572.429384,-375223873.25377023,69019012499.95496,8289080169.248589,201487191689.4581,-10611376766.678617,-6507604597.700823,-91192522.4473759,-2429926821.4380293,-7878931947.414186,-7602300029.561581,-29988875066.579777,429343493186.84625,3258326822.244909,-303976034.77453405,69442791057.15796,459628387.7493128,-186138087.42131314,2072371363.0884726,-141739359.53374475,78402169.77380198,-12761978169.88726,-358948260074.69305,50570765015.55066,-6070365.571340729,81669171463.5501,-31302828329.74627,-27815511828.734383,9915034630.659067,-29483735725.965816,1925717684.1330504,-58059073535.24112,-1490079453.8540792,1241008013.7472897,-1768908669.6749358,-2316289275.7777042,-950841958.5901278,-3897642401.4367146,1977068837.0163627,-4624755293.855018,-2159064426.7729917,-161298826683.1638,-3269192362.8318033,73669320955.1761,-33236230997.793285,2270886495.7843065,-4646851492.384994,7179972841.982475,13264683.307050493,33100657884.15868,17974815709.996777,-26391737540.147087,2207727945.5517607,3603340663.2370563,37004221174.78058,4608428697.494121
MS51-29,OSRC2,4,229.3156319,no,1484077335.7323248,-2058725306.9813924,3515115140.423545,-5164411611.891614,-42307838881.144745,-287356849929.93585,-912778911.7070086,2933520102.6376963,-5554822976.5392,-97756596527.35822,245646659216.3309,7408283863.036331,-11759043066.91415,49239932511.51588,-8079399035.418604,-447193284.0590766,53274258630.97248,-1280390473.104706,34929561347.44404,-46275196222.262764,-8621960191.141275,-103883888.06283768,-3256161094.444283,-8858815399.636112,-5373338785.900609,-26600995730.38326,441885132325.6365,-1165474372.4020407,-548672139.3687727,37290408762.34954,186956358.78297016,-156342379.13865578,-13895934106.510775,-216729309.92844075,52738560.223422915,-12611323828.919413,-309463500923.1897,50519721819.99944,-10372934.499928776,69633871682.12798,-43481484356.76232,-24100750710.418064,10087269802.792051,-25872877161.5992,5920586992.230803,-58233523186.38811,-1392027616.0862904,1049058430.4629222,-2107680367.3410912,-6206871286.668278,-954759183.4579186,-3894439820.591108,3799394641.1237326,-9126411302.09921,-2136219773.9716973,-53535958902.13394,-2433257772.8431826,62468384131.73391,-33799673703.3208,367831265.05552095,-4320912905.96325,8755862979.235872,-71051409.7496398,55647552473.54775,9251093257.811966,-28591354358.419716,-3002620509.3205905,13520047010.920525,29669044483.791138,6890942678.858562
MS51-30,OSRC2,5,229.3156319,no,4368619285.52139,15502685767.286236,-1093856576.343434,-4703700432.718404,-60704125765.96797,-260908005178.62463,-383882499.56225425,3677894831.114975,-5732444764.947759,-92077389495.22153,211598995960.51468,6214286725.8199,-16273248767.871733,58149750950.97998,-9033751572.465012,-811309532.4780042,98337931943.42554,-28431251927.09151,141726865121.49127,37963599716.46,-12689311956.159384,-109962441.32738866,-4616068247.314996,-14111552674.973322,-5614088769.177379,-33509875174.702644,439137434549.2419,-2631998436.976632,-183721678.87091005,70083958092.76659,200445384.84802002,-185952443.38883087,-567989409.1830887,-180348345.43744448,-277299815.5700701,-12721446672.899492,-415070994794.7734,19407452625.09663,10154594.165254148,38769569636.111435,-62522266692.806656,-25397811931.059303,7862059579.62946,-33199818012.542202,9352108040.602066,-58550294448.338524,-1493816926.363551,973321214.4444885,-2055728067.4041076,-13425288438.954071,-1008921381.4828969,-4584016167.307721,1503460770.4871588,-6742932708.809319,-2909752355.2481866,-120253041862.62788,-3408014900.7937303,90279294424.59308,-36070394296.2405,214722323.6420812,-5106649397.211677,7828398661.272668,-98657673.17267826,72854783273.74103,15424580394.561226,-29150879791.14728,-14231339415.292301,7168397204.992645,37793042766.185234,8758068168.65228
MS51-31,OSLM1B,1,238.0439107,no,7907484382.2466135,12534261775.554977,-2452294214.549073,-8563910085.0001135,-75125518110.02057,-289811675340.09686,-918369786.9450805,4690640492.395134,-4340681506.595642,-107067601284.13396,-63435819619.35341,7590024043.429997,-10400255749.867098,393999610476.1662,1588224855.6684806,745720063.5334182,517797613824.0436,-10337043098.812052,4742584523.895739,227927873186.91446,-3673448242.796659,-143131559.34169677,-5720073260.229194,-14709027575.512053,24065275669.74443,-39480524666.983246,492815014068.44165,-9052482724.420494,-332701603.76075625,25861306756.559734,461381470.23808014,-194789000.74365246,30457324362.763275,199449657.55145124,-235197744.62104437,-16934381880.523924,-982073935085.6049,142191881003.0397,-53186906.562080994,-3587388821.16393,-76877587771.6825,5864958290.175046,-1106064749.1336372,-39973743516.98765,7286104526.480868,-60873875379.20406,-1744656214.310402,1479816472.8632112,-2272932825.5846534,-30669922530.43912,-131382563.37922831,-3447323358.7289553,1337382219.8529856,15556366119.43257,-474079468.5508743,-237758352074.2208,3169686517.008781,105031578898.9792,1220314367.2404556,1357988563.6060712,-6132786037.730925,4091190710.462041,-109519732.31660965,55280937554.50263,27447165140.76058,-34950444513.85305,35422698926.47338,-66341411168.76528,36333291474.30102,17469684452.10499
MS51-32,OSLM1B,2,238.0439107,no,10026207227.473711,8766901670.929781,1953315758.9594543,-7520737233.482411,-55168263224.380295,-890597864901.1731,-314644060.58145547,4563789259.036217,-4737327961.458873,-99107354109.29054,239141546642.76703,8212793869.823005,-5066899545.6278515,120129045817.2403,1483377919.7544565,-623767986.9839826,544964017580.11694,-719295996.7787191,86264271910.121,-25457589632.210686,1316238711.0524414,-112529637.74628098,-4246506910.719414,2149767953.6888156,18035724199.62953,-20189687085.930286,499747422753.8007,-6474479492.623341,-70713821.56503746,114750298001.40417,9438171.65520803,-167949626.55116603,34164886211.38585,148493971.27095893,-929851149.5587052,-16320922563.21001,-888514995551.8871,122902873160.00644,-48171278.6606348,49914398032.30397,-56586837472.27552,-6488815216.50247,8516313267.571525,-19604253839.7185,5256502098.299719,-60393385068.63197,-1412957330.2432313,1541630984.7482076,-2346629825.3287563,-17229140312.112633,25898062.276118726,-2224957163.364116,1255448517.7993698,19165258007.07823,-186837107.51919627,-30213767593.83992,930293313.8976498,100685334956.60149,11257476768.494856,1603505768.0611074,-4057632320.601404,5766135459.206602,-1589255.3322060371,116748254239.71841,35485766629.10758,-36674897651.80904,9275666731.440035,32156748414.185635,36422827718.94534,11490697241.752037
MS51-33,OSLM1B,3,238.0439107,no,1320088121.1121666,-19794580878.35483,-541809575.0002339,-6750277825.065949,-52231898983.72305,-770337735939.415,-182991026.64666218,2871959535.349359,-4326242773.748065,-100281106100.79408,298550605238.37494,7803924497.0432825,-4408819796.024792,-36801962985.192184,2900167618.808741,-611662200.0711632,674141926131.461,-11509644789.327053,-5322217796.882506,-3581125381.5076957,2248413545.9574795,-105317571.60210243,-4078096380.67882,-11500770083.883768,12851092501.094166,-23483580024.21717,487096330991.91516,-6827232025.4411125,-176709383.6663854,96540542560.43408,315957915.5673088,-162489480.57690245,27585175619.16088,105389065.84599014,-136135362.1791685,-15394474805.641535,-830888023447.8938,114423741266.79204,-36599549.50776786,70015057845.43486,-53791316357.902885,-5381574202.459934,10681689308.907812,-22899173609.117344,4277721632.1701784,-60304322212.68911,-1457579691.7224863,1187564310.132505,-2094687308.5333302,-16019753858.757471,-173782425.57761076,-3712265228.549532,3369680852.2265034,3494511965.5073237,-326368057.115045,-128793731691.15775,3505193115.1125493,130498847029.45334,13051402529.431345,763485698.345983,-5940940829.923679,6470573450.0511055,26435973.718270455,72645676766.79878,28489496340.132298,-5439682026.351725,43913559966.8731,11969450892.088778,72806386626.83406,12301947828.66558
MS51-34,OSLM1B,4,238.0439107,no,4019534162.0694304,-21662185449.82713,1428924068.0905046,-7578531520.061968,-47605477000.20719,-741976996697.2095,-550044215.0774217,5562216809.15923,-4914465939.573812,-101909020802.0202,315666098589.6262,7273237880.810458,-4631881564.819409,89365206975.54536,704433194.4714513,-521365449.9002487,503730289768.3083,-10505536679.036572,101016465898.18951,-5206095162.340386,1327873504.2349272,-111009375.43805896,-3708756772.8309,-11473604096.845207,17427546559.117844,-28801173888.398563,491538542864.1421,-9918496153.711271,-202506556.09734607,130826534737.8963,124341130.39086787,-170160539.71066776,21246211367.44879,104523841.61941461,-369174835.88257277,-16579328128.963717,-952979838246.0942,138495334517.9231,-41821705.5701095,66263865716.39894,-48818055398.658905,-187964308.99210498,9794836685.150835,-28042872690.890816,3259385993.7967415,-60365960198.14547,-1449087888.9927282,1530104203.8522398,-2172945628.6065392,-13985579441.83948,-10188625.944971452,-3897951020.5546784,105055613.25337577,17324881980.07701,-576022415.3113315,-119752987209.38174,1964696091.969877,115401378524.98215,6104012266.376889,1479130892.664479,-5547039425.310356,3116236549.3224106,-46160416.04540938,130665047695.15523,31761799048.87715,-12269626461.640293,3979002128.5325637,-29622267467.827263,64852201965.351685,13120543226.857342
MS51-35,OSLM1B,5,238.0439107,no,-11674356179.122063,-75718957578.13458,972005612.8994827,-6094793779.5341015,-57165852971.22473,-822161480737.4991,-503488120.841217,804701786.8321403,-5180302480.73006,-98891659069.16742,257962658986.75214,8587852404.380023,-5165003967.935153,8205495945.438749,3593517827.566404,-246915951.23676166,670239249352.0707,-28672154044.621212,67056178479.37474,87792173832.37935,1108936830.2364223,-90269775.13498175,-4383564083.437442,-11919211112.001747,9615611437.080925,-22607580744.96697,493029658787.4865,-10456643105.690489,-302736717.3802003,83271501565.02815,389448929.1917836,-194806374.30206835,20077948965.348755,146232717.74655855,-589888783.069845,-16444839931.25526,-876739843121.458,118917288084.14899,-37325447.15588797,67945144191.61124,-58858924575.263435,-8148546778.833871,8373893368.316929,-22613819551.292267,4699534979.819793,-60458360699.42127,-1428428450.324055,1526170547.8661005,-2152411457.4584274,-19063573293.31208,-97025949.10822551,-4039557217.4707255,2279470438.967405,25240227683.040077,-1400977215.528286,-152930541290.96573,3589191235.9369745,128573868843.68622,16694578833.959646,1935830604.562617,-5275514705.581944,7156297014.819855,-39527068.178602874,63111672498.852745,50751081191.182236,4754500326.283296,30151671476.167027,73592838820.15363,57691310467.52452,14328453335.83643
MS51-36,RFX631,1,255.3658104,no,9892941549.980555,46138316334.15178,4954019648.156272,5560697648.996183,-23867649475.073784,-71475573824.71991,-1119704368.0431187,8053396493.117182,-4122494761.837185,-91851805174.1027,158737673142.85526,-2852944354.6621456,-32061108870.06461,349679195089.65405,-12141414840.013084,177027263.1700403,-202350222767.39923,-18228095470.057804,143356668535.9555,-29194448923.738876,-22937469406.8174,247360741.3003407,-2109620614.7027497,-4216623414.83054,-38674594195.60312,-102992467982.93748,420127335186.3353,-4440102907.942382,-414019682.088156,-66640808260.072525,-146068124.87578073,-218111153.2842252,-14956509942.634983,82403723.08655606,-224974602.8941923,-1705756059.9654405,394661209179.2979,-85609194958.27118,17412015.589822877,36515432473.539536,-24229515330.550613,-67781425513.02327,8251241141.032439,-102712978826.77368,474960354.957409,-54606160780.140465,-1228018053.5345087,904991916.9142036,-2354802161.821278,-17873183316.438927,-492646899.595203,-2184080233.0848427,-5308712223.405523,-47563485082.88771,1096526485.0758176,-134418757374.01746,-3139598143.0437903,61323079443.31999,-75604607203.46565,-2087295775.8987827,-5663754694.099878,-8132219504.486892,-22130566.947070807,-75715197386.38565,-30962391085.061424,-63586907338.68575,-58585904001.10926,-1531680576.9640722,-23023195429.49606,-4298239279.996508
MS51-37,RFX631,2,255.3658104,no,14414593887.480825,78736973172.33435,-257560660.61648506,-2341634721.468423,-51914744178.18455,-35405004462.39438,-687055539.5849941,2050428250.2713633,-5500419607.538858,-96888543980.88756,150456750962.39264,-846970380.5396316,-35349786908.074104,78663633219.88486,-11872278471.664112,111124912.43367004,-64009091629.48754,-30643691202.744972,-12633690508.916904,18359994003.602154,-24483210112.61389,280574458.6920402,-3897715336.680796,-10185600853.460325,-32526312564.810627,-81895573153.09439,461725188321.889,-5641809266.785021,-316811724.9279548,-110376282552.47324,-37967585.78858781,-242430859.1309721,-19913205121.868942,244038870.69734362,41764514.05956643,-2504666900.477113,423310966483.95886,-29587805731.810177,14932186.77157001,32900594299.99307,-53651077942.388275,-49483595841.68559,8654272576.685173,-80993419172.35275,11801283974.586882,-57488204164.876205,-1056261783.6234044,429568686.5224863,-1687761731.9793239,-19239310627.083336,-580696478.2599998,-909126283.8010511,-649283848.3772966,-63792555066.63244,613531571.0027647,-237143212094.28793,-2822488919.881979,99448189847.65048,-74021985030.30551,-1178722884.5102866,-4638601132.581564,-3543475398.3751073,-19879193.223039676,-25496898640.053555,-36824591819.282776,-30792797211.65175,-31940780033.072517,60929762880.7746,3153567719.4246273,4166071962.142775
MS51-38,RFX631,3,255.3658104,no,7716702899.535659,3492507671.4733953,-2307137057.873844,-4331637640.118005,-67900220172.28846,230840109765.4375,-408157135.72198933,2230264648.6232114,-5941292649.018833,-89449257546.22466,-135438038451.73953,-2414963890.3699093,-39740532396.83925,389074145050.82355,-11697981788.583132,-151419236.79304895,-128843890933.69157,-52266421541.093,296984276267.84503,100179270211.67056,-28634717123.887985,227280015.8652588,-5097002810.257878,-8527261962.27594,-30289593992.84163,-105499581382.21745,416195044805.34784,-2816594040.304166,-518611281.7985415,-179864854921.28632,-158643293.48528808,-226827211.025867,-5305117228.546134,210954068.71861693,-199846174.55634773,-1647581013.2102494,624925369008.2969,-50279121797.25218,14884894.135855537,-18756107662.275623,-69782936133.0691,-64642395520.246025,-838643137.0059439,-106039210813.5011,13322130211.203392,-59195625518.307205,-1169263513.3607616,766700956.1771846,-2702239760.473748,-29614879239.812828,-717722688.9085146,-2823713564.390636,-1784767840.2468233,-30724111969.60603,783262037.4731277,-244833642137.76044,-2279563363.833723,34489313446.75636,-74779014097.41177,-3136435315.7124734,-6207319314.84151,-4622452855.905488,-34912990.50978329,-72910679716.42833,-61926847808.367195,-60395402055.660416,-33101504009.591984,-162053121282.52054,-47067515910.356766,3237334382.964334
MS51-39,RFX631,4,255.3658104,no,-583337198.9213573,-9483365741.880877,706088109.24559,-2757559247.9541245,-56366820622.40969,-263196399956.79047,-227087861.79245034,3478533633.7460346,-5880587849.058642,-78243376683.97406,95692818958.71454,-1201763963.3211222,-37798172331.965576,179535699824.24887,-12159393050.84068,-768312786.2352841,-178581041158.34326,-48709591374.11194,474845473373.6473,99945562978.81746,-29102590446.64777,248210627.15101314,-4108032761.2513747,-4792362195.711735,-37911979842.81027,-87583167646.14449,437883472611.26465,34068585.40012853,-716260420.6084492,-85463923484.88882,-208148379.96166983,-238532724.5919651,-10463791779.709808,73488203.79808424,-268325201.15330458,-3306828391.459995,530531804732.2982,-70166964057.56224,-7035989.294086216,15785283589.940472,-57690731914.61989,-63845438568.22629,7023050885.620777,-85790558704.79863,15165631629.163317,-58697950797.6255,-993832319.3322299,548128525.1682348,-2341154030.9187493,-17876168350.280975,-587545088.9324025,-2079879884.170553,-714721335.0009594,-83060358405.84065,1018847209.6867678,-157833454444.71634,-3053165527.5947795,67206198936.11637,-75198780896.02379,-4061024195.6832776,-5260803525.132827,-918684727.106672,-63385011.99601964,-45676538723.52544,-59881914569.574684,-65550949463.55594,-36043402096.58113,-55245534002.51403,-17810654639.896572,3442239407.9537883
MS51-40,RFX631,5,255.3658104,no,11097184978.519424,24818171462.83891,3186690665.092847,-4462779575.851691,-50563367719.51875,145901488877.64304,-319389628.5396814,-1508027718.6659026,-5363332614.644583,-90567644836.76442,-77583419478.7233,-1146309048.1507525,-35462194013.5204,-78852258847.99022,-10752879580.60887,-671056009.1397455,-44960839033.62778,-36802712698.90497,192010880123.21774,35810228337.32682,-23606292366.434418,255531977.91682082,-3891460074.1381774,-5452689396.552537,-34019906009.411556,-82869678191.50366,436037854214.9832,-1122793989.5655763,-428020023.9382742,-134087437555.40602,156032316.54371282,-277711626.7680598,-31218208261.203213,147187047.02340013,427481561.0349333,-3263535261.446677,483430319976.805,-44133291762.392,21445911.021880686,8245286511.999435,-51852346591.97898,-51805258829.50852,1631395359.7168612,-82644528946.40788,9882338599.067455,-58268364251.262505,-940188145.1837108,882216076.5680219,-1723179561.0751877,-23190109972.57159,-709648996.6724906,-240250111.85646334,5306611401.931078,-1167976777.346824,1382313950.4276376,-166993783799.6664,-1398857175.0637069,84758147017.70538,-75081393385.11142,-1601081543.678202,-3577633364.5103903,454501874.1498538,38443566.100757845,-110001807027.17111,-19251572992.218765,-11713438437.963408,12538260934.483887,14546349221.986761,-12672266361.407873,7847777078.895627
