ID,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,Metabolites_in_pathway,Count,Metabolites_in_Pathway,percentage_of_Pathway_detected
Biosynthesis of various nucleotide sugars,3/61,4/259,0.75,3.1844262295081966,2.439155361491428,0.04175028688505975,0.2852936270479083,0.2563614106977353,C00103/C00270/C00275,3,110,2.73
Tryptophan metabolism,3/61,4/259,0.75,3.1844262295081966,2.439155361491428,0.04175028688505975,0.2852936270479083,0.2563614106977353,C00078/C00328/C00954,3,84,3.57
Phenylalanine metabolism,4/61,7/259,0.5714285714285714,2.4262295081967213,2.1192409761404685,0.05543565157889604,0.3588729023265375,0.32247885960022626,C00082/C00122/C00642/C04148,4,50,8
Glucagon signaling pathway,5/61,10/259,0.5,2.122950819672131,2.006334024840733,0.05862447914069383,0.3605405467152671,0.32397738472488696,C00031/C00103/C00122/C00158/C00668,5,25,20
Biosynthesis of alkaloids derived from shikimate pathway,6/61,14/259,0.42857142857142855,1.819672131147541,1.7468809963840244,0.08204737804631672,0.4685912384301182,0.42107043247892517,C00078/C00082/C00122/C00158/C00417/C00668,6,143,4.2
Biosynthesis of phenylpropanoids,5/61,11/259,0.45454545454545453,1.9299552906110282,1.7461226546921382,0.08812541437514866,0.4685912384301182,0.42107043247892517,C00078/C00122/C00158/C00417/C00668,5,106,4.72
Other carbon fixation pathways,4/61,8/259,0.5,2.122950819672131,1.7873559261262741,0.09143243676685232,0.4685912384301182,0.42107043247892517,C00122/C00158/C00417/C00440,4,42,9.52
Taste transduction,4/61,8/259,0.5,2.122950819672131,1.7873559261262741,0.09143243676685232,0.4685912384301182,0.42107043247892517,C00031/C00095/C00158/C00208,4,28,14.29
African trypanosomiasis,2/61,3/259,0.6666666666666666,2.830601092896175,1.7667558474032279,0.13916873296114993,0.49988297409462557,0.44918880855742993,C00078/C00328,2,6,33.33
Biosynthesis of alkaloids derived from terpenoid and polyketide,4/61,9/259,0.4444444444444444,1.8870673952641164,1.5005485188696575,0.1359479830710018,0.49988297409462557,0.44918880855742993,C00122/C00158/C00417/C00668,4,48,8.33
Biosynthesis of plant hormones,6/61,16/259,0.375,1.5922131147540983,1.3548058106786944,0.14630721193013432,0.49988297409462557,0.44918880855742993,C00078/C00122/C00158/C00417/C00668/C00954,6,68,8.82
Biosynthesis of terpenoids and steroids,4/61,9/259,0.4444444444444444,1.8870673952641164,1.5005485188696575,0.1359479830710018,0.49988297409462557,0.44918880855742993,C00092/C00122/C00158/C00417,4,98,4.08
C5-Branched dibasic acid metabolism,2/61,3/259,0.6666666666666666,2.830601092896175,1.7667558474032279,0.13916873296114993,0.49988297409462557,0.44918880855742993,C00417/C02630,2,35,5.71
Citrate cycle (TCA cycle),3/61,6/259,0.5,2.122950819672131,1.5417653337911854,0.14480698032140793,0.49988297409462557,0.44918880855742993,C00122/C00158/C00417,3,20,15
Glycolysis / Gluconeogenesis,3/61,6/259,0.5,2.122950819672131,1.5417653337911854,0.14480698032140793,0.49988297409462557,0.44918880855742993,C00031/C00103/C00668,3,31,9.68
"Neomycin, kanamycin and gentamicin biosynthesis",2/61,3/259,0.6666666666666666,2.830601092896175,1.7667558474032279,0.13916873296114993,0.49988297409462557,0.44918880855742993,C00031/C00092,2,81,2.47
"Phenylalanine, tyrosine and tryptophan biosynthesis",3/61,6/259,0.5,2.122950819672131,1.5417653337911854,0.14480698032140793,0.49988297409462557,0.44918880855742993,C00078/C00082/C01094,3,35,8.57
Riboflavin metabolism,2/61,3/259,0.6666666666666666,2.830601092896175,1.7667558474032279,0.13916873296114993,0.49988297409462557,0.44918880855742993,C00016/C00255,2,24,8.33
Staurosporine biosynthesis,2/61,3/259,0.6666666666666666,2.830601092896175,1.7667558474032279,0.13916873296114993,0.49988297409462557,0.44918880855742993,C00078/C00148,2,48,4.17
Vitamin B6 metabolism,2/61,3/259,0.6666666666666666,2.830601092896175,1.7667558474032279,0.13916873296114993,0.49988297409462557,0.44918880855742993,C00250/C00847,2,29,6.9
Biosynthesis of secondary metabolites,23/61,83/259,0.27710843373493976,1.1765751530713016,1.0810716511906542,0.17678364554352513,0.58768617302307,0.5280877036150822,C00016/C00031/C00065/C00078/C00082/C00092/C00095/C00099/C00103/C00122/C00134/C00137/C00148/C00158/C00208/C00255/C00275/C00417/C00721/C00864/C02477/C02483/C14152,23,2328,0.99
Ferroptosis,4/61,10/259,0.4,1.6983606557377051,1.2477347366162805,0.18749698569120718,0.591336647179961,0.5313679756430972,C00051/C00127/C00219/C02477,4,26,15.38
Fructose and mannose metabolism,4/61,10/259,0.4,1.6983606557377051,1.2477347366162805,0.18749698569120718,0.591336647179961,0.5313679756430972,C00095/C00275/C00464/C01094,4,55,7.27
Chemical carcinogenesis - reactive oxygen species,2/61,4/259,0.5,2.122950819672131,1.2538997543126664,0.23658717903724022,0.7097615371117206,0.6377831527319697,C00051/C00127,2,49,4.08
Serotonergic synapse,2/61,4/259,0.5,2.122950819672131,1.2538997543126664,0.23658717903724022,0.7097615371117206,0.6377831527319697,C00078/C00219,2,39,5.13
Biosynthesis of various antibiotics,3/61,8/259,0.375,1.5922131147540983,0.9426019391432358,0.2840773009451554,0.8137809618396029,0.7312537526158177,C00065/C00082/C00092,3,101,2.97
Central carbon metabolism in cancer,8/61,27/259,0.2962962962962963,1.2580449301760777,0.7848296391963705,0.2844925313748205,0.8137809618396029,0.7312537526158177,C00031/C00065/C00078/C00082/C00092/C00122/C00148/C00158,8,36,22.22
Two-component system,4/61,12/259,0.3333333333333333,1.4153005464480874,0.8161064763766299,0.3044131345466506,0.8509730806645005,0.7646741418037873,C00031/C00092/C00122/C00158,4,47,8.51
AMPK signaling pathway,2/61,5/259,0.4,1.6983606557377051,0.8735546569700754,0.336425168218488,0.8995716454537831,0.8083442256965959,C00031/C00668,2,19,10.53
Monobactam biosynthesis,2/61,5/259,0.4,1.6983606557377051,0.8735546569700754,0.336425168218488,0.8995716454537831,0.8083442256965959,C00065/C00082,2,39,5.13
"Alanine, aspartate and glutamate metabolism",4/61,13/259,0.3076923076923077,1.3064312736443884,0.6280285458765773,0.3660873846160819,0.9077994963873283,0.8157376732620408,C00122/C00158/C01042/C12270,4,27,14.81
Biosynthesis of alkaloids derived from histidine and purine,4/61,13/259,0.3076923076923077,1.3064312736443884,0.6280285458765773,0.3660873846160819,0.9077994963873283,0.8157376732620408,C00122/C00158/C00417/C00668,4,35,11.43
Biosynthesis of unsaturated fatty acids,5/61,17/259,0.29411764705882354,1.248794599807136,0.5878951841874791,0.3690241855233042,0.9077994963873283,0.8157376732620408,C00219/C08316/C08323/C16525/C16526,5,74,6.76
Biosynthesis of various other secondary metabolites,3/61,9/259,0.3333333333333333,1.4153005464480874,0.7025155283414413,0.3581419598822323,0.9077994963873283,0.8157376732620408,C00065/C00078/C00082,3,64,4.69
2-Oxocarboxylic acid metabolism,4/61,19/259,0.21052631578947367,0.8938740293356341,-0.26621653743431123,0.6963446670811937,0.9265675357154425,0.8326024069330036,C00078/C00082/C00158/C00417,4,144,2.78
ABC transporters,11/61,52/259,0.21153846153846154,0.8981715006305171,-0.45501741425582537,0.7344415005680259,0.9265675357154425,0.8326024069330036,C00031/C00051/C00065/C00095/C00134/C00137/C00148/C00208/C00255/C01177/C01835,11,130,8.46
Alcoholism,1/61,3/259,0.3333333333333333,1.4153005464480874,0.400816251948195,0.5548207695524681,0.9265675357154425,0.8326024069330036,C00082,1,8,12.5
Aldosterone synthesis and secretion,1/61,5/259,0.2,0.8491803278688526,-0.18865499634095537,0.742016999267308,0.9265675357154425,0.8326024069330036,C00219,1,19,5.26
Aminoacyl-tRNA biosynthesis,4/61,20/259,0.2,0.8491803278688526,-0.38897009687431194,0.738154542864047,0.9265675357154425,0.8326024069330036,C00065/C00078/C00082/C00148,4,52,7.69
Amoebiasis,1/61,3/259,0.3333333333333333,1.4153005464480874,0.400816251948195,0.5548207695524681,0.9265675357154425,0.8326024069330036,C00219,1,10,10
Antifolate resistance,1/61,4/259,0.25,1.0614754098360655,0.06864414713390508,0.6608986330575439,0.9265675357154425,0.8326024069330036,C00440,1,17,5.88
Arachidonic acid metabolism,2/61,6/259,0.3333333333333333,1.4153005464480874,0.5701905857329931,0.4322342621670281,0.9265675357154425,0.8326024069330036,C00219/C14732,2,79,2.53
Arginine and proline metabolism,3/61,18/259,0.16666666666666666,0.7076502732240437,-0.7123158349336067,0.842034252386236,0.9265675357154425,0.8326024069330036,C00134/C00148/C00213,3,70,4.29
Bacterial chemotaxis,1/61,3/259,0.3333333333333333,1.4153005464480874,0.400816251948195,0.5548207695524681,0.9265675357154425,0.8326024069330036,C00208,1,6,16.67
beta-Alanine metabolism,2/61,12/259,0.16666666666666666,0.7076502732240437,-0.5744960063967067,0.8194688186668149,0.9265675357154425,0.8326024069330036,C00099/C00864,2,32,6.25
"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",5/61,18/259,0.2777777777777778,1.1794171220400729,0.43715333171937865,0.4233735607583594,0.9265675357154425,0.8326024069330036,C00122/C00134/C00158/C00417/C00668,5,67,7.46
Biosynthesis of plant secondary metabolites,10/61,46/259,0.21739130434782608,0.9230220955096222,-0.3189314695133237,0.6892902173206669,0.9265675357154425,0.8326024069330036,C00065/C00078/C00082/C00103/C00122/C00134/C00158/C00417/C00668/C02477,10,141,7.09
Biosynthesis of siderophore group nonribosomal peptides,1/61,3/259,0.3333333333333333,1.4153005464480874,0.400816251948195,0.5548207695524681,0.9265675357154425,0.8326024069330036,C00158,1,24,4.17
Biosynthesis of various alkaloids,1/61,7/259,0.14285714285714285,0.6065573770491803,-0.5846182003146121,0.8512368417548375,0.9265675357154425,0.8326024069330036,C00078,1,77,1.3
Biosynthesis of various plant secondary metabolites,2/61,8/259,0.25,1.0614754098360655,0.09784795216019747,0.599165934728312,0.9265675357154425,0.8326024069330036,C00078/C00082,2,148,1.35
Butanoate metabolism,2/61,7/259,0.2857142857142857,1.2131147540983607,0.3166681918370815,0.5203937762825226,0.9265675357154425,0.8326024069330036,C00122/C02630,2,47,4.26
Carbon metabolism,5/61,22/259,0.22727272727272727,0.9649776453055141,-0.0951315745338224,0.626058846452417,0.9265675357154425,0.8326024069330036,C00065/C00122/C00158/C00440/C00668,5,113,4.42
Cobalamin transport and metabolism,1/61,3/259,0.3333333333333333,1.4153005464480874,0.400816251948195,0.5548207695524681,0.9265675357154425,0.8326024069330036,C00440,1,14,7.14
Cornified envelope formation,1/61,6/259,0.16666666666666666,0.7076502732240437,-0.4013841623251992,0.8039735466873639,0.9265675357154425,0.8326024069330036,C00785,1,14,7.14
Cyanoamino acid metabolism,2/61,9/259,0.2222222222222222,0.9435336976320582,-0.0955174621867749,0.6680299275414776,0.9265675357154425,0.8326024069330036,C00065/C00082,2,44,4.55
Cysteine and methionine metabolism,2/61,11/259,0.18181818181818182,0.7719821162444114,-0.4281358432177838,0.777400744207562,0.9265675357154425,0.8326024069330036,C00051/C00065,2,68,2.94
Degradation of aromatic compounds,2/61,7/259,0.2857142857142857,1.2131147540983607,0.3166681918370815,0.5203937762825226,0.9265675357154425,0.8326024069330036,C00122/C00642,2,262,0.76
Efferocytosis,2/61,10/259,0.2,0.8491803278688526,-0.2694638398326241,0.7272185293643937,0.9265675357154425,0.8326024069330036,C00031/C00134,2,20,10
Folate transport and metabolism,1/61,6/259,0.16666666666666666,0.7076502732240437,-0.4013841623251992,0.8039735466873639,0.9265675357154425,0.8326024069330036,C00440,1,19,5.26
FoxO signaling pathway,1/61,3/259,0.3333333333333333,1.4153005464480874,0.400816251948195,0.5548207695524681,0.9265675357154425,0.8326024069330036,C00031,1,5,20
Glucosinolate biosynthesis,2/61,9/259,0.2222222222222222,0.9435336976320582,-0.0955174621867749,0.6680299275414776,0.9265675357154425,0.8326024069330036,C00078/C00082,2,77,2.6
Glutathione metabolism,3/61,13/259,0.23076923076923078,0.9798234552332914,-0.0413516738025729,0.6273522680998627,0.9265675357154425,0.8326024069330036,C00051/C00127/C00134,3,37,8.11
Glycerolipid metabolism,1/61,6/259,0.16666666666666666,0.7076502732240437,-0.4013841623251992,0.8039735466873639,0.9265675357154425,0.8326024069330036,C00103,1,37,2.7
Glycerophospholipid metabolism,1/61,7/259,0.14285714285714285,0.6065573770491803,-0.5846182003146121,0.8512368417548375,0.9265675357154425,0.8326024069330036,C00065,1,56,1.79
"Glycine, serine and threonine metabolism",3/61,16/259,0.1875,0.7961065573770492,-0.4664469832613498,0.7729475199363254,0.9265675357154425,0.8326024069330036,C00065/C00078/C00213,3,46,6.52
Glyoxylate and dicarboxylate metabolism,3/61,14/259,0.21428571428571427,0.9098360655737705,-0.19215690960224274,0.6818065897128901,0.9265675357154425,0.8326024069330036,C00065/C00158/C00417,3,63,4.76
HIF-1 signaling pathway,1/61,3/259,0.3333333333333333,1.4153005464480874,0.400816251948195,0.5548207695524681,0.9265675357154425,0.8326024069330036,C00031,1,10,10
Histidine metabolism,2/61,11/259,0.18181818181818182,0.7719821162444114,-0.4281358432177838,0.777400744207562,0.9265675357154425,0.8326024069330036,C00785/C05570,2,47,4.26
Inflammatory mediator regulation of TRP channels,1/61,4/259,0.25,1.0614754098360655,0.06864414713390508,0.6608986330575439,0.9265675357154425,0.8326024069330036,C00219,1,32,3.12
Linoleic acid metabolism,1/61,3/259,0.3333333333333333,1.4153005464480874,0.400816251948195,0.5548207695524681,0.9265675357154425,0.8326024069330036,C00219,1,29,3.45
Lysine degradation,2/61,12/259,0.16666666666666666,0.7076502732240437,-0.5744960063967067,0.8194688186668149,0.9265675357154425,0.8326024069330036,C01087/C02727,2,56,3.57
Metabolic pathways,51/61,222/259,0.22972972972972974,0.9754098360655737,-0.5370061069181259,0.7759973155887114,0.9265675357154425,0.8326024069330036,C00016/C00031/C00051/C00055/C00065/C00078/C00082/C00092/C00095/C00099/C00103/C00122/C00127/C00134/C00137/C00148/C00158/C00208/C00213/C00219/C00250/C00255/C00262/C00270/C00275/C00328/C00357/C00417/C00440/C00464/C00642/C00721/C00785/C00847/C00864/C00954/C01042/C01094/C01177/C02067/C02477/C02483/C02630/C02727/C05570/C05576/C05584/C06153/C12270/C14152/C14732,51,3165,1.61
Methane metabolism,2/61,10/259,0.2,0.8491803278688526,-0.2694638398326241,0.7272185293643937,0.9265675357154425,0.8326024069330036,C00065/C00082,2,87,2.3
Microbial metabolism in diverse environments,15/61,59/259,0.2542372881355932,1.0794665184773549,0.3848020436052861,0.41026674552900433,0.9265675357154425,0.8326024069330036,C00065/C00095/C00103/C00122/C00137/C00158/C00250/C00417/C00440/C00642/C00668/C00847/C01087/C01094/C06153,15,1119,1.34
Mineral absorption,4/61,16/259,0.25,1.0614754098360655,0.14063728138533158,0.5454773686909855,0.9265675357154425,0.8326024069330036,C00031/C00065/C00078/C00148,4,20,20
Neuroactive ligand-receptor interaction,2/61,12/259,0.16666666666666666,0.7076502732240437,-0.5744960063967067,0.8194688186668149,0.9265675357154425,0.8326024069330036,C00099/C12270,2,53,3.77
One carbon pool by folate,3/61,11/259,0.2727272727272727,1.1579731743666168,0.29661698941885684,0.5013985625701363,0.9265675357154425,0.8326024069330036,C00065/C00213/C00440,3,26,11.54
Ovarian steroidogenesis,1/61,4/259,0.25,1.0614754098360655,0.06864414713390508,0.6608986330575439,0.9265675357154425,0.8326024069330036,C00219,1,24,4.17
Oxidative phosphorylation,1/61,5/259,0.2,0.8491803278688526,-0.18865499634095537,0.742016999267308,0.9265675357154425,0.8326024069330036,C00122,1,8,12.5
Pantothenate and CoA biosynthesis,2/61,10/259,0.2,0.8491803278688526,-0.2694638398326241,0.7272185293643937,0.9265675357154425,0.8326024069330036,C00099/C00864,2,30,6.67
Parkinson disease,1/61,4/259,0.25,1.0614754098360655,0.06864414713390508,0.6608986330575439,0.9265675357154425,0.8326024069330036,C00082,1,19,5.26
Pathways in cancer,1/61,7/259,0.14285714285714285,0.6065573770491803,-0.5846182003146121,0.8512368417548375,0.9265675357154425,0.8326024069330036,C00122,1,26,3.85
Pentose phosphate pathway,2/61,8/259,0.25,1.0614754098360655,0.09784795216019747,0.599165934728312,0.9265675357154425,0.8326024069330036,C00031/C00668,2,37,5.41
Phenylpropanoid biosynthesis,1/61,3/259,0.3333333333333333,1.4153005464480874,0.400816251948195,0.5548207695524681,0.9265675357154425,0.8326024069330036,C00082,1,58,1.72
Primary bile acid biosynthesis,1/61,6/259,0.16666666666666666,0.7076502732240437,-0.4013841623251992,0.8039735466873639,0.9265675357154425,0.8326024069330036,C17337,1,47,2.13
Propanoate metabolism,1/61,5/259,0.2,0.8491803278688526,-0.18865499634095537,0.742016999267308,0.9265675357154425,0.8326024069330036,C00099,1,42,2.38
Prostate cancer,2/61,6/259,0.3333333333333333,1.4153005464480874,0.5701905857329931,0.4322342621670281,0.9265675357154425,0.8326024069330036,C01042/C12270,2,15,13.33
Protein digestion and absorption,6/61,25/259,0.24,1.0190163934426228,0.055415646622285715,0.5622095439762704,0.9265675357154425,0.8326024069330036,C00065/C00078/C00082/C00099/C00134/C00148,6,40,15
Pyrimidine metabolism,3/61,14/259,0.21428571428571427,0.9098360655737705,-0.19215690960224274,0.6818065897128901,0.9265675357154425,0.8326024069330036,C00055/C00099/C02067,3,66,4.55
Pyruvate metabolism,1/61,6/259,0.16666666666666666,0.7076502732240437,-0.4013841623251992,0.8039735466873639,0.9265675357154425,0.8326024069330036,C00122,1,32,3.12
Regulation of lipolysis in adipocytes,1/61,6/259,0.16666666666666666,0.7076502732240437,-0.4013841623251992,0.8039735466873639,0.9265675357154425,0.8326024069330036,C00219,1,13,7.69
Retrograde endocannabinoid signaling,1/61,5/259,0.2,0.8491803278688526,-0.18865499634095537,0.742016999267308,0.9265675357154425,0.8326024069330036,C00219,1,16,6.25
Sphingolipid metabolism,1/61,5/259,0.2,0.8491803278688526,-0.18865499634095537,0.742016999267308,0.9265675357154425,0.8326024069330036,C00065,1,35,2.86
Sphingolipid signaling pathway,1/61,5/259,0.2,0.8491803278688526,-0.18865499634095537,0.742016999267308,0.9265675357154425,0.8326024069330036,C00065,1,14,7.14
Sulfur metabolism,1/61,7/259,0.14285714285714285,0.6065573770491803,-0.5846182003146121,0.8512368417548375,0.9265675357154425,0.8326024069330036,C00065,1,45,2.22
Thiamine metabolism,1/61,4/259,0.25,1.0614754098360655,0.06864414713390508,0.6608986330575439,0.9265675357154425,0.8326024069330036,C00082,1,31,3.23
Vancomycin resistance,1/61,4/259,0.25,1.0614754098360655,0.06864414713390508,0.6608986330575439,0.9265675357154425,0.8326024069330036,C00065,1,24,4.17
D-Amino acid metabolism,3/61,19/259,0.15789473684210525,0.6704055220017255,-0.826786319511438,0.8693510496309315,0.9379840272333735,0.8428611284510417,C00065/C00134/C00148,3,69,4.35
Ascorbate and aldarate metabolism,1/61,8/259,0.125,0.5307377049180327,-0.7469060348228408,0.8872469713300554,0.9407877368413518,0.8453805080731018,C00137,1,57,1.75
"Tropane, piperidine and pyridine alkaloid biosynthesis",1/61,8/259,0.125,0.5307377049180327,-0.7469060348228408,0.8872469713300554,0.9407877368413518,0.8453805080731018,C00134,1,77,1.3
Pentose and glucuronate interconversions,1/61,9/259,0.1111111111111111,0.4717668488160291,-0.893550452714991,0.9146491018036276,0.9615541839474033,0.8640409868590274,C00103,1,59,1.69
Bile secretion,2/61,16/259,0.125,0.5307377049180327,-1.0735312479080312,0.9257876336665476,0.9650159232286896,0.8671516640052409,C00031/C00051,2,90,2.22
Arginine biosynthesis,1/61,10/259,0.1,0.4245901639344263,-1.0280631280570764,0.9354747209635424,0.9669192493992919,0.8688619699351787,C00122,1,21,4.76
Biosynthesis of amino acids,5/61,36/259,0.1388888888888889,0.5897085610200364,-1.4697160923428088,0.9601521860703559,0.9714277845250615,0.8729132851958192,C00065/C00078/C00082/C00148/C00158,5,126,3.97
Nicotinate and nicotinamide metabolism,1/61,11/259,0.09090909090909091,0.3859910581222057,-1.1528886758544246,0.9512821186391405,0.9714277845250615,0.8729132851958192,C00122,1,55,1.82
Nucleotide metabolism,2/61,19/259,0.10526315789473684,0.44693701466781705,-1.3873561015885647,0.9635299976590042,0.9714277845250615,0.8729132851958192,C00055/C00262,2,58,3.45
Purine metabolism,1/61,17/259,0.058823529411764705,0.24975891996142718,-1.7728002065808472,0.9912237487506899,0.9912237487506899,0.8907016997759729,C00262,1,98,1.02
"1,2-Diphenyl substitution family",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0
Acarbose and validamycin biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,36,0
Acute myeloid leukemia,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
Adipocytokine signaling pathway,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0
Adrenergic signaling in cardiomyocytes,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0
Aflatoxin biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,27,0
AGE-RAGE signaling pathway in diabetic complications,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,0
Alcoholic liver disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,0
Aldosterone-regulated sodium reabsorption,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,0
alpha-Linolenic acid metabolism,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,44,0
Alzheimer disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12,0
Aminobenzoate degradation,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,88,0
Amphetamine addiction,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0
Amyotrophic lateral sclerosis,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,0
Angiotensin receptor and endothelin receptor antagonists,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,0
Anthocyanin biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,66,0
Anti-HIV agents,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
Antiarrhythmic drugs,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,0
Anticonvulsants,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,0
Antifungal agents,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,0
Antineoplastics - agents from natural products,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
Antineoplastics - alkylating agents,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,0
Anxiolytics,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
Apelin signaling pathway,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,0
Apoptosis,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0
Apoptosis - fly,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
Arabinogalactan biosynthesis - Mycobacterium,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,0
Asthma,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,0
Atrazine degradation,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,22,0
Autoimmune thyroid disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,0
Autophagy - animal,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0
Autophagy - other,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,0
Autophagy - yeast,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,0
Axon regeneration,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0
B cell receptor signaling pathway,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,0
Bacterial secretion system,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
Basal cell carcinoma,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
Benzoate degradation,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,77,0
Benzodiazepine family,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0
Benzoic acid family,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0
Benzoxazinoid biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,0
beta-Adrenergic receptor agonists/antagonists,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
beta-Lactam resistance,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,0
Betalain biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,23,0
