"";"KEGG";"InputID_select";"corrected_during_checkmatch";"Metabolite";"manual_correction";"correction_tbl"
"324";"C12600";"KEGG";FALSE;"phenol red";TRUE;"completely_incompatible_manual_with_cas"
"325";"C12989";"KEGG";FALSE;"N2-acetyllysine";FALSE;NA
"326";"C13857";"KEGG";FALSE;"1-arachidonylglycerol";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"327";"C14152";"KEGG";FALSE;"beta-tocopherol";FALSE;NA
"328";"C14732";"KEGG";FALSE;"5-oxoETE";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"329";"C16300";"KEGG";FALSE;"stearidonate (18:4n3)";FALSE;NA
"330";"C16513";"KEGG";FALSE;"docosapentaenoate (n3 DPA 22:5n3)";TRUE;"completely_incompatible_manual_with_cas"
"331";"C16525";"KEGG";FALSE;"dihomo-linoleate (20:2n6)";FALSE;NA
"332";"C16526";"KEGG";FALSE;"eicosenoate (20:1n9 or 11)";FALSE;NA
"333";"C16527";"KEGG";FALSE;"adrenate (22:4n6)";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"334";"C16533";"KEGG";FALSE;"docosadienoate (22:2n6)";TRUE;"completely_incompatible_manual_with_cas"
"335";"C16534";"KEGG";FALSE;"docosatrienoate (22:3n3)";FALSE;NA
"336";"C16537";"KEGG";FALSE;"pentadecanoate (15:0)";FALSE;NA
"337";"C16884";"KEGG";FALSE;"threitol";FALSE;NA
"338";"C17337";"KEGG";FALSE;"7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)";FALSE;NA
"339";"C17737, C00695";"C00695";TRUE;"cholate";FALSE;NA
"340";"C18218";"KEGG";FALSE;"16-hydroxypalmitate";FALSE;NA
"341";"C19891";"KEGG";FALSE;"chiro-inositol";FALSE;NA
"342";"C20522";"KEGG";FALSE;"imidazole propionate";FALSE;NA
"343";NA;NA;NA;"glycylvaline";FALSE;NA
"344";NA;NA;NA;"1-heptadecanoylglycerophosphoethanolamine*";FALSE;NA
"345";NA;NA;NA;"4-hydroxyhippurate";FALSE;NA
"346";NA;NA;NA;"1-stearoylglycerophosphoethanolamine";FALSE;NA
"347";NA;NA;NA;"tyrosylhistidine";FALSE;NA
"348";NA;NA;NA;"guanosine 5'- monophosphate (5'-GMP)";FALSE;NA
"349";NA;NA;NA;"tyrosylleucine";TRUE;"completely_incompatible_manual_with_cas"
"350";NA;NA;NA;"tyrosyllysine";FALSE;NA
"351";NA;NA;NA;"palmitoyl sphingomyelin";FALSE;NA
"352";NA;NA;NA;"palmitoylcarnitine";FALSE;NA
"353";NA;NA;NA;"5-methyluridine (ribothymidine)";FALSE;NA
"354";NA;NA;NA;"undecanedioate";FALSE;NA
"355";NA;NA;NA;"1-linoleoylglycerol (1-monolinolein)";FALSE;NA
"356";NA;NA;NA;"1-palmitoleoylglycerophosphocholine*";FALSE;NA
"357";NA;NA;NA;"6'-sialyllactose";FALSE;NA
"358";NA;NA;NA;"histidylphenylalanine";FALSE;NA
"359";NA;NA;NA;"histidyltryptophan";FALSE;NA
"360";NA;NA;NA;"histidyltyrosine";FALSE;NA
"361";NA;NA;NA;"choline";FALSE;NA
"362";NA;NA;NA;"choline phosphate";FALSE;NA
"363";NA;NA;NA;"Ac-Ser-Asp-Lys-Pro-OH";FALSE;NA
"364";NA;NA;NA;"C-glycosyltryptophan*";FALSE;NA
"365";NA;NA;NA;"Isobar: fructose 1,6-diphosphate, glucose 1,6-diphosphate, myo-inositol 1,4 or 1,3-diphosphate";FALSE;NA
"366";NA;NA;NA;"phenylalanylglutamate";FALSE;NA
"367";NA;NA;NA;"Isobar: ribulose 5-phosphate, xylulose 5-phosphate";FALSE;NA
"368";NA;NA;NA;"10-heptadecenoate (17:1n7)";FALSE;NA
"369";NA;NA;NA;"2-arachidonoylglycerophosphocholine*";FALSE;NA
"370";NA;NA;NA;"phenylalanylmethionine";FALSE;NA
"371";NA;NA;NA;"phenylalanylphenylalanine";FALSE;NA
"372";NA;NA;NA;"phenylalanylproline";FALSE;NA
"373";NA;NA;NA;"N-acetylasparagine";FALSE;NA
"374";NA;NA;NA;"isobutyrylcarnitine";FALSE;NA
"375";NA;NA;NA;"phenylalanyltyrosine";FALSE;NA
"376";NA;NA;NA;"isoleucylalanine";FALSE;NA
"377";NA;NA;NA;"1-linoleoylglycerophosphoethanolamine*";FALSE;NA
"378";NA;NA;NA;"1-palmitoylglycerol (1-monopalmitin)";FALSE;NA
"379";NA;NA;NA;"N-acetylglycine";FALSE;NA
"380";NA;NA;NA;"N-acetylisoleucine";FALSE;NA
"381";NA;NA;NA;"isoleucylhistidine";FALSE;NA
"382";NA;NA;NA;"cytidine 5'-diphosphocholine";FALSE;NA
"383";NA;NA;NA;"isoleucylmethionine";FALSE;NA
"384";NA;NA;NA;"isoleucylphenylalanine";FALSE;NA
"385";NA;NA;NA;"isoleucylserine";FALSE;NA
"386";NA;NA;NA;"N-acetylserine";FALSE;NA
"387";NA;NA;NA;"N-acetylthreonine";TRUE;"completely_incompatible_manual_no_cas"
"388";NA;NA;NA;"isoleucylvaline";FALSE;NA
"389";NA;NA;NA;"1-palmitoylglycerophosphocholine";FALSE;NA
"390";NA;NA;NA;"N-acetyltyrosine";FALSE;NA
"391";NA;NA;NA;"N-acetylvaline";FALSE;NA
"392";NA;NA;NA;"1-arachidonoylglycerophosphoinositol*";FALSE;NA
"393";NA;NA;NA;"2-linoleoylglycerol (2-monolinolein)";FALSE;NA
"394";NA;NA;NA;"laurylcarnitine";TRUE;"completely_incompatible_manual_no_cas"
"395";NA;NA;NA;"2-linoleoylglycerophosphoethanolamine*";FALSE;NA
"396";NA;NA;NA;"N2,N2-dimethylguanosine";FALSE;NA
"397";NA;NA;NA;"leucylarginine";FALSE;NA
"398";NA;NA;NA;"N2-methylguanosine";FALSE;NA
"399";NA;NA;NA;"1-myristoylglycerophosphocholine";FALSE;NA
"400";NA;NA;NA;"1-palmitoylglycerophosphoethanolamine";FALSE;NA
"401";NA;NA;NA;"N6-carbamoylthreonyladenosine";FALSE;NA
"402";NA;NA;NA;"leucylhistidine";FALSE;NA
"403";NA;NA;NA;"S-adenosylmethionine (SAM)";FALSE;NA
"404";NA;NA;NA;"S-methylcysteine";FALSE;NA
"405";NA;NA;NA;"VGAHAGEYGAEALER*";FALSE;NA
"406";NA;NA;NA;"erythronate*";FALSE;NA
"407";NA;NA;NA;"leucyltryptophan";FALSE;NA
"408";NA;NA;NA;"leucyltyrosine";FALSE;NA
"409";NA;NA;NA;"2-stearoylglycerophosphocholine*";FALSE;NA
"410";NA;NA;NA;"1-myristoylglycerophosphoethanolamine";FALSE;NA
"411";NA;NA;NA;"1-palmitoylglycerophosphoinositol*";FALSE;NA
"412";NA;NA;NA;"valylhistidine";FALSE;NA
"413";NA;NA;NA;"2-docosapentaenoylglycerophosphocholine*";FALSE;NA
"414";NA;NA;NA;"1-docosahexaenoylglycerophosphocholine*";FALSE;NA
"415";NA;NA;NA;"gabapentin";FALSE;NA
"416";NA;NA;NA;"lysyllysine";FALSE;NA
"417";NA;NA;NA;"lysylmethionine";FALSE;NA
"418";NA;NA;NA;"lysyltyrosine";FALSE;NA
"419";NA;NA;NA;"alanylglutamate";FALSE;NA
"420";NA;NA;NA;"alanylglycine";FALSE;NA
"421";NA;NA;NA;"1-oleoylglycerol (1-monoolein)";FALSE;NA
"422";NA;NA;NA;"alanylisoleucine";FALSE;NA
"423";NA;NA;NA;"alanylleucine";FALSE;NA
"424";NA;NA;NA;"alanylmethionine";TRUE;"completely_incompatible_manual_no_cas"
"425";NA;NA;NA;"alanylphenylalanine";FALSE;NA
"426";NA;NA;NA;"alanylthreonine";FALSE;NA
"427";NA;NA;NA;"alanyltryptophan";FALSE;NA
"428";NA;NA;NA;"alanyltyrosine";FALSE;NA
"429";NA;NA;NA;"alanylvaline";FALSE;NA
"430";NA;NA;NA;"margarate (17:0)";FALSE;NA
"431";NA;NA;NA;"dihydrocholesterol";FALSE;NA
"432";NA;NA;NA;"1-oleoylglycerophosphocholine";FALSE;NA
"433";NA;NA;NA;"alpha-glutamyltryptophan";FALSE;NA
"434";NA;NA;NA;"alpha-glutamyltyrosine";FALSE;NA
"435";NA;NA;NA;"alpha-hydroxyisovalerate";FALSE;NA
"436";NA;NA;NA;"methionylasparagine";FALSE;NA
"437";NA;NA;NA;"methionylaspartate";FALSE;NA
"438";NA;NA;NA;"glutaroyl carnitine";FALSE;NA
"439";NA;NA;NA;"methionylglycine";FALSE;NA
"440";NA;NA;NA;"methionylleucine";FALSE;NA
"441";NA;NA;NA;"methionylphenylalanine";FALSE;NA
"442";NA;NA;NA;"valerylcarnitine";FALSE;NA
"443";NA;NA;NA;"1-oleoylglycerophosphoethanolamine";FALSE;NA
"444";NA;NA;NA;"methylphosphate";FALSE;NA
"445";NA;NA;NA;"1-stearoylglycerol (1-monostearin)";FALSE;NA
"446";NA;NA;NA;"arginylleucine";FALSE;NA
"447";NA;NA;NA;"arginylmethionine";FALSE;NA
"448";NA;NA;NA;"arginylphenylalanine";FALSE;NA
"449";NA;NA;NA;"arginyltyrosine";FALSE;NA
"450";NA;NA;NA;"arginylvaline";FALSE;NA
"451";NA;NA;NA;"myristoylcarnitine";FALSE;NA
"452";NA;NA;NA;"threonylvaline";FALSE;NA
"453";NA;NA;NA;"valylisoleucine";FALSE;NA
"454";NA;NA;NA;"glycylisoleucine";FALSE;NA
"455";NA;NA;NA;"1-oleoylglycerophosphoinositol*";FALSE;NA
"456";NA;NA;NA;"aspartate-glutamate";FALSE;NA
"457";NA;NA;NA;"aspartylleucine";FALSE;NA
"458";NA;NA;NA;"aspartylphenylalanine";FALSE;NA
"459";NA;NA;NA;"aspartyltryptophan";FALSE;NA
"460";NA;NA;NA;"aspartylvaline";FALSE;NA
"461";NA;NA;NA;"atenolol";FALSE;NA
"462";NA;NA;NA;"glycyltryptophan";TRUE;"completely_incompatible_manual_no_cas"
"463";NA;NA;NA;"glycyltyrosine";FALSE;NA
"464";NA;NA;NA;"oleoylcarnitine";FALSE;NA
"465";NA;NA;NA;"ophthalmate";FALSE;NA
"466";NA;NA;NA;"1-oleoylglycerophosphoserine";FALSE;NA
"467";NA;NA;NA;"p-acetamidophenylglucuronide";TRUE;"completely_incompatible_manual_with_cas"
"468";NA;NA;NA;"isoleucyltyrosine";FALSE;NA
"469";NA;NA;NA;"pro-hydroxy-pro";FALSE;NA
"470";NA;NA;NA;"isovalerylcarnitine";FALSE;NA
"471";NA;NA;NA;"prolylglycine";FALSE;NA
"472";NA;NA;NA;"tyrosylphenylalanine";FALSE;NA
"473";NA;NA;NA;"tyrosyltyrosine";TRUE;"completely_incompatible_manual_with_cas"
"474";NA;NA;NA;"tyrosylvaline";TRUE;"completely_incompatible_manual_with_cas"
"475";NA;NA;NA;"2-linoleoylglycerophosphocholine*";FALSE;NA
"476";NA;NA;NA;"catechol sulfate";TRUE;"completely_incompatible_manual_no_cas"
"477";NA;NA;NA;"histidylmethionine";FALSE;NA
"478";NA;NA;NA;"1-stearoylglycerophosphoinositol";FALSE;NA
"479";NA;NA;NA;"leucylasparagine";FALSE;NA
"480";NA;NA;NA;"leucylglutamate";TRUE;"completely_incompatible_manual_no_cas"
"481";NA;NA;NA;"uridine monophosphate (5' or 3')";FALSE;NA
"482";NA;NA;NA;"15-methylpalmitate (isobar with 2-methylpalmitate)";FALSE;NA
"483";NA;NA;NA;"2-docosahexaenoylglycerophosphoethanolamine*";FALSE;NA
"484";NA;NA;NA;"cinnamoylglycine";FALSE;NA
"485";NA;NA;NA;"phenylalanylarginine";FALSE;NA
"486";NA;NA;NA;"phenylalanylaspartate";FALSE;NA
"487";NA;NA;NA;"valylaspartate";FALSE;NA
"488";NA;NA;NA;"1-palmitoleoylglycerophosphoethanolamine*";FALSE;NA
"489";NA;NA;NA;"phenylalanylleucine";FALSE;NA
"490";NA;NA;NA;"valylglycine";FALSE;NA
"491";NA;NA;NA;"2-stearoylglycerophosphoethanolamine*";FALSE;NA
"492";NA;NA;NA;"threonylphenylalanine";TRUE;"completely_incompatible_manual_no_cas"
"493";NA;NA;NA;"pregnanediol-3-glucuronide";FALSE;NA
"494";NA;NA;NA;"phenylalanylserine";FALSE;NA
"495";NA;NA;NA;"phenylalanyltryptophan";FALSE;NA
"496";NA;NA;NA;"valylmethionine";FALSE;NA
"497";NA;NA;NA;"phenylalanylvaline";FALSE;NA
"498";NA;NA;NA;"isoleucylarginine";FALSE;NA
"499";NA;NA;NA;"isoleucylglutamate";FALSE;NA
"500";NA;NA;NA;"10-nonadecenoate (19:1n9)";FALSE;NA
"501";NA;NA;NA;"isoleucylglycine";FALSE;NA
"502";NA;NA;NA;"2-hydroxyisobutyrate";FALSE;NA
"503";NA;NA;NA;"isoleucylisoleucine";FALSE;NA
"504";NA;NA;NA;"gamma-glutamylleucine";FALSE;NA
"505";NA;NA;NA;"pivaloylcarnitine";FALSE;NA
"506";NA;NA;NA;"methionylglutamate";FALSE;NA
"507";NA;NA;NA;"isoleucyltryptophan";FALSE;NA
"508";NA;NA;NA;"tyrosylglycine";FALSE;NA
"509";NA;NA;NA;"2-oleoylglycerophosphocholine*";FALSE;NA
"510";NA;NA;NA;"2-oleoylglycerophosphoethanolamine*";FALSE;NA
"511";NA;NA;NA;"methylglutaroylcarnitine";FALSE;NA
"512";NA;NA;NA;"2-docosahexaenoylglycerophosphocholine*";FALSE;NA
"513";NA;NA;NA;"prolylmethionine";TRUE;"completely_incompatible_manual_with_cas"
"514";NA;NA;NA;"1-pentadecanoylglycerophosphocholine*";FALSE;NA
"515";NA;NA;NA;"stearoylcarnitine";FALSE;NA
"516";NA;NA;NA;"glutamate, gamma-methyl ester";FALSE;NA
"517";NA;NA;NA;"leucylalanine";FALSE;NA
"518";NA;NA;NA;"2-methylbutyroylcarnitine";FALSE;NA
"519";NA;NA;NA;"gamma-glutamylphenylalanine";FALSE;NA
"520";NA;NA;NA;"2-myristoylglycerophosphocholine*";FALSE;NA
"521";NA;NA;NA;"leucylglycine";FALSE;NA
"522";NA;NA;NA;"valylleucine";FALSE;NA
"523";NA;NA;NA;"lysylleucine";FALSE;NA
"524";NA;NA;NA;"3-(cystein-S-yl)acetaminophen*";FALSE;NA
"525";NA;NA;NA;"leucylmethionine";FALSE;NA
"526";NA;NA;NA;"leucylphenylalanine";FALSE;NA
"527";NA;NA;NA;"leucylserine";FALSE;NA
"528";NA;NA;NA;"2-palmitoylglycerophosphoethanolamine*";FALSE;NA
"529";NA;NA;NA;"threonylleucine";FALSE;NA
"530";NA;NA;NA;"threonylmethionine";FALSE;NA
"531";NA;NA;NA;"glycocholenate sulfate*";FALSE;NA
"532";NA;NA;NA;"2-methoxyacetaminophen sulfate*";FALSE;NA
"533";NA;NA;NA;"gamma-glutamylvaline";FALSE;NA
"534";NA;NA;NA;"tyrosylglutamine";FALSE;NA
"535";NA;NA;NA;"pyroglutamine*";FALSE;NA
"536";NA;NA;NA;"2-oleoylglycerol (2-monoolein)";FALSE;NA
"537";NA;NA;NA;"valyllysine";FALSE;NA
"538";NA;NA;NA;"glycyllysine";FALSE;NA
"539";NA;NA;NA;"serylisoleucine*";FALSE;NA
"540";NA;NA;NA;"serylleucine";FALSE;NA
"541";NA;NA;NA;"malonylcarnitine";FALSE;NA
"542";NA;NA;NA;"gamma-glutamylisoleucine*";FALSE;NA
"543";NA;NA;NA;"1-palmitoylplasmenylethanolamine*";FALSE;NA
"544";NA;NA;NA;"tryptophylleucine";FALSE;NA
"545";NA;NA;NA;"3-hydroxyhippurate";FALSE;NA
"546";NA;NA;NA;"2'-deoxyadenosine 3'-monophosphate";FALSE;NA
"547";NA;NA;NA;"succinylcarnitine";FALSE;NA
"548";NA;NA;NA;"2-docosapentaenoylglycerophosphoethanolamine*";FALSE;NA
"549";NA;NA;NA;"3-indoxyl sulfate";FALSE;NA
"550";NA;NA;NA;"2-hydroxypalmitate";FALSE;NA
"551";NA;NA;NA;"2-oleoylglycerophosphoserine*";FALSE;NA
"552";NA;NA;NA;"13-HODE + 9-HODE";FALSE;NA
"553";NA;NA;NA;"valylarginine";FALSE;NA
"554";NA;NA;NA;"2'-deoxycytidine 3'-monophosphate";FALSE;NA
"555";NA;NA;NA;"methionylalanine";FALSE;NA
"556";NA;NA;NA;"phenylalanylglycine";FALSE;NA
"557";NA;NA;NA;"2-eicosatrienoylglycerophosphocholine*";FALSE;NA
"558";NA;NA;NA;"3-hydroxyoctanoate";FALSE;NA
"559";NA;NA;NA;"streptomycin";FALSE;NA
"560";NA;NA;NA;"tyrosylalanine";TRUE;"completely_incompatible_manual_with_cas"
"561";NA;NA;NA;"1-arachidonoylglycerophosphoethanolamine*";FALSE;NA
"562";NA;NA;NA;"glycylmethionine";FALSE;NA
"563";NA;NA;NA;"threonylglutamate";FALSE;NA
"564";NA;NA;NA;"triethyleneglycol";FALSE;NA
"565";NA;NA;NA;"phenylalanylalanine";FALSE;NA
"566";NA;NA;NA;"valylglutamine";FALSE;NA
"567";NA;NA;NA;"valylglutamate";FALSE;NA
"568";NA;NA;NA;"metoprolol acid metabolite*";FALSE;NA
"569";NA;NA;NA;"glycylthreonine";FALSE;NA
"570";NA;NA;NA;"tryptophylasparagine";FALSE;NA
"571";NA;NA;NA;"octanoylcarnitine";FALSE;NA
"572";NA;NA;NA;"tryptophylglutamate";FALSE;NA
"573";NA;NA;NA;"3-hydroxydecanoate";FALSE;NA
"574";NA;NA;NA;"valylphenylalanine";FALSE;NA
"575";NA;NA;NA;"3-(N-acetyl-L-cystein-S-yl) acetaminophen*";FALSE;NA
"576";NA;NA;NA;"glycylphenylalanine";TRUE;"completely_incompatible_manual_with_cas"
"577";NA;NA;NA;"glycylproline";FALSE;NA
"578";NA;NA;NA;"ranitidine";FALSE;NA
"579";NA;NA;NA;"valyltyrosine";FALSE;NA
"580";NA;NA;NA;"serylvaline";FALSE;NA
"581";NA;NA;NA;"nicotinate adenine dinucleotide (NAAD+)";FALSE;NA
"582";NA;NA;NA;"valylvaline";FALSE;NA
"583";NA;NA;NA;"valyltryptophan";FALSE;NA
"584";NA;NA;NA;"2-ethylhexanoate";FALSE;NA
"585";NA;NA;NA;"2-palmitoleoylglycerophosphocholine*";FALSE;NA
"586";NA;NA;NA;"2-palmitoylglycerol (2-monopalmitin)";FALSE;NA
"587";NA;NA;NA;"3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)";FALSE;NA
"588";NA;NA;NA;"2-palmitoylglycerophosphocholine*";FALSE;NA
"589";NA;NA;NA;"valylserine";FALSE;NA
"590";NA;NA;NA;"valylalanine";FALSE;NA
"591";NA;NA;NA;"2-arachidonoylglycerophosphoethanolamine*";FALSE;NA
"592";NA;NA;NA;"serylphenyalanine";FALSE;NA
"593";NA;NA;NA;"2-hydroxyacetaminophen sulfate*";FALSE;NA
