"";"KEGG";"InputID_select";"corrected_during_checkmatch";"Metabolite";"manual_correction";"correction_tbl"
"130";"C00502, C05411";"C05411";TRUE;"xylonate";TRUE;"completely_incompatible_manual_with_cas"
"131";"C00503";"KEGG";FALSE;"erythritol";FALSE;NA
"132";"C00519";"KEGG";FALSE;"hypotaurine";FALSE;NA
"133";"C00535";"KEGG";FALSE;"testosterone";FALSE;NA
"134";"C00581";"KEGG";FALSE;"guanidinoacetate";FALSE;NA
"135";"C00583, C02912";"C00583";FALSE;"1,2-propanediol";TRUE;"completely_incompatible_manual_with_cas"
"136";"C00584";"KEGG";FALSE;"prostaglandin E2";FALSE;NA
"137";"C00597";"KEGG";FALSE;"3-phosphoglycerate";FALSE;NA
"138";"C00631";"KEGG";FALSE;"2-phosphoglycerate";FALSE;NA
"139";"C00642";"KEGG";FALSE;"4-hydroxyphenylacetate";FALSE;NA
"140";"C00669";"KEGG";FALSE;"gamma-glutamylcysteine";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"141";"C00670";"KEGG";FALSE;"glycerophosphorylcholine (GPC)";FALSE;NA
"142";"C00671, C06008";"C00671";FALSE;"3-methyl-2-oxovalerate";FALSE;NA
"143";"C00712";"KEGG";FALSE;"oleate (18:1n9)";FALSE;NA
"144";"C00719";"KEGG";FALSE;"betaine";FALSE;NA
"145";"C00735";"KEGG";FALSE;"cortisol";FALSE;NA
"146";"C00750";"KEGG";FALSE;"spermine";FALSE;NA
"147";"C00751";"KEGG";FALSE;"squalene";FALSE;NA
"148";"C00762";"KEGG";FALSE;"cortisone";FALSE;NA
"149";"C00785";"KEGG";FALSE;"trans-urocanate";FALSE;NA
"150";"C00788";"KEGG";FALSE;"epinephrine";FALSE;NA
"151";"C00791";"KEGG";FALSE;"creatinine";FALSE;NA
"152";"C00794";"KEGG";FALSE;"sorbitol";FALSE;NA
"153";"C00805";"KEGG";FALSE;"salicylate";FALSE;NA
"154";"C00815";"KEGG";FALSE;"citramalate";FALSE;NA
"155";"C00818";"KEGG";FALSE;"glucarate (saccharate)";FALSE;NA
"156";"C00836";"KEGG";FALSE;"sphinganine";FALSE;NA
"157";"C00847";"KEGG";FALSE;"pyridoxate";FALSE;NA
"158";"C00864";"KEGG";FALSE;"pantothenate";FALSE;NA
"159";"C00878";"KEGG";FALSE;"arabonate";FALSE;NA
"160";"C00882";"KEGG";FALSE;"3'-dephosphocoenzyme A";FALSE;NA
"161";"C00898";"KEGG";FALSE;"tartarate";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"162";"C00946";"KEGG";FALSE;"adenosine 2'-monophosphate (2'-AMP)";FALSE;NA
"163";"C00954";"KEGG";FALSE;"indoleacetate";FALSE;NA
"164";"C00956";"KEGG";FALSE;"2-aminoadipate";FALSE;NA
"165";"C00993";"KEGG";FALSE;"alanylalanine";FALSE;NA
"166";"C01004";"KEGG";FALSE;"trigonelline (N'-methylnicotinate)";FALSE;NA
"167";"C01019";"KEGG";FALSE;"fucose";FALSE;NA
"168";"C01026";"KEGG";FALSE;"dimethylglycine";FALSE;NA
"169";"C01035";"KEGG";FALSE;"4-guanidinobutanoate";FALSE;NA
"170";"C01040, C05410";"C01040";FALSE;"gulono-1,4-lactone";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"171";"C01042";"KEGG";FALSE;"N-acetylaspartate (NAA)";FALSE;NA
"172";"C01046";"KEGG";FALSE;"N-methylglutamate";FALSE;NA
"173";"C01087, C02630";"C01087, C02630";TRUE;"2-hydroxyglutarate";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"174";"C01089";"KEGG";FALSE;"3-hydroxybutyrate (BHBA)";FALSE;NA
"175";"C01094";"KEGG";FALSE;"fructose 1-phosphate";TRUE;"keeping_only_compatible_for_partially_compatible_features"
"176";"C01096, C02810";"C01096";FALSE;"sorbitol 6-phosphate";TRUE;"completely_incompatible_manual_with_cas"
"177";"C01152";"KEGG";FALSE;"3-methylhistidine";FALSE;NA
"178";"C01157";"KEGG";FALSE;"trans-4-hydroxyproline";FALSE;NA
"179";"C01177";"KEGG";FALSE;"inositol 1-phosphate (I1P)";FALSE;NA
"180";"C01181";"KEGG";FALSE;"deoxycarnitine";FALSE;NA
"181";"C01233";"KEGG";FALSE;"glycerophosphoethanolamine";FALSE;NA
"182";"C01262";"KEGG";FALSE;"anserine";FALSE;NA
"183";"C01367";"KEGG";FALSE;"adenosine 3'-monophosphate (3'-AMP)";FALSE;NA
"184";"C01419";"KEGG";FALSE;"cysteinylglycine";FALSE;NA
"185";"C01425";"KEGG";FALSE;"alpha-glutamylglutamate";FALSE;NA
"186";"C01468";"KEGG";FALSE;"p-cresol sulfate";FALSE;NA
"187";"C01517";"KEGG";FALSE;"naproxen";FALSE;NA
"188";"C01530";"KEGG";FALSE;"stearate (18:0)";FALSE;NA
