"Shapiro_p.val","786-M1A","786-M2A","786-O","HK2"
"  lysine ","0.45235961","0.34502453","0.09371963","0.37839519"
"  malate ","0.2649750","0.9750996","0.0462471","0.7458977"
"  malonate ","0.8134095","0.6684257","0.5725891","0.3300609"
"  malonylcarnitine C3 DC ","0.6492306","0.8682539","0.6520430","0.8481519"
"  mesaconate ","0.1553746","0.1523616","0.6748837","0.8183866"
"  methionine ","0.6738816","0.0656763","0.2437620","0.3055985"
"  methionine sulfoxide ","0.8626647","0.1608678","0.6616744","0.2557288"
"  methylhistidine ","0.05414884","0.78120637","0.76775195","0.51576005"
"  methylindole ","0.3604624","0.1451327","0.8554913","0.7817930"
"  methylmalonylcarnitine C3 DC M succinylcarnitine C4 DC ","0.5421904","0.8289367","0.9020175","0.9384267"
"  mevalonic acid 5 pyrophosphate ","0.4371612","0.3943565","0.6443954","0.3938168"
"  myo inositol ","0.9789632","0.8747690","0.8204497","0.7481774"
"  N acetylalanine ","0.08882733","0.91677799","0.06529398","0.69689951"
"  N acetylarginine ","0.9939836","0.3016565","0.1524857","0.1151617"
"  N acetylaspartate ","0.86508001","0.01883023","0.65943557","0.15604342"
"  N acetylaspartylglutamate ","0.3512781","0.0371599","0.6381044","0.3169697"
"  N acetylglutamate ","0.2050898","0.4094755","0.3237497","0.8628717"
"  N acetylglutamine ","0.8996471","0.9877496","0.9068413","0.3683689"
"  N acetylhexosamine phosphate ","0.3230411","0.5610098","0.4268115","0.3669564"
"  N acetylhistidine ","0.86381172","0.42476360","0.19139477","0.08784695"
"  N acetylmethionine ","0.5526537","0.2654049","0.7862281","0.5750308"
"  N acetylneuramic acid ","0.4599689","0.9619854","0.9518986","0.6096948"
"  N acetylornithine ","0.1310806","0.7872838","0.8253536","0.3113076"
"  N acetylserine ","0.2330647","0.2593390","0.3077461","0.6566891"
"  NAD ","0.27544145","0.09227982","0.57340023","0.38352252"
"  NADH ","0.05834264","0.27229351","0.30598168","0.10105242"
"  NADP ","0.2972004","0.5338923","0.1782581","0.5754951"
"  NADPH ","0.09335526","0.92842855","0.64313236","0.99707212"
"  N carbamoylaspartate ","0.6915365","0.1687456","0.8598474","0.3453094"
"  ophthalmate ","0.3156642","0.7541664","0.9131443","0.9293410"
"  ornithine ","0.89978111","0.06052002","0.39942689","0.45964792"
"  orotate ","0.04558150","0.20747111","0.90317548","0.08459475"
"  orotidine ","0.8600241","0.5446618","0.5725231","0.6013000"
