"","Metabolite","Log2FC","p.adj","t.val","786-M2A_1","786-M2A_2","786-M2A_3","HK2_1","HK2_2","HK2_3","KEGG.ID","KEGGCompound","Pathway"
"17","methionine sulfoxide",-0.797517371047186,0.00237643677534238,269652.25425115,345800.790077544,350783.662356778,399403.174577665,618163.330389428,624526.573310142,662254.486065867,"C02989","L-Methionine S-oxide","Cysteine and methionine metabolism"
"18","methylhistidine",-0.258145629425802,0.028505314817334,7526868.29576219,37818323.0793683,43195621.7737481,34228200.0713548,46583952.0696402,43470293.2829456,47768504.459172,"C01152","N(pi)-Methyl-L-histidine","D-Amino acid metabolism"
"19","methylindole",-0.317877982337386,0.000759040610512463,536722.485261556,2086218.630772,2338544.89335384,2107468.17415238,2727001.27036474,2610583.96813164,2804813.91556651,"C08313","Skatole","Not assigned"
"20","methylmalonylcarnitine C3-DC-M/succinylcarnitine C4-DC",2.54967268358182,1.20620692323214e-08,-41991708.6382319,51883248.141077,50776736.0984652,49262568.2446713,9433121.40927787,8620480.40921706,7893824.75102285,NA,NA,"Fatty acyl carnitines"
"21","mevalonic acid 5-pyrophosphate",0.322768704872358,0.955618229885764,-68542.7889597206,406744.059407974,480568.452019702,138439.334608639,344639.669019924,168749.8486774,306733.961459827,NA,NA,"Not assigned"
"22","myo-inositol",1.80947610648707,7.34189241735628e-07,-205547344.836347,285972803.450241,266985190.397631,309833804.613034,91298077.3831913,80734385.7116407,74117300.8570355,"C00137","myo-Inositol","Not assigned"
"23","N-acetylalanine",-0.435375375194001,2.22063027019992e-05,4640007.52340403,12737939.9729689,13584765.5046771,13193329.6428844,18463994.1173208,17701720.6807048,17270342.8927169,NA,NA,"D-Amino acid metabolism"
"24","acetylcarnitine",0.0381143714842518,0.999048742870942,-112751817.685986,3921601840.50754,4203540544.68709,4848285370.02573,5952979791.92545,3146657177.49308,3535535332.74386,"C02571","O-Acetylcarnitine","Fatty acyl carnitines"
"25","N-acetylarginine",-3.04736504663541,2.79856078422291e-07,2236390.12389497,328468.517002892,275261.515745387,319507.098898421,2836361.53786834,2382744.41701743,2413301.54844582,NA,NA,"D-Amino acid metabolism"
"26","N-acetylaspartate",-5.27787515765438,5.16253706450698e-14,2693880687.81296,72515204.7736306,68743124.5096313,72558396.2450496,2720159706.18548,2790840268.97968,2784458813.80203,"C01042","N-Acetyl-L-aspartate","Alanine, aspartate and glutamate metabolism"
"27","N-acetylaspartylglutamate",-7.67367936062069,1.94078086934724e-12,69356884.4605488,347330.233801767,329812.439604225,346940.987322249,66652639.2508767,70779240.3545924,71662857.4369057,"C12270","N-Acetylaspartylglutamate","Alanine, aspartate and glutamate metabolism"
"28","N-acetylglutamate",-1.78771268622595,2.63517929366408e-07,88569800.3530352,34385749.9289386,35331028.6244461,38617950.5228378,113806550.134577,125548527.768109,134689052.232642,"C00624","N-Acetyl-L-glutamate","D-Amino acid metabolism"
"29","N-acetylglutamine",-2.05276051859106,3.76119702050204e-09,9901815.57980912,3143876.22404505,3220943.11061685,3068502.95396097,12386088.0561012,13488000.9955734,13264679.9763757,NA,NA,"D-Amino acid metabolism"
"30","N-acetylhexosamine phosphate",0.646151553697913,0.00253828305452508,-1040652.392501,3066327.33018822,2742525.09390468,2838810.47561124,1984740.91876083,1794547.15268423,1746417.65075608,NA,NA,"Not assigned"
"31","N-acetylhistidine",-0.286884312030979,0.754241798704282,2624644.15274554,10597369.7827855,16311712.0719742,8881084.92016972,11771706.4653155,12182687.2361777,19709705.5316729,"C02997","N-Acetyl-L-histidine","D-Amino acid metabolism"
"32","N-acetylmethionine",-1.39516621698671,9.46748383412466e-06,32672618.2516859,17872555.2242249,18718788.7477624,23535354.6795319,48502182.9805688,51448861.1231936,58193509.3028146,"C02712","N-Acetylmethionine","D-Amino acid metabolism"
"33","N-acetylneuramic acid",1.03121266877781,0.0018974919339878,-7078056.11246206,15424193.3814205,13823924.2462182,12330331.4663323,5676295.91343296,7017640.95908023,7650343.88407164,NA,NA,"Not assigned"
"34","N-acetylornithine",-0.315808481240907,0.00512308804288653,3050664.0367646,12292888.9413062,13897620.136387,11208983.9636141,15967126.9188202,14816746.1171626,15767612.1156182,NA,NA,"D-Amino acid metabolism"
"35","acetylcholine",-0.604372666564023,0.00140317283691815,13365446.0071354,27111833.2316143,24459973.0093272,25489480.8370676,43934688.8905642,37018749.223106,36204186.985745,"C01996","Acetylcholine","Glycerophospholipid metabolism"
"36","N-acetylserine",-0.900106781439464,1.03998343303768e-06,246651201.994482,281917262.310944,292170122.36256,280161170.900742,566767233.890469,524684389.024822,502750538.6424,NA,NA,"D-Amino acid metabolism"
"37","NAD",0.204676589335996,0.00545868067546518,-26944217.2516459,192214805.074869,209940665.820952,208977808.804668,178741461.880522,180892041.450975,170667124.614054,"C00003","NAD+","Oxidative phosphorylation"
"38","NADH",-1.07510232327597,0.258093898361843,833834.52252672,1122015.44023761,523146.872905141,614814.183789999,2634112.47049936,1015665.30951236,1111702.28450119,"C00004","NADH","Oxidative phosphorylation"
"39","NADP",0.646398578951575,0.0496872329713881,-678201.029934957,1449360.14374663,2198904.4316229,1985775.39740785,1154429.4636101,1396405.9994263,1048601.4199361,"C00006","NADP+","Glutathione metabolism"
"40","NADPH",0.927919405811912,0.235295688775526,-1318636.68261283,3394977.16756628,2137157.77394822,2806907.93915389,2110425.20713231,812811.863909645,1459895.76178793,"C00005","NADPH","Glutathione metabolism"
"41","N-carbamoylaspartate",1.42042856383519,0.2007022993075,-15598616.5958269,6959675.90638753,35249742.3769019,32496756.6648362,6465089.56228208,17610229.918155,3835005.68020783,"C00438","N-Carbamoyl-L-aspartate","Pyrimidine metabolism"
"42","ophthalmate",-0.825730503257031,1.24554679603595e-06,75761933.5485568,103110636.339586,97383032.839539,93753228.3845167,174201383.183958,182022023.638509,165309291.386845,"C21016","Ophthalmate","Cysteine and methionine metabolism"
"43","ornithine",-1.55486378307132,8.37054844660123e-07,3754696.55330144,1550748.18962685,2141260.98309084,2120035.11456998,5284326.83357157,5982562.7414356,5809244.37218483,"C00077","L-Ornithine","D-Amino acid metabolism"
"44","orotate",1.4174267100539,0.31792803097564,-151045859.91673,35846460.2018957,324809660.021452,363644905.01764,35930522.7412056,191537242.876526,43695679.8730664,"C00295","Orotate","Pyrimidine metabolism"
"45","orotidine",1.91320857641987,0.00163526881141518,-597491227.369528,1020742142.49417,762457549.740466,657204829.402466,322083291.856996,192850066.662342,132997481.009185,"C01103","Orotidine 5'-phosphate","Pyrimidine metabolism"
"46","acetyl-CoA",0.290471207593392,0.256098402829689,-602053.373792546,3109573.64106804,3356698.01300162,3437820.39242621,2897219.69068957,2299237.93797441,2901474.29645426,"C00024","Acetyl-CoA","Citrate cycle (TCA cycle)"
"47","pantothenate",0.516092241478988,0.00107397468618142,-387388542.028373,1188855516.4713,1334557211.83254,1340983424.99873,785016093.108217,964539107.899869,952675326.20936,"C00864","Pantothenate","Vitamin digestion and absorption"
"48","pentose phosphates",0.0253177443955026,0.991953251897757,-122307.928477182,6857741.6211464,7723292.02333146,6511585.9762771,6155651.54079181,7206778.79047903,7363265.50405257,NA,NA,"Not assigned"
"49","phenylalanine",-0.290685936631067,0.0251049721690855,60504862.1221241,258588750.883374,302846213.253331,251723276.776198,325183110.29488,307531110.671704,361958606.312691,"C00079","L-Phenylalanine","D-Amino acid metabolism"
"50","phosphocreatine",-9.17727002508899,1.00435381122921e-08,416936954.997008,755345.470917015,865952.625778351,542959.209708648,407248680.915377,455120500.204215,390605941.177836,"C02305","Phosphocreatine","Arginine and proline metabolism"
"51","phosphoenolpyruvate",0.803426675862519,0.0161794668398054,-5383549.71669636,14667102.1715873,10917696.4917441,12237549.3785008,7649427.80340106,7352597.41136251,6669673.67697964,"C00074","Phosphoenolpyruvate","Citrate cycle (TCA cycle)"
"52","phosphoethanolamine",-3.76801705328727,2.04394244862627e-08,111007407.358263,7513307.10683861,12261410.4101684,6606581.10371948,125770540.550769,125218536.250986,108414443.893762,"C00346","Ethanolamine phosphate","Glycerophospholipid metabolism"
"53","phosphorylcholine",-1.3531865937473,1.2244803918593e-06,11340691788.3916,6780208015.64487,7872977887.70494,7229368861.71919,19811294373.4034,19102558921.7655,16990776835.0748,"C00588","Choline phosphate","Glycerophospholipid metabolism"
"54","proline",-0.788799032554528,2.24533430848162e-07,8449637679.08545,10887157343.9395,11907435941.0813,12042775324.8666,19590271556.629,20423681020.4539,20172329070.061,"C00148","L-Proline","D-Amino acid metabolism"
"55","propionylcarnitine",-0.0409168664959063,0.976593300353661,11960507.4954547,418225715.144291,402971877.79816,426099403.746721,495930119.145743,410085728.426593,377162671.6032,"C03017","O-Propanoylcarnitine","Fatty acyl carnitines"
"56","pyroglutamic acid",-0.0446250575559154,0.987431383326301,9756094.76178384,320835303.833936,324118039.312308,286709898.095913,274452705.199173,290570148.63189,395908671.696445,NA,NA,"Not assigned"
"57","adenosine",0.252137431825562,0.903720419117036,-2413395.27766128,17979119.8349828,11260449.2628853,15913244.8806733,13899232.0677224,11251114.3585566,12762281.7192786,"C00212","Adenosine","Purine metabolism"
"58","pyruvate",0.647488572591348,0.0374001569925071,-9849043.84805729,26615603.5253689,31157739.0650153,23936744.7329037,16555207.8575673,14257313.3606298,21350434.5609189,"C00022","Pyruvate","Glycolysis / Gluconeogenesis"
"59","S-(2-succinyl)cysteine",-2.7227571029796,0.00025755087499113,485140.585103172,87961.5686032362,122106.960029809,49766.4212957845,690296.156782188,615072.477474958,409888.070981199,NA,NA,"Not assigned"
"60","S-adenosylhomocysteine",-0.528910656107226,0.00175612086829879,2975115.57475375,6747496.89309331,6894654.61147257,6512667.84885002,10805071.476231,9682780.66919782,8592313.9322483,"C00021","S-Adenosyl-L-homocysteine","Cysteine and methionine metabolism"
"61","S-adenosylmethionine",1.1451353333472,1.47537377866991e-05,-54763296.4901824,89242044.8695457,102302438.157563,108335176.74789,39429647.1097745,48679758.8208565,47480364.3738208,"C00019","S-Adenosyl-L-methionine","Cysteine and methionine metabolism"
"62","sedoheptulose 7-phosphate",-0.30976099597545,0.288735853710859,130561.4566484,490342.266853106,587506.398605136,557560.69467734,520725.673399783,709519.940139006,796848.116541993,"C05382","Sedoheptulose 7-phosphate","Pentose phosphate pathway"
"63","serine",-2.31201562068992,4.08061045731323e-07,38999794.2079659,8981687.64514432,11139001.8970443,9381668.77299003,52900551.8561922,50457508.5045354,43143680.5783486,"C00065","L-Serine","D-Amino acid metabolism"
"64","S-lactoylglutathione",-0.255701121940169,0.900601303400381,150572.882464168,948735.648455086,844820.979546448,535900.775111814,1217360.98932537,953787.692991972,610027.368188518,"C03451","(R)-S-Lactoylglutathione","Glutathione metabolism"
"65","stearoylcarnitine C18",0.797917157398507,0.366751062992459,-703556.405288014,1756742.51835998,1468848.45405501,1742781.78999129,1852540.80885951,555997.141010097,449165.596672628,NA,NA,"Not assigned"
"66","succinate",-0.543445798218795,0.0474967692791849,14789671.8315702,30942937.8349672,31324912.856261,34724331.0237283,39585601.6458729,42720948.0661364,59054647.4976577,"C00042","Succinate","Citrate cycle (TCA cycle)"
"67","succinylglutathione",-2.02015984419497,3.76442316109005e-05,2641236.22130089,1034302.46942566,953572.136594915,604718.253479452,3957178.7306998,3577674.62742712,2981448.16527578,"C03174","S-Succinylglutathione","Glutathione metabolism"
"68","ADP",0.181655277595086,0.649339067433726,-6801161.42020488,57707088.2044377,52121681.3041675,62630223.1279872,56675531.6079089,45343841.58384,50036135.1842289,"C00008","ADP","Purine metabolism"
"69","taurine",0.969746895160281,0.00015917503395968,-1735035560.98401,3754512312.068,3574792825.07477,3306289960.68706,2086350903.34222,1695562816.5486,1648574694.98697,"C00245","Taurine","Not assigned"
"70","tetradecanoylcarnitine C14",-2.63815584103735,0.00034974131348553,1646348.76601013,204795.909035031,323163.630574439,417248.468458446,2532304.81527307,1828375.62224926,1523573.86857596,NA,NA,"Not assigned"
"71","tetradecenoylcarnitine C14:1",-0.55659584618511,0.563586931532817,387463.266547508,404622.825354642,1515660.75741779,548711.697139936,819664.584797115,1419394.21648241,1392326.27827537,NA,NA,"Not assigned"
"72","thiamine",-0.454524370194319,0.00451896743010649,23464739.9914169,59585476.8276316,64466968.3612161,66032176.3993669,86686946.2507252,82404013.6664998,91387881.6452405,"C00378","Thiamine","Vitamin digestion and absorption"
"73","threonine",-1.83131621237991,6.00300777253704e-06,463803194.220125,180402875.554992,196773025.836363,166637493.094618,735891036.900604,636935564.71293,562396375.532813,"C00188","L-Threonine","D-Amino acid metabolism"
"74","trans-4-hydroxyproline",-2.21530730873045,3.83514692814391e-06,99661062.0005277,30697037.7307136,28135796.0641589,23219638.3232243,144664894.59793,126476865.648598,109893897.873152,"C01157","Hydroxyproline","D-Amino acid metabolism"
"75","trimethyllysine",-0.27080434401403,0.211369330959514,1005855.28806693,4998138.48060878,5361594.05077003,4254572.29035814,6244751.05360065,5123916.1415452,6263203.49079191,"C03793","N6,N6,N6-Trimethyl-L-lysine","D-Amino acid metabolism"
"76","tryptophan",-0.307088242879048,0.00231329227166066,64277245.1886201,263804905.05823,296675152.500826,252441990.401981,343316984.78331,316724176.929259,345712621.814328,"C00078","L-Tryptophan","D-Amino acid metabolism"
"77","tyrosine",-0.296391534462773,0.0692121209798711,25251675.5262246,122744272.446636,111685015.689071,97729187.1725623,141425182.417273,125920963.953586,140567355.516084,"C00082","L-Tyrosine","D-Amino acid metabolism"
"78","UDP",0.232443400204509,0.802380885486581,-4983712.75053767,40483699.3587577,32082107.4566614,27906912.1350812,38643464.0920847,23681643.7964483,23196472.8103541,"C00015","UDP","Pyrimidine metabolism"
"79","ADP-ribose",0.1432062859482,0.344188711486031,-174024.124256036,1768103.28199068,1929194.91494511,1827540.19486201,1684075.07123302,1677968.53188032,1640722.41591636,"C00301","ADP-ribose","Purine metabolism"
"80","UDP-GlcNac",-0.18242312676952,0.463235448036062,18084799.1497809,145657831.256703,134424929.918644,122432996.351451,177141259.322555,140586147.422592,139042748.230994,NA,NA,"Not assigned"
"81","UDP-hexose",-0.027768418248709,0.996347334646154,1564919.11243001,89163896.4676993,83081599.9360231,69328552.84017,98856306.3176608,76576200.1300175,70836300.1335041,NA,NA,"Not assigned"
"82","UMP",0.63847522465762,0.0509774979286416,-1779727.82078465,6148134.44737681,4696375.18983381,4085739.24065979,4140222.28741711,2727016.63482197,2723826.49327738,"C00105","UMP","Pyrimidine metabolism"
"83","uric acid",0.214769573097003,0.364850947566549,-41548884.4524394,297157564.990135,308607470.242968,295406572.3689,234932144.748246,231943378.421321,309649431.075118,NA,NA,"Purine metabolism"
"84","uridine",0.156276526177199,0.972346434305551,-95579.1442746037,1059500.25166239,983847.227010199,749677.594736539,833588.357421046,657229.084734766,1015470.19842951,"C00299","Uridine","Pyrimidine metabolism"
"85","UTP",0.312131778397103,0.86060510249865,-16762522.9860193,103212194.8516,84842103.9791136,70428117.6283509,107187577.300155,48901805.8490788,52105464.3517726,"C00075","UTP","Pyrimidine metabolism"
"86","valine",-0.0304183677266416,0.983909167630827,6824132.49973983,313088340.509296,356470297.142558,291214547.612014,314287210.55812,305982255.583427,360976116.621541,"C00183","L-Valine","Valine, leucine and isoleucine biosynthesis"
"87","Val-Lys",-0.746941127915518,0.000115986405142876,16243907.9762864,24206768.7760648,23053930.2596202,24590542.0218671,42933108.9255354,38481006.2975474,39168849.7633284,NA,NA,"D-Amino acid metabolism"
"88","xanthine",-0.0526918768842552,0.9954854739032,511872.317546824,13009320.003484,16481656.451544,11790831.8120088,12162596.1153746,11860982.7082039,18793846.3960986,"C00385","Xanthine","Purine metabolism"
"89","alanine",-1.77311165457779,1.6442566789121e-05,612099292.447155,260858847.775411,258098730.738887,240501141.027995,1001104894.922,858229963.481934,736421738.479828,"C00041","L-Alanine","D-Amino acid metabolism"
"90","AMP",0.327804510073565,0.0114942103426106,-3547451.19617124,18601023.3392412,15737928.1242251,18021449.6962561,13931949.4394768,13266983.4053384,14519114.7263935,"C00020","AMP","Purine metabolism"
"91","2/3-phosphoglycerate",0.531660855263228,0.00735802788634343,-13827700.7682655,45829441.4712256,44285425.9898737,44464750.0175729,30962487.2663214,32597393.2523991,29536634.6551552,"C00197","3-Phospho-D-glycerate","Glycolysis / Gluconeogenesis"
"92","arginine",0.295985097675353,0.288529648147217,-23070838.5211937,117715310.703626,142318449.996391,113111668.673537,89198573.6622695,87461017.3488352,127273322.798868,"C00062","L-Arginine","D-Amino acid metabolism"
"93","argininosuccinate",-0.811287157529187,0.000503830582870624,239065.241329102,364059.653686347,301817.200559029,284332.748527248,617900.515837999,553557.819450368,495946.991471562,"C03406","N-(L-Arginino)succinate","Alanine, aspartate and glutamate metabolism"
"94","asparagine",-1.64698550404724,4.12014855566412e-09,67481280.1280413,30002179.5851463,34630704.5557837,30331557.523494,100872226.98223,101649820.960073,94886234.1062449,"C00152","L-Asparagine","D-Amino acid metabolism"
"95","aspartate",0.633332451815471,6.58560970221433e-05,-591861473.968053,1698039239.48679,1702886339.19613,1596294243.34163,965178967.013446,1174833537.11779,1081622895.98915,"C00049","L-Aspartate","D-Amino acid metabolism"
"96","ATP",0.141929669504606,0.95019654791018,-22801365.1761142,240356336.175353,217664952.493308,272059425.665496,280636943.305047,173083679.202713,207955996.298054,"C00002","ATP","Purine metabolism"
"97","beta-alanine",-1.10439735191055,1.72638095151667e-05,57405244.344903,51414912.5721755,50664995.1560655,47661126.2401137,117965018.197714,108680181.769149,95311567.0362009,"C00099","beta-Alanine","Pyrimidine metabolism"
"98","beta-citrylglutamic acid",-0.0853160361929013,0.570522120393715,12980517.1882811,224968606.857957,209305599.13008,204948946.406968,223366581.117283,226592247.449335,228205875.39323,NA,NA,"Not assigned"
"99","betaine",-1.05719014843203,1.0689847409151e-05,3566096427.28972,3149868428.10866,3570664168.26872,3177273809.21063,7201894838.9969,6612819871.70635,6781380976.75391,"C00719","Betaine","Not assigned"
"100","butyrylcarnitine C4",-0.683098984627507,0.000717147192479395,317367780.717253,483580040.96762,539876013.150231,548748418.313893,856763427.975933,920557712.918588,746986673.688982,NA,NA,"Fatty acyl carnitines"
"101","cAMP",-0.0594994167123844,0.89922892741905,17484.9661320517,420939.378843178,439422.880334573,385475.668165514,439717.485674041,425017.962859486,433557.377205892,NA,NA,"Purine metabolism"
"102","2-aminoadipic acid",-0.116401100771857,0.508185761356868,524604.638079857,6142859.79904548,6234438.9611042,6352492.1493563,5807610.72849711,7329703.7940618,7166290.30118664,NA,NA,"Not assigned"
"103","carnitinamide",0.251801626509018,0.0106729196460004,-504777.267150729,3146064.10134113,3173709.84977162,3135755.92838172,2744307.25454808,2473639.80845378,2723251.01504043,"C02290","L-Carnitinamide","Not assigned"
"104","carnitine",0.353224038904703,0.0852923482767196,-3341256579.13329,16817587513.5906,15350818646.0299,13988499709.8476,14178525133.23,12003789647.1144,9950821351.72385,"C00487","Carnitine","Fatty acyl carnitines"
"105","carnosine",0.135939334015564,0.943982339288824,-856108.363409329,9044885.75606587,11717157.1635832,7799367.73443623,7130908.97874035,7174191.86779049,11687984.7173265,"C00386","Carnosine","Not assigned"
"106","CDP",0.17663619070602,0.969562524730633,-614298.194655585,6854106.96554212,4638793.83332326,4499383.9377593,6918793.36955014,3346272.17730453,3884324.60580326,"C00112","CDP","Pyrimidine metabolism"
"107","CDP-ethanolamine",-1.20367337159481,0.00272508370502811,4295420.49408345,3527676.57647488,3748317.20165401,2611767.01269862,9624941.95629672,7014142.95045709,6134937.36632405,"C00570","CDP-ethanolamine","Glycerophospholipid metabolism"
"108","choline",0.237711302816794,0.267983885566603,-110123218.610512,781419238.45407,669986969.542871,723361175.969908,703340966.437374,566432117.6177,574624644.080238,"C00114","Choline","Glycerophospholipid metabolism"
"109","aconitate",0.915114443298411,0.0102202085073557,-46941553.9689344,103821686.540171,86615624.4945865,109382153.010324,66776846.8106563,42942172.9516269,49275782.3759948,"C00417","cis-Aconitate","Citrate cycle (TCA cycle)"
"110","citicoline",-0.879537541908157,9.53391433466955e-07,9481342.537737,10498870.815377,12168776.8205506,11202940.6806832,19944487.6571039,20544233.8867649,21825894.3859532,"C00307","CDP-choline","Glycerophospholipid metabolism"
"111","citrate",0.488165632121286,0.0096922467580971,-572795878.938411,1981295389.56656,1919457384.93692,2085221545.13716,1600284007.34547,1235854639.74381,1431448035.73612,"C00158","Citrate","Citrate cycle (TCA cycle)"
"112","citrulline",-0.454737527038245,3.01479412471162e-05,104521201.631456,276554877.738041,306867142.310214,262827124.694882,385356693.55217,381450224.688317,393005831.39702,"C00327","L-Citrulline","Arginine and proline metabolism"
"113","2-hydroxyglutarate",0.996839309651271,3.2387984379767e-05,-222014868.989764,438809273.027605,432668676.846419,463539257.461325,188606000.844711,229054001.957312,251312597.564035,"C02630","2-Hydroxyglutarate","Not assigned"
"114","CMP",0.262866467846844,0.964734188784635,-163289.3607583,1512462.12987022,688616.36758922,739841.795866637,1340121.82997311,530089.749653025,580840.631425036,"C00055","CMP","Pyrimidine metabolism"
"115","CMP-2-aminoethylphosphonate",0.0541106295694315,0.985597981184699,-105455.432302414,3037760.01738755,3356818.42961881,2199536.71101358,2892975.72919575,3030445.50720327,2354327.62471367,NA,NA,"Not assigned"
"116","CMP-acetylneuraminic acid",0.173122341538898,0.0853761825140039,-845109.395388488,7195421.94918707,7706813.2898745,7518640.55497178,6640791.22419272,6850264.07092378,6394492.31275139,NA,NA,"Not assigned"
"117","creatine",0.325443801517541,0.00242899596222124,-8887549579.2493,45002211291.7083,42987341958.213,44038301413.1382,31538788781.4165,35965351891.6299,37861065252.2653,"C00300","Creatine","Arginine and proline metabolism"
"118","creatinine",0.17148133686437,0.369391008390386,-202337719.991169,1781550578.48399,2003517513.06677,1631331181.24067,1500665978.86181,1494272459.11863,1814447674.83748,"C00791","Creatinine","Arginine and proline metabolism"
"119","CTP",0.190182321522632,0.969112731365358,-1626088.5619805,16003433.8055037,11973330.2703653,11521746.7586104,17293034.1738667,7808916.94553707,9518294.02913415,"C00063","CTP","Pyrimidine metabolism"
"120","cyclic ADP-ribose",0.147251563934103,0.0220815018554098,-1905567.29400425,18852972.3616011,19829606.3894829,20233690.594809,18325427.9254913,17509507.5262679,17364632.0121211,"C13050","Cyclic ADP-ribose","Purine metabolism"
"121","cystathionine",-4.50332070969786,1.65916941174959e-06,6266302.33810291,236202.154277888,360058.798381101,270864.925844462,7519594.49141016,6618727.88093556,5527710.52046647,"C02291","L-Cystathionine","Cysteine and methionine metabolism"
"122","cysteic acid",1.93113414248484,0.000252713457887022,-334122.922925052,375668.404220764,478865.666982053,504099.634753511,109604.75715401,105453.892929329,141206.287097834,NA,NA,"Not assigned"
"123","cysteinylglycine",-0.878808529421822,0.000647129490739418,9953748.31595922,13010878.0507874,12670765.3739879,9915937.0264546,23374473.5251607,21962228.253519,20122123.6204278,"C01419","Cys-Gly","Glutathione metabolism"
"124","2-ketoglutarate",1.18862680309602,3.17948598466122e-05,-492197889.382958,845124513.61941,886775267.075195,898862620.611564,326693902.531858,367069890.038927,460404940.586509,"C00026","2-Oxoglutarate","Citrate cycle (TCA cycle)"
"125","cytidine",0.202987580387494,0.745421598488614,-509373.61925059,3436837.29726674,3587323.57119922,4618634.89586397,3395807.3033499,2833275.47579097,3885592.12743729,"C00475","Cytidine","Pyrimidine metabolism"
"126","cytosine",0.211115717547355,0.341034698002314,-514435.102784807,3784909.40320246,3467650.78501772,4084344.04482082,3033290.03115216,3006927.4877558,3753381.40577861,"C00380","Cytosine","Pyrimidine metabolism"
"127","dATP",-0.278229417885707,0.932123946084556,65905.5377534681,262908.908587938,228223.970112115,438398.680729928,559109.517122801,233295.590832759,334843.064734825,"C00131","dATP","Purine metabolism"
"128","dCTP",-0.0305033628730157,0.999953812735672,7419.82932605344,395951.222765248,314406.356618317,331342.470645763,621467.25126619,183773.664014375,258718.622726923,"C00458","dCTP","Pyrimidine metabolism"
"129","deoxyadenosine",0.164990541522081,0.961899337042444,-62772.5618993855,592981.837121163,458245.134152103,691396.289404445,481012.147441492,387624.334904744,685669.092633319,"C00559","Deoxyadenosine","Purine metabolism"
