"","Metabolite","Log2FC","p.adj","t.val","786-O_1","786-O_2","786-O_3","HK2_1","HK2_2","HK2_3","KEGG.ID","KEGGCompound","Pathway"
"15","mesaconate",1.0159135386822,5.20280199992618e-05,-16923799.6804967,30691865.9420339,36883238.1017916,32865875.3378696,14966731.4712848,16371229.8397511,18331619.0291691,"C01732","Mesaconate","Citrate cycle (TCA cycle)"
"16","methionine",-1.29550164491139,5.85418071696875e-06,89225528.8743347,64658395.993333,52803777.0959349,66555630.2388996,144459217.69684,147126956.019558,160108216.234774,"C00073","L-Methionine","D-Amino acid metabolism"
"17","methionine sulfoxide",-0.520190593476325,0.0174505909361067,192221.772742913,434495.281608585,486870.95088124,406912.839046874,618163.330389428,624526.573310142,662254.486065867,"C02989","L-Methionine S-oxide","Cysteine and methionine metabolism"
"18","methylhistidine",-0.555907430157585,0.000495901400500598,14690569.5641734,31360041.6412863,30418148.9909699,31972850.4869814,46583952.0696402,43470293.2829456,47768504.459172,"C01152","N(pi)-Methyl-L-histidine","D-Amino acid metabolism"
"19","methylindole",-0.595716785334116,1.57275119972988e-05,918148.848461002,1851766.00086976,1735095.92702145,1801090.68078868,2727001.27036474,2610583.96813164,2804813.91556651,"C08313","Skatole","Not assigned"
"20","methylmalonylcarnitine C3-DC-M/succinylcarnitine C4-DC",1.9918108954206,4.20472314188736e-07,-25751603.9271292,37025136.5525766,34561106.1972055,31615995.6011233,9433121.40927787,8620480.40921706,7893824.75102285,NA,NA,"Fatty acyl carnitines"
"21","mevalonic acid 5-pyrophosphate",0.913805123175823,0.347891405177256,-241665.2503298,784375.828018151,462200.999712533,298542.402415867,344639.669019924,168749.8486774,306733.961459827,NA,NA,"Not assigned"
"22","myo-inositol",1.34607713087174,2.98418169396575e-05,-126537330.293122,190724997.228307,224605122.355703,210431635.247225,91298077.3831913,80734385.7116407,74117300.8570355,"C00137","myo-Inositol","Not assigned"
"23","N-acetylalanine",-0.489680301977542,1.04843452893855e-05,5126603.74733426,12172856.4052133,12956876.5539254,12926513.489601,18463994.1173208,17701720.6807048,17270342.8927169,NA,NA,"D-Amino acid metabolism"
"24","acetylcarnitine",0.455205912351901,0.312105348603232,-1562458952.14899,5475964261.35884,5268013219.11537,6578571678.13517,5952979791.92545,3146657177.49308,3535535332.74386,"C02571","O-Acetylcarnitine","Fatty acyl carnitines"
"25","N-acetylarginine",-2.2226543525286,7.41794111580596e-07,1999062.84064954,598760.96107179,521949.151067454,514508.869243729,2836361.53786834,2382744.41701743,2413301.54844582,NA,NA,"D-Amino acid metabolism"
"26","N-acetylaspartate",-3.0112447455177,5.16253706450698e-14,2422192383.01012,297514646.462342,351527133.090673,379839860.383821,2720159706.18548,2790840268.97968,2784458813.80203,"C01042","N-Acetyl-L-aspartate","Alanine, aspartate and glutamate metabolism"
"27","N-acetylaspartylglutamate",-5.72709680657139,2.62734278777543e-12,68382433.4465072,1353454.3614581,1268795.92468386,1325186.41671132,66652639.2508767,70779240.3545924,71662857.4369057,"C12270","N-Acetylaspartylglutamate","Alanine, aspartate and glutamate metabolism"
"28","N-acetylglutamate",-1.75433453004515,2.87585556368875e-07,87724584.0809087,32886814.1767484,39595061.4832796,38388502.232574,113806550.134577,125548527.768109,134689052.232642,"C00624","N-Acetyl-L-glutamate","D-Amino acid metabolism"
"29","N-acetylglutamine",-2.17033789039666,3.14817738544804e-09,10147917.8688844,2657411.55660607,3126056.99122144,2911546.8735694,12386088.0561012,13488000.9955734,13264679.9763757,NA,NA,"D-Amino acid metabolism"
"30","N-acetylhexosamine phosphate",0.911714931457574,0.00012092406410813,-1623232.13759486,3832143.99618301,3353865.87517593,3209392.26362677,1984740.91876083,1794547.15268423,1746417.65075608,NA,NA,"Not assigned"
"31","N-acetylhistidine",-0.856192286891331,0.138167822152136,6514558.27868037,8780965.6464883,6246032.37848389,9093426.37215279,11771706.4653155,12182687.2361777,19709705.5316729,"C02997","N-Acetyl-L-histidine","D-Amino acid metabolism"
"32","N-acetylmethionine",-1.4397781619582,8.23330700361335e-06,33282892.8019077,17408490.8055668,19151109.1216741,21736275.0736129,48502182.9805688,51448861.1231936,58193509.3028146,"C02712","N-Acetylmethionine","D-Amino acid metabolism"
"33","N-acetylneuramic acid",0.898433453656629,0.00615190765490337,-5859429.67773524,12603354.7692347,13948851.0543797,11370363.9661761,5676295.91343296,7017640.95908023,7650343.88407164,NA,NA,"Not assigned"
"34","N-acetylornithine",-0.56097593407067,0.000191394179291482,4998954.96542897,10699973.9717566,10499927.8065191,10354718.4770384,15967126.9188202,14816746.1171626,15767612.1156182,NA,NA,"D-Amino acid metabolism"
"35","acetylcholine",0.0393667133498632,0.959703362965765,-1080295.77603741,43708213.4806572,38212440.2972154,38477858.6496548,43934688.8905642,37018749.223106,36204186.985745,"C01996","Acetylcholine","Glycerophospholipid metabolism"
"36","N-acetylserine",-0.76394983999148,2.65934025078796e-06,218468471.114559,299621147.806925,321461575.641512,317714024.765576,566767233.890469,524684389.024822,502750538.6424,NA,NA,"D-Amino acid metabolism"
"37","NAD",-0.041242531772299,0.805649046362844,4981714.49047375,170404546.343237,172845629.776207,172105308.354686,178741461.880522,180892041.450975,170667124.614054,"C00003","NAD+","Oxidative phosphorylation"
"38","NADH",-2.17541161293286,0.0674377353553605,1235796.58406017,653892.68893832,242436.804202337,157760.819191745,2634112.47049936,1015665.30951236,1111702.28450119,"C00004","NADH","Oxidative phosphorylation"
"39","NADP",0.599417294649806,0.074233116517755,-618028.701573035,2004233.19046289,1952224.73935278,1497065.05787594,1154429.4636101,1396405.9994263,1048601.4199361,"C00006","NADP+","Glutathione metabolism"
"40","NADPH",0.329246546070382,0.931350148327797,-374549.022941173,2778885.46091632,1077964.16716373,1649930.27357334,2110425.20713231,812811.863909645,1459895.76178793,"C00005","NADPH","Glutathione metabolism"
"41","N-carbamoylaspartate",-0.324714323484934,0.992939266637184,1875048.41325874,6303400.49369955,8461775.3677209,7520004.05944828,6465089.56228208,17610229.918155,3835005.68020783,"C00438","N-Carbamoyl-L-aspartate","Pyrimidine metabolism"
"42","ophthalmate",-1.65805142418151,2.84913542758503e-08,118758760.797767,60967567.4063149,54784286.2124672,49504562.1972297,174201383.183958,182022023.638509,165309291.386845,"C21016","Ophthalmate","Cysteine and methionine metabolism"
"43","ornithine",-1.78983297995262,4.45883879929276e-07,4045873.88681182,1719707.65319859,1413600.54963743,1805204.08392052,5284326.83357157,5982562.7414356,5809244.37218483,"C00077","L-Ornithine","D-Amino acid metabolism"
"44","orotate",-1.46783204770638,0.891088448299584,57710345.9712995,27610821.8386932,38049931.7744736,32371653.9637329,35930522.7412056,191537242.876526,43695679.8730664,"C00295","Orotate","Pyrimidine metabolism"
"45","orotidine",2.53329157502807,3.40852367669564e-05,-1034294027.02713,1159800860.00512,1368120152.44674,1222891908.15806,322083291.856996,192850066.662342,132997481.009185,"C01103","Orotidine 5'-phosphate","Pyrimidine metabolism"
"46","acetyl-CoA",0.234123314600119,0.430637574476278,-475596.349930696,3489643.28934299,3370795.58754944,2664282.0980179,2897219.69068957,2299237.93797441,2901474.29645426,"C00024","Acetyl-CoA","Citrate cycle (TCA cycle)"
"47","pantothenate",0.737088342683997,4.81627197536083e-05,-600623407.765522,1486005346.38196,1459735034.82676,1558360369.3053,785016093.108217,964539107.899869,952675326.20936,"C00864","Pantothenate","Vitamin digestion and absorption"
"48","pentose phosphates",0.0290950284269618,0.987893077663864,-140740.37708476,7396898.09419858,6775105.79503125,6975913.07734786,6155651.54079181,7206778.79047903,7363265.50405257,NA,NA,"Not assigned"
"49","phenylalanine",-0.691973941167374,0.000259278439850408,126321351.569578,208142572.707262,197110352.071171,210455847.792108,325183110.29488,307531110.671704,361958606.312691,"C00079","L-Phenylalanine","D-Amino acid metabolism"
"50","phosphocreatine",-7.86915588646638,1.01756451043045e-08,415872013.088889,1731249.35492137,1859928.29654041,1767905.3792989,407248680.915377,455120500.204215,390605941.177836,"C02305","Phosphocreatine","Arginine and proline metabolism"
"51","phosphoenolpyruvate",0.235728889397305,0.775997478218781,-1282252.97153133,10011606.3894281,7320542.91431109,8186308.50259804,7649427.80340106,7352597.41136251,6669673.67697964,"C00074","Phosphoenolpyruvate","Citrate cycle (TCA cycle)"
"52","phosphoethanolamine",-6.53428505867115,1.49104931734811e-08,118508629.763057,1755663.76616744,1076276.3569055,1045691.28327239,125770540.550769,125218536.250986,108414443.893762,"C00346","Ethanolamine phosphate","Glycerophospholipid metabolism"
"53","phosphorylcholine",-0.998363101051761,5.5283236993775e-06,9306860679.04716,10166462634.3756,8726061844.05752,9091523614.66901,19811294373.4034,19102558921.7655,16990776835.0748,"C00588","Choline phosphate","Glycerophospholipid metabolism"
"54","proline",-0.87386546372027,1.11065214469797e-07,9114553858.2177,10271191298.1262,10957558934.7809,11613869839.5836,19590271556.629,20423681020.4539,20172329070.061,"C00148","L-Proline","D-Amino acid metabolism"
"55","propionylcarnitine",0.208595598994651,0.193410411040748,-66538258.0311927,478600823.277058,492553066.587614,511639403.404442,495930119.145743,410085728.426593,377162671.6032,"C03017","O-Propanoylcarnitine","Fatty acyl carnitines"
"56","pyroglutamic acid",-0.0274431701701137,0.996925228427324,6035411.21579421,322100643.31057,307089439.792362,313635208.777194,274452705.199173,290570148.63189,395908671.696445,NA,NA,"Not assigned"
"57","adenosine",0.275643914332548,0.87671863342394,-2660635.74519112,24312120.7330823,12147685.0707862,9434729.57726241,13899232.0677224,11251114.3585566,12762281.7192786,"C00212","Adenosine","Purine metabolism"
"58","pyruvate",0.280292616664675,0.592868648355258,-3728628.59945375,21591030.5326248,16540176.4292445,25217634.615608,16555207.8575673,14257313.3606298,21350434.5609189,"C00022","Pyruvate","Glycolysis / Gluconeogenesis"
"59","S-(2-succinyl)cysteine",-2.62907401706101,0.000280452983236645,479329.73099642,125029.934935976,90674.4076611113,61563.1696519985,690296.156782188,615072.477474958,409888.070981199,NA,NA,"Not assigned"
"60","S-adenosylhomocysteine",-0.351657570948453,0.0144058998327714,2096843.06544604,7452015.96384838,7961089.57983522,7376531.33765544,10805071.476231,9682780.66919782,8592313.9322483,"C00021","S-Adenosyl-L-homocysteine","Cysteine and methionine metabolism"
"61","S-adenosylmethionine",0.828478013301474,0.000382346014294876,-35064010.0847851,78920178.0329157,82555850.8576868,79305771.6682046,39429647.1097745,48679758.8208565,47480364.3738208,"C00019","S-Adenosyl-L-methionine","Cysteine and methionine metabolism"
"62","sedoheptulose 7-phosphate",-1.04845982092799,0.00381145307161856,349008.752990291,288426.477652686,372703.049095511,318937.94436171,520725.673399783,709519.940139006,796848.116541993,"C05382","Sedoheptulose 7-phosphate","Pentose phosphate pathway"
"63","serine",-2.9401531735308,1.87998113632126e-07,42471128.8625169,6651521.16916394,5883922.41955785,6552910.7628037,52900551.8561922,50457508.5045354,43143680.5783486,"C00065","L-Serine","D-Amino acid metabolism"
"64","S-lactoylglutathione",0.128773680732343,0.978050175945453,-86553.8376104559,1003167.92579208,1371079.36018609,666590.27735905,1217360.98932537,953787.692991972,610027.368188518,"C03451","(R)-S-Lactoylglutathione","Glutathione metabolism"
"65","stearoylcarnitine C18",0.993582141846977,0.169898800624921,-944111.636813049,1574530.65896526,2575811.3132119,1539696.48480422,1852540.80885951,555997.141010097,449165.596672628,NA,NA,"Not assigned"
"66","succinate",-0.580831382054826,0.0368569241553043,15616718.7776697,28249110.8746924,33030569.3392854,33231360.6626802,39585601.6458729,42720948.0661364,59054647.4976577,"C00042","Succinate","Citrate cycle (TCA cycle)"
"67","succinylglutathione",-1.79841338973872,5.69361432499749e-05,2497654.61896637,1258500.13328663,1075261.93753127,689575.595685677,3957178.7306998,3577674.62742712,2981448.16527578,"C03174","S-Succinylglutathione","Glutathione metabolism"
"68","ADP",-0.137250308937451,0.850544870037443,4599654.68259212,55604104.7909995,41218225.3049003,41434214.2323016,56675531.6079089,45343841.58384,50036135.1842289,"C00008","ADP","Purine metabolism"
"69","taurine",1.37737176045565,3.5477027541253e-06,-2892543445.91715,5056092463.50695,4705808347.04973,4346217942.07256,2086350903.34222,1695562816.5486,1648574694.98697,"C00245","Taurine","Not assigned"
"70","tetradecanoylcarnitine C14",-0.998212182959024,0.00980920651564599,979492.983079016,994158.793444605,1098352.38706666,853264.176349987,2532304.81527307,1828375.62224926,1523573.86857596,NA,NA,"Not assigned"
"71","tetradecenoylcarnitine C14:1",0.0650870717622144,0.997207041167828,-55860.4789794018,1281054.42244659,1140016.175799,1377895.9182475,819664.584797115,1419394.21648241,1392326.27827537,NA,NA,"Not assigned"
"72","thiamine",-0.445750367207213,0.00499931185397262,23078221.5183866,53254867.529809,64960379.2912623,73028930.1862341,86686946.2507252,82404013.6664998,91387881.6452405,"C00378","Thiamine","Vitamin digestion and absorption"
"73","threonine",-2.13755305950023,3.48460788923699e-06,498471558.191851,146924048.985958,148091572.546181,144792681.038655,735891036.900604,636935564.71293,562396375.532813,"C00188","L-Threonine","D-Amino acid metabolism"
"74","trans-4-hydroxyproline",-2.41772358725961,2.93747323520943e-06,103241455.711283,23877638.1109615,24015894.766172,23417758.1086977,144664894.59793,126476865.648598,109893897.873152,"C01157","Hydroxyproline","D-Amino acid metabolism"
"75","trimethyllysine",0.180819633731572,0.386513924755746,-784780.986913703,7316490.63747674,6067979.79526996,6601743.21393217,6244751.05360065,5123916.1415452,6263203.49079191,"C03793","N6,N6,N6-Trimethyl-L-lysine","D-Amino acid metabolism"
"76","tryptophan",-0.606088863019263,3.97377879994831e-05,114999447.923959,220873360.045397,217874443.912369,222007635.797253,343316984.78331,316724176.929259,345712621.814328,"C00078","L-Tryptophan","D-Amino acid metabolism"
"77","tyrosine",-0.444586068726331,0.0120484764544306,36060218.4177066,86455024.4107602,104502138.342737,108775683.880326,141425182.417273,125920963.953586,140567355.516084,"C00082","L-Tyrosine","D-Amino acid metabolism"
"78","UDP",0.308905684657986,0.622649457432699,-6806597.36695242,42503988.4186541,32073999.9494155,31363384.4316749,38643464.0920847,23681643.7964483,23196472.8103541,"C00015","UDP","Pyrimidine metabolism"
"79","ADP-ribose",-0.00499079767406666,0.999918849271755,5758.81846177531,1564376.25112556,1784098.70107758,1637014.61144124,1684075.07123302,1677968.53188032,1640722.41591636,"C00301","ADP-ribose","Purine metabolism"
"80","UDP-GlcNac",-0.293961117419908,0.158925331182416,28067083.2131302,140544612.907989,112481421.853004,119542870.575758,177141259.322555,140586147.422592,139042748.230994,NA,NA,"Not assigned"
"81","UDP-hexose",0.0829080906372894,0.909766370982072,-4855670.36258079,88533953.5107657,86181487.987429,86120376.1707301,98856306.3176608,76576200.1300175,70836300.1335041,NA,NA,"Not assigned"
"82","UMP",0.760789552124996,0.0171637201976763,-2220068.4804165,5508582.77582928,5388517.43276571,5354170.64817096,4140222.28741711,2727016.63482197,2723826.49327738,"C00105","UMP","Pyrimidine metabolism"
"83","uric acid",0.161481753873713,0.596345672229453,-30655979.2184521,268036233.395874,274102275.06368,326354383.440488,234932144.748246,231943378.421321,309649431.075118,NA,NA,"Purine metabolism"
"84","uridine",0.434064242605271,0.583542872825765,-293264.262540702,1521748.42409343,1187847.92604645,676484.078067554,833588.357421046,657229.084734766,1015470.19842951,"C00299","Uridine","Pyrimidine metabolism"
"85","UTP",0.389078504136334,0.752695130156698,-21482701.9679116,127218151.558109,72068456.5022325,73356345.3443993,107187577.300155,48901805.8490788,52105464.3517726,"C00075","UTP","Pyrimidine metabolism"
"86","valine",-0.362961050707079,0.0231419704568308,72753790.3998508,250981121.057179,245759480.405194,266243610.101162,314287210.55812,305982255.583427,360976116.621541,"C00183","L-Valine","Valine, leucine and isoleucine biosynthesis"
"87","Val-Lys",-0.611507799413625,0.000354724688661046,13886643.9076651,30117441.6122374,25680455.5025417,23125136.1486368,42933108.9255354,38481006.2975474,39168849.7633284,NA,NA,"D-Amino acid metabolism"
"88","xanthine",-0.502379028188399,0.312064601233135,4196939.59721774,11670231.4156147,7399680.76291226,11156694.249497,12162596.1153746,11860982.7082039,18793846.3960986,"C00385","Xanthine","Purine metabolism"
"89","alanine",-1.84039248925103,1.42868352847048e-05,623634152.501801,234647867.910353,251901310.093122,238304961.37488,1001104894.922,858229963.481934,736421738.479828,"C00041","L-Alanine","D-Amino acid metabolism"
"90","AMP",0.122378658738954,0.487698698125098,-1231073.2466212,15675271.294258,14927055.7725913,14808940.2442231,13931949.4394768,13266983.4053384,14519114.7263935,"C00020","AMP","Purine metabolism"
"91","2/3-phosphoglycerate",0.0566823360448635,0.974161095751651,-1243497.29782319,36968914.4880232,30523495.8587958,29334596.7205262,30962487.2663214,32597393.2523991,29536634.6551552,"C00197","3-Phospho-D-glycerate","Glycolysis / Gluconeogenesis"
"92","arginine",0.167489471660573,0.73029110435997,-12471623.6104536,109808871.974445,107518630.316251,124020282.350637,89198573.6622695,87461017.3488352,127273322.798868,"C00062","L-Arginine","D-Amino acid metabolism"
"93","argininosuccinate",-2.48685333674215,4.35910326512801e-06,456649.54685214,112070.871042449,95437.7885208713,89948.0266401885,617900.515837999,553557.819450368,495946.991471562,"C03406","N-(L-Arginino)succinate","Alanine, aspartate and glutamate metabolism"
"94","asparagine",-2.11802335550469,1.57547319634688e-09,76298873.6775337,23726693.0148435,22299415.0296922,22485552.9714109,100872226.98223,101649820.960073,94886234.1062449,"C00152","L-Asparagine","D-Amino acid metabolism"
"95","aspartate",0.234236008535006,0.0679153966912599,-189307227.804905,1309398990.75,1221556676.85034,1258601415.93476,965178967.013446,1174833537.11779,1081622895.98915,"C00049","L-Aspartate","D-Amino acid metabolism"
"96","ATP",-0.179354095929592,0.930616233093266,25783712.3323293,277167679.133595,148921540.160945,158236262.514286,280636943.305047,173083679.202713,207955996.298054,"C00002","ATP","Purine metabolism"
"97","beta-alanine",-1.25372253980448,9.30303277824063e-06,62313150.6937256,48120422.466516,46547039.8516021,40349852.6037687,117965018.197714,108680181.769149,95311567.0362009,"C00099","beta-Alanine","Pyrimidine metabolism"
"98","beta-citrylglutamic acid",-0.521276757930519,0.000499288967443001,68550030.9275386,177063388.489851,152661725.44834,142789497.239041,223366581.117283,226592247.449335,228205875.39323,NA,NA,"Not assigned"
"99","betaine",-0.66440105907179,0.00013475071939717,2533658974.56506,4847442442.22809,3778034261.00401,4369642060.52989,7201894838.9969,6612819871.70635,6781380976.75391,"C00719","Betaine","Not assigned"
"100","butyrylcarnitine C4",-0.280722116554755,0.055672161265106,148783640.042251,653436037.105623,709507317.891553,715013539.459574,856763427.975933,920557712.918588,746986673.688982,NA,NA,"Fatty acyl carnitines"
"101","cAMP",0.0862506478062721,0.728257829248037,-26661.5822993814,467311.307645597,449167.135490041,461799.129501926,439717.485674041,425017.962859486,433557.377205892,NA,NA,"Purine metabolism"
"102","2-aminoadipic acid",0.417147325773676,0.00110323733663253,-2269162.36955164,8977304.79583852,9099066.39311791,9034720.74344406,5807610.72849711,7329703.7940618,7166290.30118664,NA,NA,"Not assigned"
"103","carnitinamide",0.359867446125263,0.000905169171659836,-749934.935770665,3345477.46311529,3327484.35625163,3518041.06598737,2744307.25454808,2473639.80845378,2723251.01504043,"C02290","L-Carnitinamide","Not assigned"
"104","carnitine",0.926093374534729,7.53774128136042e-05,-10841431236.8215,24145722498.5204,22753518159.9132,21758189184.0992,14178525133.23,12003789647.1144,9950821351.72385,"C00487","Carnitine","Fatty acyl carnitines"
"105","carnosine",-0.258480013978224,0.798930440273481,1421230.78410397,7009223.52073119,6278240.74604179,8441928.94477241,7130908.97874035,7174191.86779049,11687984.7173265,"C00386","Carnosine","Not assigned"
"106","CDP",0.0865474301277852,0.996488585233391,-291600.263459384,7397544.3754755,3808617.57279325,3818028.99476733,6918793.36955014,3346272.17730453,3884324.60580326,"C00112","CDP","Pyrimidine metabolism"
"107","CDP-ethanolamine",-3.66578971490677,9.61105666352768e-05,6993196.65621423,747374.741720732,466643.432666075,580414.130048348,9624941.95629672,7014142.95045709,6134937.36632405,"C00570","CDP-ethanolamine","Glycerophospholipid metabolism"
"108","choline",-1.07029020262842,0.00178517645872267,322017582.695979,386630797.666617,231636678.888549,260077503.492207,703340966.437374,566432117.6177,574624644.080238,"C00114","Choline","Glycerophospholipid metabolism"
"109","aconitate",0.982845152014393,0.00579124438891399,-51745344.0403135,100292487.32357,93711608.6934536,120226738.242195,66776846.8106563,42942172.9516269,49275782.3759948,"C00417","cis-Aconitate","Citrate cycle (TCA cycle)"
"110","citicoline",-2.84741817328112,9.46440159577122e-09,17885445.2040823,3216776.89926349,2294681.64827076,3146821.77004084,19944487.6571039,20544233.8867649,21825894.3859532,"C00307","CDP-choline","Glycerophospholipid metabolism"
"111","citrate",0.513732569060798,0.00682652928684457,-608471508.55359,1996151161.37864,2048418248.90024,2048431798.2073,1600284007.34547,1235854639.74381,1431448035.73612,"C00158","Citrate","Citrate cycle (TCA cycle)"
"112","citrulline",-0.69388230652709,2.23511928154618e-06,147610118.850098,236497004.939978,237349156.182736,243136231.9645,385356693.55217,381450224.688317,393005831.39702,"C00327","L-Citrulline","Arginine and proline metabolism"
"113","2-hydroxyglutarate",0.916184155684463,7.5990368713641e-05,-197819071.564142,390323669.726815,463781489.979262,408324655.352407,188606000.844711,229054001.957312,251312597.564035,"C02630","2-Hydroxyglutarate","Not assigned"
"114","CMP",0.453627464971731,0.825274967863429,-301871.022617328,1662030.45342398,949619.459703252,745015.36577593,1340121.82997311,530089.749653025,580840.631425036,"C00055","CMP","Pyrimidine metabolism"
"115","CMP-2-aminoethylphosphonate",-2.49816836961699,0.000383412748167111,2270858.92876215,618808.810315911,310273.169935273,536090.094575052,2892975.72919575,3030445.50720327,2354327.62471367,NA,NA,"Not assigned"
"116","CMP-acetylneuraminic acid",0.13961756905752,0.189516603153908,-673543.78441646,8005986.48956143,7054378.09450416,6845814.37705167,6640791.22419272,6850264.07092378,6394492.31275139,NA,NA,"Not assigned"
"117","creatine",0.470646911858591,0.000135858808716915,-13547531460.5346,46749923431.7969,50423010375.7301,48834866499.3885,31538788781.4165,35965351891.6299,37861065252.2653,"C00300","Creatine","Arginine and proline metabolism"
"118","creatinine",0.0229575986680196,0.995935152228409,-25714634.5133045,1643189524.22063,1567129945.9782,1676210546.15901,1500665978.86181,1494272459.11863,1814447674.83748,"C00791","Creatinine","Arginine and proline metabolism"
"119","CTP",0.0344645190922938,0.999828243503661,-279000.076165672,18678756.967374,7904371.31529219,8874117.09436866,17293034.1738667,7808916.94553707,9518294.02913415,"C00063","CTP","Pyrimidine metabolism"
"120","cyclic ADP-ribose",-0.0951870317928226,0.188849369912473,1132248.58538247,16693671.4927095,16738495.1595857,16370655.0554377,18325427.9254913,17509507.5262679,17364632.0121211,"C13050","Cyclic ADP-ribose","Purine metabolism"
"121","cystathionine",-3.11353563207952,3.00010741793866e-06,5797939.78437533,744332.637628938,759912.453508534,767968.44854872,7519594.49141016,6618727.88093556,5527710.52046647,"C02291","L-Cystathionine","Cysteine and methionine metabolism"
"122","cysteic acid",1.53499229570595,0.00352179273472009,-225381.373622178,322863.000042733,333681.321690559,375864.736314416,109604.75715401,105453.892929329,141206.287097834,NA,NA,"Not assigned"
"123","cysteinylglycine",-0.463834953902,0.0149674236235191,5999162.5960719,17348134.0399802,17092247.4932865,13020956.0776252,23374473.5251607,21962228.253519,20122123.6204278,"C01419","Cys-Gly","Glutathione metabolism"
"124","2-ketoglutarate",1.35899504609479,6.98381978281315e-06,-602116131.040202,888809328.235961,1058406622.88837,1013301175.15357,326693902.531858,367069890.038927,460404940.586509,"C00026","2-Oxoglutarate","Citrate cycle (TCA cycle)"
"125","cytidine",-0.386813015188146,0.439116520195198,792932.323121396,3296726.78353794,2583271.30148582,1855879.8521902,3395807.3033499,2833275.47579097,3885592.12743729,"C00475","Cytidine","Pyrimidine metabolism"
"126","cytosine",0.0240572160081606,0.997291336560906,-54893.1169944964,3621805.57553027,3466700.96499792,2869771.73514186,3033290.03115216,3006927.4877558,3753381.40577861,"C00380","Cytosine","Pyrimidine metabolism"
"127","dATP",-0.765702701675081,0.540008667402361,154746.067635657,405209.457199052,140802.314800291,116998.197784073,559109.517122801,233295.590832759,334843.064734825,"C00131","dATP","Purine metabolism"
"128","dCTP",-0.568486486392479,0.86847993433664,115502.084751844,487168.51542577,95526.0207662839,134758.747559901,621467.25126619,183773.664014375,258718.622726923,"C00458","dCTP","Pyrimidine metabolism"
"129","deoxyadenosine",0.0448545544905486,0.999249305520372,-16361.2293839972,792513.466243888,510578.085126286,300297.711761373,481012.147441492,387624.334904744,685669.092633319,"C00559","Deoxyadenosine","Purine metabolism"
