"","Metabolite","Log2FC","p.adj","t.val","786-M1A_1","786-M1A_2","786-M1A_3","HK2_1","HK2_2","HK2_3","KEGG.ID","KEGGCompound","Pathway"
"46","acetyl-CoA",-0.00896851370286793,0.999930493508201,16728.2152224858,2927231.140313,2188984.8377375,2931531.30140027,2897219.69068957,2299237.93797441,2901474.29645426,"C00024","Acetyl-CoA","Citrate cycle (TCA cycle)"
"47","pantothenate",0.581519846044757,0.000403068976480903,-447151477.35138,1290977947.60427,1393832177.98448,1358874833.68283,785016093.108217,964539107.899869,952675326.20936,"C00864","Pantothenate","Vitamin digestion and absorption"
"48","pentose phosphates",0.14549570360439,0.399874777069179,-733072.302080627,7132607.4680959,8119078.62874019,7673226.6447292,6155651.54079181,7206778.79047903,7363265.50405257,NA,NA,"Not assigned"
"49","phenylalanine",-0.452668449043185,0.00268529137575069,89291749.0332938,246592144.090609,239221469.900427,240983966.188357,325183110.29488,307531110.671704,361958606.312691,"C00079","L-Phenylalanine","D-Amino acid metabolism"
"50","phosphocreatine",-6.97794382694309,1.03677396667834e-08,414345150.137906,4766929.39251033,2808321.73416727,2364420.75703172,407248680.915377,455120500.204215,390605941.177836,"C02305","Phosphocreatine","Arginine and proline metabolism"
"51","phosphoenolpyruvate",1.07383903854343,0.00151448749882699,-7982607.30438689,17558114.2522226,14951580.9842399,13109825.5684414,7649427.80340106,7352597.41136251,6669673.67697964,"C00074","Phosphoenolpyruvate","Citrate cycle (TCA cycle)"
"52","phosphoethanolamine",-6.1524776446178,1.51457167918423e-08,118117023.626884,1448341.63413059,1851856.98255178,1752251.19818284,125770540.550769,125218536.250986,108414443.893762,"C00346","Ethanolamine phosphate","Glycerophospholipid metabolism"
"53","phosphorylcholine",-1.62742204569862,5.14817835362003e-07,12603399760.6918,5948249163.64824,6313218875.31113,5832962809.20888,19811294373.4034,19102558921.7655,16990776835.0748,"C00588","Choline phosphate","Glycerophospholipid metabolism"
"54","proline",-0.711668608760783,4.54702764662862e-07,7811908521.12893,11857620983.7241,12417616313.588,12475318786.4449,19590271556.629,20423681020.4539,20172329070.061,"C00148","L-Proline","D-Amino acid metabolism"
"55","propionylcarnitine",-0.0756836698059876,0.880702650669064,21860079.6861184,386436360.468274,386236063.708936,444925855.939971,495930119.145743,410085728.426593,377162671.6032,"C03017","O-Propanoylcarnitine","Fatty acyl carnitines"
"56","pyroglutamic acid",0.139065872543177,0.713403200616795,-32412821.4746968,380150652.666681,331485719.426842,346533617.858075,274452705.199173,290570148.63189,395908671.696445,NA,NA,"Not assigned"
"57","adenosine",-0.206429864681231,0.96336485469541,1684846.17100397,11616480.7376229,10724746.4340514,10516862.4608714,13899232.0677224,11251114.3585566,12762281.7192786,"C00212","Adenosine","Purine metabolism"
"58","pyruvate",0.495609413161566,0.140652899213905,-7127480.14064886,22863141.1133422,23727360.1199707,26954894.9677497,16555207.8575673,14257313.3606298,21350434.5609189,"C00022","Pyruvate","Glycolysis / Gluconeogenesis"
"59","S-(2-succinyl)cysteine",-2.38583808170381,0.000361337822931351,462356.839355938,90848.4866797393,121995.167834222,115342.53265657,690296.156782188,615072.477474958,409888.070981199,NA,NA,"Not assigned"
"60","S-adenosylhomocysteine",-0.409725252636952,0.00673967790461572,2396528.30771831,6787656.76592196,7474517.11692305,7628407.27167719,10805071.476231,9682780.66919782,8592313.9322483,"C00021","S-Adenosyl-L-homocysteine","Cysteine and methionine metabolism"
"61","S-adenosylmethionine",1.03983517172518,4.12779631152604e-05,-47727271.1193603,89641728.1726154,92192452.1233438,96937403.3665733,39429647.1097745,48679758.8208565,47480364.3738208,"C00019","S-Adenosyl-L-methionine","Cysteine and methionine metabolism"
"62","sedoheptulose 7-phosphate",-0.083758313546774,0.940177959123467,38111.8534563222,579513.733598322,693167.796098123,640076.64001537,520725.673399783,709519.940139006,796848.116541993,"C05382","Sedoheptulose 7-phosphate","Pentose phosphate pathway"
"63","serine",-2.55394483552171,2.89976169187689e-07,40518046.7743216,9222620.99170206,8097119.47845229,7627860.14595694,52900551.8561922,50457508.5045354,43143680.5783486,"C00065","L-Serine","D-Amino acid metabolism"
"64","S-lactoylglutathione",0.0374184793010548,0.999474236214709,-24359.2008369076,881358.091151403,1143440.70761364,829454.854251537,1217360.98932537,953787.692991972,610027.368188518,"C03451","(R)-S-Lactoylglutathione","Glutathione metabolism"
"65","stearoylcarnitine C18",0.300695468353998,0.94536707121429,-220746.21032382,1190189.97234463,1123646.58261949,1206105.62254957,1852540.80885951,555997.141010097,449165.596672628,NA,NA,"Not assigned"
"66","succinate",-0.618343030488489,0.028825902648281,16425291.4698769,31519857.3901664,28541722.7859754,32023742.6238947,39585601.6458729,42720948.0661364,59054647.4976577,"C00042","Succinate","Citrate cycle (TCA cycle)"
"67","succinylglutathione",-1.75231826953059,6.27416253844437e-05,2464935.44788274,1206386.07479939,1075858.08955606,839251.015399007,3957178.7306998,3577674.62742712,2981448.16527578,"C03174","S-Succinylglutathione","Glutathione metabolism"
"68","ADP",-0.175607423485284,0.745175357226277,5808791.10567445,50015343.5391564,35363565.8941891,49250225.625609,56675531.6079089,45343841.58384,50036135.1842289,"C00008","ADP","Purine metabolism"
"69","taurine",1.09631392566425,4.54365657144296e-05,-2060104962.88973,4069226944.16184,3775231993.8508,3766344365.53435,2086350903.34222,1695562816.5486,1648574694.98697,"C00245","Taurine","Not assigned"
"70","tetradecanoylcarnitine C14",-2.31798000329569,0.000490979603540276,1568059.48466243,340897.192649103,450041.912755715,389136.746706199,2532304.81527307,1828375.62224926,1523573.86857596,NA,NA,"Not assigned"
"71","tetradecenoylcarnitine C14:1",-1.03110588114779,0.218662643546921,618140.528287212,657763.156250308,519178.863163582,600021.475279361,819664.584797115,1419394.21648241,1392326.27827537,NA,NA,"Not assigned"
"72","thiamine",-0.485096439382593,0.00321438454164158,24793304.3384252,63051830.9829342,61407427.3245625,61639670.2396929,86686946.2507252,82404013.6664998,91387881.6452405,"C00378","Thiamine","Vitamin digestion and absorption"
"73","threonine",-1.91791179912793,5.06526494981063e-06,474363612.606495,173172407.464757,171303377.367531,167656354.494576,735891036.900604,636935564.71293,562396375.532813,"C00188","L-Threonine","D-Amino acid metabolism"
"74","trans-4-hydroxyproline",-2.24568890175488,3.67357472563778e-06,100231018.299864,28115496.7450809,27528450.8852133,24698655.589794,144664894.59793,126476865.648598,109893897.873152,"C01157","Hydroxyproline","D-Amino acid metabolism"
"75","trimethyllysine",-0.0705847340402734,0.927600009215111,280629.055618005,5729238.19051922,5155575.46317089,5905169.86539364,6244751.05360065,5123916.1415452,6263203.49079191,"C03793","N6,N6,N6-Trimethyl-L-lysine","D-Amino acid metabolism"
"76","tryptophan",-0.3949820038141,0.000525423545280401,80293058.2227431,257054466.60998,254136064.415761,253684077.832927,343316984.78331,316724176.929259,345712621.814328,"C00078","L-Tryptophan","D-Amino acid metabolism"
"77","tyrosine",-0.220277814046863,0.18549829334008,19253500.7245912,119209560.812704,122894089.459823,108049349.440643,141425182.417273,125920963.953586,140567355.516084,"C00082","L-Tyrosine","D-Amino acid metabolism"
"78","UDP",0.223438842027959,0.820967237252002,-4775330.77373368,36431546.1185042,27579033.8138018,35836993.0877823,38643464.0920847,23681643.7964483,23196472.8103541,"C00015","UDP","Pyrimidine metabolism"
"79","ADP-ribose",0.171096595972636,0.214285306896918,-209972.709207617,1659024.85571487,2021812.35369742,1951846.93724027,1684075.07123302,1677968.53188032,1640722.41591636,"C00301","ADP-ribose","Purine metabolism"
"80","UDP-GlcNac",-0.335146820959066,0.105178468133792,31562290.8646292,119308269.881379,116839472.133854,125935540.36702,177141259.322555,140586147.422592,139042748.230994,NA,NA,"Not assigned"
"81","UDP-hexose",0.0492930915708473,0.978999105300933,-2853252.08705777,83260293.1819872,85311861.346428,86256408.3139405,98856306.3176608,76576200.1300175,70836300.1335041,NA,NA,"Not assigned"
"82","UMP",0.73157540546435,0.0223349956155674,-2111477.19023728,5610420.68475348,5088773.03277426,5226303.26870056,4140222.28741711,2727016.63482197,2723826.49327738,"C00105","UMP","Pyrimidine metabolism"
"83","uric acid",0.339082456287254,0.0795199915678104,-68580571.2361717,337331930.962956,304410159.671127,340524577.319116,234932144.748246,231943378.421321,309649431.075118,NA,NA,"Purine metabolism"
"84","uridine",-0.0617133674048446,0.998532216978113,34983.1318674679,1083160.9825411,609523.457338685,708653.805103128,833588.357421046,657229.084734766,1015470.19842951,"C00299","Uridine","Pyrimidine metabolism"
"85","UTP",0.217915891536161,0.949884932247603,-11315545.0082506,90801535.5637152,57054471.507392,94285475.454651,107187577.300155,48901805.8490788,52105464.3517726,"C00075","UTP","Pyrimidine metabolism"
"86","valine",-0.118224696799312,0.571720785361167,25734578.0046533,315594161.048696,292636631.881707,295811055.818725,314287210.55812,305982255.583427,360976116.621541,"C00183","L-Valine","Valine, leucine and isoleucine biosynthesis"
"87","Val-Lys",-0.780101416301694,9.12786275343302e-05,16788128.8790088,23662762.4013303,21770276.4373147,24785539.5107398,42933108.9255354,38481006.2975474,39168849.7633284,NA,NA,"D-Amino acid metabolism"
"88","xanthine",-0.0718240478633102,0.989033333542408,693152.644522427,15409238.1635035,11644327.2884732,13684401.8341332,12162596.1153746,11860982.7082039,18793846.3960986,"C00385","Xanthine","Purine metabolism"
"89","alanine",-1.71867794208166,1.8548563930243e-05,602365206.313873,262401520.027579,267631942.582482,258627515.332077,1001104894.922,858229963.481934,736421738.479828,"C00041","L-Alanine","D-Amino acid metabolism"
"90","AMP",0.155948417312317,0.294332649136354,-1587424.75057885,16572098.1523513,14366643.7316307,15541579.9389633,13931949.4394768,13266983.4053384,14519114.7263935,"C00020","AMP","Purine metabolism"
"91","2/3-phosphoglycerate",0.699344845534848,0.000874247479640156,-19356852.1873543,56926512.7022355,48391908.1323836,45848650.9013195,30962487.2663214,32597393.2523991,29536634.6551552,"C00197","3-Phospho-D-glycerate","Glycolysis / Gluconeogenesis"
"92","arginine",0.389145076391052,0.112835059483371,-31367610.1998282,135292874.617494,127049720.884734,135693148.90723,89198573.6622695,87461017.3488352,127273322.798868,"C00062","L-Arginine","D-Amino acid metabolism"
"93","argininosuccinate",-0.239569126501678,0.134940584641304,85038.6509725373,455116.464187855,444475.178840849,512697.730813613,617900.515837999,553557.819450368,495946.991471562,"C03406","N-(L-Arginino)succinate","Alanine, aspartate and glutamate metabolism"
"94","asparagine",-1.75531339138079,3.24902915682657e-09,69771106.4686907,30125686.804278,29602989.8756626,28366285.9625351,100872226.98223,101649820.960073,94886234.1062449,"C00152","L-Asparagine","D-Amino acid metabolism"
"95","aspartate",0.520609931618843,0.000363053254547663,-466666358.507448,1588492474.82522,1592745652.56841,1440396348.2491,965178967.013446,1174833537.11779,1081622895.98915,"C00049","L-Aspartate","D-Amino acid metabolism"
"96","ATP",-0.328118664862298,0.734333701299137,44867282.7802085,200149312.316999,119562260.135399,207363198.01279,280636943.305047,173083679.202713,207955996.298054,"C00002","ATP","Purine metabolism"
"97","beta-alanine",-1.24766474979032,9.51920168013043e-06,62123776.8493869,46601725.3257561,47021572.2811515,41962138.8479953,117965018.197714,108680181.769149,95311567.0362009,"C00099","beta-Alanine","Pyrimidine metabolism"
"98","beta-citrylglutamic acid",-0.270084765842963,0.0176284460687961,38594167.8455753,199908476.981945,186354315.916923,176119407.524255,223366581.117283,226592247.449335,228205875.39323,NA,NA,"Not assigned"
"99","betaine",-0.960129224283148,1.76481878889634e-05,3336492870.94652,3628307789.41289,3168775963.70558,3789533321.49912,7201894838.9969,6612819871.70635,6781380976.75391,"C00719","Betaine","Not assigned"
"100","butyrylcarnitine C4",-0.343202773978213,0.0235915983299632,178140932.196557,603815239.643221,664398965.885896,721670812.464715,856763427.975933,920557712.918588,746986673.688982,NA,NA,"Fatty acyl carnitines"
"101","cAMP",-0.366046161175025,0.0215186598573552,96979.8655486672,277782.426539954,343081.691535606,386489.111017858,439717.485674041,425017.962859486,433557.377205892,NA,NA,"Purine metabolism"
"102","2-aminoadipic acid",0.152981575201842,0.235675105603917,-757087.298196556,7523261.86289655,7802414.24208464,7249190.61335402,5807610.72849711,7329703.7940618,7166290.30118664,NA,NA,"Not assigned"
"103","carnitinamide",0.423390844120228,0.00025065003542879,-902850.312258657,3343936.62028535,3529017.57180896,3776794.82272395,2744307.25454808,2473639.80845378,2723251.01504043,"C02290","L-Carnitinamide","Not assigned"
"104","carnitine",0.497744753453931,0.0128646737876178,-4962339018.64517,17260806976.6531,17543985262.5999,16215360948.7507,14178525133.23,12003789647.1144,9950821351.72385,"C00487","Carnitine","Fatty acyl carnitines"
"105","carnosine",0.237995609972479,0.754793865257877,-1553979.32256519,11796806.6548729,8656465.13274278,10201751.7439372,7130908.97874035,7174191.86779049,11687984.7173265,"C00386","Carnosine","Not assigned"
"106","CDP",0.0355591326990138,0.999764737701485,-117694.525960722,5745281.80327992,3244652.38842376,5512539.5388364,6918793.36955014,3346272.17730453,3884324.60580326,"C00112","CDP","Pyrimidine metabolism"
"107","CDP-ethanolamine",-2.5025084438229,0.000215482977581449,6251699.91317063,1087262.30191863,1563068.8844147,1368591.34723265,9624941.95629672,7014142.95045709,6134937.36632405,"C00570","CDP-ethanolamine","Glycerophospholipid metabolism"
"108","choline",-0.17604399340099,0.60148708756907,70623972.8450775,595424407.731131,493645791.580194,543455610.288753,703340966.437374,566432117.6177,574624644.080238,"C00114","Choline","Glycerophospholipid metabolism"
"109","aconitate",0.903226326581889,0.0112887578254823,-46121412.1086823,87917302.6436938,94030531.7040069,115411204.116624,66776846.8106563,42942172.9516269,49275782.3759948,"C00417","cis-Aconitate","Citrate cycle (TCA cycle)"
"110","citicoline",-1.84504477613147,2.24955581940023e-08,14989848.0468821,5449759.78084703,5729260.46302406,6166051.54530438,19944487.6571039,20544233.8867649,21825894.3859532,"C00307","CDP-choline","Glycerophospholipid metabolism"
"111","citrate",0.588218678331604,0.00251173118906367,-716085879.716226,2012798925.25213,1982166107.21582,2420879289.50613,1600284007.34547,1235854639.74381,1431448035.73612,"C00158","Citrate","Citrate cycle (TCA cycle)"
"112","citrulline",-0.50304130832281,1.59256650039685e-05,113809441.449055,275599809.824497,278324050.370777,264460565.095068,385356693.55217,381450224.688317,393005831.39702,"C00327","L-Citrulline","Arginine and proline metabolism"
"113","2-hydroxyglutarate",0.931522626374102,6.44342673837839e-05,-202316913.872204,424773944.61408,433248034.292381,417901363.076209,188606000.844711,229054001.957312,251312597.564035,"C02630","2-Hydroxyglutarate","Not assigned"
"114","CMP",0.317248847600262,0.937729353172875,-200947.316825537,1281722.59219334,691513.824874484,1080657.74445996,1340121.82997311,530089.749653025,580840.631425036,"C00055","CMP","Pyrimidine metabolism"
"115","CMP-2-aminoethylphosphonate",-0.936924483982108,0.0121450078611572,1317968.76429661,1243719.8219139,1741478.67071646,1338644.0755925,2892975.72919575,3030445.50720327,2354327.62471367,NA,NA,"Not assigned"
"116","CMP-acetylneuraminic acid",0.0290155680225836,0.967798899762715,-134662.736648561,6620914.68972629,6979144.17353407,6689476.9545532,6640791.22419272,6850264.07092378,6394492.31275139,NA,NA,"Not assigned"
"117","creatine",0.563141932264138,2.82984848442025e-05,-16770045981.4588,52665257935.7319,51308936879.9072,51701149054.0489,31538788781.4165,35965351891.6299,37861065252.2653,"C00300","Creatine","Arginine and proline metabolism"
"118","creatinine",0.19910312927544,0.254270205904414,-237238156.73518,1957553853.5145,1776422802.69703,1787123926.81194,1500665978.86181,1494272459.11863,1814447674.83748,"C00791","Creatinine","Arginine and proline metabolism"
"119","CTP",-0.0639914045656941,0.999013920014351,500679.629965892,13007967.5496645,6786999.57221311,13323239.1367626,17293034.1738667,7808916.94553707,9518294.02913415,"C00063","CTP","Pyrimidine metabolism"
"120","cyclic ADP-ribose",0.0832106592742804,0.233288384203442,-1052872.83109285,17879931.9522161,18943480.5413686,19534773.4635742,18325427.9254913,17509507.5262679,17364632.0121211,"C13050","Cyclic ADP-ribose","Purine metabolism"
"121","cystathionine",-3.75155945429189,2.12162796919824e-06,6068641.7940331,337571.382027977,573484.102637212,549052.026047677,7519594.49141016,6618727.88093556,5527710.52046647,"C02291","L-Cystathionine","Cysteine and methionine metabolism"
"122","cysteic acid",1.71827210328066,0.00104432431752766,-271998.875897895,311650.966180571,404432.15260383,456178.446090456,109604.75715401,105453.892929329,141206.287097834,NA,NA,"Not assigned"
"123","cysteinylglycine",-0.826373052685147,0.000879300667382288,9514544.46733914,13008713.9320416,13033572.1225244,10872905.9425241,23374473.5251607,21962228.253519,20122123.6204278,"C01419","Cys-Gly","Glutathione metabolism"
"124","2-ketoglutarate",1.35125350330359,7.46396698059204e-06,-596834906.829667,960112992.919604,980130169.351521,1004430291.37517,326693902.531858,367069890.038927,460404940.586509,"C00026","2-Oxoglutarate","Citrate cycle (TCA cycle)"
"125","cytidine",-0.1869671874154,0.84487246270708,409811.40304579,3002973.79833471,2395750.31584821,3486516.58325786,3395807.3033499,2833275.47579097,3885592.12743729,"C00475","Cytidine","Pyrimidine metabolism"
"126","cytosine",0.140228896353019,0.663852280753244,-333243.38491141,3685938.05913325,3321624.89402388,3785766.12626366,3033290.03115216,3006927.4877558,3753381.40577861,"C00380","Cytosine","Pyrimidine metabolism"
"127","dATP",-1.01150158131834,0.384342862829171,189366.532175006,205739.257746835,85374.0056140456,268035.312804486,559109.517122801,233295.590832759,334843.064734825,"C00131","dATP","Purine metabolism"
"128","dCTP",-0.232562680116423,0.984337493814866,52800.1665398434,420653.653601619,89164.745273099,395740.63951324,621467.25126619,183773.664014375,258718.622726923,"C00458","dCTP","Pyrimidine metabolism"
"129","deoxyadenosine",-0.215236487826726,0.944891046562605,71806.3550892816,445506.327468494,371832.057911329,521548.124331886,481012.147441492,387624.334904744,685669.092633319,"C00559","Deoxyadenosine","Purine metabolism"
