HMDB,Pathway,PotentialAdditionalIDs,AllIDs
HMDB0000177,Amino acid metabolism,HMDB0003412,"HMDB0000177,HMDB0003412"
HMDB0000182,Amino acid metabolism,"HMDB0062809, HMDB0003405","HMDB0000182,HMDB0062809,HMDB0003405"
HMDB0000187,Amino acid metabolism,"HMDB0000589, HMDB0062263, HMDB0003406","HMDB0000187,HMDB0000589,HMDB0062263,HMDB0003406"
HMDB0000190,Glycolysis / Gluconeogenesis,"HMDB0003328, HMDB0062492","HMDB0000190,HMDB0003328,HMDB0062492"
HMDB0000191,Amino acid metabolism,HMDB0006483,"HMDB0000191,HMDB0006483"
HMDB0000192,Cysteine and methionine metabolism,NA,HMDB0000192
HMDB0000195,Purine metabolism,NA,HMDB0000195
HMDB0000201,Fatty acyl carnitines,"HMDB0240773, HMDB0000456, HMDB0000515","HMDB0000201,HMDB0240773,HMDB0000456,HMDB0000515"
HMDB0000207,Not assigned,HMDB0002066,"HMDB0000207,HMDB0002066"
HMDB0000208,Citrate cycle (TCA cycle),"HMDB0002812, HMDB0062781","HMDB0000208,HMDB0002812,HMDB0062781"
HMDB0000210,Vitamin digestion and absorption,"HMDB0250782, HMDB0062717","HMDB0000210,HMDB0250782,HMDB0062717"
HMDB0000211,Not assigned,HMDB0002256,"HMDB0000211,HMDB0002256"
HMDB0000214,Amino acid metabolism,"HMDB0000818, HMDB0004984, HMDB0003374","HMDB0000214,HMDB0000818,HMDB0004984,HMDB0003374"
HMDB0000218,Pyrimidine metabolism,NA,HMDB0000218
HMDB0000220,Fatty acid biosynthesis,HMDB0060083,"HMDB0000220,HMDB0060083"
HMDB0000221,Glutathione metabolism,"HMDB0000799, HMDB0006341","HMDB0000221,HMDB0000799,HMDB0006341"
HMDB0000224,Glycerophospholipid metabolism,"HMDB0012279, HMDB0060151, HMDB0060152","HMDB0000224,HMDB0012279,HMDB0060151,HMDB0060152"
HMDB0000226,Pyrimidine metabolism,NA,HMDB0000226
HMDB0000230,Not assigned,HMDB0000800,"HMDB0000230,HMDB0000800"
HMDB0000235,Vitamin digestion and absorption,NA,HMDB0000235
HMDB0000243,Glycolysis / Gluconeogenesis,NA,HMDB0000243
HMDB0000251,Not assigned,NA,HMDB0000251
HMDB0000254,Citrate cycle (TCA cycle),NA,HMDB0000254
HMDB0000263,Citrate cycle (TCA cycle),NA,HMDB0000263
HMDB0000267,Glutathione metabolism,"HMDB0000805, HMDB0060262","HMDB0000267,HMDB0000805,HMDB0060262"
HMDB0000285,Pyrimidine metabolism,NA,HMDB0000285
HMDB0000288,Pyrimidine metabolism,NA,HMDB0000288
HMDB0000289,Purine metabolism,NA,HMDB0000289
HMDB0000292,Purine metabolism,NA,HMDB0000292
HMDB0000295,Pyrimidine metabolism,NA,HMDB0000295
HMDB0000296,Pyrimidine metabolism,NA,HMDB0000296
HMDB0000466,Not assigned,NA,HMDB0000466
HMDB0000517,Amino acid metabolism,"HMDB0062762, HMDB0003416","HMDB0000517,HMDB0062762,HMDB0003416"
HMDB0000538,Purine metabolism,HMDB0257997,"HMDB0000538,HMDB0257997"
HMDB0000562,Arginine and proline metabolism,NA,HMDB0000562
HMDB0000625,Pentose phosphate pathway,HMDB0003373,"HMDB0000625,HMDB0003373"
HMDB0000630,Pyrimidine metabolism,NA,HMDB0000630
HMDB0000641,Amino acid metabolism,HMDB0003423,"HMDB0000641,HMDB0003423"
HMDB0000660,Not assigned,NA,HMDB0000660
HMDB0000670,Arginine and proline metabolism,NA,HMDB0000670
HMDB0000671,Not assigned,NA,HMDB0000671
HMDB0000673,Fatty acid biosynthesis,NA,HMDB0000673
HMDB0000687,"Valine, leucine and isoleucine biosynthesis",HMDB0013773,"HMDB0000687,HMDB0013773"
HMDB0000688,Fatty acyl carnitines,NA,HMDB0000688
HMDB0000691,Pyrimidine metabolism,NA,HMDB0000691
HMDB0000696,Amino acid metabolism,NA,HMDB0000696
HMDB0000725,Amino acid metabolism,"HMDB0006055, HMDB0036576","HMDB0000725,HMDB0006055,HMDB0036576"
HMDB0000738,Not assigned,NA,HMDB0000738
HMDB0000749,Citrate cycle (TCA cycle),NA,HMDB0000749
HMDB0000755,Not assigned,NA,HMDB0000755
HMDB0000766,Amino acid metabolism,NA,HMDB0000766
HMDB0000797,Purine metabolism,HMDB0006274,"HMDB0000797,HMDB0006274"
HMDB0000812,"Alanine, aspartate and glutamate metabolism",NA,HMDB0000812
HMDB0000824,Fatty acyl carnitines,HMDB0062514,"HMDB0000824,HMDB0062514"
HMDB0000827,Fatty acid biosynthesis,NA,HMDB0000827
HMDB0000828,Pyrimidine metabolism,NA,HMDB0000828
HMDB0000848,Fatty acyl carnitines,HMDB0062532,"HMDB0000848,HMDB0062532"
HMDB0000883,"Valine, leucine and isoleucine biosynthesis",HMDB0034366,"HMDB0000883,HMDB0034366"
HMDB0000895,Glycerophospholipid metabolism,NA,HMDB0000895
HMDB0000902,Oxidative phosphorylation,HMDB0249146,"HMDB0000902,HMDB0249146"
HMDB0000904,Arginine and proline metabolism,NA,HMDB0000904
HMDB0000912,Not assigned,NA,HMDB0000912
HMDB0000929,Amino acid metabolism,HMDB0013609,"HMDB0000929,HMDB0013609"
HMDB0000939,Cysteine and methionine metabolism,NA,HMDB0000939
HMDB0000965,Not assigned,NA,HMDB0000965
HMDB0000998,Pyrimidine metabolism,NA,HMDB0000998
HMDB0001031,Pentose phosphate pathway,NA,HMDB0001031
HMDB0001049,Glutathione metabolism,HMDB0029146,"HMDB0001049,HMDB0029146"
HMDB0001058,Glycolysis / Gluconeogenesis,"HMDB0003973, HMDB0060444","HMDB0001058,HMDB0003973,HMDB0060444"
HMDB0001066,Glutathione metabolism,NA,HMDB0001066
HMDB0001067,"Alanine, aspartate and glutamate metabolism",HMDB0255414,"HMDB0001067,HMDB0255414"
HMDB0001096,Purine metabolism,NA,HMDB0001096
HMDB0001112,Glycolysis / Gluconeogenesis,HMDB0304402,"HMDB0001112,HMDB0304402"
HMDB0001138,Amino acid metabolism,NA,HMDB0001138
HMDB0001149,Not assigned,NA,HMDB0001149
HMDB0001173,Cysteine and methionine metabolism,NA,HMDB0001173
HMDB0001176,Not assigned,"HMDB0001040, HMDB0062695, HMDB0250377","HMDB0001176,HMDB0001040,HMDB0062695,HMDB0250377"
HMDB0001178,Purine metabolism,HMDB0303049,"HMDB0001178,HMDB0303049"
HMDB0001185,Cysteine and methionine metabolism,HMDB0062709,"HMDB0001185,HMDB0062709"
HMDB0001201,Purine metabolism,NA,HMDB0001201
HMDB0001206,Citrate cycle (TCA cycle),HMDB0247926,"HMDB0001206,HMDB0247926"
HMDB0001248,Vitamin digestion and absorption,HMDB0252293,"HMDB0001248,HMDB0252293"
HMDB0001273,Purine metabolism,HMDB0247873,"HMDB0001273,HMDB0247873"
HMDB0001316,Pentose phosphate pathway,NA,HMDB0001316
HMDB0001325,Amino acid metabolism,NA,HMDB0001325
HMDB0001341,Purine metabolism,NA,HMDB0001341
HMDB0001342,Pyrimidine metabolism,NA,HMDB0001342
HMDB0001397,Purine metabolism,NA,HMDB0001397
HMDB0001401,Glycolysis / Gluconeogenesis,"HMDB0001549, HMDB0006793","HMDB0001401,HMDB0001549,HMDB0006793"
HMDB0001413,Glycerophospholipid metabolism,NA,HMDB0001413
HMDB0001439,Purine metabolism,NA,HMDB0001439
HMDB0001473,Glycolysis / Gluconeogenesis,HMDB0011735,"HMDB0001473,HMDB0011735"
HMDB0001487,Oxidative phosphorylation,NA,HMDB0001487
HMDB0001511,Arginine and proline metabolism,NA,HMDB0001511
HMDB0001517,Purine metabolism,NA,HMDB0001517
HMDB0001532,Purine metabolism,NA,HMDB0001532
HMDB0001546,Pyrimidine metabolism,NA,HMDB0001546
HMDB0001564,Glycerophospholipid metabolism,NA,HMDB0001564
HMDB0001565,Glycerophospholipid metabolism,HMDB0000284,"HMDB0001565,HMDB0000284"
HMDB0001586,Glycolysis / Gluconeogenesis,HMDB0001306,"HMDB0001586,HMDB0001306"
HMDB0002005,Cysteine and methionine metabolism,NA,HMDB0002005
HMDB0002013,Fatty acyl carnitines,HMDB0062510,"HMDB0002013,HMDB0062510"
HMDB0002095,Fatty acyl carnitines,"HMDB0062496, HMDB0062592","HMDB0002095,HMDB0062496,HMDB0062592"
HMDB0002393,Not assigned,NA,HMDB0002393
HMDB0002757,Cysteine and methionine metabolism,HMDB0303991,"HMDB0002757,HMDB0303991"
HMDB0002931,Amino acid metabolism,NA,HMDB0002931
HMDB0003337,Glutathione metabolism,HMDB0000656,"HMDB0000656,HMDB0003337"
HMDB0003345,Glycolysis / Gluconeogenesis,HMDB0061922,"HMDB0003345,HMDB0061922"
HMDB0003349,Pyrimidine metabolism,"HMDB0000528, HMDB0011746","HMDB0000528,HMDB0003349,HMDB0011746"
HMDB0003357,Arginine and proline metabolism,HMDB0006489,"HMDB0003357,HMDB0006489"
HMDB0003464,Arginine and proline metabolism,HMDB0005991,"HMDB0003464,HMDB0005991"
HMDB0004207,Amino acid metabolism,HMDB0028824,"HMDB0004207,HMDB0028824"
HMDB0004620,Amino acid metabolism,NA,HMDB0004620
HMDB0005066,Not assigned,NA,HMDB0005066
HMDB0005765,Cysteine and methionine metabolism,NA,HMDB0005765
HMDB0006029,Amino acid metabolism,NA,HMDB0006029
HMDB0011649,Not assigned,NA,HMDB0011649
HMDB0011733,Amino acid metabolism,NA,HMDB0011733
HMDB0011745,Amino acid metabolism,NA,HMDB0011745
HMDB0013220,Not assigned,NA,HMDB0013220
HMDB0028818,Amino acid metabolism,NA,HMDB0028818
HMDB0028829,Not assigned,NA,HMDB0028829
HMDB0029132,Amino acid metabolism,NA,HMDB0029132
HMDB0032055,Amino acid metabolism,NA,HMDB0032055
HMDB0059655,Citrate cycle (TCA cycle),NA,HMDB0059655
HMDB0060067,Not assigned,NA,HMDB0060067
HMDB0060180,Glycolysis / Gluconeogenesis,NA,HMDB0060180
HMDB0249529,Purine metabolism,NA,HMDB0249529
HMDB0250980,Amino acid metabolism,NA,HMDB0250980
HMDB0252858,Not assigned,NA,HMDB0252858
HMDB0258206,Pentose phosphate pathway,"HMDB0001068, HMDB0062754","HMDB0001068,HMDB0258206,HMDB0062754"
HMDB0302754,Not assigned,HMDB0000510,"HMDB0000510,HMDB0302754"
HMDB0304435,Glutathione metabolism,"HMDB0000217, HMDB0246919","HMDB0000217,HMDB0304435,HMDB0246919"
