"Code","Conditions","Metabolite","Abundance","Pathway","core_HK2","core_786-O","core_786-M1A"
"MS51-09","HK2","asparagine",-4269578942.00592,"Amino acid metabolism","Released","Released","Released"
"MS51-09","HK2","aspartate",-2796694642.68283,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-09","HK2","betaine",-466988404785.129,"Not assigned","Released","Released","Released"
"MS51-09","HK2","butyryl-carnitine",1602911966.7022,"Fatty acyl carnitines","Released","Consumed","Consumed"
"MS51-09","HK2","carbamoyl phosphate",549923002.200117,"Purine metabolism","Released","Released","Released"
"MS51-09","HK2","carnitine",-9829425338.39985,"Fatty acyl carnitines","Consumed","Released","Consumed"
"MS51-09","HK2","citrulline",9449456330.71731,"Arginine and proline metabolism","Consumed","Consumed","Consumed"
"MS51-09","HK2","creatine",-86756331746.5321,NA,NA,NA,NA
"MS51-09","HK2","creatinine",-76854565797.8091,"Arginine and proline metabolism","Released","Released","Released"
"MS51-09","HK2","cystine",15570158349.3797,"Cysteine and methionine metabolism","Released","Consumed","Consumed"
"MS51-09","HK2","dihydroorotate",-19578826.4672378,"Pyrimidine metabolism","Released","Released","Released"
"MS51-09","HK2","fumarate",-5054780755.78896,"Citrate cycle (TCA cycle)","Released","Consumed","Released"
"MS51-09","HK2","gluconate",-4584014632.70925,"Pentose phosphate pathway","Released","Consumed","Consumed"
"MS51-09","HK2","glucose",7872466998.97241,"Glycolysis / Gluconeogenesis","Released","Consumed","Consumed"
"MS51-09","HK2","glutamate",-21840968399.831,"Amino acid metabolism","Consumed","Released","Released"
"MS51-09","HK2","glutamine",-16661398877.7064,"Amino acid metabolism","Consumed","Released","Released"
"MS51-09","HK2","glycerylphosphorylcholine",-126511051.475448,"Not assigned","Consumed","Released","Consumed"
"MS51-09","HK2","glycine",-138394033.669556,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-09","HK2","histidine",-97146881001.1795,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-09","HK2","hydroxyphenyllactic acid",-38320249.8704903,"Not assigned","Consumed","Consumed","Consumed"
"MS51-09","HK2","hydroxyphenylpyruvate",36348621.9928907,"Not assigned","Released","Consumed","Consumed"
"MS51-09","HK2","hydroxyproline",-251977167.790648,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-09","HK2","hypoxanthine",109364407.355664,"Purine metabolism","Released","Released","Consumed"
"MS51-09","HK2","isovalerylcarnitine",416227956.851033,"Fatty acyl carnitines","Released","Consumed","Consumed"
"MS51-09","HK2","KMV+KIC",7928553306.21156,"Valine, leucine and isoleucine biosynthesis","Released","Released","Consumed"
"MS51-09","HK2","lactate",561266645134.795,"Glycolysis / Gluconeogenesis","Released","Consumed","Released"
"MS51-09","HK2","leucine+isoleucine",135899646822.981,"Valine, leucine and isoleucine biosynthesis","Released","Consumed","Consumed"
"MS51-09","HK2","linoleic acid",18738716.291623,"Fatty acid biosynthesis","Released","Consumed","Consumed"
"MS51-09","HK2","lysine",-35719065763.9252,"Amino acid metabolism","Released","Consumed","Released"
"MS51-09","HK2","malate",-61292460530.7589,"Citrate cycle (TCA cycle)","Released","Consumed","Consumed"
"MS51-09","HK2","methionine",11358383920.9423,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-09","HK2","methylarginine",-6524943070.9775,"Amino acid metabolism","Released","Released","Released"
"MS51-09","HK2","methylaspartate",-21217737352.8901,"Not assigned","Consumed","Released","Released"
"MS51-09","HK2","myo-inositol",-18085456373.3155,"Not assigned","Consumed","Released","Released"
"MS51-09","HK2","N-acetylaspartate",6236626744.86447,"Alanine, aspartate and glutamate metabolism","Released","Consumed","Consumed"
"MS51-09","HK2","N-acetylglutamate",-121878694.232243,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-09","HK2","N-acetylneuramic acid",751634309.406246,"Not assigned","Released","Released","Consumed"
"MS51-09","HK2","oleic acid",1560318665.09269,"Not assigned","Consumed","Consumed","Consumed"
"MS51-09","HK2","ornithine",4506260102.64523,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-09","HK2","orotate",200398414.295561,"Pyrimidine metabolism","Consumed","Released","Released"
"MS51-09","HK2","palmitate",3168004297.58106,"Fatty acid biosynthesis","Consumed","Consumed","Consumed"
"MS51-09","HK2","pantothenate",-11974483508.7247,"Vitamin digestion and absorption","Consumed","Consumed","Consumed"
"MS51-09","HK2","phenylalanine",112028245720.254,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-09","HK2","phosphocholine",-54667177.2922489,"Not assigned","Released","Consumed","Consumed"
"MS51-09","HK2","proline",-75414860829.0832,"Amino acid metabolism","Consumed","Released","Released"
"MS51-09","HK2","propionylcarnitine",2011076709.32079,"Fatty acyl carnitines","Released","Consumed","Consumed"
"MS51-09","HK2","pyroglutamic-acid",47814816424.3984,"Glutathione metabolism","Consumed","Released","Consumed"
"MS51-09","HK2","pyruvate",25472901354.4939,"Glycolysis / Gluconeogenesis","Released","Released","Released"
"MS51-09","HK2","serine",405193307.594396,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-09","HK2","stearic acid",2503923356.62413,"Fatty acid biosynthesis","Consumed","Consumed","Consumed"
"MS51-09","HK2","succinate",-2779579365.75805,"Citrate cycle (TCA cycle)","Consumed","Consumed","Consumed"
"MS51-09","HK2","succinyladenosine",90525381.5536018,"Not assigned","Consumed","Consumed","Consumed"
"MS51-09","HK2","taurine",-36424797633.7336,"Not assigned","Consumed","Released","Consumed"
"MS51-09","HK2","threonine",26591199850.2258,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-09","HK2","tryptophan",61104148706.4308,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-09","HK2","tyrosine",24686252589.0275,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-09","HK2","uric acid",2173013730.98219,"Purine metabolism","Released","Consumed","Consumed"
"MS51-09","HK2","valine",35106820799.2223,"Valine, leucine and isoleucine biosynthesis","Released","Consumed","Consumed"
"MS51-09","HK2","xanthine",-16970282597.6535,"Purine metabolism","Consumed","Released","Released"
"MS51-10","HK2","2-hydroxyglutarate",-50110899.4409975,"Citrate cycle (TCA cycle)","Consumed","Released","Released"
"MS51-10","HK2","2-ketoglutarate",3881816314.13031,"Citrate cycle (TCA cycle)","Consumed","Released","Released"
"MS51-10","HK2","3-Dehydro-L-threonate",-203574855.165072,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-10","HK2","acetylcarnitine",83711949660.8888,"Fatty acyl carnitines","Released","Consumed","Consumed"
"MS51-10","HK2","acetylcholine",94577212.820627,"Glycerophospholipid metabolism","Released","Consumed","Consumed"
"MS51-10","HK2","acetylornithine",-1465172209.30484,"Arginine and proline metabolism","Consumed","Released","Released"
"MS51-10","HK2","aconitate",-169400156.038138,"Citrate cycle (TCA cycle)","Consumed","Consumed","Consumed"
"MS51-10","HK2","alanine",10243964757.5963,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-10","HK2","arginine",-144788909719.832,"Amino acid metabolism","Released","Released","Released"
"MS51-10","HK2","asparagine",1035357954.10981,"Amino acid metabolism","Released","Released","Released"
"MS51-10","HK2","aspartate",-805991287.961146,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-10","HK2","betaine",268569450017.712,"Not assigned","Released","Released","Released"
"MS51-10","HK2","butyryl-carnitine",501679431.257777,"Fatty acyl carnitines","Released","Consumed","Consumed"
"MS51-10","HK2","carbamoyl phosphate",-395732700.129503,"Purine metabolism","Released","Released","Released"
"MS51-10","HK2","carnitine",52014582551.3751,"Fatty acyl carnitines","Consumed","Released","Consumed"
"MS51-10","HK2","citrulline",-8753175149.59179,"Arginine and proline metabolism","Consumed","Consumed","Consumed"
"MS51-10","HK2","creatine",15251625987.5692,NA,NA,NA,NA
"MS51-10","HK2","creatinine",70445467432.6932,"Arginine and proline metabolism","Released","Released","Released"
"MS51-10","HK2","cystine",-6135045177.83915,"Cysteine and methionine metabolism","Released","Consumed","Consumed"
"MS51-10","HK2","dihydroorotate",59646263.8802452,"Pyrimidine metabolism","Released","Released","Released"
"MS51-10","HK2","fumarate",72417719.6252412,"Citrate cycle (TCA cycle)","Released","Consumed","Released"
"MS51-10","HK2","gluconate",2228367751.26741,"Pentose phosphate pathway","Released","Consumed","Consumed"
"MS51-10","HK2","glucose",-3577882698.97432,"Glycolysis / Gluconeogenesis","Released","Consumed","Consumed"
"MS51-10","HK2","glutamate",-8588008208.95414,"Amino acid metabolism","Consumed","Released","Released"
"MS51-10","HK2","glutamine",-5964628944.5155,"Amino acid metabolism","Consumed","Released","Released"
"MS51-10","HK2","glycerylphosphorylcholine",817572299.483618,"Not assigned","Consumed","Released","Consumed"
"MS51-10","HK2","glycine",63934908.6880329,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-10","HK2","histidine",20918118963.8881,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-10","HK2","hydroxyphenyllactic acid",169326393.681275,"Not assigned","Consumed","Consumed","Consumed"
"MS51-10","HK2","hydroxyphenylpyruvate",7152421.87698851,"Not assigned","Released","Consumed","Consumed"
"MS51-10","HK2","hydroxyproline",10843289490.6898,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-10","HK2","hypoxanthine",97670338.9887121,"Purine metabolism","Released","Released","Consumed"
"MS51-10","HK2","isovalerylcarnitine",-82058657.3377978,"Fatty acyl carnitines","Released","Consumed","Consumed"
"MS51-10","HK2","KMV+KIC",-2643437927.57976,"Valine, leucine and isoleucine biosynthesis","Released","Released","Consumed"
"MS51-10","HK2","lactate",-97733650227.2358,"Glycolysis / Gluconeogenesis","Released","Consumed","Released"
"MS51-10","HK2","leucine+isoleucine",-40936754512.6356,"Valine, leucine and isoleucine biosynthesis","Released","Consumed","Consumed"
"MS51-10","HK2","linoleic acid",7990697.30440361,"Fatty acid biosynthesis","Released","Consumed","Consumed"
"MS51-10","HK2","lysine",-12875475163.78,"Amino acid metabolism","Released","Consumed","Released"
"MS51-10","HK2","malate",-2467844530.04515,"Citrate cycle (TCA cycle)","Released","Consumed","Consumed"
"MS51-10","HK2","methionine",-4114946745.41365,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-10","HK2","methylarginine",-463185662.835975,"Amino acid metabolism","Released","Released","Released"
"MS51-10","HK2","methylaspartate",-9534248141.82762,"Not assigned","Consumed","Released","Released"
"MS51-10","HK2","myo-inositol",6326839743.31269,"Not assigned","Consumed","Released","Released"
"MS51-10","HK2","N-acetylaspartate",-1748269907.58037,"Alanine, aspartate and glutamate metabolism","Released","Consumed","Consumed"
"MS51-10","HK2","N-acetylglutamate",42406350.1684512,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-10","HK2","N-acetylneuramic acid",-238265052.867982,"Not assigned","Released","Released","Consumed"
"MS51-10","HK2","oleic acid",212550765.359497,"Not assigned","Consumed","Consumed","Consumed"
"MS51-10","HK2","ornithine",-7987864782.77029,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-10","HK2","orotate",6393373.41059795,"Pyrimidine metabolism","Consumed","Released","Released"
"MS51-10","HK2","palmitate",32308042.6104205,"Fatty acid biosynthesis","Consumed","Consumed","Consumed"
"MS51-10","HK2","pantothenate",5276535238.86791,"Vitamin digestion and absorption","Consumed","Consumed","Consumed"
"MS51-10","HK2","phenylalanine",-45653264209.1942,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-10","HK2","phosphocholine",159004233.198403,"Not assigned","Released","Consumed","Consumed"
"MS51-10","HK2","proline",-30033518702.4589,"Amino acid metabolism","Consumed","Released","Released"
"MS51-10","HK2","propionylcarnitine",-15734598.7383479,"Fatty acyl carnitines","Released","Consumed","Consumed"
"MS51-10","HK2","pyroglutamic-acid",-23446240827.0703,"Glutathione metabolism","Consumed","Released","Consumed"
"MS51-10","HK2","pyruvate",-7852586247.13549,"Glycolysis / Gluconeogenesis","Released","Released","Released"
"MS51-10","HK2","serine",276191223.661822,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-10","HK2","stearic acid",997811058.292158,"Fatty acid biosynthesis","Consumed","Consumed","Consumed"
"MS51-10","HK2","succinate",2190977538.53973,"Citrate cycle (TCA cycle)","Consumed","Consumed","Consumed"
"MS51-10","HK2","succinyladenosine",19038258.0506551,"Not assigned","Consumed","Consumed","Consumed"
"MS51-10","HK2","taurine",-26784683737.5226,"Not assigned","Consumed","Released","Consumed"
"MS51-10","HK2","threonine",-7427707792.05143,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-10","HK2","tryptophan",-14025092150.5996,"Amino acid metabolism","Released","Consumed","Consumed"
"MS51-10","HK2","tyrosine",15289524834.2408,"Amino acid metabolism","Consumed","Consumed","Consumed"
"MS51-10","HK2","uric acid",-29638392330.8755,"Purine metabolism","Released","Consumed","Consumed"
