"Metabolite","Log2(Distance)","p.adj","t.val","Mean_786-O","core_786-O","Mean_HK2","core_HK2","core_specific","core","MS51-11","MS51-12","MS51-13","MS51-14","MS51-15","MS51-07","MS51-08","MS51-09","MS51-10","HMDB","KEGG.ID","KEGGCompound","Pathway"
"dihydroorotate",26.41891167122,0.00107924103680001,-89719091.2084808,89719091.2084809,"Released",1.49011611938477e-08,"Released","Released","Released",70510118.9318126,85107482.7926796,122254240.536084,59933495.6216986,110790118.16013,-21080482.9972008,-18986954.4158066,-19578826.4672378,59646263.8802452,"HMDB0003349","C00337","(S)-Dihydroorotate","Pyrimidine metabolism"
"fumarate",-30.7209011516151,0.574901391251206,1769753339.31643,-1769753339.31644,"Consumed",3.72529029846191e-08,"Released","Consumed in 786-O  and Released HK2","Released/Consumed",-1140057590.85202,-1154853982.54886,-2078117382.22183,-1749230733.95414,-2726507007.00532,1998071059.42655,2984291976.73717,-5054780755.78896,72417719.6252412,"HMDB0000134","C00122","Fumarate","Citrate cycle (TCA cycle)"
"gluconate",-32.6769796901818,0.99676509911043,6866747126.55144,-6866747126.55144,"Consumed",3.75509262084961e-06,"Released","Consumed in 786-O  and Released HK2","Released/Consumed",54256205059.8298,-15085995459.3769,-23162747345.8731,-22768738213.3358,-27572459674.0012,589183499.520678,1766463381.92119,-4584014632.70925,2228367751.26741,"HMDB0000625","C00257","D-Gluconic acid","Pentose phosphate pathway"
"glucose",-34.3990292925432,2.43540444366808e-07,22653725761.4051,-22653725761.4051,"Consumed",2.08616256713867e-07,"Released","Consumed in 786-O  and Released HK2","Released/Consumed",-20830691026.0676,-21659470080.3615,-29955482251.7517,-18424467907.7391,-22398517541.1055,-5028619624.65288,734035324.654786,7872466998.97241,-3577882698.97432,"HMDB0003345","C00267","alpha-D-Glucose","Glycolysis / Gluconeogenesis"
"glutamate",34.7735227475241,0.0228548131128977,-29367934434.325,29367934434.3249,"Released",-1.45435333251953e-05,"Consumed","Released in 786-O and Consumed HK2","Released/Consumed",24284166230.3778,24597416465.4274,27829474014.2298,32442732595.1451,37685882866.4445,15413910962.1604,15015065646.6246,-21840968399.831,-8588008208.95414,"HMDB0000148","C00025","L-Glutamate","Amino acid metabolism"
"glutamine",38.1072266209189,2.99760216648792e-14,-296086266962.084,296086266962.084,"Released",-1.44243240356445e-05,"Consumed","Released in 786-O and Consumed HK2","Released/Consumed",280425122650.807,306759817691.426,289828171334.646,296401344352.396,307016878781.146,20105641591.1991,2520386231.02276,-16661398877.7064,-5964628944.5155,"HMDB0000641","C00064","L-Glutamine","Amino acid metabolism"
"glycerylphosphorylcholine",30.6145481789031,0.991778293226238,-1643982936.58991,1643982936.58991,"Released",-7.26431608200073e-06,"Consumed","Released in 786-O and Consumed HK2","Released/Consumed",6235850008.09497,3276881415.2222,661332622.354888,3678351453.15257,-5632500815.87509,-4979778903.99762,4288717655.98942,-126511051.475448,817572299.483618,"HMDB0252858",NA,NA,"Not assigned"
"glycine",-26.8617012999987,0.951885435810351,121948882.761576,-121948882.761576,"Consumed",-2.3283064365387e-09,"Consumed","Consumed","Consumed",-149148119.141943,-59635612.5770135,-284923617.096405,-8969164.54855836,-107067900.443962,5946090.44529429,68513034.5362288,-138394033.669556,63934908.6880329,"HMDB0000123","C00037","Glycine","Amino acid metabolism"
"histidine",-34.8597870955905,0.970488568498868,31177519407.0436,-31177519407.0436,"Consumed",-5.96046447753906e-07,"Consumed","Consumed","Consumed",-62639070109.3275,55466982854.3502,-49807411776.0691,-23196014434.1519,-75712083570.0197,79963989966.51,-3735227929.21857,-97146881001.1795,20918118963.8881,"HMDB0000177","C00135","L-Histidine","Amino acid metabolism"
"hydroxyphenyllactic acid",-28.4936259872934,0.131514789949638,377951529.687523,-377951529.687523,"Consumed",-2.3283064365387e-07,"Consumed","Consumed","Consumed",-215117438.999232,-539707009.434784,-584558456.452832,-217055533.444756,-333319210.106012,-165020090.001013,34013946.1902276,-38320249.8704903,169326393.681275,"HMDB0000755","C03672","3-(4-Hydroxyphenyl)lactate","Not assigned"
"hydroxyphenylpyruvate",-27.6950735744698,6.44305719887939e-11,217294071.771225,-217294071.771225,"Consumed",6.98491930961609e-10,"Released","Consumed in 786-O  and Released HK2","Released/Consumed",-231222337.258931,-221703124.70976,-213757908.490554,-203138116.140578,-216648872.256303,-37785710.1966398,-5715333.67323938,36348621.9928907,7152421.87698851,NA,NA,NA,"Not assigned"
"hydroxyproline",-34.4819230118134,0.153275791826557,23993474054.5114,-23993474054.5114,"Consumed",1.48564577102661e-05,"Released","Consumed in 786-O  and Released HK2","Released/Consumed",-36873165674.5532,-16176968993.4076,-32072588285.7051,-6468970426.50212,-28375676892.389,3545542157.75861,-14136854480.6577,-251977167.790648,10843289490.6898,"HMDB0000725","C01157","L-Hydroxyproline","Amino acid metabolism"
"hypoxanthine",26.6237502235154,0.462658903542853,-103406398.93362,103406398.93362,"Released",3.72529029846191e-09,"Released","Released","Released",72371879.4548644,237198688.454095,105200630.503623,85127180.3475738,17133615.9079434,-95308552.509541,-111726193.834835,109364407.355664,97670338.9887121,"HMDB0000157","C00262","Hypoxanthine","Purine metabolism"
"isovalerylcarnitine",-29.6927355619023,0.13010043898913,867768852.19364,-867768852.19364,"Consumed",7.45058059692383e-09,"Released","Consumed in 786-O  and Released HK2","Released/Consumed",-1734406009.9975,-1126221303.40506,-611207547.012923,-197069326.204405,-669940074.348311,-248888938.316101,-85280361.197134,416227956.851033,-82058657.3377978,"HMDB0000688","C20826","Isovalerylcarnitine","Fatty acyl carnitines"
"KMV+KIC",31.3206310747583,0.438966374458352,-2681942340.35823,2681942340.35824,"Released",1.19209289550781e-07,"Released","Released","Released",4418016729.48589,295334106.240655,2491161602.92833,2425469757.78738,3779729505.34893,-3073634444.28615,-2211480934.34564,7928553306.21156,-2643437927.57976,NA,NA,NA,"Valine, leucine and isoleucine biosynthesis"
"lactate",-38.2599485797776,0.0638228197231154,329148708280.04,-329148708280.039,"Consumed",0.000244140625,"Released","Consumed in 786-O  and Released HK2","Released/Consumed",-220778971708.771,-456004974601.487,-381645937020.817,-250813293181.614,-336500364887.507,-284483048397.337,-179049946510.221,561266645134.795,-97733650227.2358,"HMDB0000190","C00186","(S)-Lactate","Glycolysis / Gluconeogenesis"
"leucine+isoleucine",-37.6480710246056,3.11428436372552e-08,215376669686.386,-215376669686.386,"Consumed",5.91278076171875e-05,"Released","Consumed in 786-O  and Released HK2","Released/Consumed",-198434354962.176,-204873258935.665,-236506682574.577,-232545452366.213,-204523599593.299,-58640812488.0265,-36322079822.3184,135899646822.981,-40936754512.6356,NA,NA,NA,"Valine, leucine and isoleucine biosynthesis"
"linoleic acid",-26.4247325730356,1.96088394410765e-08,90081815.8234265,-90081815.8234265,"Consumed",7.45058059692383e-09,"Released","Consumed in 786-O  and Released HK2","Released/Consumed",-102160422.590404,-76386151.3559813,-92759299.7104617,-85323937.9655807,-93779267.4947052,-14113831.9239108,-12615581.6721158,18738716.291623,7990697.30440361,"HMDB0000673","C01595","Linoleate","Fatty acid biosynthesis"
"lysine",-28.00968568564,1,270243688.895176,-270243688.895159,"Consumed",3.02791595458984e-05,"Released","Consumed in 786-O  and Released HK2","Released/Consumed",23235617091.8242,27578336963.9612,-9156280541.76088,-37585584204.5142,-5423307753.98603,3694637940.37968,44899902987.3256,-35719065763.9252,-12875475163.78,"HMDB0000182","C00047","L-Lysine","Amino acid metabolism"
"malate",-34.6364418990571,0.414944115355216,26705945272.829,-26705945272.829,"Consumed",2.38418579101562e-07,"Released","Consumed in 786-O  and Released HK2","Released/Consumed",-16602913741.7499,-17908574002.8239,-29323132101.9988,-27006941433.2245,-42688165084.3481,26741554548.7737,37018750512.0303,-61292460530.7589,-2467844530.04515,"HMDB0000156","C00149","(S)-Malate","Citrate cycle (TCA cycle)"
"methionine",-35.865289040845,1.93299820594461e-11,62593293619.1594,-62593293619.1594,"Consumed",2.23517417907715e-08,"Released","Consumed in 786-O  and Released HK2","Released/Consumed",-59742391033.7307,-61582163919.3051,-65076657483.5644,-66028163155.9483,-60537092503.2487,-7444471180.53903,201034005.01034,11358383920.9423,-4114946745.41365,"HMDB0000696","C00073","L-Methionine","Amino acid metabolism"
"methylarginine",32.5863228983418,0.518091274554334,-6448528755.42751,8979962825.3755,"Released",2531434069.948,"Released","Released","Released",9696355879.11461,13835045688.5167,11380810810.0108,1166669546.95292,8820932202.28247,6988128733.81348,10125736279.792,-6524943070.9775,-463185662.835975,"HMDB0250980",NA,NA,"Amino acid metabolism"
"methylaspartate",34.8138203241045,0.0216474850313199,-30199807954.1689,30199807954.1689,"Released",-2.95639038085938e-05,"Consumed","Released in 786-O and Consumed HK2","Released/Consumed",25712535751.4215,25769492926.6816,28943793885.7827,32377418765.4789,38195798441.4797,15719674092.8927,15032311401.8249,-21217737352.8901,-9534248141.82762,"HMDB0002393","C12269","N-Methyl-D-aspartic acid","Not assigned"
"myo-inositol",33.0048705126416,0.201543481987664,-8618983063.43966,8618983063.43964,"Released",-2.38418579101562e-07,"Consumed","Released in 786-O and Consumed HK2","Released/Consumed",5322388836.68133,8629595352.13097,9177250416.57342,7960149730.44964,12005530981.3629,7312929712.72801,4445686917.2748,-18085456373.3155,6326839743.31269,"HMDB0000211","C00137","myo-Inositol","Not assigned"
"N-acetylaspartate",-36.0920576724354,2.99760216648792e-14,73247358023.5725,-73247358023.5725,"Consumed",1.78813934326172e-06,"Released","Consumed in 786-O  and Released HK2","Released/Consumed",-72710978888.0097,-73244159847.7576,-73338229871.7822,-73149551912.6599,-73793869597.6531,-5683746441.58567,1195389604.30158,6236626744.86447,-1748269907.58037,"HMDB0000812","C01042","N-Acetyl-L-aspartate","Alanine, aspartate and glutamate metabolism"
"N-acetylglutamate",-30.60783402983,4.80959716497864e-12,1636349790.78814,-1636349790.78814,"Consumed",1.13621354103088e-07,"Released","Consumed in 786-O  and Released HK2","Released/Consumed",-1273984999.10613,-1557893141.03711,-1669064500.72948,-1962365439.96255,-1718440873.10543,-49761950.3384529,129234294.402245,-121878694.232243,42406350.1684512,"HMDB0001138","C00624","N-Acetyl-L-glutamate","Amino acid metabolism"
"N-acetylneuramic acid",27.521682014113,0.990590001754486,-192686734.78919,192686734.789191,"Released",4.61935997009277e-07,"Released","Released","Released",793330361.371939,85667780.6621795,-464312330.28069,669638908.002183,-120891045.809656,-687775477.270716,174406220.732455,751634309.406246,-238265052.867982,"HMDB0000230","C19910","N-Acetyl-beta-neuraminate","Not assigned"
"oleic acid",-31.5911059210406,3.07005686761563e-07,3234971645.48062,-3234971645.48062,"Consumed",-4.32133674621582e-07,"Consumed","Consumed","Consumed",-3553131157.77298,-3240559969.78056,-2452284309.38167,-3396994985.68269,-3531887804.78521,-952876539.159728,-819992891.292457,1560318665.09269,212550765.359497,"HMDB0000207","C00712","(9Z)-Octadecenoic acid","Not assigned"
"ornithine",-34.6579214260845,3.25299574582827e-05,27106530686.96,-27106530686.96,"Consumed",3.33786010742188e-06,"Released","Consumed in 786-O  and Released HK2","Released/Consumed",-26178570280.6739,-22803944309.0257,-25234417822.317,-33372511563.625,-27943209459.1584,-10324686953.774,13806291633.8991,4506260102.64523,-7987864782.77029,"HMDB0000214","C00077","L-Ornithine","Amino acid metabolism"
"orotate",31.1634007624195,2.99760216648792e-14,-2405018361.34705,2405018361.34705,"Released",-3.25962901115417e-09,"Consumed","Released in 786-O and Consumed HK2","Released/Consumed",2263995076.7754,2535886023.67443,2266145801.17288,2308777712.28871,2650287192.82384,-77084021.4305883,-129707766.27557,200398414.295561,6393373.41059795,"HMDB0000226","C00295","Orotate","Pyrimidine metabolism"
"palmitate",-32.6014485759203,5.24129387846628e-06,6516492855.53586,-6516492855.53585,"Consumed",-1.86264514923096e-09,"Consumed","Consumed","Consumed",-5711821453.34641,-5475531865.87367,-4410773956.83106,-8901986672.92657,-8082350328.70156,-1422596268.51426,-1777716071.67722,3168004297.58106,32308042.6104205,"HMDB0000220","C00249","Hexadecanoic acid","Fatty acid biosynthesis"
"pantothenate",-31.8189776571355,0.881570300721776,3788494893.13439,-3788494893.13441,"Consumed",-1.47819519042969e-05,"Consumed","Consumed","Consumed",2506395782.85308,-7180648600.73358,-3831200705.05882,-5202590868.21381,-5234430074.51893,2444512083.3662,4253436186.49053,-11974483508.7247,5276535238.86791,"HMDB0000210","C00864","Pantothenate","Vitamin digestion and absorption"
"phenylalanine",-36.9719632465255,3.30474988505802e-05,134793805903.093,-134793805903.092,"Consumed",6.00814819335938e-05,"Released","Consumed in 786-O  and Released HK2","Released/Consumed",-134265267349.486,-124740269493.414,-130148472985.998,-152276642701.931,-132538376984.633,-37037474068.0732,-29337507442.9865,112028245720.254,-45653264209.1942,"HMDB0000159","C00079","L-Phenylalanine","Amino acid metabolism"
"phosphocholine",-32.3630806853019,2.99760216648792e-14,5524055564.85625,-5524055564.85624,"Consumed",2.38418579101562e-07,"Released","Consumed in 786-O  and Released HK2","Released/Consumed",-4833704068.27343,-5560230221.36271,-5708779775.40603,-5445428139.0826,-6072135620.15644,-352406048.524425,248068992.618272,-54667177.2922489,159004233.198403,NA,NA,NA,"Not assigned"
"proline",36.4700738858845,0.532361956965687,-95188872729.01,95188872729.0098,"Released",-0.00023746490478515,"Consumed","Released in 786-O and Consumed HK2","Released/Consumed",-97928227341.6496,150303897050.645,181279152708.172,89338673069.5014,152950868158.38,61996196709.9784,43452182821.5627,-75414860829.0832,-30033518702.4589,"HMDB0000162","C00148","L-Proline","Amino acid metabolism"
"propionylcarnitine",-31.791806064356,0.000238443356537443,3717810432.08556,-3717810432.08555,"Consumed",3.71504575014114e-06,"Released","Consumed in 786-O  and Released HK2","Released/Consumed",-1951259889.04887,-5146399461.11266,-3953688969.71055,-3672022087.73651,-3865681752.81917,-482917911.540008,-1512424199.04242,2011076709.32079,-15734598.7383479,"HMDB0000824","C03017","O-Propanoylcarnitine","Fatty acyl carnitines"
"pyroglutamic-acid",33.9286146462063,0.928792349937162,-16350488022.6244,16350488022.6243,"Released",-5.86509704589844e-05,"Consumed","Released in 786-O and Consumed HK2","Released/Consumed",26771629560.9011,12988111780.555,24248346752.0647,2446425475.20957,15297926544.3915,-11372947061.7246,-12995628535.6038,47814816424.3984,-23446240827.0703,"HMDB0000267","C01879","5-Oxoproline","Glutathione metabolism"
"pyruvate",35.0895509605898,2.45368011553282e-06,-36560099878.9485,36560099878.9485,"Released",7.62939453125e-06,"Released","Released","Released",44698679448.6964,25645832598.5276,33802082586.1418,41564003684.8863,37089901076.4906,-8525079495.24927,-9095235612.10916,25472901354.4939,-7852586247.13549,"HMDB0000243","C00022","Pyruvate","Glycolysis / Gluconeogenesis"
"serine",-32.9294358077708,9.78106484694763e-14,8179898568.83312,-8179898568.83312,"Consumed",1.85519456863403e-06,"Released","Consumed in 786-O  and Released HK2","Released/Consumed",-8184379245.60366,-7634403225.52363,-8689850588.94145,-8090662000.62371,-8300197783.47313,-859365026.561157,177980495.304946,405193307.594396,276191223.661822,"HMDB0000187","C00065","L-Serine","Amino acid metabolism"
"stearic acid",-32.1566274425552,0.00114100704487285,4787506973.81511,-4787506973.81511,"Consumed",-4.4703483581543e-07,"Consumed","Consumed","Consumed",-4375993563.33241,-4316181080.95785,-1056788408.81735,-7616869531.30744,-6571702284.66049,-1313777621.64569,-2187956793.27061,2503923356.62413,997811058.292158,"HMDB0000827","C01530","Octadecanoic acid","Fatty acid biosynthesis"
"succinate",-32.5310491077601,0.0045773180891081,6206140050.69693,-6206140050.69693,"Consumed",-3.66568565368652e-06,"Consumed","Consumed","Consumed",-4066115788.54215,-6932310910.12869,-6874410905.54262,-4975979970.33065,-8181882678.94056,-829605058.910409,1418206886.12871,-2779579365.75805,2190977538.53973,"HMDB0000254","C00042","Succinate","Citrate cycle (TCA cycle)"
"succinyladenosine",-26.0581356616771,0.38608737919143,69868346.4769443,-69868346.4769442,"Consumed",-2.88709998130798e-08,"Consumed","Consumed","Consumed",-64176802.3038333,-106473799.713633,-91666613.734682,-87094417.0579491,69900.425376095,-80598679.4078127,-28964960.1964443,90525381.5536018,19038258.0506551,"HMDB0000912",NA,NA,"Not assigned"
"taurine",34.594050403862,0.953760255044071,-25932646682.8115,25932646682.8115,"Released",-9.5367431640625e-07,"Consumed","Released in 786-O and Consumed HK2","Released/Consumed",39279836962.4286,49809267366.8471,-49197548470.8818,37681188817.6516,52090488738.0119,74672054822.8977,-11462573451.6416,-36424797633.7336,-26784683737.5226,"HMDB0000251","C00245","Taurine","Not assigned"
"threonine",-35.6922940948924,0.000780775398334876,55520214665.5038,-55520214665.5037,"Consumed",5.91278076171875e-05,"Released","Consumed in 786-O  and Released HK2","Released/Consumed",-50807275727.9612,-43163928495.9399,-52494350481.4371,-52787568622.6337,-78347949999.5465,-12490581856.823,-6672910201.35114,26591199850.2258,-7427707792.05143,"HMDB0000167","C00188","L-Threonine","Amino acid metabolism"
"tryptophan",-37.1218132804969,2.82548507368752e-07,149547545998.376,-149547545998.376,"Consumed",1.43051147460938e-06,"Released","Consumed in 786-O  and Released HK2","Released/Consumed",-115577693934.108,-157617891997.496,-164132228200.962,-168673948995.931,-141735966863.381,-42343649932.685,-4735406623.14623,61104148706.4308,-14025092150.5996,"HMDB0000929","C00078","L-Tryptophan","Amino acid metabolism"
"tyrosine",-36.76606235081,2.60300986032469e-06,116865841355.977,-116865841355.977,"Consumed",-2.86102294921875e-05,"Consumed","Consumed","Consumed",-88783762879.8668,-123332232833.375,-137425258140.727,-93684317877.0326,-141103635048.883,-67048825563.6175,27073048140.349,24686252589.0275,15289524834.2408,"HMDB0000158","C00082","L-Tyrosine","Amino acid metabolism"
"uric acid",-32.6039893813529,0.999998679789881,6527979502.65383,-6527979502.65376,"Consumed",5.87701797485352e-05,"Released","Consumed in 786-O  and Released HK2","Released/Consumed",-5423861952.60899,7256437556.88301,-19752159249.619,-50571960608.9629,35851646741.0391,-16443417728.6384,43908796328.5319,2173013730.98219,-29638392330.8755,"HMDB0000289","C00366","Urate","Purine metabolism"
"valine",-36.3137307376566,1.25933334228501e-05,85412651980.2697,-85412651980.2697,"Consumed",2.93254852294922e-05,"Released","Consumed in 786-O  and Released HK2","Released/Consumed",-90493043142.9416,-75383029328.4759,-70856000629.4582,-99291566954.5944,-91039619845.8786,-5101628034.34826,-14803865995.7957,35106820799.2223,-15201326769.0782,"HMDB0000883","C00183","L-Valine","Valine, leucine and isoleucine biosynthesis"
"xanthine",33.3810306237396,0.0384847497637861,-11186429860.3379,11186429860.3379,"Released",-3.814697265625e-06,"Consumed","Released in 786-O and Consumed HK2","Released/Consumed",7741485522.73023,9096398867.73848,10534012173.1286,17821732934.0392,10738519804.0531,5717176779.01297,4193567812.10941,-16970282597.6535,7059538006.5311,"HMDB0000292","C00385","Xanthine","Purine metabolism"
