"Metabolite","Pathway","core_786-M1A","core_HK2","core_786-M2A","core_786-O","core_OSLM1B","core_OSRC2","core_RFX631"
"hydroxyproline","Amino acid metabolism","Consumed","Released","Consumed","Consumed","Released","Consumed","Consumed"
"hypoxanthine","Purine metabolism","Consumed","Released","Consumed","Released","Released","Consumed","Released"
"isovalerylcarnitine","Fatty acyl carnitines","Consumed","Released","Released","Consumed","Consumed","Consumed","Consumed"
"KMV+KIC","Valine, leucine and isoleucine biosynthesis","Consumed","Released","Released","Released","Consumed","Consumed","Consumed"
"lactate","Glycolysis / Gluconeogenesis","Released","Released","Consumed","Consumed","Consumed","Consumed","Released"
"leucine+isoleucine","Valine, leucine and isoleucine biosynthesis","Consumed","Released","Consumed","Consumed","Released","Released","Consumed"
"linoleic acid","Fatty acid biosynthesis","Consumed","Released","Consumed","Consumed","Consumed","Consumed","Released"
"lysine","Amino acid metabolism","Released","Released","Released","Consumed","Released","Released","Released"
"malate","Citrate cycle (TCA cycle)","Consumed","Released","Consumed","Consumed","Consumed","Consumed","Consumed"
"methionine","Amino acid metabolism","Consumed","Released","Consumed","Consumed","Consumed","Consumed","Consumed"
"methylarginine","Amino acid metabolism","Released","Released","Released","Released","Released","Released","Released"
"methylaspartate","Not assigned","Released","Consumed","Released","Released","Consumed","Consumed","Consumed"
"myo-inositol","Not assigned","Released","Consumed","Released","Released","Released","Released","Released"
"N-acetylaspartate","Alanine, aspartate and glutamate metabolism","Consumed","Released","Consumed","Consumed","Consumed","Consumed","Consumed"
"N-acetylglutamate","Amino acid metabolism","Consumed","Released","Consumed","Consumed","Consumed","Consumed","Consumed"
"N-acetylneuramic acid","Not assigned","Consumed","Released","Consumed","Released","Released","Released","Released"
"oleic acid","Not assigned","Consumed","Consumed","Consumed","Consumed","Consumed","Consumed","Consumed"
"ornithine","Amino acid metabolism","Consumed","Released","Consumed","Consumed","Consumed","Consumed","Consumed"
"orotate","Pyrimidine metabolism","Released","Consumed","Released","Released","Consumed","Consumed","Consumed"
"palmitate","Fatty acid biosynthesis","Consumed","Consumed","Consumed","Consumed","Consumed","Consumed","Consumed"
"pantothenate","Vitamin digestion and absorption","Consumed","Consumed","Consumed","Consumed","Released","Released","Consumed"
"phenylalanine","Amino acid metabolism","Consumed","Released","Consumed","Consumed","Released","Consumed","Consumed"
"phosphocholine","Not assigned","Consumed","Released","Consumed","Consumed","Consumed","Consumed","Released"
"proline","Amino acid metabolism","Released","Consumed","Released","Released","Consumed","Consumed","Consumed"
"propionylcarnitine","Fatty acyl carnitines","Consumed","Released","Consumed","Consumed","Released","Consumed","Consumed"
"pyroglutamic-acid","Glutathione metabolism","Consumed","Consumed","Consumed","Released","Released","Released","Released"
"pyruvate","Glycolysis / Gluconeogenesis","Released","Released","Released","Released","Released","Consumed","Consumed"
"serine","Amino acid metabolism","Consumed","Released","Consumed","Consumed","Released","Released","Consumed"
"stearic acid","Fatty acid biosynthesis","Consumed","Consumed","Consumed","Consumed","Consumed","Consumed","Consumed"
"succinate","Citrate cycle (TCA cycle)","Consumed","Consumed","Consumed","Consumed","Released","Released","Consumed"
"succinyladenosine","Not assigned","Consumed","Consumed","Consumed","Consumed","Consumed","Consumed","Consumed"
"taurine","Not assigned","Consumed","Consumed","Consumed","Released","Released","Released","Consumed"
"threonine","Amino acid metabolism","Consumed","Released","Consumed","Consumed","Released","Released","Consumed"
"tryptophan","Amino acid metabolism","Consumed","Released","Consumed","Consumed","Consumed","Consumed","Consumed"
"tyrosine","Amino acid metabolism","Consumed","Consumed","Consumed","Consumed","Released","Consumed","Consumed"
"uric acid","Purine metabolism","Consumed","Released","Consumed","Consumed","Released","Released","Consumed"
"valine","Valine, leucine and isoleucine biosynthesis","Consumed","Released","Consumed","Consumed","Released","Released","Consumed"
"xanthine","Purine metabolism","Released","Consumed","Released","Released","Released","Released","Released"
