HMDB,PotentialAdditionalIDs,AllIDs
HMDB0000156,HMDB0000744,"HMDB0000156, HMDB0000744"
HMDB0000157,NA,HMDB0000157
HMDB0000158,HMDB0000647,"HMDB0000158, HMDB0000647"
HMDB0000159,HMDB0000612,"HMDB0000159, HMDB0000612"
HMDB0000160,HMDB0006088,"HMDB0006088, HMDB0000160"
HMDB0000161,HMDB0001310,"HMDB0000161, HMDB0001310"
HMDB0000162,HMDB0003411,"HMDB0000162, HMDB0003411"
HMDB0000163,NA,HMDB0000163
HMDB0000165,HMDB0000742,"HMDB0000742, HMDB0000165"
HMDB0000167,HMDB0004041,"HMDB0000167, HMDB0004041"
HMDB0000168,HMDB0033780,"HMDB0000168, HMDB0033780"
HMDB0000169,NA,HMDB0000169
HMDB0000172,HMDB0000557,"HMDB0000172, HMDB0000557"
HMDB0000174,HMDB0059624,"HMDB0000174, HMDB0059624"
HMDB0000177,HMDB0003412,"HMDB0000177, HMDB0003412"
HMDB0000182,"HMDB0062809, HMDB0003405","HMDB0000182, HMDB0062809, HMDB0003405"
HMDB0000183,HMDB0000684,"HMDB0000684, HMDB0000183"
HMDB0000187,"HMDB0000589, HMDB0062263, HMDB0003406","HMDB0000187, HMDB0000589, HMDB0062263, HMDB0003406"
HMDB0000190,"HMDB0003328, HMDB0062492","HMDB0000190, HMDB0003328, HMDB0062492"
HMDB0000191,HMDB0006483,"HMDB0000191, HMDB0006483"
HMDB0000192,NA,HMDB0000192
HMDB0000194,NA,HMDB0000194
HMDB0000195,NA,HMDB0000195
HMDB0000197,HMDB0302181,"HMDB0000197, HMDB0302181"
HMDB0000199,HMDB0001851,"HMDB0001851, HMDB0000199"
HMDB0000201,"HMDB0240773, HMDB0000456, HMDB0000515","HMDB0000201, HMDB0240773, HMDB0000456, HMDB0000515"
HMDB0000206,NA,HMDB0000206
HMDB0000207,HMDB0002066,"HMDB0000207, HMDB0002066"
HMDB0000210,"HMDB0250782, HMDB0062717","HMDB0000210, HMDB0250782, HMDB0062717"
HMDB0000211,HMDB0002256,"HMDB0000211, HMDB0002256"
HMDB0000213,NA,HMDB0000213
HMDB0000214,"HMDB0000818, HMDB0004984, HMDB0003374","HMDB0000214, HMDB0000818, HMDB0004984, HMDB0003374"
HMDB0000215,"HMDB0000533, HMDB0014288","HMDB0000215, HMDB0000533, HMDB0014288"
HMDB0000220,HMDB0060083,"HMDB0000220, HMDB0060083"
HMDB0000224,"HMDB0012279, HMDB0060151, HMDB0060152","HMDB0000224, HMDB0012279, HMDB0060151, HMDB0060152"
HMDB0000229,HMDB0059645,"HMDB0000229, HMDB0059645"
HMDB0000230,HMDB0000800,"HMDB0000230, HMDB0000800"
HMDB0000232,HMDB0001011,"HMDB0000232, HMDB0001011"
HMDB0000234,HMDB0000628,"HMDB0000234, HMDB0000628"
HMDB0000244,NA,HMDB0000244
HMDB0000247,NA,HMDB0000247
HMDB0000250,HMDB0304340,"HMDB0000250, HMDB0304340"
HMDB0000251,NA,HMDB0000251
HMDB0000252,HMDB0062807,"HMDB0000252, HMDB0062807"
HMDB0000254,NA,HMDB0000254
HMDB0000256,NA,HMDB0000256
HMDB0000262,NA,HMDB0000262
HMDB0000263,NA,HMDB0000263
HMDB0000267,"HMDB0000805, HMDB0060262","HMDB0000267, HMDB0000805, HMDB0060262"
HMDB0000269,NA,HMDB0000269
HMDB0000271,NA,HMDB0000271
HMDB0000273,NA,HMDB0000273
HMDB0000279,HMDB0062698,"HMDB0000279, HMDB0062698"
HMDB0000283,HMDB0012194,"HMDB0000283, HMDB0012194"
HMDB0000289,NA,HMDB0000289
HMDB0000291,"HMDB0133489, HMDB0304531","HMDB0000291, HMDB0133489, HMDB0304531"
HMDB0000292,NA,HMDB0000292
HMDB0000294,NA,HMDB0000294
HMDB0000296,NA,HMDB0000296
HMDB0000299,NA,HMDB0000299
HMDB0000300,NA,HMDB0000300
HMDB0000301,"HMDB0002280, HMDB0034174","HMDB0000301, HMDB0002280, HMDB0034174"
HMDB0000318,HMDB0005870,"HMDB0000318, HMDB0005870"
HMDB0000357,HMDB0000011,"HMDB0000011, HMDB0000357"
HMDB0000362,"HMDB0062707, HMDB0003391, HMDB0304085","HMDB0000362, HMDB0062707, HMDB0003391, HMDB0304085"
HMDB0000378,HMDB0001963,"HMDB0000378, HMDB0001963"
HMDB0000402,NA,HMDB0000402
HMDB0000407,HMDB0062584,"HMDB0000407, HMDB0062584"
HMDB0000426,NA,HMDB0000426
HMDB0000446,NA,HMDB0000446
HMDB0000448,HMDB0004862,"HMDB0000448, HMDB0004862"
HMDB0000456,"HMDB0000201, HMDB0240773, HMDB0000515","HMDB0000201, HMDB0240773, HMDB0000456, HMDB0000515"
HMDB0000461,HMDB0000072,"HMDB0000072, HMDB0000461"
HMDB0000479,"HMDB0000001, HMDB0004935, HMDB0006703, HMDB0006704","HMDB0000001, HMDB0000479, HMDB0004935, HMDB0006703, HMDB0006704"
HMDB0000482,"HMDB0062511, HMDB0304443","HMDB0000482, HMDB0062511, HMDB0304443"
HMDB0000485,HMDB0003911,"HMDB0003911, HMDB0000485"
HMDB0000488,"HMDB0000054, HMDB0240584","HMDB0000054, HMDB0000488, HMDB0240584"
HMDB0000491,"HMDB0001962, HMDB0002254, HMDB0003736, HMDB0004750","HMDB0000491, HMDB0001962, HMDB0002254, HMDB0003736, HMDB0004750"
HMDB0000505,HMDB0000619,"HMDB0000505, HMDB0000619"
HMDB0000507,"HMDB0000067, HMDB0062453","HMDB0000067, HMDB0000507, HMDB0062453"
HMDB0000508,NA,HMDB0000508
HMDB0000510,HMDB0302754,"HMDB0000510, HMDB0302754"
HMDB0000511,NA,HMDB0000511
HMDB0000512,NA,HMDB0000512
HMDB0000515,"HMDB0000201, HMDB0240773, HMDB0000456","HMDB0000201, HMDB0240773, HMDB0000456, HMDB0000515"
HMDB0000516,"HMDB0000122, HMDB0304632, HMDB0003340, HMDB0006564, HMDB0062170","HMDB0000122, HMDB0304632, HMDB0000516, HMDB0003340, HMDB0006564, HMDB0062170"
HMDB0000517,"HMDB0062762, HMDB0003416","HMDB0000517, HMDB0062762, HMDB0003416"
HMDB0000532,NA,HMDB0000532
HMDB0000533,"HMDB0000215, HMDB0014288","HMDB0000215, HMDB0000533, HMDB0014288"
HMDB0000535,HMDB0061883,"HMDB0000535, HMDB0061883"
HMDB0000536,"HMDB0001332, HMDB0011633, HMDB0059653","HMDB0000536, HMDB0001332, HMDB0011633, HMDB0059653"
HMDB0000539,NA,HMDB0000539
HMDB0000552,NA,HMDB0000552
HMDB0000562,NA,HMDB0000562
HMDB0000568,NA,HMDB0000568
HMDB0000574,HMDB0003417,"HMDB0000574, HMDB0003417"
HMDB0000589,"HMDB0000187, HMDB0062263","HMDB0000187, HMDB0000589, HMDB0062263"
HMDB0000594,HMDB0029562,"HMDB0000594, HMDB0029562"
HMDB0000606,HMDB0002323,"HMDB0000606, HMDB0002323"
HMDB0000612,HMDB0000159,"HMDB0000159, HMDB0000612"
HMDB0000613,NA,HMDB0000613
HMDB0000615,HMDB0000068,"HMDB0000068, HMDB0000615"
HMDB0000619,HMDB0000505,"HMDB0000505, HMDB0000619"
HMDB0000621,NA,HMDB0000621
HMDB0000623,NA,HMDB0000623
HMDB0000625,HMDB0003373,"HMDB0000625, HMDB0003373"
HMDB0000628,HMDB0000234,"HMDB0000234, HMDB0000628"
HMDB0000638,NA,HMDB0000638
HMDB0000641,HMDB0003423,"HMDB0000641, HMDB0003423"
HMDB0000647,HMDB0000158,"HMDB0000158, HMDB0000647"
HMDB0000650,HMDB0000452,"HMDB0000452, HMDB0000650"
HMDB0000654,HMDB0001644,"HMDB0001644, HMDB0000654"
HMDB0000656,HMDB0003337,"HMDB0000656, HMDB0003337"
HMDB0000660,NA,HMDB0000660
HMDB0000661,NA,HMDB0000661
HMDB0000663,HMDB0029881,"HMDB0000663, HMDB0029881"
HMDB0000671,NA,HMDB0000671
HMDB0000673,NA,HMDB0000673
HMDB0000682,HMDB0003309,"HMDB0000682, HMDB0003309"
HMDB0000684,HMDB0000183,"HMDB0000684, HMDB0000183"
HMDB0000687,HMDB0013773,"HMDB0000687, HMDB0013773"
HMDB0000688,NA,HMDB0000688
HMDB0000695,HMDB0000762,"HMDB0000695, HMDB0000762"
HMDB0000696,NA,HMDB0000696
HMDB0000705,HMDB0000756,"HMDB0000756, HMDB0000705"
HMDB0000706,"HMDB0006113, HMDB0028760","HMDB0000706, HMDB0006113, HMDB0028760"
HMDB0000710,HMDB0015507,"HMDB0000710, HMDB0015507"
HMDB0000714,"HMDB0011723, HMDB0062583","HMDB0000714, HMDB0011723, HMDB0062583"
HMDB0000716,HMDB0000070,"HMDB0000070, HMDB0000716"
HMDB0000719,NA,HMDB0000719
HMDB0000721,NA,HMDB0000721
HMDB0000725,"HMDB0006055, HMDB0036576","HMDB0000725, HMDB0006055, HMDB0036576"
HMDB0000729,HMDB0242161,"HMDB0000729, HMDB0242161"
HMDB0000736,"HMDB0002083, HMDB0062556, HMDB0062606","HMDB0000736, HMDB0002083, HMDB0062556, HMDB0062606"
HMDB0000742,HMDB0000165,"HMDB0000742, HMDB0000165"
HMDB0000744,HMDB0000156,"HMDB0000156, HMDB0000744"
HMDB0000755,NA,HMDB0000755
HMDB0000756,HMDB0000705,"HMDB0000756, HMDB0000705"
HMDB0000759,NA,HMDB0000759
HMDB0000762,HMDB0000695,"HMDB0000695, HMDB0000762"
HMDB0000765,HMDB0001363,"HMDB0000765, HMDB0001363"
HMDB0000766,NA,HMDB0000766
HMDB0000767,HMDB0006075,"HMDB0000767, HMDB0006075"
HMDB0000784,NA,HMDB0000784
HMDB0000800,HMDB0000230,"HMDB0000230, HMDB0000800"
HMDB0000803,NA,HMDB0000803
HMDB0000805,"HMDB0000267, HMDB0060262","HMDB0000267, HMDB0000805, HMDB0060262"
HMDB0000806,NA,HMDB0000806
HMDB0000807,NA,HMDB0000807
HMDB0000812,NA,HMDB0000812
HMDB0000818,"HMDB0000214, HMDB0004984","HMDB0000214, HMDB0000818, HMDB0004984"
HMDB0000824,HMDB0062514,"HMDB0000824, HMDB0062514"
HMDB0000826,NA,HMDB0000826
HMDB0000827,NA,HMDB0000827
HMDB0000840,NA,HMDB0000840
HMDB0000847,NA,HMDB0000847
HMDB0000848,HMDB0062532,"HMDB0000848, HMDB0062532"
HMDB0000855,NA,HMDB0000855
HMDB0000866,NA,HMDB0000866
HMDB0000870,HMDB0060263,"HMDB0000870, HMDB0060263"
HMDB0000875,NA,HMDB0000875
HMDB0000883,HMDB0034366,"HMDB0000883, HMDB0034366"
HMDB0000884,NA,HMDB0000884
HMDB0000888,NA,HMDB0000888
HMDB0000902,HMDB0249146,"HMDB0000902, HMDB0249146"
HMDB0000904,NA,HMDB0000904
HMDB0000908,NA,HMDB0000908
HMDB0000929,HMDB0013609,"HMDB0000929, HMDB0013609"
HMDB0000939,NA,HMDB0000939
HMDB0000943,"HMDB0245425, HMDB0062620","HMDB0000943, HMDB0245425, HMDB0062620"
HMDB0000956,HMDB0059916,"HMDB0000956, HMDB0059916"
HMDB0000965,NA,HMDB0000965
HMDB0000973,"HMDB0001429, HMDB0002105, HMDB0002142, HMDB0005947","HMDB0001429, HMDB0000973, HMDB0002105, HMDB0002142, HMDB0005947"
HMDB0001006,HMDB0000052,"HMDB0000052, HMDB0001006"
HMDB0001011,HMDB0000232,"HMDB0000232, HMDB0001011"
HMDB0001032,HMDB0002759,"HMDB0001032, HMDB0002759"
HMDB0001043,HMDB0060102,"HMDB0001043, HMDB0060102"
HMDB0001049,HMDB0029146,"HMDB0001049, HMDB0029146"
HMDB0001062,NA,HMDB0001062
HMDB0001067,HMDB0255414,"HMDB0001067, HMDB0255414"
HMDB0001068,"HMDB0258206, HMDB0062754","HMDB0001068, HMDB0258206, HMDB0062754"
HMDB0001076,HMDB0062538,"HMDB0001076, HMDB0062538"
HMDB0001078,HMDB0304312,"HMDB0001078, HMDB0304312"
HMDB0001161,HMDB0006831,"HMDB0001161, HMDB0006831"
HMDB0001173,NA,HMDB0001173
HMDB0001212,NA,HMDB0001212
HMDB0001220,NA,HMDB0001220
HMDB0001248,HMDB0252293,"HMDB0001248, HMDB0252293"
HMDB0001256,NA,HMDB0001256
HMDB0001257,NA,HMDB0001257
HMDB0001262,"HMDB0006857, HMDB0038852","HMDB0001262, HMDB0006857, HMDB0038852"
HMDB0001296,"HMDB0029931, HMDB0252767","HMDB0001296, HMDB0029931, HMDB0252767"
HMDB0001306,HMDB0001586,"HMDB0001586, HMDB0001306"
HMDB0001316,NA,HMDB0001316
HMDB0001325,NA,HMDB0001325
HMDB0001332,"HMDB0000536, HMDB0011633, HMDB0059653","HMDB0000536, HMDB0001332, HMDB0011633, HMDB0059653"
HMDB0001344,HMDB0002273,"HMDB0002273, HMDB0001344"
HMDB0001352,NA,HMDB0001352
HMDB0001363,HMDB0000765,"HMDB0000765, HMDB0001363"
HMDB0001373,NA,HMDB0001373
HMDB0001388,NA,HMDB0001388
HMDB0001396,NA,HMDB0001396
HMDB0001401,"HMDB0001549, HMDB0006793","HMDB0001401, HMDB0001549, HMDB0006793"
HMDB0001406,NA,HMDB0001406
HMDB0001414,HMDB0060243,"HMDB0001414, HMDB0060243"
HMDB0001429,"HMDB0000973, HMDB0002105, HMDB0002142, HMDB0005947","HMDB0001429, HMDB0000973, HMDB0002105, HMDB0002142, HMDB0005947"
HMDB0001432,HMDB0060259,"HMDB0001432, HMDB0060259"
HMDB0001463,"HMDB0000125, HMDB0006960","HMDB0000125, HMDB0001463, HMDB0006960"
HMDB0001467,HMDB0000062,"HMDB0000062, HMDB0001467"
HMDB0001487,NA,HMDB0001487
HMDB0001488,NA,HMDB0001488
HMDB0001492,HMDB0002634,"HMDB0001492, HMDB0002634"
HMDB0001496,NA,HMDB0001496
HMDB0001539,NA,HMDB0001539
HMDB0001545,NA,HMDB0001545
HMDB0001549,"HMDB0001401, HMDB0006793","HMDB0001401, HMDB0001549, HMDB0006793"
HMDB0001563,NA,HMDB0001563
HMDB0001586,HMDB0001306,"HMDB0001586, HMDB0001306"
HMDB0001644,HMDB0000654,"HMDB0001644, HMDB0000654"
HMDB0001851,HMDB0000199,"HMDB0001851, HMDB0000199"
HMDB0001858,HMDB0013762,"HMDB0001858, HMDB0013762"
HMDB0001859,NA,HMDB0001859
HMDB0001870,HMDB0304270,"HMDB0001870, HMDB0304270"
HMDB0001881,NA,HMDB0001881
HMDB0001882,NA,HMDB0001882
HMDB0001893,NA,HMDB0001893
HMDB0001895,"HMDB0015470, HMDB0302214","HMDB0001895, HMDB0015470, HMDB0302214"
HMDB0001921,NA,HMDB0001921
HMDB0001923,NA,HMDB0001923
HMDB0001924,NA,HMDB0001924
HMDB0001928,NA,HMDB0001928
HMDB0001930,HMDB0005003,"HMDB0001930, HMDB0005003"
HMDB0001932,NA,HMDB0001932
HMDB0001954,NA,HMDB0001954
HMDB0001962,"HMDB0000491, HMDB0002254, HMDB0003736, HMDB0004750","HMDB0000491, HMDB0001962, HMDB0002254, HMDB0003736, HMDB0004750"
HMDB0001963,HMDB0000378,"HMDB0000378, HMDB0001963"
HMDB0001976,"HMDB0060113, HMDB0013123","HMDB0001976, HMDB0060113, HMDB0013123"
HMDB0001999,NA,HMDB0001999
HMDB0002000,NA,HMDB0002000
HMDB0002013,HMDB0062510,"HMDB0002013, HMDB0062510"
HMDB0002066,HMDB0000207,"HMDB0000207, HMDB0002066"
HMDB0002068,NA,HMDB0002068
HMDB0002083,"HMDB0000736, HMDB0062556, HMDB0062606","HMDB0000736, HMDB0002083, HMDB0062556, HMDB0062606"
HMDB0002095,"HMDB0062496, HMDB0062592","HMDB0002095, HMDB0062496, HMDB0062592"
HMDB0002105,"HMDB0001429, HMDB0000973, HMDB0002142, HMDB0005947","HMDB0001429, HMDB0000973, HMDB0002105, HMDB0002142, HMDB0005947"
HMDB0002108,HMDB0302211,"HMDB0002108, HMDB0302211"
HMDB0002142,"HMDB0001429, HMDB0000973, HMDB0002105, HMDB0005947","HMDB0001429, HMDB0000973, HMDB0002105, HMDB0002142, HMDB0005947"
HMDB0002183,HMDB0062579,"HMDB0002183, HMDB0062579"
HMDB0002203,HMDB0010725,"HMDB0002203, HMDB0010725"
HMDB0002212,NA,HMDB0002212
HMDB0002218,HMDB0011134,"HMDB0011134, HMDB0002218"
HMDB0002226,HMDB0062580,"HMDB0002226, HMDB0062580"
HMDB0002231,NA,HMDB0002231
HMDB0002250,HMDB0062713,"HMDB0002250, HMDB0062713"
HMDB0002254,"HMDB0000491, HMDB0001962, HMDB0003736, HMDB0004750","HMDB0000491, HMDB0001962, HMDB0002254, HMDB0003736, HMDB0004750"
HMDB0002256,HMDB0000211,"HMDB0000211, HMDB0002256"
HMDB0002259,NA,HMDB0002259
HMDB0002271,NA,HMDB0002271
HMDB0002273,HMDB0001344,"HMDB0002273, HMDB0001344"
HMDB0002280,"HMDB0000301, HMDB0034174","HMDB0000301, HMDB0002280, HMDB0034174"
HMDB0002323,HMDB0000606,"HMDB0000606, HMDB0002323"
HMDB0002368,HMDB0303950,"HMDB0002368, HMDB0303950"
HMDB0002520,NA,HMDB0002520
HMDB0002634,HMDB0001492,"HMDB0001492, HMDB0002634"
HMDB0002639,HMDB0062801,"HMDB0002639, HMDB0062801"
HMDB0002712,"HMDB0011726, HMDB0011736","HMDB0002712, HMDB0011726, HMDB0011736"
HMDB0002722,HMDB0000126,"HMDB0000126, HMDB0002722"
HMDB0002752,HMDB0062524,"HMDB0002752, HMDB0062524"
HMDB0002759,HMDB0001032,"HMDB0001032, HMDB0002759"
HMDB0002802,NA,HMDB0002802
HMDB0002815,NA,HMDB0002815
HMDB0002817,NA,HMDB0002817
HMDB0002820,NA,HMDB0002820
HMDB0002823,NA,HMDB0002823
HMDB0002825,NA,HMDB0002825
HMDB0002886,NA,HMDB0002886
HMDB0002917,HMDB0242149,"HMDB0002917, HMDB0242149"
HMDB0002923,NA,HMDB0002923
HMDB0002925,HMDB0006735,"HMDB0002925, HMDB0006735"
HMDB0002931,NA,HMDB0002931
HMDB0002994,HMDB0094689,"HMDB0002994, HMDB0094689"
HMDB0003035,HMDB0000115,"HMDB0000115, HMDB0003035"
HMDB0003045,NA,HMDB0003045
HMDB0003072,NA,HMDB0003072
HMDB0003178,NA,HMDB0003178
HMDB0003229,"HMDB0012328, HMDB0060082","HMDB0003229, HMDB0012328, HMDB0060082"
HMDB0003231,"HMDB0240219, HMDB0010377","HMDB0003231, HMDB0240219, HMDB0010377"
HMDB0003309,HMDB0000682,"HMDB0000682, HMDB0003309"
HMDB0003328,"HMDB0000190, HMDB0062492","HMDB0000190, HMDB0003328, HMDB0062492"
HMDB0003331,NA,HMDB0003331
HMDB0003334,NA,HMDB0003334
HMDB0003337,HMDB0000656,"HMDB0000656, HMDB0003337"
HMDB0003339,HMDB0000148,"HMDB0000148, HMDB0003339"
HMDB0003340,"HMDB0000122, HMDB0304632, HMDB0000516, HMDB0006564, HMDB0062170","HMDB0000122, HMDB0304632, HMDB0000516, HMDB0003340, HMDB0006564, HMDB0062170"
HMDB0003345,HMDB0061922,"HMDB0003345, HMDB0061922"
HMDB0003355,NA,HMDB0003355
HMDB0003357,HMDB0006489,"HMDB0003357, HMDB0006489"
HMDB0003371,NA,HMDB0003371
HMDB0003373,HMDB0000625,"HMDB0000625, HMDB0003373"
HMDB0003374,HMDB0000214,"HMDB0000214, HMDB0003374"
HMDB0003391,"HMDB0000362, HMDB0062707, HMDB0304085","HMDB0000362, HMDB0062707, HMDB0003391, HMDB0304085"
HMDB0003406,HMDB0000187,"HMDB0000187, HMDB0003406"
HMDB0003412,HMDB0000177,"HMDB0000177, HMDB0003412"
HMDB0003459,NA,HMDB0003459
HMDB0003464,HMDB0005991,"HMDB0003464, HMDB0005991"
HMDB0003466,NA,HMDB0003466
HMDB0003540,HMDB0006550,"HMDB0003540, HMDB0006550"
HMDB0003736,"HMDB0000491, HMDB0001962, HMDB0002254, HMDB0004750","HMDB0000491, HMDB0001962, HMDB0002254, HMDB0003736, HMDB0004750"
HMDB0003763,"HMDB0000098, HMDB0060254","HMDB0000098, HMDB0003763, HMDB0060254"
HMDB0003818,NA,HMDB0003818
HMDB0003911,HMDB0000485,"HMDB0003911, HMDB0000485"
HMDB0003971,NA,HMDB0003971
HMDB0004025,HMDB0005943,"HMDB0004025, HMDB0005943"
HMDB0004041,HMDB0000167,"HMDB0000167, HMDB0004041"
HMDB0004136,NA,HMDB0004136
HMDB0004159,"HMDB0004160, HMDB0004161","HMDB0004160, HMDB0004159, HMDB0004161"
HMDB0004160,"HMDB0004159, HMDB0004161","HMDB0004160, HMDB0004159, HMDB0004161"
HMDB0004161,"HMDB0004160, HMDB0004159","HMDB0004160, HMDB0004159, HMDB0004161"
HMDB0004193,NA,HMDB0004193
HMDB0004401,"HMDB0000050, HMDB0004402, HMDB0004421","HMDB0000050, HMDB0004401, HMDB0004402, HMDB0004421"
HMDB0004402,"HMDB0000050, HMDB0004401, HMDB0004421","HMDB0000050, HMDB0004401, HMDB0004402, HMDB0004421"
HMDB0004421,"HMDB0000050, HMDB0004401, HMDB0004402","HMDB0000050, HMDB0004401, HMDB0004402, HMDB0004421"
HMDB0004610,NA,HMDB0004610
HMDB0004620,NA,HMDB0004620
HMDB0004750,"HMDB0000491, HMDB0001962, HMDB0002254, HMDB0003736","HMDB0000491, HMDB0001962, HMDB0002254, HMDB0003736, HMDB0004750"
HMDB0004824,NA,HMDB0004824
HMDB0004827,NA,HMDB0004827
HMDB0004862,HMDB0000448,"HMDB0000448, HMDB0004862"
HMDB0004935,"HMDB0000001, HMDB0000479, HMDB0006703, HMDB0006704","HMDB0000001, HMDB0000479, HMDB0004935, HMDB0006703, HMDB0006704"
HMDB0004984,"HMDB0000214, HMDB0000818","HMDB0000214, HMDB0000818, HMDB0004984"
HMDB0004995,HMDB0014463,"HMDB0004995, HMDB0014463"
HMDB0005003,HMDB0001930,"HMDB0001930, HMDB0005003"
HMDB0005006,NA,HMDB0005006
HMDB0005014,NA,HMDB0005014
HMDB0005015,NA,HMDB0005015
HMDB0005016,NA,HMDB0005016
HMDB0005038,NA,HMDB0005038
HMDB0005060,NA,HMDB0005060
HMDB0005065,HMDB0062772,"HMDB0005065, HMDB0062772"
HMDB0005765,NA,HMDB0005765
HMDB0005831,NA,HMDB0005831
HMDB0005862,NA,HMDB0005862
HMDB0005870,HMDB0000318,"HMDB0000318, HMDB0005870"
HMDB0005943,HMDB0004025,"HMDB0004025, HMDB0005943"
HMDB0005947,"HMDB0001429, HMDB0000973, HMDB0002105, HMDB0002142","HMDB0001429, HMDB0000973, HMDB0002105, HMDB0002142, HMDB0005947"
HMDB0005991,HMDB0003464,"HMDB0003464, HMDB0005991"
HMDB0006028,NA,HMDB0006028
HMDB0006029,NA,HMDB0006029
HMDB0006055,"HMDB0000725, HMDB0036576","HMDB0000725, HMDB0006055, HMDB0036576"
HMDB0006075,HMDB0000767,"HMDB0000767, HMDB0006075"
HMDB0006088,HMDB0000160,"HMDB0006088, HMDB0000160"
HMDB0006113,"HMDB0000706, HMDB0028760","HMDB0000706, HMDB0006113, HMDB0028760"
HMDB0006116,NA,HMDB0006116
HMDB0006119,NA,HMDB0006119
HMDB0006294,HMDB0155887,"HMDB0006294, HMDB0155887"
HMDB0006335,NA,HMDB0006335
HMDB0006344,NA,HMDB0006344
HMDB0006489,HMDB0003357,"HMDB0003357, HMDB0006489"
HMDB0006528,NA,HMDB0006528
HMDB0006547,NA,HMDB0006547
HMDB0006550,HMDB0003540,"HMDB0003540, HMDB0006550"
HMDB0006564,"HMDB0000122, HMDB0304632, HMDB0000516, HMDB0003340, HMDB0062170","HMDB0000122, HMDB0304632, HMDB0000516, HMDB0003340, HMDB0006564, HMDB0062170"
HMDB0006569,NA,HMDB0006569
HMDB0006695,HMDB0029018,"HMDB0006695, HMDB0029018"
HMDB0006703,"HMDB0000001, HMDB0000479, HMDB0004935, HMDB0006704","HMDB0000001, HMDB0000479, HMDB0004935, HMDB0006703, HMDB0006704"
HMDB0006704,"HMDB0000001, HMDB0000479, HMDB0004935, HMDB0006703","HMDB0000001, HMDB0000479, HMDB0004935, HMDB0006703, HMDB0006704"
HMDB0006735,HMDB0002925,"HMDB0002925, HMDB0006735"
HMDB0006793,"HMDB0001401, HMDB0001549","HMDB0001401, HMDB0001549, HMDB0006793"
HMDB0006831,HMDB0001161,"HMDB0001161, HMDB0006831"
HMDB0006857,"HMDB0001262, HMDB0038852","HMDB0001262, HMDB0006857, HMDB0038852"
