feature,term,UniqueGene
HMDB0000626,Multidrug resistance,In multiple Pathways
HMDB0000036,Bile Acid Biosynthesis,In multiple Pathways
HMDB0000036,Multidrug resistance,In multiple Pathways
HMDB0000946,Bile Acid Biosynthesis,In multiple Pathways
HMDB0000946,Multidrug resistance,In multiple Pathways
HMDB0000896,Bile Acid Biosynthesis,In multiple Pathways
HMDB0000896,Multidrug resistance,In multiple Pathways
HMDB0000874,Bile Acid Biosynthesis,In multiple Pathways
HMDB0000874,Multidrug resistance,In multiple Pathways
HMDB0004483,Bile Acid Biosynthesis,In multiple Pathways
HMDB0004483,Multidrug resistance,In multiple Pathways
HMDB0000601,Bile Acid Biosynthesis,In multiple Pathways
HMDB0000601,Multidrug resistance,In multiple Pathways
HMDB0000761,Bile Acid Biosynthesis,In multiple Pathways
HMDB0000761,Multidrug resistance,In multiple Pathways
HMDB0000619,Bile Acid Biosynthesis,In multiple Pathways
HMDB0000619,Multidrug resistance,In multiple Pathways
HMDB0000708,Bile Acid Biosynthesis,In multiple Pathways
HMDB0000708,Multidrug resistance,In multiple Pathways
HMDB0001993,Bile Acid Biosynthesis,In multiple Pathways
HMDB0001993,Multidrug resistance,In multiple Pathways
HMDB0010316,Bile Acid Biosynthesis,In multiple Pathways
HMDB0010316,Multidrug resistance,In multiple Pathways
HMDB0000760,Bile Acid Biosynthesis,In multiple Pathways
HMDB0000760,Multidrug resistance,In multiple Pathways
HMDB0000359,Bile Acid Biosynthesis,In multiple Pathways
HMDB0000359,Multidrug resistance,In multiple Pathways
HMDB0001859,Bile Acid Biosynthesis,In multiple Pathways
HMDB0001859,Multidrug resistance,In multiple Pathways
HMDB0012455,Bile Acid Biosynthesis,In multiple Pathways
HMDB0012455,Multidrug resistance,In multiple Pathways
HMDB0011637,Bile Acid Biosynthesis,In multiple Pathways
HMDB0011637,Multidrug resistance,In multiple Pathways
HMDB0002208,Bile Acid Biosynthesis,In multiple Pathways
HMDB0002208,Multidrug resistance,In multiple Pathways
HMDB0000121,Eicosanoid Metabolism,In multiple Pathways
HMDB0000121,Nucleotide Metabolism,In multiple Pathways
HMDB0004242,Eicosanoid Metabolism,In multiple Pathways
HMDB0004242,Nucleotide Metabolism,In multiple Pathways
HMDB0001314,Steroid Metabolism,In multiple Pathways
HMDB0001314,Multidrug resistance,In multiple Pathways
HMDB0001314,Eicosanoid Metabolism,In multiple Pathways
HMDB0001314,Nucleotide Metabolism,In multiple Pathways
HMDB0010216,Eicosanoid Metabolism,In multiple Pathways
HMDB0010216,Nucleotide Metabolism,In multiple Pathways
HMDB0001220,Steroid Metabolism,In multiple Pathways
HMDB0001220,Multidrug resistance,In multiple Pathways
HMDB0001220,Eicosanoid Metabolism,In multiple Pathways
HMDB0001220,Nucleotide Metabolism,In multiple Pathways
HMDB0062222,Eicosanoid Metabolism,In multiple Pathways
HMDB0062222,Nucleotide Metabolism,In multiple Pathways
HMDB0000058,Steroid Metabolism,In multiple Pathways
HMDB0000058,Multidrug resistance,In multiple Pathways
HMDB0000058,Eicosanoid Metabolism,In multiple Pathways
HMDB0000058,Nucleotide Metabolism,In multiple Pathways
HMDB0006224,Steroid Metabolism,In multiple Pathways
HMDB0006224,Multidrug resistance,In multiple Pathways
HMDB0006224,Eicosanoid Metabolism,In multiple Pathways
HMDB0006224,Nucleotide Metabolism,In multiple Pathways
HMDB0000289,Steroid Metabolism,In multiple Pathways
HMDB0000289,Multidrug resistance,In multiple Pathways
HMDB0000289,Eicosanoid Metabolism,In multiple Pathways
HMDB0000289,Nucleotide Metabolism,In multiple Pathways
HMDB0000946,Steroid Metabolism,In multiple Pathways
HMDB0000946,Eicosanoid Metabolism,In multiple Pathways
HMDB0000946,Nucleotide Metabolism,In multiple Pathways
HMDB0001442,Steroid Metabolism,In multiple Pathways
HMDB0001442,Multidrug resistance,In multiple Pathways
HMDB0001442,Eicosanoid Metabolism,In multiple Pathways
HMDB0001442,Nucleotide Metabolism,In multiple Pathways
HMDB0000302,Blood Group Biosynthesis,Unique
HMDB0003571,"Fatty Acids Oxidation, peroxisomal",Unique
HMDB0001521,"Fatty Acids Oxidation, peroxisomal",Unique
HMDB0006498,"Fatty Acids Oxidation, peroxisomal",Unique
HMDB0060220,"Fatty Acids Oxidation, peroxisomal",Unique
HMDB0006368,"Fatty Acids Oxidation, peroxisomal",Unique
HMDB0001275,"Fatty Acids Oxidation, peroxisomal",Unique
HMDB0006404,"Fatty Acids Oxidation, peroxisomal",Unique
HMDB0003935,"Fatty Acids Oxidation, peroxisomal",Unique
HMDB0001114,"Fatty Acids Oxidation, peroxisomal",Unique
HMDB0001374,"Fatty Acids Oxidation, peroxisomal",Unique
HMDB0001322,"Fatty Acids Oxidation, peroxisomal",Unique
HMDB0012930,"Fatty Acids Oxidation, peroxisomal",Unique
HMDB0062368,"Fatty Acids Oxidation, peroxisomal",Unique
HMDB0001070,"Fatty Acids Oxidation, peroxisomal",Unique
HMDB0002845,"Fatty Acids Oxidation, peroxisomal",Unique
HMDB0062371,"Fatty Acids Oxidation, peroxisomal",Unique
HMDB0003125,"Fatty Acids Oxidation, peroxisomal",Unique
HMDB0060238,"Fatty Acids Oxidation, peroxisomal",Unique
HMDB0006402,"Fatty Acids Oxidation, peroxisomal",Unique
HMDB0003952,"Fatty Acids Oxidation, peroxisomal",Unique
HMDB0004258,"Fatty Acids Oxidation, peroxisomal",Unique
HMDB0060215,"Fatty Acids Oxidation, peroxisomal",Unique
HMDB0006891,"Fatty Acids Oxidation, peroxisomal",Unique
HMDB0001088,"Fatty Acids Oxidation, peroxisomal",Unique
HMDB0062214,"Fatty Acids Oxidation, peroxisomal",Unique
HMDB0001338,"Fatty Acids Oxidation, peroxisomal",Unique
HMDB0002057,"Fatty Acids Oxidation, peroxisomal",Unique
HMDB0003939,"Fatty Acids Oxidation, peroxisomal",Unique
HMDB0062369,"Fatty Acids Oxidation, peroxisomal",Unique
HMDB0001088,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0001248,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0062466,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0001197,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0001197,"Valine, Leucine and Isoleucine Metabolism",Unique
HMDB0001248,"Valine, Leucine and Isoleucine Metabolism",Unique
HMDB0001011,"Valine, Leucine and Isoleucine Metabolism",Unique
HMDB0001088,"Valine, Leucine and Isoleucine Metabolism",Unique
HMDB0001243,"Valine, Leucine and Isoleucine Metabolism",Unique
HMDB0062466,"Valine, Leucine and Isoleucine Metabolism",Unique
HMDB0003125,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0006404,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0006529,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0062214,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0062226,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0003945,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0006889,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0003571,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0001521,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0003947,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0003948,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0012930,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0012969,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0006368,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0013109,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0001070,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0013114,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0011689,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0004258,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0001338,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0001114,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0013028,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0004258,"Valine, Leucine and Isoleucine Metabolism",In multiple Pathways
HMDB0004258,"Fatty Acids Oxidation, mitochondrial",In multiple Pathways
HMDB0001197,"Valine, Leucine and Isoleucine Metabolism",In multiple Pathways
HMDB0001197,"Fatty Acids Oxidation, mitochondrial",In multiple Pathways
HMDB0001064,"Valine, Leucine and Isoleucine Metabolism",In multiple Pathways
HMDB0001064,"Fatty Acids Oxidation, mitochondrial",In multiple Pathways
HMDB0006368,"Valine, Leucine and Isoleucine Metabolism",In multiple Pathways
HMDB0006368,"Fatty Acids Oxidation, mitochondrial",In multiple Pathways
HMDB0001322,"Valine, Leucine and Isoleucine Metabolism",In multiple Pathways
HMDB0001322,"Fatty Acids Oxidation, mitochondrial",In multiple Pathways
HMDB0001248,"Valine, Leucine and Isoleucine Metabolism",In multiple Pathways
HMDB0001248,"Fatty Acids Oxidation, mitochondrial",In multiple Pathways
HMDB0001113,"Valine, Leucine and Isoleucine Metabolism",In multiple Pathways
HMDB0001113,"Fatty Acids Oxidation, mitochondrial",In multiple Pathways
HMDB0013109,"Valine, Leucine and Isoleucine Metabolism",In multiple Pathways
HMDB0013109,"Fatty Acids Oxidation, mitochondrial",In multiple Pathways
HMDB0001114,"Valine, Leucine and Isoleucine Metabolism",In multiple Pathways
HMDB0001114,"Fatty Acids Oxidation, mitochondrial",In multiple Pathways
HMDB0003945,"Valine, Leucine and Isoleucine Metabolism",In multiple Pathways
HMDB0003945,"Fatty Acids Oxidation, mitochondrial",In multiple Pathways
HMDB0001070,"Valine, Leucine and Isoleucine Metabolism",In multiple Pathways
HMDB0001070,"Fatty Acids Oxidation, mitochondrial",In multiple Pathways
HMDB0006529,"Valine, Leucine and Isoleucine Metabolism",In multiple Pathways
HMDB0006529,"Fatty Acids Oxidation, mitochondrial",In multiple Pathways
HMDB0001011,"Valine, Leucine and Isoleucine Metabolism",In multiple Pathways
HMDB0001011,"Fatty Acids Oxidation, mitochondrial",In multiple Pathways
HMDB0013111,"Valine, Leucine and Isoleucine Metabolism",In multiple Pathways
HMDB0013111,"Fatty Acids Oxidation, mitochondrial",In multiple Pathways
HMDB0012969,"Valine, Leucine and Isoleucine Metabolism",In multiple Pathways
HMDB0012969,"Fatty Acids Oxidation, mitochondrial",In multiple Pathways
HMDB0012930,"Valine, Leucine and Isoleucine Metabolism",In multiple Pathways
HMDB0012930,"Fatty Acids Oxidation, mitochondrial",In multiple Pathways
HMDB0013028,"Valine, Leucine and Isoleucine Metabolism",In multiple Pathways
HMDB0013028,"Fatty Acids Oxidation, mitochondrial",In multiple Pathways
HMDB0003947,"Valine, Leucine and Isoleucine Metabolism",In multiple Pathways
HMDB0003947,"Fatty Acids Oxidation, mitochondrial",In multiple Pathways
HMDB0003125,"Valine, Leucine and Isoleucine Metabolism",In multiple Pathways
HMDB0003125,"Fatty Acids Oxidation, mitochondrial",In multiple Pathways
HMDB0001493,"Valine, Leucine and Isoleucine Metabolism",In multiple Pathways
HMDB0001493,"Fatty Acids Oxidation, mitochondrial",In multiple Pathways
HMDB0003948,"Valine, Leucine and Isoleucine Metabolism",In multiple Pathways
HMDB0003948,"Fatty Acids Oxidation, mitochondrial",In multiple Pathways
HMDB0001072,"Valine, Leucine and Isoleucine Metabolism",In multiple Pathways
HMDB0001072,"Fatty Acids Oxidation, mitochondrial",In multiple Pathways
HMDB0062226,"Valine, Leucine and Isoleucine Metabolism",In multiple Pathways
HMDB0062226,"Fatty Acids Oxidation, mitochondrial",In multiple Pathways
HMDB0006404,"Valine, Leucine and Isoleucine Metabolism",In multiple Pathways
HMDB0006404,"Fatty Acids Oxidation, mitochondrial",In multiple Pathways
HMDB0006532,"Valine, Leucine and Isoleucine Metabolism",In multiple Pathways
HMDB0006532,"Fatty Acids Oxidation, mitochondrial",In multiple Pathways
HMDB0001338,"Valine, Leucine and Isoleucine Metabolism",In multiple Pathways
HMDB0001338,"Fatty Acids Oxidation, mitochondrial",In multiple Pathways
HMDB0006290,"Valine, Leucine and Isoleucine Metabolism",In multiple Pathways
HMDB0006290,"Fatty Acids Oxidation, mitochondrial",In multiple Pathways
HMDB0062466,"Valine, Leucine and Isoleucine Metabolism",In multiple Pathways
HMDB0062466,"Fatty Acids Oxidation, mitochondrial",In multiple Pathways
HMDB0001088,"Valine, Leucine and Isoleucine Metabolism",In multiple Pathways
HMDB0001088,"Fatty Acids Oxidation, mitochondrial",In multiple Pathways
HMDB0001243,"Valine, Leucine and Isoleucine Metabolism",In multiple Pathways
HMDB0001243,"Fatty Acids Oxidation, mitochondrial",In multiple Pathways
HMDB0006523,"Valine, Leucine and Isoleucine Metabolism",In multiple Pathways
HMDB0006523,"Fatty Acids Oxidation, mitochondrial",In multiple Pathways
HMDB0001521,"Valine, Leucine and Isoleucine Metabolism",In multiple Pathways
HMDB0001521,"Fatty Acids Oxidation, mitochondrial",In multiple Pathways
HMDB0062214,"Valine, Leucine and Isoleucine Metabolism",In multiple Pathways
HMDB0062214,"Fatty Acids Oxidation, mitochondrial",In multiple Pathways
HMDB0001275,"Valine, Leucine and Isoleucine Metabolism",In multiple Pathways
HMDB0001275,"Fatty Acids Oxidation, mitochondrial",In multiple Pathways
HMDB0013114,"Valine, Leucine and Isoleucine Metabolism",In multiple Pathways
HMDB0013114,"Fatty Acids Oxidation, mitochondrial",In multiple Pathways
HMDB0001041,"Valine, Leucine and Isoleucine Metabolism",In multiple Pathways
HMDB0001041,"Fatty Acids Oxidation, mitochondrial",In multiple Pathways
HMDB0003571,"Valine, Leucine and Isoleucine Metabolism",In multiple Pathways
HMDB0003571,"Fatty Acids Oxidation, mitochondrial",In multiple Pathways
HMDB0011689,"Valine, Leucine and Isoleucine Metabolism",In multiple Pathways
HMDB0011689,"Fatty Acids Oxidation, mitochondrial",In multiple Pathways
HMDB0002054,"Valine, Leucine and Isoleucine Metabolism",In multiple Pathways
HMDB0002054,"Fatty Acids Oxidation, mitochondrial",In multiple Pathways
HMDB0006290,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0001275,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0006523,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0001322,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0013111,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0001072,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0006532,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0001064,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0001243,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0001011,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0002845,"Valine, Leucine and Isoleucine Metabolism",In multiple Pathways
HMDB0002845,"Fatty Acids Oxidation, mitochondrial",In multiple Pathways
HMDB0013037,"Valine, Leucine and Isoleucine Metabolism",In multiple Pathways
HMDB0013037,"Fatty Acids Oxidation, mitochondrial",In multiple Pathways
HMDB0001157,"Valine, Leucine and Isoleucine Metabolism",In multiple Pathways
HMDB0001157,Ketone Bodies Metabolism,In multiple Pathways
HMDB0000097,Glycerophospholipid Metabolism,Unique
HMDB0000895,Glycerophospholipid Metabolism,Unique
HMDB0000042,Glycerophospholipid Metabolism,Unique
HMDB0000094,Citric Acid Cycle,Unique
HMDB0000223,Citric Acid Cycle,Unique
HMDB0001280,Tryptophan metabolism,Unique
HMDB0001330,Tryptophan metabolism,Unique
HMDB0000072,Citric Acid Cycle,Unique
HMDB0000193,Citric Acid Cycle,Unique
HMDB0001160,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0002925,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0000801,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0000795,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0003073,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0010378,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0013123,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0000827,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0002823,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0002356,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0000521,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0001043,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0002884,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0002259,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0000573,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0003231,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0060188,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0013025,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0000220,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0002177,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0000673,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0000237,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0006528,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0060233,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0000910,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0003229,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0000806,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0060207,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0000638,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0002345,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0002183,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0006267,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0002226,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0000826,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0001374,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0000619,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0006516,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0000772,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0001388,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0001999,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0006547,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0060213,"Fatty Acids Oxidation, mitochondrial",Unique
HMDB0000254,"Fatty Acids Oxidation, peroxisomal",Unique
HMDB0000448,"Fatty Acids Oxidation, peroxisomal",Unique
HMDB0001022,"Fatty Acids Oxidation, peroxisomal",Unique
HMDB0000619,"Fatty Acids Oxidation, peroxisomal",Unique
HMDB0000893,"Fatty Acids Oxidation, peroxisomal",Unique
HMDB0000220,"Fatty Acids Oxidation, peroxisomal",Unique
HMDB0000792,"Fatty Acids Oxidation, peroxisomal",Unique
HMDB0001197,"Fatty Acids Oxidation, peroxisomal",Unique
HMDB0006523,"Fatty Acids Oxidation, peroxisomal",Unique
HMDB0001072,"Fatty Acids Oxidation, peroxisomal",Unique
HMDB0013111,"Fatty Acids Oxidation, peroxisomal",Unique
HMDB0006529,"Fatty Acids Oxidation, peroxisomal",Unique
HMDB0003948,"Fatty Acids Oxidation, peroxisomal",Unique
HMDB0011689,"Fatty Acids Oxidation, peroxisomal",Unique
HMDB0001064,"Fatty Acids Oxidation, peroxisomal",Unique
HMDB0001248,"Fatty Acids Oxidation, peroxisomal",Unique
HMDB0006889,"Fatty Acids Oxidation, peroxisomal",Unique
HMDB0062466,"Fatty Acids Oxidation, peroxisomal",Unique
HMDB0062226,"Fatty Acids Oxidation, peroxisomal",Unique
HMDB0003945,"Fatty Acids Oxidation, peroxisomal",Unique
HMDB0011123,"Fatty Acids Oxidation, peroxisomal",Unique
HMDB0001197,Bile Acid Biosynthesis,Unique
HMDB0003125,Bile Acid Biosynthesis,Unique
HMDB0001248,Bile Acid Biosynthesis,Unique
HMDB0006368,Bile Acid Biosynthesis,Unique
HMDB0006889,Bile Acid Biosynthesis,Unique
HMDB0006523,Bile Acid Biosynthesis,Unique
HMDB0000244,Riboflavin Metabolism,Unique
HMDB0001520,Riboflavin Metabolism,Unique
HMDB0000089,Riboflavin Metabolism,Unique
HMDB0000133,Riboflavin Metabolism,Unique
HMDB0001227,Riboflavin Metabolism,Unique
HMDB0001397,Riboflavin Metabolism,Unique
HMDB0000273,Riboflavin Metabolism,Unique
HMDB0000288,Riboflavin Metabolism,Unique
HMDB0000296,Riboflavin Metabolism,Unique
HMDB0000095,Riboflavin Metabolism,Unique
HMDB0000772,Fatty Acid Metabolism,Unique
HMDB0001114,Fatty Acid Metabolism,Unique
HMDB0000207,Fatty Acid Metabolism,Unique
