"";"Metabolite";"CAS";"SUPER_PATHWAY";"SUB_PATHWAY";"COMP_ID";"PLATFORM";"RI";"MASS";"PUBCHEM";"KEGG";"HMDB"
"64";"2-methylbutyroylcarnitine";"31023-25-3";"Amino acid";"Valine, leucine and isoleucine metabolism";"35431";"LC/MS Pos";"2439";"246.1";"6426901";NA;"HMDB00378"
"65";"2-myristoylglycerophosphocholine*";NA;"Lipid";"Lysolipid";"35681";"LC/MS Pos";"5450";"468.3";NA;NA;NA
"66";"2-oleoylglycerol (2-monoolein)";"3443-84-3";"Lipid";"Monoacylglycerol";"35848";"GC/MS";"2170";"410.1";"5319879";NA;NA
"67";"2-oleoylglycerophosphocholine*";NA;"Lipid";"Lysolipid";"35254";"LC/MS Pos";"5640";"522.4";NA;NA;NA
"68";"2-oleoylglycerophosphoethanolamine*";NA;"Lipid";"Lysolipid";"35687";"LC/MS Neg";"5848";"478.3";NA;NA;NA
"69";"2-oleoylglycerophosphoserine*";NA;"Lipid";"Lysolipid";"37948";"LC/MS Neg";"5577";"522.29999999999995";NA;NA;NA
"70";"2-palmitoleoylglycerophosphocholine*";NA;"Lipid";"Lysolipid";"35819";"LC/MS Pos";"5482";"494.3";NA;NA;NA
"71";"2-palmitoylglycerol (2-monopalmitin)";"23470-00-0";"Lipid";"Monoacylglycerol";"33419";"GC/MS";"2108";"129";"123409";NA;NA
"72";"2-palmitoylglycerophosphocholine*";NA;"Lipid";"Lysolipid";"35253";"LC/MS Pos";"5604";"496.3";NA;NA;NA
"73";"2-palmitoylglycerophosphoethanolamine*";NA;"Lipid";"Lysolipid";"35688";"LC/MS Neg";"5790";"452.3";NA;NA;NA
"74";"2-phosphoglycerate";"70195-25-4";"Carbohydrate";"Glycolysis, gluconeogenesis, pyruvate metabolism";"35629";"GC/MS";"1734";"459.1";NA;"C00631";"HMDB03391"
"75";"2-stearoylglycerophosphocholine*";NA;"Lipid";"Lysolipid";"35255";"LC/MS Pos";"5780";"524.4";"10208382";NA;NA
"76";"2-stearoylglycerophosphoethanolamine*";NA;"Lipid";"Lysolipid";"41220";"LC/MS Pos";"5779.6";"482.2";NA;NA;NA
"77";"3'-dephosphocoenzyme A";"3633-59-8";"Cofactors and vitamins";"Pantothenate and CoA metabolism";"18289";"LC/MS Neg";"2010";"686.2";"444485";"C00882";"HMDB01373"
"78";"3,4-dihydroxyphenethyleneglycol";"28822-73-3";"Amino acid";"Phenylalanine & tyrosine metabolism";"1555";"GC/MS";"1807.7";"355.2";"91528";"C05576";"HMDB00318"
"79";"3-(4-hydroxyphenyl)lactate";"6482-98-0";"Amino acid";"Phenylalanine & tyrosine metabolism";"32197";"LC/MS Neg";"1395";"181.1";"9378";"C03672";"HMDB00755"
"80";"3-(N-acetyl-L-cystein-S-yl) acetaminophen*";"52372-86-8";"Xenobiotics";"Drug";"18299";"LC/MS Pos";"2622";"313.10000000000002";"83967";NA;NA
"81";"3-(cystein-S-yl)acetaminophen*";NA;"Xenobiotics";"Drug";"34365";"LC/MS Pos";"1960";"271.2";"5233914";NA;NA
"82";"3-aminoisobutyrate";"10569-72-9, 214139-20-5";"Nucleotide";"Pyrimidine metabolism, thymine containing, Valine, leucine and isoleucine metabolism/";"1566";"GC/MS";"1252.2";"101.9";"64956";"C05145";"HMDB03911"
"83";"3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)";"86879-39-2";"Lipid";"Fatty acid, dicarboxylate";"31787";"LC/MS Neg";"2815";"239.1";"123979";NA;NA
"84";"3-dehydrocarnitine*";"10457-99-5";"Lipid";"Carnitine metabolism";"32654";"LC/MS Pos";"1020";"160.19999999999999";"6991982";NA;NA
"85";"3-hydroxybutyrate (BHBA)";"625-72-9";"Lipid";"Ketone bodies";"542";"GC/MS";"1203.5";"116.9";"441";"C01089";"HMDB00357"
"86";"3-hydroxydecanoate";"5561-87-5";"Lipid";"Fatty acid, monohydroxy";"22053";"LC/MS Neg";"4681";"187.2";"26612";NA;"HMDB02203"
"87";"3-hydroxyhippurate";NA;"Xenobiotics";"Benzoate metabolism";"39600";"LC/MS Neg";"1670";"194.1";"450268";NA;"HMDB06116"
"88";"3-hydroxyoctanoate";"88930-08-9";"Lipid";"Fatty acid, monohydroxy";"22001";"LC/MS Neg";"3463";"159.19999999999999";"26613";NA;"HMDB01954"
"89";"3-indoxyl sulfate";"2642-37-7";"Amino acid";"Tryptophan metabolism";"27672";"LC/MS Neg";"2258";"212";"10258";NA;"HMDB00682"
"90";"3-methyl-2-oxovalerate";"51829-07-3";"Amino acid";"Valine, leucine and isoleucine metabolism";"15676";"LC/MS Neg";"2106";"129.19999999999999";"439286, 440877, 6857401";"C00671";"HMDB03736"
"91";"3-methylhistidine";"368-16-1";"Amino acid";"Histidine metabolism";"15677";"LC/MS Neg";"911";"168.1";"92105, 64969";"C01152";"HMDB00479"
"92";"3-phosphoglycerate";"80731-10-8";"Carbohydrate";"Glycolysis, gluconeogenesis, pyruvate metabolism";"40264";"GC/MS";"1754";"357.1";NA;"C00597";"HMDB00807"
"93";"3-ureidopropionate";"462-88-4";"Amino acid";"Alanine and aspartate metabolism";"3155";"LC/MS Pos";"1062";"133.1";"111";"C02642";"HMDB00026"
"94";"4-acetamidophenol";"103-90-2";"Xenobiotics";"Drug";"12032";"LC/MS Pos";"2238";"152.1";"1983";"C06804";"HMDB01859"
"95";"4-acetaminophen sulfate";"10066-90-7, 32113-41-0";"Xenobiotics";"Drug";"37475";"LC/MS Neg";"1779";"230.1";"83939";"C06804";"HMDB01859"
